6239.M117.2.1	P41932
6239.C49D10.9	O16603
6239.C09G12.9	O76258
6239.F07C4.12b	P91218
6239.C45B11.3.1	Q18639
6239.F14B4.2a.2	Q19440
6239.W02A11.3	Q9XUM8
6239.Y110A7A.16	Q9N595
6239.F48C1.2	O01573
6239.R119.7	O61711
6239.T07C5.5	Q22297
6239.T01G5.4	Q9XVJ4
6239.T06E6.6	O45760
6239.E04D5.3	Q19053
6239.F17C11.3	Q19514
6239.Y61A9LA.3a	Q8MXS5
6239.Y38E10A.12	Q9NAJ9
6239.T19A6.2a	Q9XXN4
6239.Y62E10A.5a.2	Q2HQK2
6239.C27H2.2a	A0A061ADZ4
6239.F11C7.6a	Q8MQ77
6239.C25F9.1a	O62077
6239.C14C11.5	Q17975
6239.T25B9.6	Q22769
6239.Y105C5B.6a	Q2HQL3
6239.C27D6.11	Q4U220
6239.C28C12.10	X5LX76
6239.M02E1.1a	Q94290
6239.R11E3.8.3	U4PB38
6239.C01F4.2a	H2KYD2
6239.B0205.3.2	O61742
6239.F56H1.7	A7DT45
6239.T02G6.2	I2HAM0
6239.D1007.2	O01873
6239.K03E5.2a	O61848
6239.F11G11.11	P91249
6239.F10F2.8	Q19315
6239.Y60A3A.22a	Q86MD0
6239.B0001.8.2	Q8WQH2
6239.C46F11.5b	Q93383
6239.Y57G11C.33a	Q9U204
6239.Y113G7B.2	Q9U2Y0
6239.F57B1.9a	A7LPI1
6239.C31H1.6a	H2KYP1
6239.W08F4.2	O02111
6239.C01B12.3	O17206
6239.Y48E1B.1	O18195
6239.ZK20.3.1	Q23451
6239.R12C12.6a	Q2L6Y3
6239.Y64G10A.8	Q7YWP3
6239.F13G3.11.2	Q95QL2
6239.Y69E1A.6	Q9XW32
6239.Y56A3A.16b	G2HK08
6239.C01B10.6a.1	H2KYC9
6239.F14B8.5a.3	H2KYT4
6239.T12A2.16b	H2KYW7
6239.T13F2.8a	I2HAL2
6239.K06B4.8	O45664
6239.ZK1307.7b	Q09650
6239.C56A3.3b	Q18876
6239.F23B12.6.2	Q19752
6239.T08G11.1a.1	Q8T3D2
6239.Y56A3A.29a	Q95Q13
6239.T28B11.1.1	Q22842
6239.Y113G7A.11	Q9U2Z2
6239.F29A7.7	O16209
6239.F55A4.2	Q94236
6239.C01B10.7	V6CL84
6239.C09G4.2c	H2KYN1
6239.T12A2.15a	H2KYW6
6239.C05C8.4	O16310
6239.T04B8.5a	O44846
6239.Y8G1A.2.2	O44887
6239.F11C7.5	O45346
6239.F57C2.1	O45593
6239.Y70C5C.2	O62498
6239.F09F7.5a.1	Q19275
6239.F14E5.5	Q19462
6239.ZK418.9a	Q23487
6239.F32B6.8b.1	Q7JL36
6239.F40F9.1b.3	Q8MQ56
6239.ZK262.2	Q9XTR7
6239.K05C4.5.2	Q9XUU8
6239.Y32B12A.3	Q9XXH0
6239.R11A8.7a	A0A061AL89
6239.R02D3.1	O44503
6239.F37B1.8	Q93701
6239.F36A2.1d	A5Z2V1
6239.E03H4.10	O17741
6239.C37A5.4	O62091
6239.F57C12.5e	Q3S1M2
6239.F56A6.4.1	V6CLM3
6239.W07A8.2c.1	F3Y5P2
6239.Y39B6A.47a	F3Y5S7
6239.C39E9.5	Q18539
6239.F25H5.3e	Q3S1I8
6239.F16B12.1	Q93518
6239.ZK616.9	V6CM12
6239.C43E11.11.2	P91151
6239.F10G8.8b	G5EE23
6239.Y40B10A.1a	Q3LFN1
6239.Y81G3A.5a	Q9XVY1
6239.C01G5.8	V6CK03
6239.C56C10.13a	Q95QQ1
6239.T08G3.5	Q9XU52
6239.T10C6.10a	A5JYZ3
6239.Y17G7B.23a	E1NZ05
6239.C05D10.2a	G8JY04
6239.K07A12.4a.2	Q564V6
6239.C30H6.1c	D3KFV8
6239.Y32B12B.4a	E8MDV5
6239.T10B11.8a	H2KZ50
6239.F08B4.2a	H2KZC7
6239.F59E12.1.1	O01905
6239.D1014.3.1	Q18921
6239.K02A6.3a	Q21112
6239.T12A2.1	Q22419
6239.Y65B4A.3	Q9BL60
6239.F29B9.10	Q9GYI2
6239.Y76B12C.4	Q9N4C7
6239.Y38C1BA.3.2	Q9N527
6239.C42D4.13	V6CLE4
6239.F33D11.9b	O44780
6239.F31D4.3	O45418
6239.B0496.5	Q17519
6239.M03E7.5.2	Q21499
6239.W08D2.3a	Q23220
6239.Y57A10B.1	Q9XWI0
6239.F58G6.2	H9G2S4
6239.C50H11.2	O16480
6239.W03F11.6a	Q86NJ4
6239.T26H2.6	Q9XUN2
6239.F39B1.1	G5EDY0
6239.F38C2.2	O45489
6239.F59A6.1	Q21029
6239.F38B7.5	Q7JLI8
6239.C36B1.12c.3	Q564X0
6239.C06A5.8a	Q86ND0
6239.ZK1240.5	F0IWS6
6239.F53B2.6	G5EEC5
6239.T24F1.6b	G5EGL3
6239.C17G10.6a	Q7JPE6
6239.C35B8.3b	Q7JPI4
6239.Y105E8B.8c	B7FAS8
6239.T04C9.6b.1	H2KZV9
6239.F59A2.4a	Q2EEP3
6239.T14A8.2a	G4RWE9
6239.E02H4.6	G5EFL7
6239.Y38C1AA.5b	H2KZW9
6239.Y97E10AR.2a	H2L030
6239.W07B3.2b.2	H2L0F5
6239.R05F9.1b	Q7JP41
6239.Y22D7AL.6b	G4SRP3
6239.C06A1.2a	H2FLG7
6239.K04C2.3a.3	H2L0E2
6239.T07C5.3a	Q22296
6239.F53A3.4b	C7IVR5
6239.F57C2.6b	H2FLK2
6239.F08F8.9a.2	H2KZP3
6239.Y38C1AB.4	Q33BL4
6239.Y55H10A.1.1	Q9TYW1
6239.T08G5.3a	Q9XUQ6
6239.F53B7.2a	C7FZU1
6239.ZK270.2d.1	G5EEP9
6239.C53B4.8a	G5EG70
6239.F08F8.3a	H2KZP1
6239.Y69A2AR.32a	H2L0S1
6239.F55B12.9	Q7JL79
6239.C41C4.5e.1	H2FLF8
6239.DC2.7a	H2KZK1
6239.F53G2.4b	H2L066
6239.F40F12.5a	H2L265
6239.ZK470.2c	Q4JFH7
6239.C33F10.2	Q18386
6239.F28B3.1.1	A0A061AJG8
6239.F21A3.3	O17829
6239.C17D12.5	O62069
6239.T03F1.10	P91429
6239.F35G8.1	Q20067
6239.Y50C1A.1	Q9N4T5
6239.Y38A10A.4	Q9UAX8
6239.Y66H1B.2a.2	U4PEE3
6239.Y66H1B.2a.2	U4PM01
6239.F54E7.3b.2	U4PM75
6239.F59F3.4.2	G5EFH3
6239.C44B12.5	O44144
6239.Y38A8.3	Q23238
6239.C10G6.1a.3	Q65ZH5
6239.C49H3.8	Q9GYR2
6239.Y46C8AL.8	Q9N3W1
6239.Y75B7AL.1	Q965S6
6239.M02H5.10	Q966I4
6239.Y37H2A.5b	Q9U2P0
6239.LLC1.2a	D3YT80
6239.H06O01.2	O17909
6239.F47D2.4	Q22982
6239.Y38C1AA.11.1	Q8MXT1
6239.Y59A8B.3	Q9GRY6
6239.C11D2.6c	Q6Q762
6239.T23H2.5.1	Q94148
6239.Y116F11B.5	Q9GRV7
6239.M18.1	A0A061ADV7
6239.Y51A2D.19a	H8ESE3
6239.B0035.14.2	K8ESE7
6239.ZC328.1	O02051
6239.F53H1.3.1	O45074
6239.T16A1.7	P91448
6239.F13A7.13	Q7YTN8
6239.T20D3.11b	A0A061AE33
6239.Y69H2.3b.2	Q9U1T5
6239.4R79.2a	D3NQA2
6239.F10G7.10a	Q1W0R7
6239.T27F7.2a	Q967F3
6239.Y47D3B.9	Q9XWZ9
6239.F28E10.1d	U4PAK4
6239.Y37E11AM.2.2	U4PB79
6239.H20E11.3b	H2KYG0
6239.C06G1.1b	H2KYI4
6239.T23D5.6	O45805
6239.C08F11.13a.2	O62054
6239.F36F12.5	O76400
6239.C08H9.6	Q17841
6239.F29D10.4	Q19901
6239.F38A3.2	Q20136
6239.F41F3.4	Q20282
6239.K10C8.2	Q21413
6239.K04F10.6a	Q8IA66
6239.Y23H5B.6	Q9N478
6239.Y53F4B.11	Q9NAC0
6239.C08G5.2	Q9TZL5
6239.B0024.8a	M1ZMI6
6239.Y48A6B.10a	F3Y5Q2
6239.ZK1151.1c	G5EFD1
6239.T01H8.5a	A5JYU8
6239.W01C9.3b	B6VQ50
6239.F53F4.4c	C6KRL8
6239.C30F12.5a.2	H2KZ48
6239.D1007.5a.2	H2KZB3
6239.K06B9.5	Q21263
6239.F33D11.10.1	V6CJF0
6239.F53G12.7	V6CM19
6239.ZK6.4	O61869
6239.D2096.8.1	Q19007
6239.Y38C1AB.4	Q9N531
6239.K04G2.7a	B2D6N0
6239.R08F11.6	O01891
6239.C13A10.1	P91044
6239.K09B11.10	Q9U3B4
6239.T20B3.7	Q9XUP0
6239.C11D2.6c	Q688B2
6239.Y56A3A.12a.2	Q8I4C5
6239.Y27F2A.3b	Q9N549
6239.Y39A3CL.4a	G4SRU7
6239.W04D2.6c.2	G5EE97
6239.T04C9.4c	H2KZV8
6239.F46H5.7b.1	H2L048
6239.F56A6.2a	H2L082
6239.F09E8.1a	H2L2B7
6239.Y92H12BR.8	Q9BPN6
6239.C09G9.3a	B2MZB7
6239.C54G10.3b	F5GUC6
6239.C07G2.2c.1	Q9U3R1
6239.Y69A2AR.1c	U4PS40
6239.M18.6	A0A061ACL6
6239.F56F4.2	A8DZ30
6239.T21D12.5	O16782
6239.T28A11.7	P91513
6239.B0198.3a	Q17443
6239.F11E6.11.3	Q5WRM9
6239.C46C2.6a	Q7YTQ5
6239.Y58A7A.6	Q966A3
6239.K12H6.12	Q9N5H8
6239.C53D5.5.1	Q9N5V4
6239.T21C12.1a	U4PBP4
6239.Y76B12C.3	U4PMQ9
6239.Y41E3.3	A0A061ACP6
6239.W09G10.1b	D6VP96
6239.Y80D3A.2a.1	D8FRP8
6239.F42G8.11	O44511
6239.W10G11.12	O44910
6239.ZK669.5a	Q1ZXU9
6239.K07H8.1	Q20068
6239.F01F1.10b	Q65ZJ9
6239.F12E12.4	Q9BLC3
6239.Y73E7A.1a	Q9GUM1
6239.T10D4.3	Q9TZF2
6239.W07A12.6	Q9XVW0
6239.C43H6.9	Q18591
6239.T25F10.6a.1	Q23050
6239.T22H6.3	O18114
6239.C10H11.1	P91041
6239.C11E4.6.1	Q93203
6239.Y39B6A.39a	Q9NEI6
6239.F40G9.2	Q9TZ68
6239.C30H6.2	Q9XVR4
6239.Y42A5A.2a	Q9XWZ6
6239.Y11D7A.10	Q9U2R7
6239.C47B2.8	O62103
6239.T03F7.3	Q22114
6239.T24F1.1.1	Q22743
6239.F44G3.14	Q2XMY7
6239.C09G1.1	Q17862
6239.M01B2.9	O17960
6239.Y48E1C.3	O18207
6239.C10G11.8	P91025
6239.F44D12.4	Q20393
6239.Y43F8C.12	Q9U2G5
6239.Y105E8B.1d	K8ERM4
6239.T07D4.4a	B7WN81
6239.C16C2.2a.2	Q8T3F0
6239.C55F2.2	Q9GYQ2
6239.T06E8.1.2	I2HA82
6239.F32D1.6	I2HA84
6239.C06C6.3	O62029
6239.T07F8.2	P91439
6239.B0024.8a	Q17423
6239.R31.1a	G5EBH3
6239.F17C11.12a	G5EC34
6239.C06A8.9a	H2KY73
6239.C53A5.10	O17701
6239.Y54E5B.2	Q9XWF9
6239.Y55D9A.1b	Q9XWG7
6239.F56C4.3a	C1P638
6239.C30H6.7a	O45279
6239.Y48G1C.8	V6CL71
6239.ZK1290.4c	Q5H9N3
6239.C06E7.2.2	V6CL99
6239.Y73B6BL.35	V6CLM5
6239.Y34D9A.3	V6CLZ2
6239.M04B2.7a	D3KFV4
6239.T04D1.3d	B1V8A0
6239.Y39B6A.48a	D5SH00
6239.C12D8.9a	D7SFN2
6239.C18E3.5.1	O02097
6239.R52.7	O17292
6239.T20H9.3	O44889
6239.K02D7.3	O45105
6239.F13B9.8b	Q6AHP8
6239.C26B9.1a	Q7Z123
6239.Y48G8AL.5	V6CLJ9
6239.F42C5.3	V6CLW1
6239.W06H3.2a.1	B1V8I7
6239.F13G3.10a	B2D6L9
6239.F31E9.5	O45429
6239.K12B6.5	O16383
6239.M05D6.4.1	Q21523
6239.T04C10.4	Q22156
6239.F42A10.2b	Q5LK46
6239.C06B8.9	Q86D23
6239.Y50E8A.3	Q9NAF4
6239.C10C6.1d	H9G331
6239.Y48E1C.4a	Q8I0Z2
6239.ZK1025.4b	Q9XXL9
6239.F45H7.6	G5EEJ0
6239.K10D11.3	H9G311
6239.K09A9.6b	A8WHT9
6239.F41H10.3a	H2L025
6239.Y39H10B.2a	H2L095
6239.C53C9.3b	Q7JPF0
6239.C07G2.2c.1	Q86MD3
6239.Y52E8A.5	Q9N3H7
6239.F54C8.7b	E1B6R3
6239.K10B3.10b	G4S034
6239.K07A12.8a	H2FLJ2
6239.F28B3.5a	H2KZU5
6239.T02B11.3a.2	H2L0C8
6239.Y87G2A.17	Q7YWN4
6239.Y71H2B.10a.1	Q7YZG9
6239.Y69H2.8	Q9U1U2
6239.F44D12.1	S6F5A3
6239.F56D12.1a.1	G5EC31
6239.T07D3.9a.2	O16725
6239.C16A11.4a	O76580
6239.Y54E10A.15	Q86S68
6239.T12C9.1	Q95QB3
6239.F28E10.2	U4PAZ4
6239.D2096.7b	X5LV67
6239.F12B6.2a	X5M917
6239.F56H9.8b	C4ALD6
6239.Y106G6G.2	O18093
6239.C18A3.1	Q09956
6239.F59G1.3	Q21053
6239.C05C8.9a.2	Q95X94
6239.C29F9.7	Q9TZC4
6239.C24G6.2a	Q9TZS7
6239.ZK256.1c	G5EDU1
6239.H08M01.2b	D3YT91
6239.M142.1c	G5EGP9
6239.F20G2.3a	Q93546
6239.Y46C8AL.4	Q9N3W9
6239.F40D4.7	Q9XV31
6239.D1054.14.1	Q18942
6239.K03A11.2	Q21168
6239.K05F6.11	Q2V071
6239.K09F5.3.1	Q2XN18
6239.C40H5.4	Q9U3M7
6239.C30G4.7	A0A078BPG4
6239.F57B7.1a	Q8MQ19
6239.F26D2.7	O62184
6239.Y46G5A.13	Q9U2F5
6239.F21H12.4	Q09540
6239.ZK546.5	Q23521
6239.T13G4.2	Q966F7
6239.K02G10.5	X5M903
6239.T01B4.2a	A6ZJ66
6239.F31D5.3b	H2KYT0
6239.Y71A12B.1.2	I2HAF9
6239.F26D11.10	O61966
6239.R07E3.1a	Q21810
6239.F46H6.2a.2	Q7Z299
6239.F59E11.14	Q9GUE3
6239.Y17G7B.15a	Q9XZQ1
6239.Y53F4B.25	U4PB30
6239.M01B2.3	O17957
6239.K10D6.1.1	Q21420
6239.R09E10.4a	Q21873
6239.Y116A8A.3	Q9U2W0
6239.Y47H9C.10	Q9XWD4
6239.ZK384.2	O62508
6239.C25D7.6.2	Q9XVR7
6239.E01H11.1c	G8JY36
6239.F55F10.1	O61851
6239.C29H12.5	Q18313
6239.M88.5a	Q6A582
6239.Y110A2AL.8c	Q6AW16
6239.ZC482.8	Q86D06
6239.Y69A2AR.15	Q95XI5
6239.Y53F4B.33	Q9NAB0
6239.F56A6.4.1	V6CJ54
6239.C49H3.10	W6RQY2
6239.Y92H12BL.1	W6RR04
6239.Y53H1A.2b	B1V8K4
6239.C44B7.9	Q18598
6239.ZK1127.1.2	Q23406
6239.C06A6.2b	W6RRQ8
6239.Y71G12B.26	W6RS20
6239.C54D2.4a	A0N8F1
6239.K04G2.6.1	Q21225
6239.T11B7.2a	Q22388
6239.W04G3.3	Q23164
6239.F25G6.7a	Q6A592
6239.C03G6.2	O01457
6239.T12G3.1a.1	Q22436
6239.ZK1251.2	H9G2S9
6239.R31.2a	Q22015
6239.W02C12.3c.1	Q86MJ4
6239.T22A3.4b	Q8I4F7
6239.C38C6.2a	G1K110
6239.T22E5.1a	G4SN91
6239.F25H8.1a	A5JYS8
6239.C08B6.1b	A5JYT6
6239.C24B9.4a	B1GRL3
6239.C17H11.6d	B1Q249
6239.F16A11.3d	G5ECH5
6239.F27D9.8b	H2KZE9
6239.T28B4.1c	H2KZV2
6239.W04H10.3a	H2L0K3
6239.Y65B4BL.1b	H1ZUX7
6239.C41C4.5e.1	H2FLG1
6239.ZK617.1b.2	H2FLH3
6239.M60.4a.1	H2KZR1
6239.Y71F9B.13a	H2KZY1
6239.T07D3.9a.2	H2L0J4
6239.K08E4.2a	F5GUA0
6239.F56H11.2a	I2HA95
6239.C41G6.9	O17662
6239.F57H12.4	O45096
6239.F28A12.4.1	Q22972
6239.K09B3.1	Q94268
6239.K06B9.5	U4PCL3
6239.F29B9.9	U4PM21
6239.K10C9.6	O61888
6239.C27D6.4b.1	S6FD32
6239.C46C2.1m	X5LPT1
6239.C06A5.9	O01482
6239.ZK488.10	O17024
6239.C12D8.6.2	Q17934
6239.C39H7.5	Q18551
6239.F25E2.2a	Q19780
6239.W06B11.4b	Q23193
6239.F32B4.4a	Q7Z0X2
6239.C36C5.4	O16409
6239.Y57G7A.4	O76620
6239.F01G4.3	Q19103
6239.F44D12.8a	Q20395
6239.Y57G11C.49	Q6BEQ0
6239.Y105C5A.4	Q9NF70
6239.T05E7.5	O01861
6239.C23F12.1a	Q18109
6239.F08H9.5	Q19231
6239.H04M03.8	Q9TYR5
6239.Y69H2.1a	Q9XTT0
6239.T16G1.5	Q9XUP8
6239.Y6E2A.8	O45975
6239.H27D07.5	O61912
6239.C24B9.5	O76433
6239.B0547.4	P90999
6239.F36H5.3b	P91298
6239.F22B5.3	Q19707
6239.C52B9.6	Q22940
6239.T10G3.5a	Q5FC45
6239.F41E6.4a	Q5NKY6
6239.F49H6.4	Q9XV05
6239.R12E2.12.2	O61791
6239.Y79H2A.1a.2	Q67X91
6239.C26C6.5b	G5ED89
6239.H09F14.1	H9G357
6239.C47E8.8a	K8ESG9
6239.F15G9.1a	Q8I4L0
6239.BE0003N10.2	Q965N4
6239.Y108G3AL.7	G4SB35
6239.Y34F4.2a	H2KZM2
6239.K02E10.4b	H2L0B3
6239.C09F9.3d	H2L2H2
6239.K07F5.16	A0A061ADR1
6239.C13B4.1a	O45247
6239.F28C6.2	Q19862
6239.K08B4.1a	Q8MXE7
6239.F14F3.1a	Q95ZV2
6239.Y47D3A.4	Q9U2D2
6239.ZK262.10	Q9XTR3
6239.Y75B8A.20	Q9XW83
6239.C47D12.7a	B7WN97
6239.T10E9.9	O01607
6239.F08H9.4	Q19228
6239.C14A4.4a	Q8I129
6239.C38D4.1a	Q18507
6239.M195.1	Q21562
6239.T05G5.11	Q95ZP9
6239.C14H10.3a	B1Q254
6239.F23B12.4a.1	E1B6T5
6239.T11G6.5a	G5EGQ8
6239.W05H7.4e	H2KZI4
6239.F17C11.4	Q19515
6239.W04A8.1a	Q9XUM4
6239.T21F4.1a	H2KZS0
6239.F25H8.3b	H2L2A7
6239.Y111B2A.27	Q7YTJ7
6239.C10C6.3	I7J4D0
6239.F48G7.11	O44593
6239.F15A2.5	Q19475
6239.F55C5.4	Q20818
6239.T19C3.9	Q7YZH4
6239.T28D6.6a	G2HK05
6239.K07A1.15	Q7YWY5
6239.Y37E11AR.3b	Q965X9
6239.C24F3.6.1	Q9NAR3
6239.B0379.3a.2	Q9U3S5
6239.C48B4.8a	C0P275
6239.T14G10.2a.1	G5EEE0
6239.F56D12.6a	H2KYR2
6239.F09G2.5	O17402
6239.D1086.4a	O17724
6239.K07C6.7	O44646
6239.C24A8.4	Q304D8
6239.F43G9.5	Q93716
6239.Y67A10A.4	Q9U1V5
6239.Y47D3B.11	Q9U2B7
6239.F48F5.3	Q9XV11
6239.Y102A5B.2b	Q9XXJ5
6239.B0564.7.3	A0A061AL82
6239.C34E11.3a	D3KFS9
6239.F07C6.4d	Q8I093
6239.M02G9.1b	B6VQ93
6239.C18B10.7	P91070
6239.W03A5.3	Q23137
6239.Y65B4A.7	Q9BL58
6239.Y47G6A.11	Q9N3T8
6239.C18D11.2	Q9XTZ5
6239.T11F8.3.1	V6CIR8
6239.C46G7.4a	V6CLQ8
6239.F14H8.1a	B2D6P3
6239.F44F4.1	Q20401
6239.T27A10.7.2	Q22824
6239.D1054.9b	Q8I4L9
6239.F53H10.2a	A8WHS5
6239.T02C5.5e	G4SFC3
6239.T22B3.2b	G5EC94
6239.Y113G7A.5	G5EEC1
6239.C23H5.8a	H2KYX9
6239.T17H7.4d.2	H2KYY5
6239.R11D1.1b	Q7JLF4
6239.Y57E12AL.1a.1	H2KZT9
6239.ZC64.3a	H2L052
6239.Y110A2AL.4a	H2L0G3
6239.T12B5.6b	H2L0J3
6239.Y69A2AR.1c	H2L0R8
6239.Y48C3A.5b	Q599F7
6239.F14D2.15	Q6A584
6239.C50E3.14	Q4PIT1
6239.M04C3.5c	G1K100
6239.C23H3.9a	H2KYX5
6239.C46C2.1m	H2L293
6239.Y37H2A.10a	E0R7K5
6239.F57G12.2b	G5EEW2
6239.F28E10.1d	H2KZT6
6239.Y74E4A.1b	H2KZY7
6239.H05C05.1c	H2L0A8
6239.K12H6.6b	H2L0G2
6239.R08C7.10b	H2L0H6
6239.T27B7.6a	H2L0M9
6239.F46B6.5e.1	H2L2B2
6239.F34D6.2	O17184
6239.C43H6.3.1	Q18587
6239.C32C4.1b	A7UQ08
6239.F47C12.5	Q20529
6239.Y53F4B.25	U4PEB1
6239.Y104H12A.1	U4PRT9
6239.C47E12.11a	B2MZB9
6239.F48E3.8a	A8WFH5
6239.ZK783.1	I7LHV9
6239.C18A3.5a	Q95QV8
6239.C34H4.1	U4PEZ3
6239.F18F11.3	U4PRG1
6239.F08D12.6	P91229
6239.R07B7.6.1	Q21796
6239.ZK287.1.1	Q23460
6239.Y47G6A.10	Q9N3T5
6239.Y41E3.9a	E5QCJ4
6239.T28A11.1	P91524
6239.F35H8.3	Q20082
6239.F38B6.5a	Q20142
6239.T28H11.3	Q23059
6239.C18A3.6a	Q95QV3
6239.F28A10.6	Q95YB2
6239.Y37E11AM.2.2	Q9N439
6239.Y71F9AL.4	Q9N4H5
6239.F31F6.8	Q565B0
6239.Y69A2AR.1c	U4PF91
6239.R02D3.4	U4PN35
6239.Y104H12A.1	U4PRQ4
6239.K09H11.3	O01585
6239.D1007.5a.2	O01870
6239.C14F5.4.2	Q09972
6239.K04A8.2	Q94258
6239.Y94H6A.1	Q9N2W3
6239.C28C12.10	X5LPV6
6239.C17E7.1	O16398
6239.F13H10.8a	Q1ZXU7
6239.T20H4.3a.1	Q65ZK5
6239.F38B7.7	Q7JLI7
6239.F53C11.5b	Q93763
6239.T03F1.6b	Q95Q44
6239.Y73B3A.5	Q95XF0
6239.Y38F2AR.1	Q95XS0
6239.Y54G2A.11a	Q95XX8
6239.Y119D3B.7	Q95Y64
6239.M04F3.3	Q95Y99
6239.Y74C9A.2.2	Q9N4D8
6239.C09E7.3	Q9N5Z2
6239.K04F1.2	Q9TXK9
6239.C06B3.3	G5ECD0
6239.T08G3.2	O18070
6239.T23H4.1a	P91827
6239.T10E10.2.1	Q22379
6239.ZC21.3b	U4PME0
6239.F01G4.2.1	A0A061AD09
6239.Y41G9A.5b	B7CED6
6239.C40C9.2	Q18556
6239.K01A2.11d.2	Q86S18
6239.T01B6.3a	Q8MPT4
6239.T12B5.5	Q9TZ28
6239.F40G9.10	Q9TZ75
6239.F55F3.1.2	Q9XUY2
6239.K08F11.1	U4PE86
6239.F52C12.1.1	U4PRC2
6239.Y74C10AR.3	A0A061AJH7
6239.F26G5.10	O16937
6239.F02C9.4	P91205
6239.T28H11.5	Q23057
6239.T09D3.1	Q9GS01
6239.C18H7.8	Q9GZF9
6239.Y42H9AR.3	Q9N3Y4
6239.T23H4.1a	E5QCJ1
6239.F43D9.3a	Q20364
6239.ZC374.1	Q23265
6239.F41B5.2	O16673
6239.R12E2.10	O61789
6239.Y57G7A.9	O76629
6239.T21C9.8	Q22643
6239.Y48G9A.8	Q9BL73
6239.Y69H2.1a	E5QCJ5
6239.F52D1.3	O17351
6239.C32B5.2	P91118
6239.H10E21.3b	Q8ITW8
6239.F52D2.9	Q9TXM5
6239.F54A5.1	Q9TYT0
6239.K07E8.11	O16693
6239.F23D12.6	Q8I4K7
6239.K06C4.17	Q95Q47
6239.Y22D7AL.9	Q965Q2
6239.F36H1.10a	D3YT32
6239.D2023.1f	G5EBI9
6239.F38H12.3	O16346
6239.F40F9.7a	Q20237
6239.T08B2.5b	Q9GYS7
6239.T19C9.10	L8E6M6
6239.F15E6.8	O44494
6239.Y47D3B.5b	Q6EUT8
6239.C24G7.1	P91103
6239.F49E2.2c	Q8I4I4
6239.Y43C5A.6a	Q95Q25
6239.Y54F10AL.2a	Q9BL69
6239.C04F12.9	Q9XVE6
6239.C49G7.8	O16220
6239.F25H5.7	O17840
6239.F36H2.1a	G5EE81
6239.W08D2.6	Q23222
6239.Y111B2A.24	Q9BHL0
6239.F38H4.8b	D1MN80
6239.ZK1151.1c	G5ECG5
6239.T20D4.1	P91475
6239.F17C11.13	Q5WRN7
6239.K08A2.5a.3	Q7KX66
6239.C53D5.1a	Q8IAB7
6239.Y46G5A.12.3	Q9U2F6
6239.T07A5.6c	Q9U377
6239.F58G11.1a.1	Q9XVL7
6239.Y38E10A.21a	H2KMK5
6239.R13.2	Q21972
6239.Y82E9BL.8	Q95XB7
6239.F38C2.1	A0A078BPI4
6239.K01C8.8	Q21085
6239.Y57A10B.4	Q9XWH7
6239.W10C8.1	A0A078BTJ7
6239.F39E9.2	O17112
6239.C53A5.4	O17693
6239.B0244.8.2	Q09967
6239.R07B7.10	Q21800
6239.F18A1.3b	Q8I7K9
6239.Y39A3CR.1a	Q9N405
6239.R03E1.2.1	Q9XTY9
6239.F58F6.4	O44175
6239.W04E12.8	Q9XUL7
6239.B0024.14b	G5ECR2
6239.E01G4.4a	O02238
6239.F25G6.2	O16929
6239.F57B9.9	Q20936
6239.R102.5b.2	Q21891
6239.Y54G2A.4	Q9N3A9
6239.W09C5.4	Q9U333
6239.F42A6.9	O44490
6239.K09F6.11	Q4W517
6239.R06A4.4a	O62333
6239.AC3.2	Q17399
6239.F13G3.2	Q19419
6239.F48B9.5	Q20551
6239.ZK546.2c	Q23526
6239.DC2.5	Q9UAW2
6239.Y54E2A.12	Q9XWI2
6239.B0432.4.1	P90992
6239.B0035.14.2	Q17438
6239.F08F3.7	Q27531
6239.R148.5a	Q8ITY9
6239.C07H6.8.2	Q95YE8
6239.M01E5.3c.2	O45692
6239.C34D4.15	Q18450
6239.C48E7.8	Q8IG66
6239.F35A5.8a	L8E817
6239.R02D3.3.1	U4PCA7
6239.Y77E11A.6	U4PMG8
6239.F30B5.6	Q19912
6239.ZK1098.10e	S6FWP6
6239.W03C9.3.3	Q23146
6239.F59G1.8b	A7LPD5
6239.C50E10.2b	G2TRV1
6239.ZK381.5a	H2KYA1
6239.C07A12.18a	H2KYH6
6239.C01F6.6b	I2HAG6
6239.K08D8.12a	I2HAM1
6239.F47F6.3	P91310
6239.T09E8.5a	Q22358
6239.Y54E10A.7.2	Q9N3F3
6239.T16G1.9	Q9U367
6239.F49F1.7	U4PEN5
6239.C53A5.6b	O17698
6239.T12F5.1	O44761
6239.K07G5.3	Q21303
6239.T04A8.16	Q22143
6239.Y40B1A.3b	Q9XW27
6239.Y55B1AL.3a	H2KY86
6239.K01A2.11d.2	H2KY96
6239.K07E3.8a	H2KYD7
6239.C47A10.6	O45308
6239.C24H11.5b	A7LPI7
6239.F15A2.1	I2HA94
6239.F32H2.2	I2HAC0
6239.C10B5.1	O16318
6239.F10D2.1	O16921
6239.F57B7.3	Q20927
6239.ZC410.4a	Q23297
6239.Y37E11B.3	Q9TYN4
6239.T23F6.3	Q9XU69
6239.C56E10.4b	G5EEX1
6239.C46F9.4	O17189
6239.F32B4.4a	O62203
6239.R05H10.2.1	O62325
6239.Y17D7C.1	O62407
6239.T01D3.4	P90954
6239.K08A8.1a.2	Q7Z1P1
6239.F30A10.6	Q93641
6239.Y11D7A.14	Q9XWR0
