5833.PF14_0425	P14223
5833.PFB0340c	I0IZI5
5833.PFC0210c	M1VPG3
5833.PFC0210c	Q8I9H4
5833.PFI1475w	M1V922
5833.PFB0340c	I0IZ27
5833.PFB0340c	I0IZ43
5833.PFA0590w	D0QF37
5833.PFC0210c	Q25835
5833.PFI1475w	Q25924
5833.PFB0915w	Q8IFR4
5833.MAL7P1.187	Q9U764
5833.PFA0005w	Q9U7J9
5833.PFC0110w	B0M163
5833.MAL7P1.176	Q105B2
5833.MAL7P1.176	Q105E1
5833.MAL7P1.176	Q25740
5833.PF14_0598	Q8T6B1
5833.PFF1595c	Q9XZ98
5833.PFB0895c	Q9GQW6
5833.MAL7P1.176	Q105C4
5833.PFD0110w	Q8T8F1
5833.PFB0310c	Q8T7U0
5833.PFF1345w	Q8WSV8
5833.PFI1475w	Q25707
5833.PF13_0247	Q8TA13
5833.PFI1475w	Q0GQC4
5833.MAL7P1.176	Q105H3
5833.PFB0300c	Q4ZJF9
5833.PFI1475w	Q56R29
5833.PFD1155w	Q8N062
5833.PFB0926c	Q8WSS5
5833.PFL1620w	Q94648
5833.PF10_0406	Q9U7J1
5833.PFA0590w	D0QEY5
5833.PFI1730w	O77090
5833.PFB0935w	B0M153
5833.PFB0935w	G5EKX1
5833.PFI1475w	Q25967
5833.PFD1015c	Q9BMR4
5833.PFE1390w	Q9U936
5833.PFB0935w	B0M0Y1
5833.PF14_0454	Q9GVB2
5833.PF10_0345	Q0KGC2
5833.MAL7P1.176	Q105E2
5833.MAL7P1.176	Q8I792
5833.PF11_0098	Q9TY81
5833.MAL8P1.46	Q2TFW3
5833.PFC0330w	Q95V41
5833.PFI0265c	B0M0W0
5833.PF10_0368	Q6KF55
5833.PF10_0327	Q9GNU7
5833.PFI1475w	Q25721
5833.PFA0125c	Q6RKQ5
5833.PFL0210c	Q8MX76
5833.PF10_0159	Q9TY10
5833.PFD0810w	Q9U8B7
5833.PFD0830w	A0A060D6E1
5833.PF11_0344	A0A075DB50
5833.PF11_0313	Q703U6
5833.PFI1475w	Q70HF5
5833.PFI1475w	Q70HF6
5833.PFD0830w	A0A060D205
5833.PFI1475w	Q25719
5833.MAL8P1.76	Q967Y1
5833.PFB0300c	Q9GQZ5
5833.PF11_0344	R4R1W5
5833.PFD0830w	A0A060D6G0
5833.PFI1475w	Q9BJV1
5833.PFI1650w	R4S3T7
5833.PF13_0238	A0A0A0WFB4
5833.MAL13P1.186	O96694
5833.PFE1150w	A0A060CSP8
5833.PFI1475w	Q70HF2
5833.PFD0830w	A0A060D656
5833.PFF0575c	Q95Z20
5833.PF11_0344	Q967J2
5833.PFD0830w	A0A060DC46
5833.MAL13P1.480	B7SSB9
5833.PF11_0344	B9VGC8
5833.PFE0395c	C5HE10
5833.PFF0615c	C5HE19
5833.MAL13P1.173	C5HE77
5833.PF13_0191	C5HEA2
5833.PF13_0348	C5HXU6
5833.PF13_0348	C5HXW1
5833.PF13_0348	C5HXW5
5833.PFL1710c	C5J0C5
5833.PFE1640w	D3GII8
5833.PFE0395c	C5HXF5
5833.MAL7P1.208	C5HXP3
5833.PFL1710c	C5J0E2
5833.PFL1710c	C5J0E9
5833.PF13_0238	A0A077GXI5
5833.PF13_0238	A0A077GXQ4
5833.PF11_0165	A0A077GXW5
5833.PF13_0238	A0A077GYB0
5833.PF13_0238	A0A077GZA8
5833.PF13_0238	A0A077H374
5833.PFE0395c	C5HDZ4
5833.PFE0395c	C5HE08
5833.PF13_0238	A0A077GXS0
5833.PF11_0165	A0A077H2N2
5833.PF14_0201	C5HDZ2
5833.PFF0615c	C5HE13
5833.PFE1640w	D3GI75
5833.PF13_0238	A0A077GXV0
5833.PF07_0049	C4PF81
5833.PF10_0348	C5HX25
5833.MAL7P1.208	C5HXS9
5833.PF13_0338	C5HDW5
5833.PF14_0201	C5HDX8
5833.PF13_0197	C5HED6
5833.PF10_0348	C5HX34
5833.PF13_0348	C5HXW8
5833.PFL1710c	C5J0E0
5833.PF13_0238	A0A077H0C6
5833.PF13_0238	A0A077H2Y5
5833.PFI1475w	C4PDY5
5833.PF13_0191	C5HE89
5833.PF13_0197	C5HEC5
5833.PFL1710c	C5J0B2
5833.PFL1710c	C5J0B6
5833.MAL13P1.274	Q8WQR3
5833.MAL13P1.173	C5HE85
5833.PF13_0338	C5HX99
5833.PF13_0348	C5HXX7
5833.PF13_0348	C5HXY2
5833.PFA0310c	D3KCJ1
5833.PFB0310c	J7GTY4
5833.PF13_0238	A0A077GYY4
5833.PF10_0348	C5HX32
5833.PF10_0348	C5HX33
5833.PFL1710c	C5J0F0
5833.PFA0310c	D3KCI0
5833.PF13_0238	A0A077GYE5
5833.PFC0005w	C4PF58
5833.PFE0395c	C5HE05
5833.PF11_0344	C5HWD9
5833.PF10_0348	C5HX02
5833.PF13_0348	C5HY25
5833.PFL1710c	C5J0A9
5833.PFE1150w	A0A067Z8W3
5833.MAL13P1.174	C5HE66
5833.PF11_0344	C5HWE6
5833.PFE0395c	C5HXI6
5833.MAL7P1.208	C5HXQ5
5833.PFA0310c	D3KCJ2
5833.PF13_0019	B6VGK9
5833.PF07_0050	Q9BMS6
5833.PFB1055c	Q9U4W5
5833.PFC0210c	T2CBB0
5833.PFE0080c	Q26004
5833.PFB0305c.1	Q1WG91
5833.PFI1475w	Q25718
5833.PFI1475w	Q56R23
5833.PF13_0198	Q9BK46
5833.PF14_0563	A6N5Z1
5833.PFI1475w	I2BJE8
5833.PFI1475w	I2BJH0
5833.PFA0125c	C0L3G3
5833.PFD1245c	C0LNI0
5833.PFE1150w	G3LXT1
5833.PF14_0334	O61143
5833.PFI1475w	Q25974
5833.PF11_0344	Q967I4
5833.PFA0590w	D0QEW0
5833.PFA0590w	D0QEY3
5833.PFA0590w	D0QF13
5833.PFA0590w	D0QF34
5833.PFF1580c	Q6S8K1
5833.PF11_0165	Q9NBD4
5833.PF14_0543	C0KWV2
5833.PF10_0406	A7RCV6
5833.PFC0210c	I1VER8
5833.PFA0590w	D0QEX1
5833.PFE1150w	G3LXS1
5833.PF11_0344	Q25749
5833.PFI1475w	I2BJH1
5833.PF11_0258	C0H5U7
5833.PFA0590w	D0QF22
5833.PFA0125c	Q6RI89
5833.PF13_0198	Q9U5A3
5833.PFC0005w	A7RD07
5833.PFE1150w	G3LXM7
5833.PFL0030c	Q7Z1S4
5833.PF08_0142	A7RCZ9
5833.PFI1475w	I2BJF0
5833.MAL13P1.356	Q9NHJ3
5833.PFI1475w	Q56R30
5833.PFA0590w	D0QEX6
5833.PFF0010w	Q6S939
5833.MAL7P1.208	Q6VVE5
5833.PFE1150w	A0A060CW59
5833.PFA0590w	D0QEX5
5833.PFE1150w	G3LXL3
5833.PFE1150w	G3LXT2
5833.PFI1475w	Q964N2
5833.PFI1475w	A7LL69
5833.MAL8P1.113	Q2KNP7
5833.PFI1475w	I2BJI1
5833.PF13_0201	Q01507
5833.PFE1150w	G3LXL0
5833.PFE1150w	G3LXN3
5833.PFD0635c	O44043
5833.PFI1475w	Q9BJV0
5833.PF08_0095	Q9GZ17
5833.PFI0880c	C0MHL8
5833.PFE1150w	D0QXJ7
5833.PFA0590w	D0QEV8
5833.PFA0590w	D0QF02
5833.PFI1475w	Q9BJV6
5833.PFI1475w	A7LLA5
5833.PFE1150w	G3LXU5
5833.PF14_0102	Q25763
5833.PF10_0344	Q9U0R4
5833.PFE1150w	A0A060CW66
5833.PFI1475w	A3E7F3
5833.PFI1475w	A3E7H6
5833.PFL2005w	Q8WSL8
5833.PFF0680c	Q3MSL9
5833.PFI1475w	A0SJG3
5833.PFI1475w	A0SJH8
5833.PFL1005c	Q25732
5833.PF11_0344	Q9N9F9
5833.PFI1475w	A0SJD6
5833.PFA0310c	E5RU08
5833.MAL7P1.176	Q8I789
5833.PFI1475w	A0SJD1
5833.PFL0385c	Q9NHP4
5833.PFC0210c	Q9U0P6
5833.PFE0120c	S5YJH1
5833.PFI1475w	A3E7D6
5833.MAL7P1.176	Q95VT1
5833.PFI1475w	A0SJL4
5833.PFI1475w	A0SJP0
5833.PF14_0455	Q08667
5833.PF14_0477	F2X1X8
5833.PF14_0605	Q9NG01
5833.PFI1475w	A3E7D4
5833.PF11_0344	Q967K2
5833.PFI1475w	A0SJQ1
5833.PFI1475w	A0SJE3
5833.PFI1475w	A0SJK9
5833.PFI1475w	A0SJP2
5833.PFI1475w	A3E7F6
5833.PF13_0218	S5YJ40
5833.PFI1475w	A3E7D8
5833.PF13_0218	S5YJ58
5833.PFA0310c	E5RTX7
5833.PFE0040c	Q06166
5833.PF13_0252	Q9NIH9
5833.PFI1475w	A0SJN3
5833.PFI1475w	A3E7I3
5833.PFI1475w	Q25980
5833.PFI1475w	A0SJH2
5833.PFE1150w	C3S7P6
5833.PFC1120c	B1P830
5833.PFA0310c	E1CC10
5833.PFA0310c	I6Q0E8
5833.PF13_0218	S5Y640
5833.PFE0120c	S5Y6C9
5833.PFE1150w	S5YCD7
5833.PFE0830c	Q963G5
5833.PFB0300c	Q9GQZ3
5833.PF11_0344	E1ANK4
5833.PFE0120c	S5ZER8
5833.PFI1475w	Q9NAY7
5833.PFA0310c	E1CC89
5833.PF11_0344	B2LV17
5833.PF13_0338	C5HX67
5833.PFE1150w	F1C8N2
5833.PF08_0140	Q6S8L5
5833.PFE0395c	A8QVQ2
5833.MAL13P1.480	E2DSD6
5833.PFL0475w	Q2V2M6
5833.PFE1150w	Q5PZ19
5833.PF11_0344	Q967J5
5833.PFB0310c	Q8T7T1
5833.PFB0310c	Q8T7U5
5833.MAL7P1.208	C5HXN3
5833.PFD0830w	Q5PZ13
5833.MAL13P1.480	Q3ZJB7
5833.PF11_0344	I4CH15
5833.PFE0395c	A8QVR1
5833.PF13_0010	Q25859
5833.PF07_0048	A7RD32
5833.PFE0120c	S5YX02
5833.PF13_0271	I6Q0F6
5833.PF11_0099	O77048
5833.MAL13P1.176	Q7YWE7
5833.PFF0995c	Q868T8
5833.PF13_0271	S5YCT4
5833.PFA0310c	E1CCM4
5833.PFE1150w	Q5PZ22
5833.PF11_0344	B2LV00
5833.PFF1595c	Q9BMS1
5833.PF07_0037	Q9Y1G4
5833.PF13_0218	S5YCN2
5833.PFE0395c	A8QVR0
5833.PF11_0344	Q8I771
5833.PF11_0344	Q967J7
5833.PF13_0095	Q9GR06
5833.PFL1410c	S5ZF54
5833.PF10_0322	O15696
5833.PF13_0176	Q9BMG7
5833.PFB0340c	I0IYW1
5833.PFB0340c	I0IYW3
5833.PFB0340c	I0IZ13
5833.PFB0340c	I0IZA9
5833.PFB0340c	I0IZJ5
5833.PFB0100c	E1ANN3
5833.PF11_0344	I4CGT1
5833.PFL2405c	A0A059WCL7
5833.MAL7P1.187	A0A023JGM6
5833.PF11_0344	I4CGR2
5833.PF11_0344	M1V188
5833.PFI1475w	M1V906
5833.PFI1475w	M1VP35
5833.PF10_0348	D9HN34
5833.PF08_0095	Q9GZ18
5833.PFA0015c	Q1KV57
5833.PF10_0342	D9HN24
5833.PF13_0201	Q5EIP7
5833.PF10_0348	D9HN67
5833.PF11_0344	I4CH13
5833.PF11_0344	B2LV65
5833.PFI1475w	M1VKH7
5833.MAL13P1.60	Q8I788
5833.PFB0340c	I0IYV3
5833.PF11_0344	M1VA87
5833.PF11_0344	M1VAJ0
5833.PFB0340c	I0IZ18
5833.PFI1475w	M1VP13
5833.PFB0310c	Q70IE7
5833.PF08_0054	Q25962
5833.PF11_0344	I4CGM4
5833.PFD0830w	A0A060DBD2
5833.PF11_0344	B2LV03
5833.PF13_0037	A5A159
5833.PFC0210c	M1V0A3
5833.PFC0210c	M1V0F2
5833.PFI1475w	Q25717
5833.PF13_0198	E5G974
5833.PFD1220c	O96468
5833.PF10_0344	Q9U0Q6
5833.PFB0300c	E5F2R3
5833.PF11_0344	M1VQ75
5833.MAL7P1.176	F2X7H4
5833.MAL7P1.27	G8C619
5833.PF10_0303	A0A0A0RCU8
5833.PF13_0201	Q9TYC9
5833.PF13_0247	Q8TA09
5833.PFI1475w	D5LIV5
5833.PFI1475w	D5LJ32
5833.PFI1475w	D5LJI7
5833.PF11_0395	O96856
5833.PFI1475w	D5LJM6
5833.PFI1475w	D5LJH4
5833.PFI1475w	D5LIW6
5833.PFI1475w	D5LJG4
5833.PFI1475w	D5LJG7
5833.PFD1245c	Q9XZB1
5833.MAL13P1.174	C5HE52
5833.PFA0310c	E1CC35
5833.PF11_0344	I4CGH0
5833.PF13_0247	A8QVS6
5833.PFL1410c	S5YX77
5833.PFB0340c	I0IYU5
5833.PFB0340c	I0IYX0
5833.PF11_0344	M1VA72
5833.PF11_0344	M1VLV4
5833.MAL7P1.176	Q105A8
5833.MAL13P1.238	Q2TFW6
5833.MAL13P1.60	Q8T9N2
5833.PF13_0238	A0A0A0WH06
5833.MAL13P1.310	B9P4L1
5833.PF13_0238	A0A077GYE3
5833.PF13_0238	A0A077H393
5833.PFF0615c	C5HE16
5833.PFA0590w	D0QF01
5833.PFL0020w	A7RD03
5833.PFC0210c	I1ZBL0
5833.PFI1475w	I2BJE6
5833.PF07_0037	O15791
5833.PF10_0121	Q03925
5833.PFC0210c	Q8I9H2
5833.PF08_0071	Q95034
5833.PF11_0344	Q9N9F7
5833.PFI1475w	A3E7H4
5833.PFI1475w	A3E7H9
5833.PF10_0018	Q19KB0
5833.PF10_0322	Q9U8D4
5833.PF13_0193	C5HES6
5833.PF11_0344	C5IF85
5833.MAL7P1.176	I6M219
5833.MAL7P1.176	I6M251
5833.PF14_0102	I6M285
5833.PF10_0342	D9HMZ2
5833.PF13_0019	E7DY00
5833.MAL7P1.27	G8C5W3
5833.PFF1105c	O15864
5833.PFB0310c	Q8T7T6
5833.PFI1475w	D5LJ75
5833.PFI1475w	D5LJE6
5833.PF10_0346	B7SJH7
5833.PF13_0201	O76110
5833.PF11_0344	I4CGE2
5833.PFE1150w	Q5PZ06
5833.PF13_0271	I6Q2L2
5833.PF14_0455	Q7Z1F2
5833.PFL1960w	Q9BMR8
5833.MAL7P1.176	Q105G1
5833.PFC0995c	Q6F492
5833.PFD1120c	Q8WT08
5833.PFE1195w	Q9BN26
5833.PFI1100w	Q9Y1K0
5833.PFD0830w	Q9GTX1
5833.PF11_0344	C5HW96
5833.PFC0210c	T2CB08
5833.PFI1475w	Q56R27
5833.PFA0590w	D0QEU0
5833.PFE1150w	D0QXJ9
5833.PFE1640w	Q6S8M2
5833.MAL7P1.208	B9VGX8
5833.PF10_0356	Q25894
5833.PFE1150w	S5YJ06
5833.PFE0120c	S5YJC3
5833.PFE0120c	S5YJJ0
5833.PF14_0102	I6M292
5833.PF13_0197	C5HED4
5833.PFC0210c	C5MK78
5833.PF11_0344	D9MXT5
5833.PF10_0345	I6M1T8
5833.MAL7P1.176	I6M221
5833.PF13_0192	C5HEM9
5833.MAL13P1.103	Q86FQ3
5833.PFI1475w	D5LJ35
5833.PF13_0338	C5HX71
5833.PF11_0344	I4CGM9
5833.PF11_0344	I4CGR1
5833.PFC0166w	Q9NC62
5833.PFE0120c	S5ZET8
5833.PFA0310c	I6Q403
5833.PFI1475w	M1UZL2
5833.PF11_0344	M1VLY3
5833.PFB0935w	Q4AE86
5833.MAL7P1.50	Q9XZ90
5833.PFI1475w	M1UZN8
5833.PFD1150c	Q8MWP1
5833.PF07_0037	Q9UA25
5833.PFD1000c	Q9XZA4
5833.PFB0305c.1	J7GNK9
5833.PFB0310c	Q70IF2
5833.MAL13P1.174	C5HE55
5833.MAL7P1.208	C5HXT8
5833.PF13_0348	C5HXV7
5833.PFL1710c	C5J0D1
5833.PFL1710c	C5J0D9
5833.PFE1640w	Q95VV4
5833.PFI1475w	A7LL90
5833.PFE1150w	G3LXS4
5833.PFE1150w	G3LXV9
5833.PFI1475w	Q56R33
5833.PFC0210c	Q8I9G0
5833.PFI1475w	A0SJH7
5833.PFI1475w	A0SJI7
5833.PFI1475w	A0SJM3
5833.PFI1475w	A0SJN5
5833.PF10_0347	C5HEG8
5833.PF10_0355	D9HNC4
5833.PF11_0344	D9MYA4
5833.MAL7P1.208	C4N8C9
5833.PFB0300c	E5F2Q5
5833.PFC0210c	Q5EIL4
5833.PF11_0344	Q9BHP1
5833.PF14_0495	B9A599
5833.PF11_0344	C5HWH9
5833.PFB0915w	Q8IFR1
5833.PF14_0260	I6Q104
5833.PF11_0344	M1VQ62
5833.PF13_0271	S5YCR7
5833.MAL7P1.208	C4N8C0
5833.MAL7P1.27	G8C454
5833.PFE1150w	H6V6K3
5833.PFC0571c.1	Q689C1
5833.PFB0300c	Q94665
5833.PFD0615c	Q9XZ89
5833.PFI1475w	D5LJ37
5833.PF13_0198	E5G980
5833.PF11_0344	M1VQB7
5833.PFB0915w	Q8IFS3
5833.PFI1475w	Q9UAI8
5833.PFD0830w	A0A060DBQ7
5833.PFB0300c	Q9BJP9
5833.PFE0395c	C5HDZ5
5833.PF11_0344	C5HWG9
5833.PFE0080c	C5HEW3
5833.PFC0210c	C6FGZ9
5833.PFI1475w	D5LIU3
5833.PFI1475w	D5LJ57
5833.PFI1475w	D5LJA5
5833.MAL13P1.63	A2ICF5
5833.PF11_0344	C5HWF6
5833.MAL7P1.208	C5HXR8
5833.PFA0310c	D3KCG7
5833.PFA0590w	D0QF03
5833.PF13_0019	D9IWH8
5833.PFE1150w	G3LXK9
5833.PFE1150w	Q0P151
5833.PF10_0356	Q25848
5833.PFI1475w	A0SJD8
5833.PFI1475w	A0SJG6
5833.PF10_0342	D9HN29
5833.PF11_0344	D9MYA3
5833.PFD0311w	Q5J7B5
5833.MAL13P1.60	Q967Z4
5833.PF10_0344	Q9U0R3
5833.PFI1475w	A0SJM9
5833.PFI1475w	D5LJ98
5833.PF11_0344	A0A089RQJ9
5833.PF13_0338	C5HXC7
5833.PF11_0298	Q9N9C8
5833.PF11_0344	I4CGE0
5833.PF13_0248	A8QVR3
5833.PFB0340c	I0IZF4
5833.PF13_0248	A8QVS2
5833.PFA0310c	I3QPI5
5833.PFI1475w	Q9TYG2
5833.PF11_0344	M1V190
5833.MAL13P1.176	Q7YWE6
5833.PFL1700c	Q9GT38
5833.PFE0120c	S5YCY1
5833.PFL1410c	S5YX13
5833.PFL2050w	A0FDU3
5833.PFC0210c	M1V9C9
5833.PF07_0037	O15801
5833.MAL7P1.231	Q25879
5833.PFI1475w	Q25728
5833.PFL0940c	Q9XZA0
5833.PF13_0198	E5G977
5833.PFC0210c	M1VPF8
5833.PF10_0345	Q0KGC1
5833.MAL13P1.60	Q105V5
5833.PFL2405c	Q26022
5833.PF11_0344	Q8I773
5833.PFD0830w	A0A060D2C0
5833.PFI1195c	Q14RW4
5833.MAL7P1.207	Q8IAJ8
5833.PF08_0110	Q8T324
5833.PF13_0191	C5HE90
5833.PFE1640w	D3GHY5
5833.PF13_0247	Q8TA21
5833.PF14_0627	Q9NFG6
5833.PF14_0761	Q9U8K3
5833.PF13_0238	A0A077H0B9
5833.PF13_0338	C5HX57
5833.PFI1475w	I2BJG1
5833.PFB0300c	Q9BJS1
5833.PF08_0107	Q9XZ84
5833.PF13_0238	A0A077GZ81
5833.MAL13P1.173	C5HE75
5833.PFL1710c	C5J0A2
5833.PF11_0344	R4QYF3
5833.MAL7P1.176	C0L3F4
5833.PF08_0095	C0J3L9
5833.PFB0585w	Q195H6
5833.PFC1060c	Q9GTW4
5833.PF13_0238	A0A077H094
5833.PFI1475w	I2BJF3
5833.PFI1475w	I2BJH8
5833.PFI1475w	I2BJJ4
5833.PFE0830c	Q963G6
5833.PF10_0344	Q9U0R6
5833.PFI1475w	E5F2W2
5833.PFL1410c	S5YJJ8
5833.MAL7P1.56	A7RCV4
5833.PFA0590w	D0QF05
5833.PFC0210c	I1ZBL2
5833.MAL7P1.176	Q58HL3
5833.PFE1150w	Q0P143
5833.PFI1475w	A0SJD3
5833.PF08_0095	C0J3M2
5833.PF13_0193	C5HER8
5833.PF13_0191	C5HE99
5833.PFD0955w	C5HEU7
5833.PF10_0345	I6M1T3
5833.PF11_0344	I6M1V7
5833.PFD1160w	D9HNL0
5833.PF13_0192	C5HEM6
5833.PF11_0344	C5IE67
5833.PF14_0102	I6M274
5833.PF10_0347	C5HEG5
5833.PF14_0455	Q25693
5833.PFD1160w	D9HNP1
5833.PFE0120c	Q964F7
5833.PFL1950w	S5AFV8
5833.PF11_0486	Q078Q7
5833.PFI1785w	B2BZB7
5833.PF10_0344	Q9U0R0
5833.PF10_0356	Q25852
5833.PF07_0006	Q9U3Y8
5833.PF11_0351	Q9GUX1
5833.PF10_0322	Q9Y1L5
5833.MAL7P1.27	G8C4A8
5833.PFE0420c	O61072
5833.PFI1475w	Q25978
5833.PFI1475w	D5LJ90
5833.PFI1475w	D5LJA8
5833.PFI1475w	D5LJH8
5833.PFI1475w	D5LJ18
5833.PFI1475w	D5LJG0
5833.PFI1475w	D5LJJ6
5833.PFI1475w	D5LIU6
5833.PFI1475w	D5LJG3
5833.PFI1475w	D5LJ86
5833.PFB0300c	L0BUQ8
5833.PF11_0344	A0A089RQL5
5833.PF13_0141	B9UDZ5
5833.PFB0340c	I0IZ21
5833.PFI1475w	M1UZL5
5833.PF10_0395	O96495
5833.PFD0830w	D3W856
5833.PFI1475w	M1VF80
5833.MAL13P1.304	Q25912
5833.PF10_0345	Q0KGC0
5833.PFF1580c	Q6S8Z8
5833.PFI1475w	Q70HG1
5833.MAL13P1.326	Q8IFR0
5833.PFI1830c	Q9XZ92
5833.PF08_0103	Q9XZA2
5833.PFB0480w	Q0ZAF1
5833.PFI1475w	Q70HF1
5833.PFI1475w	A7LLA7
5833.PFI1475w	C4PDY6
5833.PFE1150w	Q0P153
5833.PF10_0143	Q25778
5833.PFD1000c	Q6S8N6
5833.PFD0110w	Q8T8F2
5833.PF14_0102	Q9U430
5833.PFA0765c	Q9XZB3
5833.PFB0300c	E5F2V1
5833.PFI1475w	A0SJJ0
5833.PFD0100c	D9HNG2
5833.PFD0830w	I6M2E1
5833.PF10_0342	D9HN16
5833.PF11_0344	D9MXN6
5833.PF11_0344	D9MXW8
5833.PF13_0201	W8VZ16
5833.PF11_0486	Q078Q9
5833.PF11_0486	Q078R0
5833.MAL7P1.27	G8C514
5833.PFC1120c	O00916
5833.PFB0310c	Q58SU5
5833.PF10_0221	Q9BJX5
5833.PFI1730w	Q9GQ97
5833.PFI1475w	D5LIY9
5833.PFI1475w	D5LJ81
5833.PFI1475w	D5LJC8
5833.PFI1475w	D5LJL7
5833.PF10_0346	C6ZGE0
5833.PFL1410c	A7XLD6
5833.PFD0830w	Q5PZ17
5833.PFC0325c	Q689C5
5833.PFI1475w	M1UZK6
5833.PFI1475w	M1V918
5833.PF13_0198	E5G967
5833.PFI1475w	M1VNZ8
5833.PFI1445w	B0M0W1
5833.PFB0915w	Q8IFR2
5833.PFI0265c	Q8WQU2
5833.PFE1150w	A0A060CWQ8
5833.PFD0830w	A0A060DBT3
5833.PF11_0344	C5HWB9
5833.PFL1710c	C5J0D4
5833.MAL7P1.50	C4PF44
5833.PFE1150w	G3LXP2
5833.MAL8P1.69	O61132
5833.PFA0590w	D0QF18
5833.PFD0830w	D0QXK6
5833.PF08_0108	Q2KNW4
5833.PF11_0486	Q8T7Y1
5833.PF14_0425	Q9U6R2
5833.PF11_0344	Q9U4C2
5833.PF07_0004	D9HMS4
5833.PF11_0344	I6M1U6
5833.MAL7P1.176	I6M227
5833.MAL7P1.176	I6M252
5833.PF10_0348	C5HX41
5833.PF10_0342	D9HN19
5833.PFE1150w	R4K0I6
5833.PF11_0344	B2KKZ8
5833.PFF0995c	Q868U0
5833.PFF0995c	Q868U2
5833.PFI1475w	Q9BJU3
5833.PFB0310c	Q58SY5
5833.PF11_0344	Q967J6
5833.PFB0340c	P90575
5833.PFA0310c	I3QPI8
5833.PF13_0247	A8QVS3
5833.PFB0340c	I0IZC9
5833.PF11_0344	M1V177
5833.MAL7P1.229	B0M161
5833.PFA0310c	M9R2I3
5833.PFD0110w	Q8WRS6
5833.PFD0830w	A0A060D247
5833.PFA0590w	A0A076PUD8
5833.PF13_0238	A0A077GY37
5833.MAL13P1.174	C5HE58
5833.PF10_0323	C5HWU8
5833.PF13_0338	C5HXC9
5833.PFF0995c	J7GTY8
5833.PFB0340c	T1RTM5
5833.PF14_0211	Q9NFF8
5833.PF14_0053	Q9U428
5833.PF10_0001	Q9XZ95
5833.PF10_0352	C5HEJ8
5833.PF11_0344	C5IEW3
5833.PFC0210c	C5MK80
5833.PFC0210c	C6FH08
5833.PF10_0345	I6M1T7
5833.MAL7P1.176	I6M209
5833.PFD0830w	I6M2D9
5833.PF11_0344	C5IEY3
5833.PFL1710c	C5J0D2
5833.PF10_0342	D9HMZ3
5833.PF11_0344	D9MXZ0
5833.PFE1150w	R4JSC2
5833.PF11_0486	Q078R4
5833.MAL7P1.27	G8C4G6
5833.PFE1640w	Q8T348
5833.PFI1475w	D5LJ63
5833.MAL7P1.27	G8C4M5
5833.PFI1475w	Q86RD2
5833.PFI1475w	D5LJC5
5833.MAL13P1.60	A0A023ZYT2
5833.PFD1015c	F1DD44
5833.PF14_0697	A9CSR1
5833.PF14_0101	Q25782
5833.PFI1475w	Q9UAI6
5833.PFB0300c	E5F2N8
5833.PFI1475w	A0SJG2
5833.PFI1475w	A0SJJ9
5833.PF13_0176	Q964Q4
5833.MAL7P1.27	G8C518
5833.PFC1105w	Q9BMD1
5833.PFL0005w	Q9TY49
5833.PFE1150w	A0A060CSR3
5833.PFA0125c	Q6RKC0
5833.PF13_0238	A0A077H0C8
5833.MAL13P1.173	C5HE84
5833.PF11_0344	C5HWG7
5833.PF11_0344	R4QPA8
5833.PF13_0348	C5HEY2
5833.PFC0315c	Q86PR8
5833.PF11_0344	E9NLH9
5833.PF14_0102	B9VGF1
5833.PFA0125c	Q6RI90
5833.PF11_0461	Q26000
5833.PFC0210c	Q9U0P3
5833.PFI1475w	A0SJD9
5833.PFI1475w	E5FKY1
5833.PFE0120c	S5YJD3
5833.PF11_0344	D7GLT4
5833.PF11_0486	Q078Q3
5833.PFA0310c	E1CC02
5833.PF11_0344	I4CH80
5833.PFD0830w	A0A060DAZ2
5833.PF11_0344	I4CGE9
5833.PF11_0344	I4CGW0
5833.PFA0090c	O96469
5833.PFD0830w	Q5PZ25
5833.PFL1410c	S5ZF04
5833.PF11_0344	M1VQ61
5833.PF13_0197	Q000Q2
5833.PF11_0111	Q25769
5833.PF13_0198	E5G972
5833.PFB0340c	I0IYW2
5833.PFB0340c	I0IZ25
5833.PFB0340c	I0IZJ8
5833.PFE1150w	S5YCH2
5833.PFE1150w	S5YWF1
5833.PFE0120c	S5YWV5
5833.PF11_0344	I4CFX6
5833.MAL13P1.176	Q8T8F0
5833.PFD0020c	A7RD00
5833.PF11_0344	I4CGZ4
5833.PF11_0344	I4CH59
5833.PF08_0095	Q5PZ16
5833.PFB0340c	I0IYZ0
5833.PFB0340c	I0IZI3
5833.PFB0340c	I0IZ05
5833.PF11_0344	M1VGX2
5833.PFA0200w	M1EUE6
5833.PF11_0344	Q967J0
5833.PFL0935c	Q9XZ88
5833.PFL1435c	Q967M4
5833.MAL7P1.229	A0A060N0N4
5833.PFI1475w	Q0GM54
5833.PFL2070w	Q0ZAF2
5833.PF14_0102	Q26003
5833.PFB0310c	Q8T7S9
5833.PFI1475w	M1UZL0
5833.PFI1475w	M1VF00
5833.PFB0935w	B0M0Y6
5833.PF10_0345	Q0KGE0
5833.PF10_0344	Q9U0Q7
5833.PFE1150w	A0A060CSQ5
5833.PF10_0345	Q0KGD6
5833.PF10_0159	Q25767
5833.PFI1475w	Q70HF0
5833.PF11_0521	C4PFE5
5833.PF14_0201	C5HDY8
5833.PF11_0344	C5HWC4
5833.PF13_0197	C5HWQ4
5833.PF13_0338	C5HX98
