10116.ENSRNOP00000016981	P35213
10116.ENSRNOP00000011438	B5DFJ1
10116.ENSRNOP00000012519	D3ZCN1
10116.ENSRNOP00000062956	D3ZFD2
10116.ENSRNOP00000012407	D3ZG56
10116.ENSRNOP00000010018	D3ZPD8
10116.ENSRNOP00000025554	D3ZXL5
10116.ENSRNOP00000006175	D3ZYS4
10116.ENSRNOP00000002779	D4A109
10116.ENSRNOP00000047416	D4A3D4
10116.ENSRNOP00000030637	D4A919
10116.ENSRNOP00000045319	D4AB20
10116.ENSRNOP00000021015	D4AC37
10116.ENSRNOP00000019862	F1LS86
10116.ENSRNOP00000013562	G3V7B4
10116.ENSRNOP00000013618	G3V7B9
10116.ENSRNOP00000023751	G3V898
10116.ENSRNOP00000048448	G3V9I5
10116.ENSRNOP00000061074	Q4KM55
10116.ENSRNOP00000033120	Q5FVT1
10116.ENSRNOP00000013446	Q5U2V2
10116.ENSRNOP00000048754	Q5XI44
10116.ENSRNOP00000024353	Q5XIA7
10116.ENSRNOP00000014725	Q5XIP2
10116.ENSRNOP00000011828	Q6AZ42
10116.ENSRNOP00000001556	Q6IMX3
10116.ENSRNOP00000018420	Q6P6X2
10116.ENSRNOP00000062361	Q6V7V4
10116.ENSRNOP00000011936	Q8VI79
10116.ENSRNOP00000066404	B0BMZ5
10116.ENSRNOP00000016893	B4F789
10116.ENSRNOP00000022987	D3Z914
10116.ENSRNOP00000022130	D3ZKX3
10116.ENSRNOP00000048012	D3ZM79
10116.ENSRNOP00000047573	D3ZSV9
10116.ENSRNOP00000032150	D3ZTW5
10116.ENSRNOP00000037064	D3ZZ04
10116.ENSRNOP00000044610	D3ZZ87
10116.ENSRNOP00000028725	D3ZZR9
10116.ENSRNOP00000047264	D4A0M2
10116.ENSRNOP00000021866	D4A1D5
10116.ENSRNOP00000026915	D4A4U2
10116.ENSRNOP00000038451	D4ABA6
10116.ENSRNOP00000002974	E9PT19
10116.ENSRNOP00000019320	G3V7U2
10116.ENSRNOP00000005367	I7LRF5
10116.ENSRNOP00000067415	M0RAB7
10116.ENSRNOP00000039376	O70149
10116.ENSRNOP00000021694	Q4KLZ0
10116.ENSRNOP00000046549	Q4KM08
10116.ENSRNOP00000062814	Q5DT39
10116.ENSRNOP00000033014	Q5J3E1
10116.ENSRNOP00000000552	Q6MGC3
10116.ENSRNOP00000029151	Q6T5D9
10116.ENSRNOP00000008772	Q9JLY8
10116.ENSRNOP00000005284	Q9Z0M0
10116.ENSRNOP00000031520	B0BNK1
10116.ENSRNOP00000005939	B6ID09
10116.ENSRNOP00000022952	D3Z980
10116.ENSRNOP00000062984	D3ZEU5
10116.ENSRNOP00000037831	D3ZHR8
10116.ENSRNOP00000020957	D3ZID3
10116.ENSRNOP00000003439	D3ZK25
10116.ENSRNOP00000058217	D3ZNR0
10116.ENSRNOP00000004677	D3ZSH1
10116.ENSRNOP00000025430	D3ZTN3
10116.ENSRNOP00000006470	D3ZVS5
10116.ENSRNOP00000020410	D3ZYW8
10116.ENSRNOP00000052853	D4A2A3
10116.ENSRNOP00000009359	D4A3T0
10116.ENSRNOP00000061141	D4A9H6
10116.ENSRNOP00000026281	D4A9M9
10116.ENSRNOP00000066613	D4AAE9
10116.ENSRNOP00000021669	D4AAS1
10116.ENSRNOP00000002140	D4ACE4
10116.ENSRNOP00000014053	D4AE08
10116.ENSRNOP00000018644	F7F189
10116.ENSRNOP00000011416	G3V737
10116.ENSRNOP00000020388	G3V7X6
10116.ENSRNOP00000026908	G3V8M4
10116.ENSRNOP00000032622	G3V908
10116.ENSRNOP00000051270	G3V9K8
10116.ENSRNOP00000062227	G3V9X4
10116.ENSRNOP00000064852	M0R615
10116.ENSRNOP00000066178	M0R9K7
10116.ENSRNOP00000067626	M0RDC8
10116.ENSRNOP00000015482	Q1LZ51
10116.ENSRNOP00000006843	Q4FZU5
10116.ENSRNOP00000029913	Q56A26
10116.ENSRNOP00000065968	Q5USB7
10116.ENSRNOP00000066013	Q64165
10116.ENSRNOP00000015687	Q66HL7
10116.ENSRNOP00000020795	Q6P6T9
10116.ENSRNOP00000015188	Q71B06
10116.ENSRNOP00000027749	A9UMW0
10116.ENSRNOP00000002522	B2GUV8
10116.ENSRNOP00000066478	B2GUW2
10116.ENSRNOP00000027963	B2RYM1
10116.ENSRNOP00000008557	B2RYP6
10116.ENSRNOP00000016100	B2RZ84
10116.ENSRNOP00000018689	B5DEF8
10116.ENSRNOP00000030360	B5DF67
10116.ENSRNOP00000008149	B5DFE2
10116.ENSRNOP00000053848	B5DFL2
10116.ENSRNOP00000062405	D3Z8D3
10116.ENSRNOP00000039488	D3ZH40
10116.ENSRNOP00000027478	D3ZH75
10116.ENSRNOP00000053046	D3ZHU5
10116.ENSRNOP00000041856	D3ZMW8
10116.ENSRNOP00000025933	D3ZPY2
10116.ENSRNOP00000059684	D3ZTB0
10116.ENSRNOP00000051656	D3ZWG9
10116.ENSRNOP00000065668	D3ZXL9
10116.ENSRNOP00000014767	D4A0Z9
10116.ENSRNOP00000047139	D4A704
10116.ENSRNOP00000007675	D4A9I5
10116.ENSRNOP00000038479	D4AB91
10116.ENSRNOP00000033034	D4ABZ7
10116.ENSRNOP00000024993	D4ACF1
10116.ENSRNOP00000040177	D4ACV3
10116.ENSRNOP00000010183	F1LPA6
10116.ENSRNOP00000003535	F1LYE0
10116.ENSRNOP00000008403	G3V6S7
10116.ENSRNOP00000067422	G3V8B3
10116.ENSRNOP00000045638	G3V9F5
10116.ENSRNOP00000066106	M0R490
10116.ENSRNOP00000066166	M0R9J6
10116.ENSRNOP00000005909	O55158
10116.ENSRNOP00000002138	Q499Q7
10116.ENSRNOP00000053707	Q5BK44
10116.ENSRNOP00000013851	Q5BK72
10116.ENSRNOP00000054845	Q66HS9
10116.ENSRNOP00000011651	Q6AZ05
10116.ENSRNOP00000042748	Q6QI77
10116.ENSRNOP00000024487	Q6V9V9
10116.ENSRNOP00000035110	Q8BHI5
10116.ENSRNOP00000018556	Q8VIE3
10116.ENSRNOP00000012346	A9UMW1
10116.ENSRNOP00000021136	B1WCA3
10116.ENSRNOP00000064773	A0A096MJB0
10116.ENSRNOP00000028671	B2RYE3
10116.ENSRNOP00000002418	B2RZ35
10116.ENSRNOP00000011405	B2RZA1
10116.ENSRNOP00000008929	D3ZAM6
10116.ENSRNOP00000048573	D3ZB20
10116.ENSRNOP00000062329	D3ZCV6
10116.ENSRNOP00000000713	D3ZDM6
10116.ENSRNOP00000041515	D3ZHA7
10116.ENSRNOP00000010241	D3ZPP6
10116.ENSRNOP00000010473	D3ZQ50
10116.ENSRNOP00000051437	D3ZW36
10116.ENSRNOP00000032080	D3ZW66
10116.ENSRNOP00000051885	D3ZWF2
10116.ENSRNOP00000044630	D3ZYR7
10116.ENSRNOP00000059211	D4A2W7
10116.ENSRNOP00000016068	D4A4N9
10116.ENSRNOP00000004026	D4A5T8
10116.ENSRNOP00000011572	D4A7D4
10116.ENSRNOP00000026204	D4AA65
10116.ENSRNOP00000046270	F1LNQ7
10116.ENSRNOP00000056382	F1LQQ5
10116.ENSRNOP00000065425	F1LX67
10116.ENSRNOP00000022445	F1LYA4
10116.ENSRNOP00000009084	F1M4U7
10116.ENSRNOP00000001409	G3V640
10116.ENSRNOP00000010536	G3V705
10116.ENSRNOP00000011086	G3V726
10116.ENSRNOP00000039202	G3V985
10116.ENSRNOP00000044069	G3V9E7
10116.ENSRNOP00000067236	M0R720
10116.ENSRNOP00000067026	M0RBS9
10116.ENSRNOP00000067853	Q32ZG6
10116.ENSRNOP00000013629	Q3ZB97
10116.ENSRNOP00000001890	Q4KLG1
10116.ENSRNOP00000013045	Q5M8C3
10116.ENSRNOP00000047984	Q5XIT5
10116.ENSRNOP00000037290	Q6AXP7
10116.ENSRNOP00000023845	Q6AYB0
10116.ENSRNOP00000047761	Q6TUF5
10116.ENSRNOP00000063931	Q7TP13
10116.ENSRNOP00000047788	Q924M0
10116.ENSRNOP00000019748	Q9WVP7
10116.ENSRNOP00000017453	A0A097BW25
10116.ENSRNOP00000017323	B5DEJ5
10116.ENSRNOP00000026708	B5DEX9
10116.ENSRNOP00000003026	D3ZHE1
10116.ENSRNOP00000003017	D3ZHF8
10116.ENSRNOP00000020880	D3ZJ15
10116.ENSRNOP00000041902	D3ZKH8
10116.ENSRNOP00000060254	D3ZR39
10116.ENSRNOP00000063949	D3ZS41
10116.ENSRNOP00000013604	D3ZUP4
10116.ENSRNOP00000035000	D4A3M4
10116.ENSRNOP00000066225	D4ACK5
10116.ENSRNOP00000058939	F7EXF4
10116.ENSRNOP00000067726	M0RDM1
10116.ENSRNOP00000003265	Q4KLJ2
10116.ENSRNOP00000021502	Q4V8E1
10116.ENSRNOP00000046600	Q6TUH8
10116.ENSRNOP00000064384	B0BNJ0
10116.ENSRNOP00000051080	B2GUY9
10116.ENSRNOP00000043441	D3ZC84
10116.ENSRNOP00000003280	D3ZHA6
10116.ENSRNOP00000020982	D3ZI84
10116.ENSRNOP00000025716	D3ZIQ9
10116.ENSRNOP00000060904	D3ZQ33
10116.ENSRNOP00000053327	D3ZQB5
10116.ENSRNOP00000051645	D3ZWI9
10116.ENSRNOP00000056469	D3ZXP3
10116.ENSRNOP00000024992	D4ACF2
10116.ENSRNOP00000067765	D4ACG8
10116.ENSRNOP00000052154	D4ACK0
10116.ENSRNOP00000012940	G3V781
10116.ENSRNOP00000038714	G3V979
10116.ENSRNOP00000066614	M0R8P7
10116.ENSRNOP00000014273	Q3KR76
10116.ENSRNOP00000017165	Q5I0I1
10116.ENSRNOP00000040215	Q5M816
10116.ENSRNOP00000026775	Q66HC6
10116.ENSRNOP00000004895	A0JN30
10116.ENSRNOP00000007428	A2VD07
10116.ENSRNOP00000004161	B2RYK2
10116.ENSRNOP00000049877	B3EY86
10116.ENSRNOP00000064140	B5DFF4
10116.ENSRNOP00000064536	D3ZEP2
10116.ENSRNOP00000055332	D3ZF53
10116.ENSRNOP00000031171	D3ZF72
10116.ENSRNOP00000018987	D3ZHE7
10116.ENSRNOP00000051044	D3ZS20
10116.ENSRNOP00000063900	D3ZU20
10116.ENSRNOP00000013621	D3ZUN1
10116.ENSRNOP00000056531	D3ZUQ7
10116.ENSRNOP00000045105	D3ZW68
10116.ENSRNOP00000063344	D3ZYX8
10116.ENSRNOP00000059432	D4A2P1
10116.ENSRNOP00000061907	D4A3Q2
10116.ENSRNOP00000023652	D4A3S0
10116.ENSRNOP00000002960	D4A4V3
10116.ENSRNOP00000021316	D4ABF6
10116.ENSRNOP00000057423	D4AE50
10116.ENSRNOP00000020123	F1LR60
10116.ENSRNOP00000025228	F1M298
10116.ENSRNOP00000038791	F1M661
10116.ENSRNOP00000000701	G3V619
10116.ENSRNOP00000001730	G3V653
10116.ENSRNOP00000008857	G3V6U1
10116.ENSRNOP00000012170	G3V754
10116.ENSRNOP00000020908	G3V7Z3
10116.ENSRNOP00000022383	G3V851
10116.ENSRNOP00000027943	G3V8R7
10116.ENSRNOP00000030329	G3V8Y1
10116.ENSRNOP00000041564	G3V9B6
10116.ENSRNOP00000041634	G3V9B7
10116.ENSRNOP00000038526	H9BFG8
10116.ENSRNOP00000029527	M0RAX0
10116.ENSRNOP00000067729	M0RDM4
10116.ENSRNOP00000045035	Q4KM28
10116.ENSRNOP00000000101	Q4KM44
10116.ENSRNOP00000039386	Q505I9
10116.ENSRNOP00000021534	Q5BJZ9
10116.ENSRNOP00000023036	Q5FVN9
10116.ENSRNOP00000032580	Q5GH58
10116.ENSRNOP00000026595	Q5RKI2
10116.ENSRNOP00000020729	Q5U1X4
10116.ENSRNOP00000052816	Q5U311
10116.ENSRNOP00000046654	Q63093
10116.ENSRNOP00000010083	Q6AY24
10116.ENSRNOP00000016401	Q6AYC0
10116.ENSRNOP00000019848	Q6AYE0
10116.ENSRNOP00000058256	Q6AYL3
10116.ENSRNOP00000030883	Q6AYN1
10116.ENSRNOP00000016622	Q6ZYN8
10116.ENSRNOP00000011485	Q7TPB7
10116.ENSRNOP00000046414	Q8SEZ5
10116.ENSRNOP00000024966	B1WC06
10116.ENSRNOP00000006436	B5DEF7
10116.ENSRNOP00000012995	B5DEN8
10116.ENSRNOP00000052061	D3ZAA9
10116.ENSRNOP00000005685	D3ZC02
10116.ENSRNOP00000003979	D3ZEQ6
10116.ENSRNOP00000039199	D3ZLE3
10116.ENSRNOP00000053152	D3ZPW6
10116.ENSRNOP00000018758	D3ZR46
10116.ENSRNOP00000060919	D3ZU74
10116.ENSRNOP00000025512	D3ZY47
10116.ENSRNOP00000059604	D4A374
10116.ENSRNOP00000011484	D4A3V2
10116.ENSRNOP00000009202	D4A7X5
10116.ENSRNOP00000028388	D4A8E5
10116.ENSRNOP00000004199	D4A8L4
10116.ENSRNOP00000057187	D4AE36
10116.ENSRNOP00000011780	F1M107
10116.ENSRNOP00000043148	F2W8B0
10116.ENSRNOP00000037966	F7EYN3
10116.ENSRNOP00000065830	G3V6N4
10116.ENSRNOP00000013071	G3V785
10116.ENSRNOP00000032871	G3V911
10116.ENSRNOP00000066048	M0R617
10116.ENSRNOP00000017746	Q561K3
10116.ENSRNOP00000026932	Q5XIW0
10116.ENSRNOP00000029867	Q6MFZ2
10116.ENSRNOP00000003999	Q6P722
10116.ENSRNOP00000046845	Q6QI67
10116.ENSRNOP00000011309	Q9WUY6
10116.ENSRNOP00000012036	B1H249
10116.ENSRNOP00000017722	B2GV96
10116.ENSRNOP00000051799	B2RYN1
10116.ENSRNOP00000012864	D3ZAT3
10116.ENSRNOP00000062865	D3ZB14
10116.ENSRNOP00000012217	D3ZF18
10116.ENSRNOP00000018512	D3ZJA2
10116.ENSRNOP00000022141	D3ZKW5
10116.ENSRNOP00000027574	D3ZMW5
10116.ENSRNOP00000063005	D3ZS47
10116.ENSRNOP00000028527	D3ZT85
10116.ENSRNOP00000067565	D3ZUE1
10116.ENSRNOP00000019489	D4A212
10116.ENSRNOP00000019824	D4A2Z8
10116.ENSRNOP00000038889	D4A6K9
10116.ENSRNOP00000055594	E9PTQ0
10116.ENSRNOP00000022900	F7EXV6
10116.ENSRNOP00000006676	G3V6M6
10116.ENSRNOP00000013238	G3V796
10116.ENSRNOP00000011894	G3V9L2
10116.ENSRNOP00000067680	M0RDD9
10116.ENSRNOP00000058398	Q1XIH4
10116.ENSRNOP00000066002	Q6P7A7
10116.ENSRNOP00000018416	Q76IJ9
10116.ENSRNOP00000024624	Q7TP03
10116.ENSRNOP00000065989	Q811R1
10116.ENSRNOP00000039725	Q8SEZ1
10116.ENSRNOP00000002938	A0JPM6
10116.ENSRNOP00000010414	B2RYQ1
10116.ENSRNOP00000061313	B5DEH9
10116.ENSRNOP00000015831	D3Z8L5
10116.ENSRNOP00000058950	D3Z8T8
10116.ENSRNOP00000000785	D3ZD36
10116.ENSRNOP00000024602	D3ZGL6
10116.ENSRNOP00000001856	D3ZHY9
10116.ENSRNOP00000015684	D3ZJZ0
10116.ENSRNOP00000034368	D3ZKA0
10116.ENSRNOP00000010707	D3ZMB4
10116.ENSRNOP00000034273	D3ZNQ5
10116.ENSRNOP00000058603	D3ZQ07
10116.ENSRNOP00000046614	D3ZQ42
10116.ENSRNOP00000060490	D3ZR02
10116.ENSRNOP00000060235	D3ZR58
10116.ENSRNOP00000001279	D3ZRG9
10116.ENSRNOP00000028546	D3ZT64
10116.ENSRNOP00000012667	D3ZTN7
10116.ENSRNOP00000001218	D3ZTS1
10116.ENSRNOP00000032546	D3ZUU0
10116.ENSRNOP00000063161	D3ZY19
10116.ENSRNOP00000001540	D3ZY65
10116.ENSRNOP00000020609	D3ZZU4
10116.ENSRNOP00000051558	D3ZZX9
10116.ENSRNOP00000026612	D4A1W5
10116.ENSRNOP00000028493	D4A4C7
10116.ENSRNOP00000030546	D4A520
10116.ENSRNOP00000061606	D4A6X1
10116.ENSRNOP00000030496	D4A815
10116.ENSRNOP00000019690	D4A8W2
10116.ENSRNOP00000002517	D4AA00
10116.ENSRNOP00000042447	F1M6I7
10116.ENSRNOP00000001122	G3V630
10116.ENSRNOP00000013705	G3V7C3
10116.ENSRNOP00000027337	G3V8P8
10116.ENSRNOP00000028217	G3V8T5
10116.ENSRNOP00000065454	M0R579
10116.ENSRNOP00000006200	O35370
10116.ENSRNOP00000056183	Q2M1K7
10116.ENSRNOP00000025308	Q5BKA0
10116.ENSRNOP00000002134	Q5U1Z9
10116.ENSRNOP00000050866	Q5XHX3
10116.ENSRNOP00000032411	Q66HE0
10116.ENSRNOP00000001675	Q6AY48
10116.ENSRNOP00000019477	Q6IFU9
10116.ENSRNOP00000065834	Q9JJH9
10116.ENSRNOP00000066326	A0JPI5
10116.ENSRNOP00000005794	B0BN98
10116.ENSRNOP00000038167	B0K009
10116.ENSRNOP00000016163	B1H2A6
10116.ENSRNOP00000024197	B1WBV3
10116.ENSRNOP00000010580	B2RYD8
10116.ENSRNOP00000062192	B2RYR4
10116.ENSRNOP00000011406	B5DF98
10116.ENSRNOP00000017370	B5DFI9
10116.ENSRNOP00000015821	D3Z8P1
10116.ENSRNOP00000055235	D3ZBB3
10116.ENSRNOP00000064637	D3ZCQ3
10116.ENSRNOP00000024473	D3ZF11
10116.ENSRNOP00000008786	D3ZFW6
10116.ENSRNOP00000050215	D3ZGY1
10116.ENSRNOP00000060019	D3ZJ81
10116.ENSRNOP00000018852	D3ZMR0
10116.ENSRNOP00000054907	D3ZSE3
10116.ENSRNOP00000025453	D3ZTM1
10116.ENSRNOP00000004939	D3ZTY0
10116.ENSRNOP00000063253	D3ZUI9
10116.ENSRNOP00000018497	D3ZV70
10116.ENSRNOP00000051838	D3ZXH7
10116.ENSRNOP00000001337	D3ZXN7
10116.ENSRNOP00000063163	D3ZY17
10116.ENSRNOP00000004758	D4A082
10116.ENSRNOP00000019561	D4A1B8
10116.ENSRNOP00000047251	D4A2T7
10116.ENSRNOP00000011694	D4A3R0
10116.ENSRNOP00000023637	D4A3T5
10116.ENSRNOP00000035405	D4A3X3
10116.ENSRNOP00000011549	D4A7V3
10116.ENSRNOP00000026262	D4A9P8
10116.ENSRNOP00000026385	D4AD33
10116.ENSRNOP00000021264	D4AD71
10116.ENSRNOP00000029990	D4AE26
10116.ENSRNOP00000029331	E9PTP3
10116.ENSRNOP00000055060	F1LW26
10116.ENSRNOP00000004387	F1M4V3
10116.ENSRNOP00000000203	G3V608
10116.ENSRNOP00000000718	G3V621
10116.ENSRNOP00000022095	G3V836
10116.ENSRNOP00000051987	G3V9L1
10116.ENSRNOP00000061649	G3V9W2
10116.ENSRNOP00000065120	M0R6R5
10116.ENSRNOP00000065906	M0R8V1
10116.ENSRNOP00000067247	M0RCD3
10116.ENSRNOP00000020280	Q497A7
10116.ENSRNOP00000034118	Q4QQV4
10116.ENSRNOP00000017720	Q4V8G6
10116.ENSRNOP00000017004	Q4V8P4
10116.ENSRNOP00000001566	Q5BJP1
10116.ENSRNOP00000006753	Q5RKI5
10116.ENSRNOP00000023385	Q5RKK3
10116.ENSRNOP00000025952	Q6AY68
10116.ENSRNOP00000065506	Q6MFX6
10116.ENSRNOP00000057707	Q6XCE7
10116.ENSRNOP00000016254	Q7TP01
10116.ENSRNOP00000026866	Q8R5L5
10116.ENSRNOP00000048511	A0A096UWG1
10116.ENSRNOP00000028780	A0A0B4J2J0
10116.ENSRNOP00000059125	A2VD16
10116.ENSRNOP00000066102	B0BN99
10116.ENSRNOP00000044233	B1H216
10116.ENSRNOP00000066206	B1WBZ4
10116.ENSRNOP00000056879	B2RZB8
10116.ENSRNOP00000067545	B4F7D8
10116.ENSRNOP00000004845	B4F7F0
10116.ENSRNOP00000013343	B5DEL4
10116.ENSRNOP00000028698	B5DF44
10116.ENSRNOP00000008656	D3Z998
10116.ENSRNOP00000062056	D3Z9Z0
10116.ENSRNOP00000017666	D3ZBZ9
10116.ENSRNOP00000060864	D3ZKL1
10116.ENSRNOP00000053698	D3ZLU6
10116.ENSRNOP00000018890	D3ZM27
10116.ENSRNOP00000060333	D3ZMS2
10116.ENSRNOP00000018781	D3ZR22
10116.ENSRNOP00000059676	D3ZTC9
10116.ENSRNOP00000051732	D3ZTJ7
10116.ENSRNOP00000059958	D3ZXB1
10116.ENSRNOP00000028096	D4A435
10116.ENSRNOP00000030740	D4A4Y5
10116.ENSRNOP00000007796	D4A5Z8
10116.ENSRNOP00000014812	D4A7T8
10116.ENSRNOP00000057330	D4AAL6
10116.ENSRNOP00000045516	D4ACM5
10116.ENSRNOP00000029718	D4ADE4
10116.ENSRNOP00000052303	D4ADZ2
10116.ENSRNOP00000018237	D4AEB2
10116.ENSRNOP00000012235	F1LPX8
10116.ENSRNOP00000004559	F1M1M6
10116.ENSRNOP00000029910	F1M8D5
10116.ENSRNOP00000067184	F1M8E2
10116.ENSRNOP00000023060	F7FL00
10116.ENSRNOP00000007498	G3V6Q6
10116.ENSRNOP00000019637	G3V7V8
10116.ENSRNOP00000022221	G3V842
10116.ENSRNOP00000022823	G3V870
10116.ENSRNOP00000024932	G3V8D9
10116.ENSRNOP00000050164	G3V9J9
10116.ENSRNOP00000052391	G3V9M1
10116.ENSRNOP00000066015	M0R5I3
10116.ENSRNOP00000065440	M0R7K8
10116.ENSRNOP00000062055	M0RBE2
10116.ENSRNOP00000064924	O35268
10116.ENSRNOP00000016986	Q3KR85
10116.ENSRNOP00000052446	Q3KRD6
10116.ENSRNOP00000016854	Q499R6
10116.ENSRNOP00000004403	Q4V7G0
10116.ENSRNOP00000038231	Q505J7
10116.ENSRNOP00000067353	Q566Q9
10116.ENSRNOP00000040072	Q5J3I6
10116.ENSRNOP00000059898	Q5U2T5
10116.ENSRNOP00000063771	Q66H18
10116.ENSRNOP00000015836	Q66HI4
10116.ENSRNOP00000011237	Q6IMX4
10116.ENSRNOP00000010610	Q6P755
10116.ENSRNOP00000020216	Q9R175
10116.ENSRNOP00000019070	B0BNG5
10116.ENSRNOP00000004314	B0BNG7
10116.ENSRNOP00000010806	B1H269
10116.ENSRNOP00000031351	B1WC85
10116.ENSRNOP00000047382	B2RYN9
10116.ENSRNOP00000032608	B6ID11
10116.ENSRNOP00000036068	D3ZCW1
10116.ENSRNOP00000050332	D3ZCZ0
10116.ENSRNOP00000015225	D3ZHC4
10116.ENSRNOP00000003495	D3ZJI7
10116.ENSRNOP00000015166	D3ZMK9
10116.ENSRNOP00000016683	D3ZSD7
10116.ENSRNOP00000032088	D3ZW64
10116.ENSRNOP00000063546	D3ZZF8
10116.ENSRNOP00000059897	D4A084
10116.ENSRNOP00000007610	D4A0W2
10116.ENSRNOP00000019487	D4A213
10116.ENSRNOP00000009180	D4A3D3
10116.ENSRNOP00000002241	D4AAH8
10116.ENSRNOP00000014125	D4ACD5
10116.ENSRNOP00000058842	F1LP01
10116.ENSRNOP00000014036	G3V7E0
10116.ENSRNOP00000064054	M0R3Y0
10116.ENSRNOP00000066589	M0RAN7
10116.ENSRNOP00000042054	Q5J3N3
10116.ENSRNOP00000001499	Q66HE3
10116.ENSRNOP00000046014	Q6AYB8
10116.ENSRNOP00000061436	Q9WUB8
10116.ENSRNOP00000017670	A0A0A0MXX3
10116.ENSRNOP00000051352	B2RYP4
10116.ENSRNOP00000007567	B2RZD6
10116.ENSRNOP00000024587	D3ZC16
10116.ENSRNOP00000008886	D3ZCC3
10116.ENSRNOP00000024440	D3ZFK8
10116.ENSRNOP00000018528	D3ZJ84
10116.ENSRNOP00000034339	D3ZKT8
10116.ENSRNOP00000010786	D3ZLQ8
10116.ENSRNOP00000060223	D3ZR64
10116.ENSRNOP00000009436	D3ZSX9
10116.ENSRNOP00000054851	D3ZT16
10116.ENSRNOP00000013481	D3ZTL8
10116.ENSRNOP00000051288	D3ZUI0
10116.ENSRNOP00000059415	D4A2S0
10116.ENSRNOP00000035275	D4A2U6
10116.ENSRNOP00000023358	D4A7F1
10116.ENSRNOP00000035320	D4A7F5
10116.ENSRNOP00000011557	D4A7U6
10116.ENSRNOP00000019379	D4AAE7
10116.ENSRNOP00000057375	D4AAI7
10116.ENSRNOP00000007336	D4AAU9
10116.ENSRNOP00000014198	D4ABX3
10116.ENSRNOP00000052100	D4ACZ7
10116.ENSRNOP00000029702	D4ADE8
10116.ENSRNOP00000025687	F1LNG5
10116.ENSRNOP00000010283	F1LYY7
10116.ENSRNOP00000012306	G3V762
10116.ENSRNOP00000013936	G3V7D0
10116.ENSRNOP00000017060	G3V7N9
10116.ENSRNOP00000026211	G3V8I2
10116.ENSRNOP00000028360	G3V8U2
10116.ENSRNOP00000039227	G3V986
10116.ENSRNOP00000042306	M0R4T3
10116.ENSRNOP00000067459	M0RCX2
10116.ENSRNOP00000067584	M0RD87
10116.ENSRNOP00000006168	O70188
10116.ENSRNOP00000013111	Q4QR78
10116.ENSRNOP00000014033	Q5RKG9
10116.ENSRNOP00000041562	Q5UD32
10116.ENSRNOP00000000168	Q5XHZ8
10116.ENSRNOP00000001475	Q66MH4
10116.ENSRNOP00000047831	Q672J3
10116.ENSRNOP00000009635	Q6P7B6
10116.ENSRNOP00000053121	Q6PCU4
10116.ENSRNOP00000044105	Q7TPJ8
10116.ENSRNOP00000045630	Q99JC6
10116.ENSRNOP00000020432	B0BN88
10116.ENSRNOP00000041785	B1WC05
10116.ENSRNOP00000022905	B3VQM3
10116.ENSRNOP00000055005	D3Z8N0
10116.ENSRNOP00000008612	D3Z9E6
10116.ENSRNOP00000036100	D3ZAQ1
10116.ENSRNOP00000062854	D3ZBG8
10116.ENSRNOP00000062386	D3ZBU8
10116.ENSRNOP00000031623	D3ZDS0
10116.ENSRNOP00000017532	D3ZES9
10116.ENSRNOP00000022462	D3ZPN5
10116.ENSRNOP00000044153	D3ZRK0
10116.ENSRNOP00000035714	D3ZSW2
10116.ENSRNOP00000020069	D3ZWT6
10116.ENSRNOP00000021740	D4A257
10116.ENSRNOP00000016032	D4A584
10116.ENSRNOP00000023335	D4A7G7
10116.ENSRNOP00000021131	D4AA74
10116.ENSRNOP00000002036	D4AE88
10116.ENSRNOP00000017955	D4AEK7
10116.ENSRNOP00000051143	F1M016
10116.ENSRNOP00000016130	F1SW39
10116.ENSRNOP00000022534	G3V859
10116.ENSRNOP00000024186	G3V8B0
10116.ENSRNOP00000057915	G3V9S4
10116.ENSRNOP00000066259	M0R9S8
10116.ENSRNOP00000026351	Q3MID4
10116.ENSRNOP00000020452	Q499S1
10116.ENSRNOP00000051747	Q4QQV6
10116.ENSRNOP00000038728	Q5XHY0
10116.ENSRNOP00000030833	B1WBV7
10116.ENSRNOP00000066181	B2RYX0
10116.ENSRNOP00000005943	B2RZB0
10116.ENSRNOP00000015792	B5DF24
10116.ENSRNOP00000027441	B5DFF9
10116.ENSRNOP00000064251	B8ZHC9
10116.ENSRNOP00000005213	D3Z885
10116.ENSRNOP00000058878	D3Z9N3
10116.ENSRNOP00000017453	D3ZAF5
10116.ENSRNOP00000024018	D3ZDJ4
10116.ENSRNOP00000003931	D3ZF99
10116.ENSRNOP00000017047	D3ZFS3
10116.ENSRNOP00000015130	D3ZMN2
10116.ENSRNOP00000067704	D4A0G4
10116.ENSRNOP00000007862	D4A0R7
10116.ENSRNOP00000014546	D4A2H2
10116.ENSRNOP00000023215	D4A414
10116.ENSRNOP00000011586	D4A7C3
10116.ENSRNOP00000005899	D4AB36
10116.ENSRNOP00000008798	G3V6T8
10116.ENSRNOP00000026224	G3V8I4
10116.ENSRNOP00000036154	G3V954
10116.ENSRNOP00000067560	M0RD63
10116.ENSRNOP00000066116	Q5XIJ0
10116.ENSRNOP00000042601	Q6IE22
10116.ENSRNOP00000025845	Q6IMY6
10116.ENSRNOP00000044241	Q6QI90
10116.ENSRNOP00000065158	Q6T5E7
10116.ENSRNOP00000043659	Q6W9J5
10116.ENSRNOP00000059984	A0A096MJ78
