226186.BT_3693	Q8A1G8
226186.BT_2540	Q8A4Q7
226186.BT_2336	Q8A5A3
226186.BT_2148	Q8A5U0
226186.BT_1981	Q8A6A4
226186.BT_1818	Q8A6Q8
226186.BT_1661	Q8A764
226186.BT_1639	Q8A786
226186.BT_1527	Q8A7J7
226186.BT_1403	Q8A7X1
226186.BT_1385	Q8A7Y9
226186.BT_1339	Q8A835
226186.BT_1232	Q8A8D5
226186.BT_1003	Q8A914
226186.BT_0910	Q8A9A5
226186.BT_0769	Q8A9P6
226186.BT_0645	Q8AA20
226186.BT_0630	Q8AA35
226186.BT_0545	Q8AAC0
226186.BT_0377	Q8AAT7
226186.BT_1117	Q8A8Q0
226186.BT_4155	Q8A066
226186.BT_3755	Q8A1B1
226186.BT_3668	Q8A1J3
226186.BT_3645	Q8A1L6
226186.BT_3490	Q8A218
226186.BT_3203	Q8A2V2
226186.BT_2303	Q8A5D6
226186.BT_1487	Q8A7N7
226186.BT_1234	Q8A8D3
226186.BT_0516	Q8AAE9
226186.BT_0215	Q8AB95
226186.BT_0178	Q8ABD2
226186.BT_4635	Q89YU6
226186.BT_4516	Q89Z61
226186.BT_3607	Q8A1Q2
226186.BT_3241	Q8A2R4
226186.BT_3059	Q8A395
226186.BT_2760	Q8A443
226186.BT_2071	Q8A615
226186.BT_1968	Q8A6B6
226186.BT_1847	Q8A6N0
226186.BT_1509	Q8A7L5
226186.BT_1462	Q8A7R2
226186.BT_0904	Q8A9B1
226186.BT_0336	Q8AAX6
226186.BT_0324	Q8AAY8
226186.BT_0103	Q8ABK7
226186.BT_4599	Q89YY1
226186.BT_3593	Q8A1R6
226186.BT_3407	Q8A298
226186.BT_3211	Q8A2U4
226186.BT_2902	Q8A3Q2
226186.BT_2817	Q8A3Y7
226186.BT_2747	Q8A456
226186.BT_2650	Q8A4E9
226186.BT_1561	Q8A7G3
226186.BT_0284	Q8AB28
226186.BT_4379	Q89ZJ8
226186.BT_3690	Q8A1H1
226186.BT_3472	Q8A234
226186.BT_2887	Q8A3R7
226186.BT_2848	Q8A3V6
226186.BT_2664	Q8A4D5
226186.BT_1803	Q8A6S3
226186.BT_1604	Q8A7C1
226186.BT_0025	Q8ABT5
226186.BT_1193	Q8A8H4
226186.BT_1084	Q8A8T3
226186.BT_4306	Q89ZS0
226186.BT_4170	Q8A051
226186.BT_3684	Q8A1H7
226186.BT_3015	Q8A3D9
226186.BT_2440	Q8A507
226186.BT_1837	Q8A6P0
226186.BT_1675	Q8A750
226186.BT_1614	Q8A7B1
226186.BT_1501	Q8A7M3
226186.BT_0977	Q8A940
226186.BT_0660	Q8AA05
226186.BT_0641	Q8AA24
226186.BT_0542	Q8AAC3
226186.BT_4776	Q89YF6
226186.BT_4511	Q89Z66
226186.BT_4481	Q89Z96
226186.BT_3422	Q8A284
226186.BT_3235	Q8A2S0
226186.BT_2706	Q8A497
226186.BT_2203	Q8A5N5
226186.BT_0975	Q8A942
226186.BT_0137	Q8ABH3
226186.BT_4598	Q89YY2
226186.BT_4529	Q89Z48
226186.BT_4520	Q89Z57
226186.BT_4469	Q89ZA8
226186.BT_4050	Q8A0H1
226186.BT_4032	Q8A0I9
226186.BT_3125	Q8A330
226186.BT_3113	Q8A342
226186.BT_0961	Q8A956
226186.BT_0888	Q8A9C7
226186.BT_4317	Q89ZQ9
226186.BT_1124	Q8A8P3
226186.BT_4456	Q89ZC1
226186.BT_2678	Q8A4C5
226186.BT_2463	Q8A4Y4
226186.BT_2090	Q8A5Z6
226186.BT_1177	Q8A8J0
226186.BT_0980	Q8A937
226186.BT_3914	Q8A0V7
226186.BT_3679	Q8A1I2
226186.BT_3056	Q8A398
226186.BT_2853	Q8A3V1
226186.BT_2132	Q8A5V4
226186.BT_0877	Q8A9D8
226186.BT_0226	Q8AB84
226186.BT_1495	Q8A7M9
226186.BT_1376	Q8A7Z8
226186.BT_1206	Q8A8G1
226186.BT_0088	Q8ABM2
226186.BT_3368	Q8A2D7
226186.BT_2782	Q8A422
226186.BT_2301	Q8A5D8
226186.BT_1541	Q8A7I3
226186.BT_1257	Q8A8B0
226186.BT_0976	Q8A941
226186.BT_3436	Q8A270
226186.BT_4734	Q89YJ7
226186.BT_4686	Q89YP5
226186.BT_4663	Q89YR8
226186.BT_4556	Q89Z21
226186.BT_3933	Q8A0T8
226186.BT_3560	Q8A1U8
226186.BT_2665	Q8A4D4
226186.BT_2139	Q8A5U9
226186.BT_2087	Q8A5Z9
226186.BT_1952	Q8A6D2
226186.BT_1684	Q8A741
226186.BT_1262	Q8A8A5
226186.BT_0986	Q8A931
226186.BT_0924	Q8A993
226186.BT_0791	Q8A9M4
226186.BT_1186	Q8A8I1
226186.BT_1088	Q8A8S9
226186.BT_4565	Q89Z12
226186.BT_4305	Q89ZS1
226186.BT_4195	Q8A026
226186.BT_4165	Q8A056
226186.BT_4035	Q8A0I6
226186.BT_3784	Q8A182
226186.BT_2940	Q8A3L4
226186.BT_1670	Q8A755
226186.BT_0776	Q8A9N9
226186.BT_0699	Q8A9W6
226186.BT_0273	Q8AB38
226186.BT_2228	Q8A5L1
226186.BT_2178	Q8A5R0
226186.BT_2036	Q8A650
226186.BT_1499	Q8A7M5
226186.BT_1227	Q8A8E0
226186.BT_0762	Q8A9Q3
226186.BT_4502	Q89Z75
226186.BT_4071	Q8A0F0
226186.BT_4394	Q89ZI3
226186.BT_4187	Q8A034
226186.BT_3961	Q8A0R0
226186.BT_3192	Q8A2W3
226186.BT_1732	Q8A6Z3
226186.BT_3178	Q8A2X7
226186.BT_0492	Q8AAH3
226186.BT_2359	Q8A583
226186.BT_2420	Q8A524
226186.BT_1141	Q8A8M6
226186.BT_0959	Q8A958
226186.BT_0679	Q8A9Y6
226186.BT_0580	Q8AA85
226186.BT_4710	Q89YM1
226186.BT_2820	Q8A3Y4
226186.BT_0753	Q8A9R2
226186.BT_3936	Q8A0T5
226186.BT_3628	Q8A1N1
226186.BT_3196	Q8A2V9
226186.BT_0520	Q8AAE5
226186.BT_1106	Q8A8R1
226186.BT_0558	Q8AAA7
226186.BT_4109	Q8A0B2
226186.BT_0020	Q8ABU0
226186.BT_3723	Q8A1E3
226186.BT_1314	Q8A860
226186.BT_2319	Q8A5C0
226186.BT_4730	Q89YK1
226186.BT_2174	Q8A5R4
226186.BT_4733	Q89YJ8
226186.BT_3676	Q8A1I5
226186.BT_1867	Q8A6L2
226186.BT_0746	Q8A9R9
226186.BT_0783	Q8A9N2
226186.BT_0039	Q8ABS1
226186.BT_2389	Q8A553
226186.BT_3829	Q8A140
226186.BT_3069	Q8A386
226186.BT_3705	Q8A1F9
226186.BT_1967	Q8A6B7
226186.BT_1012	Q8A905
226186.BT_1329	Q8A845
226186.BT_0319	Q8AAZ3
226186.BT_1886	Q8A6J5
226186.BT_2843	Q8A3W1
226186.BT_4011	Q8A0L0
226186.BT_3188	Q8A2W7
226186.BT_2360	Q8A582
226186.BT_0932	Q8A985
226186.BT_4189	Q8A032
226186.BT_1885	Q8A6J6
226186.BT_2986	Q8A3G8
226186.BT_1166	Q8A8K1
226186.BT_2154	Q8A5T4
226186.BT_4460	Q89ZB7
226186.BT_3956	Q8A0R5
226186.BT_1936	Q8A6E8
226186.BT_0692	Q8A9X3
226186.BT_0099	Q8ABL1
226186.BT_3797	Q8A170
226186.BT_2086	Q8A600
226186.BT_1879	Q8A6K2
226186.BT_1194	Q8A8H3
226186.BT_0236	Q8AB74
226186.BT_3986	Q8A0N5
226186.BT_2156	Q8A5T2
226186.BT_1002	Q8A915
226186.BT_3672	Q8A1I9
226186.BT_1135	Q8A8N2
226186.BT_2294	Q8A5E5
226186.BT_2279	Q8A5G0
226186.BT_0281	Q8AB31
226186.BT_4585	Q89YZ5
226186.BT_0541	Q8AAC4
226186.BT_0440	Q8AAM4
226186.BT_3892	Q8A0X9
226186.BT_2889	Q8A3R5
226186.BT_2484	Q8A4W3
226186.BT_2679	Q8A4C4
226186.BT_1477	Q8A7P7
226186.BT_3229	Q8A2S6
226186.BT_0855	Q8A9G0
226186.BT_4034	Q8A0I7
226186.BT_0885	Q8A9D0
226186.BT_0494	Q8AAH1
226186.BT_0302	Q8AB10
226186.BT_1285	Q8A889
226186.BT_0304	Q8AB08
226186.BT_4642	Q89YT9
226186.BT_3748	Q8A1B8
226186.BT_3259	Q8A2P6
226186.BT_2577	Q8A4M2
226186.BT_2912	Q8A3P2
226186.BT_1336	Q8A838
226186.BT_4205	Q8A016
226186.BT_3602	Q8A1Q7
226186.BT_1754	Q8A6X1
226186.BT_0227	Q8AB83
226186.BT_0065	Q8ABP5
226186.BT_0098	Q8ABL2
226186.BT_2204	Q8A5N4
226186.BT_4628	Q89YV3
226186.BT_3433	Q8A273
226186.BT_1663	Q8A762
226186.BT_3761	Q8A1A5
226186.BT_0409	Q8AAQ5
226186.BT_3414	Q8A291
226186.BT_3673	Q8A1I8
226186.BT_4601	Q89YX9
226186.BT_0347	Q8AAW5
226186.BT_0035	Q8ABS5
226186.BT_4432	Q89ZE5
226186.BT_1136	Q8A8N1
226186.BT_0054	Q8ABQ6
226186.BT_2460	Q8A4Y7
226186.BT_0870	Q8A9E5
226186.BT_1817	Q8A6Q9
226186.BT_0059	Q8ABQ1
226186.BT_2486	Q8A4W1
226186.BT_4766	Q89YG6
226186.BT_4350	Q89ZM7
226186.BT_3420	Q8A286
226186.BT_1844	Q8A6N3
226186.BT_1468	Q8A7Q6
226186.BT_0754	Q8A9R1
226186.BT_0647	Q8AA18
226186.BT_0605	Q8AA60
226186.BT_2788	Q8A416
226186.BT_3808	Q8A159
226186.BT_0364	Q8AAV0
226186.BT_4221	Q8A000
226186.BT_4672	Q89YQ9
226186.BT_2663	Q8A4D6
226186.BT_4041	Q8A0I0
226186.BT_3827	Q8A142
226186.BT_2155	Q8A5T3
226186.BT_1450	Q8A7S4
226186.BT_1883	Q8A6J8
226186.BT_2055	Q8A631
226186.BT_0764	Q8A9Q1
226186.BT_0151	Q8ABF9
226186.BT_4213	Q8A008
226186.BT_4182	Q8A039
226186.BT_3625	Q8A1N4
226186.BT_3558	Q8A1V0
226186.BT_3370	Q8A2D5
226186.BT_3312	Q8A2J3
226186.BT_3248	Q8A2Q7
226186.BT_3200	Q8A2V5
226186.BT_2885	Q8A3R9
226186.BT_2521	Q8A4S6
226186.BT_2321	Q8A5B8
226186.BT_2185	Q8A5Q3
226186.BT_2101	Q8A5Y5
226186.BT_1855	Q8A6M2
226186.BT_0949	Q8A968
226186.BT_0889	Q8A9C6
226186.BT_0502	Q8AAG3
226186.BT_0329	Q8AAY3
226186.BT_0263	Q8AB48
226186.BT_4249	Q89ZX2
226186.BT_3807	Q8A160
226186.BT_1915	Q8A6G9
226186.BT_1633	Q8A792
226186.BT_0497	Q8AAG8
226186.BT_4046	Q8A0H5
226186.BT_0700	Q8A9W5
226186.BT_4427	Q89ZF0
226186.BT_1792	Q8A6T4
226186.BT_3661	Q8A1K0
226186.BT_0818	Q8A9J7
226186.BT_3462	Q8A244
226186.BT_3074	Q8A381
226186.BT_2291	Q8A5E8
226186.BT_1163	Q8A8K4
226186.BT_1037	Q8A8Y0
226186.BT_0444	Q8AAM0
226186.BT_4780	Q89YF2
226186.BT_4735	Q89YJ6
226186.BT_3801	Q8A166
226186.BT_3654	Q8A1K7
226186.BT_3633	Q8A1M6
226186.BT_2059	Q8A627
226186.BT_1428	Q8A7U6
226186.BT_1288	Q8A886
226186.BT_0673	Q8A9Z2
226186.BT_0228	Q8AB82
226186.BT_3796	Q8A171
226186.BT_2298	Q8A5E1
226186.BT_0403	Q8AAR1
226186.BT_3652	Q8A1K9
226186.BT_4532	Q89Z45
226186.BT_3744	Q8A1C2
226186.BT_0664	Q8AA01
226186.BT_2919	Q8A3N5
226186.BT_1845	Q8A6N2
226186.BT_0906	Q8A9A9
226186.BT_1493	Q8A7N1
226186.BT_0506	Q8AAF9
226186.BT_2657	Q8A4E2
226186.BT_4468	Q89ZA9
226186.BT_4457	Q89ZC0
226186.BT_4098	Q8A0C3
226186.BT_4060	Q8A0G1
226186.BT_3715	Q8A1F1
226186.BT_3556	Q8A1V2
226186.BT_3428	Q8A278
226186.BT_3087	Q8A368
226186.BT_2795	Q8A409
226186.BT_2644	Q8A4F5
226186.BT_2308	Q8A5D1
226186.BT_2260	Q8A5H9
226186.BT_1517	Q8A7K7
226186.BT_0037	Q8ABS3
226186.BT_1834	Q8A6P3
226186.BT_0256	Q8AB55
226186.BT_3926	Q8A0U5
226186.BT_1386	Q8A7Y8
226186.BT_0399	Q8AAR5
226186.BT_0170	Q8ABE0
226186.BT_0269	Q8AB42
226186.BT_2141	Q8A5U7
226186.BT_1431	Q8A7U3
226186.BT_1982	Q8A6A3
226186.BT_3984	Q8A0N7
226186.BT_4689	Q89YP2
226186.BT_4605	Q89YX5
226186.BT_3424	Q8A282
226186.BT_2677	Q8A4C6
226186.BT_2538	Q8A4Q9
226186.BT_2390	Q8A552
226186.BT_2362	Q8A580
226186.BT_2285	Q8A5F4
226186.BT_2066	Q8A620
226186.BT_1971	Q8A6B4
226186.BT_1358	Q8A816
226186.BT_4431	Q89ZE6
226186.BT_2253	Q8A5I6
226186.BT_0355	Q8AAV7
226186.BT_3298	Q8A2K7
226186.BT_0568	Q8AA97
226186.BT_1955	Q8A6C9
226186.BT_1023	Q8A8Z4
226186.BT_0270	Q8AB41
226186.BT_3471	Q8A235
226186.BT_3033	Q8A3C1
226186.BT_0487	Q8AAH8
226186.BT_0172	Q8ABD8
226186.BT_0121	Q8ABI9
226186.BT_4728	Q89YK3
226186.BT_4102	Q8A0B9
226186.BT_1008	Q8A909
226186.BT_4575	Q89Z02
226186.BT_4375	Q89ZK2
226186.BT_4363	Q89ZL4
226186.BT_3935	Q8A0T6
226186.BT_3781	Q8A185
226186.BT_3502	Q8A206
226186.BT_2906	Q8A3P8
226186.BT_2868	Q8A3T6
226186.BT_2804	Q8A400
226186.BT_2467	Q8A4Y0
226186.BT_2246	Q8A5J3
226186.BT_1697	Q8A728
226186.BT_1560	Q8A7G4
226186.BT_1554	Q8A7H0
226186.BT_1494	Q8A7N0
226186.BT_0016	Q8ABU4
226186.BT_1184	Q8A8I3
226186.BT_3545	Q8A1W3
226186.BT_4426	Q89ZF1
226186.BT_4381	Q89ZJ6
226186.BT_3018	Q8A3D6
226186.BT_2954	Q8A3K0
226186.BT_2895	Q8A3Q9
226186.BT_2840	Q8A3W4
226186.BT_2117	Q8A5W9
226186.BT_1728	Q8A6Z7
226186.BT_1399	Q8A7X5
226186.BT_0787	Q8A9M8
226186.BT_0349	Q8AAW3
226186.BT_0161	Q8ABE9
226186.BT_0114	Q8ABJ6
226186.BT_0082	Q8ABM8
226186.BT_4261	Q89ZW0
226186.BT_2346	Q8A593
226186.BT_0017	Q8ABU3
226186.BT_4640	Q89YU1
226186.BT_4361	Q89ZL6
226186.BT_4168	Q8A053
226186.BT_3850	Q8A121
226186.BT_3622	Q8A1N7
226186.BT_3469	Q8A237
226186.BT_3373	Q8A2D2
226186.BT_3332	Q8A2H3
226186.BT_3205	Q8A2V0
226186.BT_1917	Q8A6G7
226186.BT_1790	Q8A6T6
226186.BT_1783	Q8A6U3
226186.BT_1340	Q8A834
226186.BT_1150	Q8A8L7
226186.BT_0259	Q8AB52
226186.BT_0207	Q8ABA3
226186.BT_4619	Q89YW2
226186.BT_2852	Q8A3V2
226186.BT_2312	Q8A5C7
226186.BT_1889	Q8A6J2
226186.BT_1182	Q8A8I5
226186.BT_0181	Q8ABC9
226186.BT_1558	Q8A7G6
226186.BT_4638	Q89YU3
226186.BT_1592	Q8A7D2
226186.BT_0786	Q8A9M9
226186.BT_2335	Q8A5A4
226186.BT_0130	Q8ABI0
226186.BT_1384	Q8A7Z0
226186.BT_3736	Q8A1D0
226186.BT_3305	Q8A2K0
226186.BT_0193	Q8ABB7
226186.BT_0821	Q8A9J4
226186.BT_4122	Q8A099
226186.BT_2422	Q8A522
226186.BT_1617	Q8A7A8
226186.BT_1162	Q8A8K5
226186.BT_0978	Q8A939
226186.BT_4514	Q89Z63
226186.BT_0120	Q8ABJ0
226186.BT_0066	Q8ABP4
226186.BT_1744	Q8A6Y1
226186.BT_1360	Q8A814
226186.BT_3413	Q8A292
226186.BT_3708	Q8A1F8
226186.BT_0294	Q8AB18
226186.BT_4736	Q89YJ5
226186.BT_2635	Q8A4G4
226186.BT_1233	Q8A8D4
226186.BT_2948	Q8A3K6
226186.BT_2799	Q8A405
226186.BT_3092	Q8A363
226186.BT_3183	Q8A2X2
226186.BT_1469	Q8A7Q5
226186.BT_1122	Q8A8P5
226186.BT_4644	Q89YT7
226186.BT_2331	Q8A5A8
226186.BT_3848	Q8A123
226186.BT_1044	Q8A8X3
226186.BT_0299	Q8AB13
226186.BT_4523	Q89Z54
226186.BT_1974	Q8A6B1
226186.BT_0939	Q8A978
226186.BT_0663	Q8AA02
226186.BT_0499	Q8AAG6
226186.BT_1738	Q8A6Y7
226186.BT_3423	Q8A283
226186.BT_4136	Q8A085
226186.BT_3524	Q8A1Y4
226186.BT_1326	Q8A848
226186.BT_0875	Q8A9E0
226186.BT_4717	Q89YL4
226186.BT_3511	Q8A1Z7
226186.BT_2453	Q8A4Z4
226186.BT_1631	Q8A794
226186.BT_1575	Q8A7E9
226186.BT_0306	Q8AB06
226186.BT_3893	Q8A0X8
226186.BT_2732	Q8A471
226186.BT_1585	Q8A7D9
226186.BT_0778	Q8A9N7
226186.BT_3927	Q8A0U4
226186.BT_1042	Q8A8X5
226186.BT_1411	Q8A7W3
226186.BT_4564	Q89Z13
226186.BT_3190	Q8A2W5
226186.BT_0705	Q8A9W0
226186.BT_0405	Q8AAQ9
226186.BT_0316	Q8AAZ6
226186.BT_2437	Q8A510
226186.BT_2306	Q8A5D3
226186.BT_3999	Q8A0M2
226186.BT_3675	Q8A1I6
226186.BT_3078	Q8A377
226186.BT_3011	Q8A3E3
226186.BT_2699	Q8A4A4
226186.BT_2051	Q8A635
226186.BT_1925	Q8A6F9
226186.BT_1659	Q8A766
226186.BT_1602	Q8A7C2
226186.BT_0174	Q8ABD6
226186.BT_3919	Q8A0V2
226186.BT_2972	Q8A3I2
226186.BT_3960	Q8A0R1
226186.BT_2520	Q8A4S7
226186.BT_4227	Q89ZZ4
226186.BT_2693	Q8A4B0
226186.BT_2058	Q8A628
226186.BT_4777	Q89YF5
226186.BT_3818	Q8A149
226186.BT_3491	Q8A217
226186.BT_3254	Q8A2Q1
226186.BT_2967	Q8A3I7
226186.BT_2809	Q8A3Z5
226186.BT_2494	Q8A4V3
226186.BT_2256	Q8A5I3
226186.BT_2188	Q8A5Q0
226186.BT_1841	Q8A6N6
226186.BT_0853	Q8A9G2
226186.BT_0524	Q8AAE1
226186.BT_0505	Q8AAG0
226186.BT_0373	Q8AAU1
226186.BT_0363	Q8AAV1
226186.BT_0260	Q8AB51
226186.BT_0220	Q8AB90
226186.BT_0218	Q8AB92
226186.BT_0212	Q8AB98
226186.BT_4590	Q89YZ0
226186.BT_4198	Q8A023
226186.BT_3998	Q8A0M3
226186.BT_1895	Q8A6I9
226186.BT_1349	Q8A825
226186.BT_0073	Q8ABN7
226186.BT_4521	Q89Z56
226186.BT_3612	Q8A1P7
226186.BT_2606	Q8A4J3
226186.BT_4453	Q89ZC4
226186.BT_2267	Q8A5H2
226186.BT_1688	Q8A737
226186.BT_4411	Q89ZG6
226186.BT_0118	Q8ABJ2
226186.BT_4472	Q89ZA5
226186.BT_0780	Q8A9N5
226186.BT_4704	Q89YM7
226186.BT_4684	Q89YP7
226186.BT_4421	Q89ZF6
226186.BT_3760	Q8A1A6
226186.BT_2892	Q8A3R2
226186.BT_2395	Q8A547
226186.BT_2182	Q8A5Q6
226186.BT_1876	Q8A6K5
226186.BT_1352	Q8A822
226186.BT_1128	Q8A8N9
226186.BT_1110	Q8A8Q7
226186.BT_0028	Q8ABT2
226186.BT_4220	Q8A001
226186.BT_4176	Q8A045
226186.BT_3946	Q8A0S5
226186.BT_2913	Q8A3P1
226186.BT_1274	G8JZT1
226186.BT_1077	Q8A8U0
226186.BT_3883	Q8A0Y8
226186.BT_4562	Q89Z15
226186.BT_2597	Q8A4K2
226186.BT_4135	Q8A086
226186.BT_2845	Q8A3V9
226186.BT_3115	Q8A340
226186.BT_3057	Q8A397
226186.BT_1342	Q8A832
226186.BT_0817	Q8A9J8
226186.BT_0410	Q8AAQ4
226186.BT_0213	Q8AB97
226186.BT_4553	Q89Z24
226186.BT_4266	Q89ZV5
226186.BT_4157	Q8A064
226186.BT_3971	Q8A0Q0
226186.BT_3720	Q8A1E6
226186.BT_3520	Q8A1Y8
226186.BT_2806	Q8A3Z8
226186.BT_2562	Q8A4N7
226186.BT_2192	Q8A5P6
226186.BT_2007	Q8A679
226186.BT_1634	Q8A791
226186.BT_1473	Q8A7Q1
226186.BT_1250	Q8A8B7
226186.BT_0297	Q8AB15
226186.BT_4697	Q89YN4
226186.BT_4327	Q89ZP9
226186.BT_3847	Q8A124
226186.BT_3379	Q8A2C6
226186.BT_3375	Q8A2D0
226186.BT_3336	Q8A2G9
226186.BT_2759	Q8A444
226186.BT_2435	Q8A512
226186.BT_1800	Q8A6S6
226186.BT_1797	Q8A6S9
226186.BT_1795	Q8A6T1
226186.BT_1753	Q8A6X2
226186.BT_1652	Q8A773
226186.BT_1467	Q8A7Q7
226186.BT_0029	Q8ABT1
226186.BT_4492	Q89Z85
226186.BT_4273	Q89ZU8
226186.BT_2904	Q8A3Q0
226186.BT_1896	Q8A6I8
226186.BT_1410	Q8A7W4
226186.BT_0418	Q8AAP6
226186.BT_4282	Q89ZU2
226186.BT_3573	Q8A1T5
226186.BT_3327	Q8A2H8
226186.BT_3201	Q8A2V4
226186.BT_2964	Q8A3J0
226186.BT_2942	Q8A3L2
226186.BT_2614	Q8A4I5
226186.BT_2168	Q8A5S0
226186.BT_2079	Q8A607
226186.BT_2072	Q8A614
226186.BT_1736	Q8A6Y9
226186.BT_1735	Q8A6Z0
226186.BT_1351	Q8A823
226186.BT_0829	Q8A9I6
226186.BT_0639	Q8AA26
226186.BT_4563	Q89Z14
226186.BT_4262	Q89ZV9
226186.BT_3722	Q8A1E4
226186.BT_3250	Q8A2Q5
226186.BT_2651	Q8A4E8
226186.BT_2560	Q8A4N9
226186.BT_2491	Q8A4V6
226186.BT_1816	Q8A6R0
226186.BT_1714	Q8A711
226186.BT_1401	Q8A7X3
226186.BT_0158	Q8ABF2
226186.BT_4331	Q89ZP5
226186.BT_2707	Q8A496
226186.BT_1185	Q8A8I2
226186.BT_3246	Q8A2Q9
226186.BT_3678	Q8A1I3
226186.BT_3111	Q8A344
226186.BT_4622	Q89YV9
226186.BT_4643	Q89YT8
226186.BT_3166	Q8A2Y9
226186.BT_4328	Q89ZP8
226186.BT_4399	Q89ZH8
226186.BT_4612	Q89YW9
226186.BT_0557	Q8AAA8
226186.BT_1086	Q8A8T1
226186.BT_1949	Q8A6D5
226186.BT_4617	Q89YW4
226186.BT_2874	Q8A3T0
226186.BT_2754	Q8A449
226186.BT_1778	Q8A6U8
226186.BT_0141	Q8ABG9
226186.BT_3922	Q8A0U9
226186.BT_3435	Q8A271
226186.BT_2497	Q8A4V0
226186.BT_2120	Q8A5W6
226186.BT_1861	Q8A6L6
226186.BT_4648	Q89YT3
226186.BT_3574	Q8A1T4
226186.BT_3512	Q8A1Z6
226186.BT_0943	Q8A974
226186.BT_0196	Q8ABB4
226186.BT_3569	Q8A1T9
226186.BT_3513	Q8A1Z5
226186.BT_3207	Q8A2U8
226186.BT_2662	Q8A4D7
226186.BT_2227	Q8A5L2
226186.BT_2057	Q8A629
226186.BT_4545	Q89Z32
226186.BT_3741	Q8A1C5
226186.BT_3680	Q8A1I1
226186.BT_3458	Q8A248
226186.BT_2946	Q8A3K8
226186.BT_2566	Q8A4N3
226186.BT_2223	Q8A5L6
226186.BT_1947	Q8A6D7
226186.BT_4437	Q89ZE0
226186.BT_4458	Q89ZB9
226186.BT_4413	Q89ZG4
226186.BT_4007	Q8A0L4
226186.BT_3983	Q8A0N8
226186.BT_3535	Q8A1X3
226186.BT_2000	Q8A686
226186.BT_1819	Q8A6Q7
226186.BT_0801	Q8A9L4
226186.BT_0303	Q8AB09
226186.BT_0038	Q8ABS2
226186.BT_4573	Q89Z04
226186.BT_4234	Q89ZY7
226186.BT_3055	Q8A399
226186.BT_1427	Q8A7U7
226186.BT_1129	Q8A8N8
226186.BT_0697	Q8A9W8
226186.BT_0231	Q8AB79
226186.BT_0540	Q8AAC5
226186.BT_0255	Q8AB56
226186.BT_2968	Q8A3I6
226186.BT_1596	Q8A7C8
226186.BT_3085	Q8A370
226186.BT_4467	Q89ZB0
226186.BT_3122	Q8A333
226186.BT_2922	Q8A3N2
226186.BT_3942	Q8A0S9
226186.BT_3148	Q8A307
226186.BT_1806	Q8A6S0
226186.BT_1392	Q8A7Y2
226186.BT_1192	Q8A8H5
226186.BT_0921	Q8A996
226186.BT_0706	Q8A9V9
226186.BT_0022	Q8ABT8
226186.BT_4380	Q89ZJ7
226186.BT_3963	Q8A0Q8
226186.BT_3577	Q8A1T1
226186.BT_3390	Q8A2B5
226186.BT_3295	Q8A2L0
226186.BT_2461	Q8A4Y6
226186.BT_2382	Q8A560
226186.BT_1612	Q8A7B3
226186.BT_1524	Q8A7K0
226186.BT_0952	Q8A965
226186.BT_0951	Q8A966
226186.BT_0703	Q8A9W2
226186.BT_0646	Q8AA19
226186.BT_0169	Q8ABE1
226186.BT_0070	Q8ABP0
226186.BT_3215	Q8A2U0
226186.BT_2411	Q8A533
226186.BT_0615	Q8AA50
226186.BT_0592	Q8AA73
226186.BT_4500	Q89Z77
226186.BT_0370	Q8AAU4
226186.BT_4504	Q89Z73
226186.BT_4078	Q8A0E3
226186.BT_1824	Q8A6Q3
226186.BT_0451	Q8AAL3
226186.BT_0156	Q8ABF4
226186.BT_3965	Q8A0Q6
226186.BT_4639	Q89YU2
226186.BT_4517	Q89Z60
226186.BT_4434	Q89ZE3
226186.BT_4154	Q8A067
226186.BT_4108	Q8A0B3
226186.BT_3649	Q8A1L2
226186.BT_3077	Q8A378
226186.BT_2687	Q8A4B6
226186.BT_2633	Q8A4G6
226186.BT_2547	Q8A4Q0
226186.BT_2257	Q8A5I2
226186.BT_1649	Q8A776
226186.BT_1409	Q8A7W5
226186.BT_1055	Q8A8W2
226186.BT_0879	Q8A9D6
226186.BT_0869	Q8A9E6
226186.BT_0798	Q8A9L7
226186.BT_0694	Q8A9X1
226186.BT_0321	Q8AAZ1
226186.BT_0199	Q8ABB1
226186.BT_0097	Q8ABL3
226186.BT_2998	Q8A3F6
226186.BT_2607	Q8A4J2
226186.BT_0983	Q8A934
226186.BT_0596	Q8AA69
226186.BT_4761	Q89YH1
226186.BT_2442	Q8A505
226186.BT_2100	Q8A5Y6
226186.BT_2021	Q8A665
226186.BT_3300	Q8A2K5
226186.BT_1317	Q8A857
226186.BT_1284	Q8A890
226186.BT_1231	Q8A8D6
226186.BT_4743	Q89YI9
226186.BT_3175	Q8A2Y0
226186.BT_2808	Q8A3Z6
226186.BT_2798	Q8A406
226186.BT_2483	Q8A4W4
226186.BT_2220	Q8A5L8
226186.BT_2177	Q8A5R1
226186.BT_2027	Q8A659
226186.BT_2008	Q8A678
226186.BT_1402	Q8A7X2
226186.BT_0865	Q8A9F0
226186.BT_0850	Q8A9G5
226186.BT_0296	Q8AB16
226186.BT_0223	Q8AB87
226186.BT_0182	Q8ABC8
226186.BT_4528	Q89Z49
226186.BT_4312	Q89ZR4
226186.BT_4201	Q8A020
226186.BT_3980	Q8A0P1
226186.BT_3794	Q8A172
226186.BT_1134	Q8A8N3
226186.BT_1056	Q8A8W1
226186.BT_0899	Q8A9B6
