4081.Solyc01g009590.2.1	Q43495
4081.Solyc05g013160.2.1	K4BY37
4081.Solyc05g013350.2.1	K4BY56
4081.Solyc06g010180.1.1	K4C444
4081.Solyc06g016720.1.1	K4C499
4081.Solyc06g033800.1.1	K4C4K4
4081.Solyc07g006010.2.1	K4CB72
4081.Solyc07g006780.2.1	K4CBE9
4081.Solyc07g007490.1.1	K4CBL9
4081.Solyc08g005620.2.1	K4CI53
4081.Solyc08g006640.2.1	K4CIF2
4081.Solyc08g081040.2.1	K4CPA2
4081.Solyc08g081680.1.1	K4CPG4
4081.Solyc08g081790.1.1	K4CPH5
4081.Solyc08g083110.2.1	K4CPV7
4081.Solyc10g078900.1.1	K4D2D1
4081.Solyc10g079730.1.1	K4D2L4
4081.Solyc11g056400.1.1	K4D8V1
4081.Solyc11g056560.1.1	K4D8W7
4081.Solyc12g049200.1.1	K4DFK1
4081.Solyc12g055880.1.1	K4DFR9
4081.Solyc01g006280.2.1	K4ASJ4
4081.Solyc01g008000.2.1	K4ASZ8
4081.Solyc01g090950.2.1	K4AZ35
4081.Solyc01g091540.1.1	K4AZ94
4081.Solyc01g110390.2.1	K4B3Q2
4081.Solyc03g059440.1.1	K4BGZ1
4081.Solyc03g061650.1.1	K4BH13
4081.Solyc03g121330.2.1	K4BMT2
4081.Solyc04g007210.2.1	K4BNM8
4081.Solyc04g007990.1.1	K4BNV5
4081.Solyc04g008180.1.1	K4BNX4
4081.Solyc04g051330.1.1	K4BS93
4081.Solyc06g051910.1.1	K4C5X7
4081.Solyc07g008530.1.1	K4CBX2
4081.Solyc07g017220.2.1	K4CCD9
4081.Solyc08g016500.2.1	K4CJH3
4081.Solyc09g007860.2.1	K4CQH5
4081.Solyc09g008480.2.1	K4CQN6
4081.Solyc09g092620.2.1	K4CWT6
4081.Solyc10g005810.2.1	K4CXB3
4081.Solyc10g007680.2.1	K4CXU7
4081.Solyc10g008110.2.1	K4CXY8
4081.Solyc10g085430.1.1	K4D3X7
4081.Solyc11g006010.1.1	K4D4L4
4081.Solyc11g068980.1.1	K4DA55
4081.Solyc12g098460.1.1	K4DHL9
4081.Solyc09g005080.1.1	C9YSH6
4081.Solyc01g058100.2.1	K4AW20
4081.Solyc01g099920.2.1	K4B126
4081.Solyc01g100340.2.1	K4B168
4081.Solyc02g094240.1.1	K4BDL9
4081.Solyc02g094360.2.1	K4BDN1
4081.Solyc03g112330.2.1	K4BK87
4081.Solyc05g005580.2.1	K4BW86
4081.Solyc05g056540.2.1	K4C2X8
4081.Solyc07g055690.1.1	K4CGA2
4081.Solyc08g075700.2.1	K4CMT7
4081.Solyc08g076120.2.1	K4CMX9
4081.Solyc09g065230.1.1	K4CUF0
4081.Solyc12g038420.1.1	K4DEJ1
4081.Solyc12g049070.1.1	Q8VX25
4081.Solyc04g007970.2.1	V5KX13
4081.Solyc05g005020.2.1	B5B3R3
4081.Solyc09g007630.2.1	Q7XYV1
4081.Solyc00g010810.1.1	K4AQ69
4081.Solyc00g074820.1.1	K4AR73
4081.Solyc01g013960.1.1	K4AU33
4081.Solyc01g020360.1.1	K4AV18
4081.Solyc01g056320.1.1	K4AVK1
4081.Solyc01g058050.1.1	K4AW15
4081.Solyc01g065500.2.1	K4AWF4
4081.Solyc01g080470.2.1	K4AXU1
4081.Solyc01g097590.2.1	K4B0E6
4081.Solyc01g097830.2.1	K4B0H0
4081.Solyc02g063240.2.1	K4B6K9
4081.Solyc02g069970.2.1	K4B7X9
4081.Solyc02g079260.1.1	K4B9F0
4081.Solyc02g090130.2.1	K4BCG4
4081.Solyc03g006840.2.1	K4BEA7
4081.Solyc03g082860.2.1	K4BI62
4081.Solyc03g111770.2.1	K4BK39
4081.Solyc03g113680.2.1	K4BKM0
4081.Solyc03g116690.2.1	K4BLH1
4081.Solyc03g119390.2.1	K4BM88
4081.Solyc04g009200.2.1	K4BP76
4081.Solyc04g011680.1.1	K4BPM1
4081.Solyc04g077300.2.1	K4BUG7
4081.Solyc04g079140.2.1	K4BUZ8
4081.Solyc05g009230.1.1	K4BX97
4081.Solyc05g013190.2.1	K4BY40
4081.Solyc05g046240.1.1	K4C0V7
4081.Solyc05g056010.2.1	K4C2S6
4081.Solyc06g008890.2.1	K4C3R9
4081.Solyc06g066380.1.1	K4C7R4
4081.Solyc06g072870.1.1	K4C907
4081.Solyc06g074310.2.1	K4C9E9
4081.Solyc07g051850.2.1	K4CF87
4081.Solyc09g075520.1.1	K4CVC9
4081.Solyc09g092510.2.1	K4CWS7
4081.Solyc10g050680.1.1	K4D0M3
4081.Solyc11g011290.1.1	K4D5T4
4081.Solyc11g020580.1.1	K4D710
4081.Solyc11g042860.1.1	K4D853
4081.Solyc01g007860.2.1	K4ASY4
4081.Solyc01g110850.1.1	K4B3U8
4081.Solyc02g014060.1.1	K4B4K6
4081.Solyc03g045130.1.1	K4BGC4
4081.Solyc04g005730.2.1	K4BNH9
4081.Solyc04g056420.1.1	K4BSU0
4081.Solyc07g017820.1.1	K4CCJ6
4081.Solyc07g020840.1.1	K4CCU4
4081.Solyc08g007110.2.1	K4CIJ8
4081.Solyc08g007770.2.1	K4CIR4
4081.Solyc08g014300.2.1	K4CJ63
4081.Solyc10g005230.2.1	K4CX56
4081.Solyc10g005750.2.1	K4CXA7
4081.Solyc10g006310.2.1	K4CXG2
4081.Solyc10g085580.1.1	K4D3Z2
4081.Solyc10g086270.1.1	K4D459
4081.Solyc11g069580.1.1	K4DAB4
4081.Solyc12g099490.1.1	K4DHX0
4081.Solyc01g008640.2.1	K4AT61
4081.Solyc01g008650.2.1	K4AT62
4081.Solyc01g008770.2.1	K4AT73
4081.Solyc01g010260.2.1	K4ATM1
4081.Solyc01g013810.1.1	K4AU18
4081.Solyc01g096180.2.1	K4B007
4081.Solyc02g030240.1.1	K4B575
4081.Solyc02g031920.2.1	K4B5D8
4081.Solyc02g032360.2.1	K4B5I2
4081.Solyc02g032760.1.1	K4B5M0
4081.Solyc02g032980.1.1	K4B5P1
4081.Solyc02g085590.2.1	K4BB70
4081.Solyc02g087330.2.1	K4BBP0
4081.Solyc02g087900.2.1	K4BBU6
4081.Solyc03g064030.2.1	K4BHD8
4081.Solyc03g078690.2.1	K4BHU6
4081.Solyc03g093390.2.1	K4BIL6
4081.Solyc03g095640.1.1	K4BIY7
4081.Solyc04g074710.2.1	K4BU09
4081.Solyc04g077700.1.1	K4BUK7
4081.Solyc05g032740.1.1	K4C055
4081.Solyc06g060320.2.1	K4C6L3
4081.Solyc06g061280.2.1	K4C6V8
4081.Solyc06g063000.2.1	K4C731
4081.Solyc06g064700.1.1	K4C7A0
4081.Solyc06g068460.2.1	K4C821
4081.Solyc06g068610.1.1	K4C835
4081.Solyc07g027000.1.1	K4CDE3
4081.Solyc07g043380.1.1	K4CEJ6
4081.Solyc08g029260.1.1	K4CJY8
4081.Solyc08g042100.2.1	K4CK68
4081.Solyc09g018690.2.1	K4CSD1
4081.Solyc10g017530.2.1	K4CYN1
4081.Solyc11g006240.1.1	K4D4N7
4081.Solyc11g006990.1.1	K4D4W0
4081.Solyc12g006710.1.1	K4DBK8
4081.Solyc12g100030.1.1	K4DI24
4081.Solyc01g044490.2.1	K4AVC9
4081.Solyc01g057520.2.1	K4AVW3
4081.Solyc01g057630.1.1	K4AVX4
4081.Solyc02g050210.1.1	K4B610
4081.Solyc02g063200.1.1	K4B6K5
4081.Solyc02g092390.2.1	K4BD35
4081.Solyc03g097370.2.1	K4BJF4
4081.Solyc04g008350.1.1	K4BNZ1
4081.Solyc04g009780.1.1	K4BPD3
4081.Solyc04g010130.1.1	K4BPG8
4081.Solyc04g079700.2.1	K4BV49
4081.Solyc04g080940.2.1	K4BVH3
4081.Solyc04g081080.1.1	K4BVI7
4081.Solyc04g081360.2.1	K4BVL5
4081.Solyc05g005280.2.1	K4BW59
4081.Solyc05g051940.2.1	K4C1M5
4081.Solyc05g055400.2.1	K4C2L6
4081.Solyc05g055480.2.1	K4C2M4
4081.Solyc06g069240.1.1	K4C897
4081.Solyc06g072660.2.1	K4C8Y6
4081.Solyc06g073130.2.1	K4C933
4081.Solyc07g045110.1.1	K4CER9
4081.Solyc07g049730.2.1	K4CF74
4081.Solyc07g053490.2.1	K4CFP6
4081.Solyc07g054760.1.1	K4CG18
4081.Solyc08g068640.2.1	K4CM87
4081.Solyc08g068770.1.1	K4CM99
4081.Solyc08g068870.2.1	K4CMA9
4081.Solyc08g068930.2.1	K4CMB3
4081.Solyc08g074570.1.1	K4CMH5
4081.Solyc09g042670.2.1	K4CSX0
4081.Solyc09g056170.2.1	K4CTB2
4081.Solyc09g061910.1.1	K4CU21
4081.Solyc10g036850.1.1	K4CZA7
4081.Solyc10g044820.1.1	K4CZK2
4081.Solyc10g045200.1.1	K4CZN9
4081.Solyc10g047930.1.1	K4D052
4081.Solyc10g049250.1.1	K4D082
4081.Solyc12g014010.1.1	K4DCT6
4081.Solyc12g019090.1.1	K4DDD6
4081.Solyc12g019170.1.1	K4DDE4
4081.Solyc00g013170.1.1	K4AQA7
4081.Solyc00g020030.1.1	K4AQI0
4081.Solyc00g075040.1.1	K4AR76
4081.Solyc01g065760.1.1	K4AWH9
4081.Solyc01g066090.1.1	K4AWL2
4081.Solyc01g068590.2.1	K4AXA4
4081.Solyc01g079510.2.1	K4AXJ6
4081.Solyc01g079700.2.1	K4AXL5
4081.Solyc01g079780.2.1	K4AXM3
4081.Solyc01g081270.2.1	K4AY19
4081.Solyc01g103660.2.1	K4B1U1
4081.Solyc01g105420.2.1	K4B2B2
4081.Solyc02g068200.1.1	K4B7F2
4081.Solyc02g068740.2.1	K4B7K6
4081.Solyc02g069170.1.1	K4B7P9
4081.Solyc02g069960.2.1	K4B7X8
4081.Solyc02g072500.2.1	K4B8M4
4081.Solyc03g007570.2.1	K4BEI0
4081.Solyc03g007640.1.1	K4BEI6
4081.Solyc03g007780.1.1	K4BEK0
4081.Solyc03g013550.1.1	K4BES6
4081.Solyc03g031940.2.1	K4BFG5
4081.Solyc03g113670.2.1	K4BKL9
4081.Solyc03g115940.2.1	K4BL96
4081.Solyc03g116890.2.1	K4BLJ1
4081.Solyc03g117070.1.1	K4BLK9
4081.Solyc03g117850.2.1	K4BLT6
4081.Solyc03g117880.1.1	K4BLT9
4081.Solyc04g025870.2.1	K4BR30
4081.Solyc04g026140.1.1	K4BR56
4081.Solyc04g026250.1.1	K4BR65
4081.Solyc04g039690.1.1	K4BRA7
4081.Solyc05g007840.2.1	K4BWV9
4081.Solyc05g008330.1.1	K4BX07
4081.Solyc05g008350.2.1	K4BX09
4081.Solyc05g008430.2.1	K4BX17
4081.Solyc06g017930.1.1	K4C4C0
4081.Solyc06g019110.1.1	K4C4D6
4081.Solyc06g084080.2.1	K4CAR3
4081.Solyc07g006520.2.1	K4CBC3
4081.Solyc08g078440.2.1	K4CNK3
4081.Solyc09g074710.2.1	K4CV48
4081.Solyc09g084450.2.1	K4CVX2
4081.Solyc10g074350.1.1	K4D1M7
4081.Solyc10g079620.1.1	K4D2K3
4081.Solyc10g079670.1.1	K4D2K8
4081.Solyc11g043120.1.1	K4D879
4081.Solyc11g061940.1.1	K4D906
4081.Solyc00g283110.1.1	K4AS32
4081.Solyc01g006090.2.1	K4ASH5
4081.Solyc01g090230.2.1	K4AYW4
4081.Solyc01g109520.2.1	K4B3G5
4081.Solyc01g109680.2.1	K4B3I1
4081.Solyc01g109690.1.1	K4B3I2
4081.Solyc01g110480.2.1	K4B3R1
4081.Solyc02g079430.2.1	K4B9G6
4081.Solyc03g033900.1.1	K4BFR2
4081.Solyc03g034260.1.1	K4BFU7
4081.Solyc03g121050.2.1	K4BMQ4
4081.Solyc04g005520.2.1	K4BNF8
4081.Solyc04g051220.1.1	K4BS84
4081.Solyc05g013790.2.1	K4BYA0
4081.Solyc05g014970.2.1	K4BYL5
4081.Solyc05g016480.1.1	K4BZ10
4081.Solyc05g018850.1.1	K4BZD9
4081.Solyc06g036660.1.1	K4C531
4081.Solyc06g048780.1.1	K4C5C4
4081.Solyc06g048960.2.1	K4C5E2
4081.Solyc07g008130.2.1	K4CBT2
4081.Solyc07g008640.1.1	K4CBY3
4081.Solyc07g014720.1.1	K4CC91
4081.Solyc08g006500.2.1	K4CID8
4081.Solyc08g007380.2.1	K4CIM5
4081.Solyc08g008070.1.1	K4CIU2
4081.Solyc08g083360.2.1	K4CPY0
4081.Solyc09g005210.2.1	K4CQ11
4081.Solyc09g007540.2.1	K4CQE3
4081.Solyc09g008110.1.1	K4CQK0
4081.Solyc09g008320.2.1	K4CQM0
4081.Solyc09g008740.1.1	K4CQQ9
4081.Solyc09g009380.2.1	K4CQW7
4081.Solyc09g090470.2.1	K4CW73
4081.Solyc09g097830.2.1	K4CWV5
4081.Solyc09g097980.2.1	K4CWX0
4081.Solyc10g080250.1.1	K4D2R5
4081.Solyc10g080770.1.1	K4D2W7
4081.Solyc10g081980.1.1	K4D384
4081.Solyc10g083190.1.1	K4D3A6
4081.Solyc11g066490.1.1	K4D9Q6
4081.Solyc12g056350.1.1	K4DFW6
4081.Solyc12g056550.1.1	K4DFY6
4081.Solyc12g062230.1.1	K4DG53
4081.Solyc12g070220.1.1	K4DGE5
4081.Solyc01g006920.2.1	K4ASQ8
4081.Solyc02g011970.1.1	K4B4J6
4081.Solyc02g083630.2.1	K4BAN1
4081.Solyc03g062960.1.1	K4BH45
4081.Solyc04g008200.2.1	K4BNX6
4081.Solyc06g054140.2.1	K4C6A1
4081.Solyc07g020710.2.1	K4CCT3
4081.Solyc07g021320.2.1	K4CCY9
4081.Solyc08g016550.2.1	K4CJH7
4081.Solyc09g010940.2.1	K4CRC0
4081.Solyc10g086730.1.1	K4D4A4
4081.Solyc11g005340.1.1	K4D4E7
4081.Solyc11g005380.1.1	K4D4F1
4081.Solyc11g005480.1.1	K4D4G1
4081.Solyc11g005910.1.1	K4D4K4
4081.Solyc12g098910.1.1	K4DHR4
4081.Solyc05g043200.1.1	K4C0K2
4081.Solyc07g026550.1.1	K4CDA1
4081.Solyc07g032800.1.1	K4CDL9
4081.Solyc10g009210.2.1	K4CY97
4081.Solyc04g040190.1.1	Q2P9P3
4081.Solyc01g058710.1.1	K4AW79
4081.Solyc01g059850.2.1	K4AW93
4081.Solyc01g060430.1.1	K4AWE6
4081.Solyc01g100410.2.1	K4B175
4081.Solyc02g094230.1.1	K4BDL8
4081.Solyc02g094730.1.1	K4BDR6
4081.Solyc03g005450.2.1	K4BDW9
4081.Solyc03g112250.1.1	K4BK79
4081.Solyc03g113470.1.1	K4BKJ9
4081.Solyc04g011740.2.1	K4BPM7
4081.Solyc05g006140.1.1	K4BWE1
4081.Solyc06g005480.2.1	K4C330
4081.Solyc08g075890.2.1	K4CMV6
4081.Solyc08g075910.1.1	K4CMV8
4081.Solyc11g039390.1.1	K4D7R9
4081.Solyc11g039870.1.1	K4D7W3
4081.Solyc05g013280.2.1	Q9LLD0
4081.Solyc11g020780.1.1	Q71F76
4081.Solyc07g042550.2.1	Q9SB93
4081.Solyc08g074680.2.1	Q6ZXV3
4081.Solyc10g005130.2.1	V5JFA1
4081.Solyc11g005330.1.1	B8YGQ5
4081.Solyc04g079970.2.1	Q9FT39
4081.Solyc02g067340.2.1	Q40175
4081.Solyc01g065810.1.1	K4AWI4
4081.Solyc05g006900.1.1	K4BWL6
4081.Solyc09g072900.2.1	K4CUW6
4081.Solyc11g043180.1.1	K4D885
4081.Solyc01g073930.2.1	K4AXD8
4081.Solyc02g081800.1.1	K4BA50
4081.Solyc03g025440.2.1	K4BF17
4081.Solyc03g031530.2.1	K4BFC5
4081.Solyc03g036480.1.1	K4BFW9
4081.Solyc03g058570.1.1	K4BGQ9
4081.Solyc04g058030.1.1	K4BSZ6
4081.Solyc05g009960.2.1	K4BXH0
4081.Solyc05g015470.1.1	K4BYR3
4081.Solyc06g008430.1.1	K4C3M3
4081.Solyc06g034130.2.1	K4C4N7
4081.Solyc06g051930.2.1	K4C5X9
4081.Solyc07g005180.2.1	K4CAZ0
4081.Solyc07g007920.1.1	K4CBR1
4081.Solyc07g009280.2.1	K4CC47
4081.Solyc07g014760.1.1	K4CC95
4081.Solyc07g065690.2.1	K4CHP7
4081.Solyc08g008340.2.1	K4CIW8
4081.Solyc08g021860.1.1	K4CJK6
4081.Solyc09g005590.2.1	K4CQ49
4081.Solyc09g007240.2.1	K4CQB4
4081.Solyc09g007800.2.1	K4CQG9
4081.Solyc09g089670.2.1	K4CVZ3
4081.Solyc10g005930.1.1	K4CXC5
4081.Solyc11g005690.1.1	K4D4I2
4081.Solyc11g005890.1.1	K4D4K2
4081.Solyc11g062210.1.1	K4D932
4081.Solyc12g062590.1.1	K4DG85
4081.Solyc03g115300.1.1	Q9ZTG7
4081.Solyc01g009800.1.1	K4ATH5
4081.Solyc01g095470.2.1	K4AZT6
4081.Solyc01g095580.2.1	K4AZU7
4081.Solyc01g095590.2.1	K4AZU8
4081.Solyc01g095690.2.1	K4AZV8
4081.Solyc02g021620.2.1	K4B510
4081.Solyc02g085150.2.1	K4BB29
4081.Solyc03g080100.2.1	K4BHY6
4081.Solyc05g040080.1.1	K4C088
4081.Solyc05g045640.1.1	K4C0P8
4081.Solyc06g064860.1.1	K4C7B6
4081.Solyc07g032630.1.1	K4CDK3
4081.Solyc07g032680.1.1	K4CDK8
4081.Solyc07g032810.1.1	K4CDM0
4081.Solyc08g036620.2.1	K4CK22
4081.Solyc08g041870.2.1	K4CK47
4081.Solyc08g044550.1.1	K4CKB2
4081.Solyc09g015870.2.1	K4CS55
4081.Solyc09g018020.2.1	K4CS69
4081.Solyc10g018150.1.1	K4CYT9
4081.Solyc11g006510.1.1	K4D4R4
4081.Solyc12g005870.1.1	K4DBC5
4081.Solyc01g014920.1.1	K4AUC6
4081.Solyc01g016690.1.1	K4AUK0
4081.Solyc01g056270.2.1	K4AVJ6
4081.Solyc01g097500.2.1	K4B0D7
4081.Solyc02g036280.2.1	K4B5S1
4081.Solyc02g088500.1.1	K4BC05
4081.Solyc02g089430.1.1	K4BC94
4081.Solyc02g090330.2.1	K4BCI2
4081.Solyc02g091480.1.1	K4BCU6
4081.Solyc02g091540.2.1	K4BCV2
4081.Solyc02g091720.1.1	K4BCX0
4081.Solyc02g092160.2.1	K4BD13
4081.Solyc03g083610.2.1	K4BID7
4081.Solyc03g095910.1.1	K4BJ13
4081.Solyc04g077360.2.1	K4BUH3
4081.Solyc05g046190.1.1	K4C0V2
4081.Solyc05g050300.1.1	K4C162
4081.Solyc05g050310.1.1	K4C163
4081.Solyc05g054270.2.1	K4C2A6
4081.Solyc06g067940.2.1	K4C7W9
4081.Solyc06g067970.1.1	K4C7X2
4081.Solyc06g069450.2.1	K4C8B8
4081.Solyc06g070980.2.1	K4C8H1
4081.Solyc06g071540.2.1	K4C8M6
4081.Solyc06g072270.2.1	K4C8U7
4081.Solyc07g043090.1.1	K4CEG9
4081.Solyc07g044990.2.1	K4CEQ7
4081.Solyc07g049770.1.1	K4CF78
4081.Solyc08g061600.1.1	K4CKU9
4081.Solyc08g067900.2.1	K4CM14
4081.Solyc09g042320.1.1	K4CST8
4081.Solyc09g059040.2.1	K4CTJ3
4081.Solyc10g036800.1.1	K4CZA2
4081.Solyc10g037980.1.1	K4CZC1
4081.Solyc10g045530.1.1	K4CZR9
4081.Solyc10g047610.1.1	K4D023
4081.Solyc10g048110.1.1	K4D070
4081.Solyc10g050130.1.1	K4D0G9
4081.Solyc11g010790.1.1	K4D5N8
4081.Solyc11g012800.1.1	K4D684
4081.Solyc11g012810.1.1	K4D685
4081.Solyc11g018800.1.1	K4D6T3
4081.Solyc11g020200.1.1	K4D6X2
4081.Solyc11g020830.1.1	K4D734
4081.Solyc12g019910.1.1	K4DDL4
4081.Solyc00g006510.1.1	K4APS6
4081.Solyc01g056710.1.1	K4AVN6
4081.Solyc01g057920.1.1	K4AW03
4081.Solyc01g066420.2.1	K4AWP5
4081.Solyc01g099210.2.1	K4B0V8
4081.Solyc01g100370.2.1	K4B171
4081.Solyc01g100850.2.1	K4B1B6
4081.Solyc02g066950.2.1	K4B727
4081.Solyc02g066990.2.1	K4B731
4081.Solyc02g067470.2.1	K4B779
4081.Solyc02g068320.2.1	K4B7G4
4081.Solyc02g093440.2.1	K4BDE0
4081.Solyc03g005370.1.1	K4BDW1
4081.Solyc03g006400.2.1	K4BE63
4081.Solyc03g113800.2.1	K4BKN2
4081.Solyc04g009050.2.1	K4BP61
4081.Solyc05g007410.1.1	K4BWR6
4081.Solyc06g007550.1.1	K4C3D6
4081.Solyc06g074960.2.1	K4C9L2
4081.Solyc06g075360.2.1	K4C9Q1
4081.Solyc06g075540.2.1	K4C9R9
4081.Solyc07g053570.2.1	K4CFQ2
4081.Solyc07g054160.2.1	K4CFW1
4081.Solyc07g055200.2.1	K4CG59
4081.Solyc08g074580.2.1	K4CMH6
4081.Solyc08g076660.2.1	K4CN27
4081.Solyc09g066020.1.1	K4CUM8
4081.Solyc09g072650.2.1	K4CUU1
4081.Solyc09g074680.2.1	K4CV45
4081.Solyc10g054630.1.1	K4D158
4081.Solyc10g054680.1.1	K4D162
4081.Solyc10g055420.1.1	K4D1D4
4081.Solyc10g062300.1.1	K4D1L9
4081.Solyc10g074570.1.1	K4D1P9
4081.Solyc11g032090.1.1	K4D7P4
4081.Solyc11g040220.1.1	K4D7Z4
4081.Solyc08g074680.2.1	Q6ZYB5
4081.Solyc11g040390.1.1	K4D810
4081.Solyc11g044380.1.1	K4D8A6
4081.Solyc00g033880.1.1	K4AQW0
4081.Solyc00g138060.2.1	K4ARQ1
4081.Solyc00g170510.1.1	K4ART7
4081.Solyc01g067720.2.1	K4AX20
4081.Solyc01g067960.1.1	K4AX44
4081.Solyc01g081080.1.1	K4AY00
4081.Solyc01g086740.2.1	K4AY67
4081.Solyc01g104490.2.1	K4B224
4081.Solyc01g105740.1.1	K4B2E4
4081.Solyc01g106100.2.1	K4B2H8
4081.Solyc02g069600.2.1	K4B7U2
4081.Solyc02g070850.1.1	K4B866
4081.Solyc03g033470.2.1	K4BFL9
4081.Solyc03g116270.2.1	K4BLC9
4081.Solyc03g117910.2.1	K4BLU2
4081.Solyc03g118880.2.1	K4BM37
4081.Solyc05g010490.1.1	K4BXM2
4081.Solyc06g009190.2.1	K4C3U9
4081.Solyc06g009510.1.1	K4C3Y1
4081.Solyc06g010250.2.1	K4C451
4081.Solyc06g035620.2.1	K4C4T4
4081.Solyc06g084190.2.1	K4CAS4
4081.Solyc07g066050.2.1	K4CHT1
4081.Solyc08g078500.2.1	K4CNK9
4081.Solyc08g081030.1.1	K4CPA1
4081.Solyc08g081970.2.1	K4CPJ3
4081.Solyc08g082620.2.1	K4CPQ8
4081.Solyc09g075020.2.1	K4CV79
4081.Solyc09g075660.2.1	K4CVE3
4081.Solyc09g082160.2.1	K4CVJ3
4081.Solyc09g082480.1.1	K4CVM5
4081.Solyc09g089770.2.1	K4CW03
4081.Solyc10g076520.1.1	K4D1Z4
4081.Solyc11g045630.1.1	K4D8M7
4081.Solyc11g051180.1.1	K4D8S8
4081.Solyc11g063520.1.1	K4D964
4081.Solyc12g049550.1.1	K4DFN5
4081.Solyc12g062420.1.1	K4DG68
4081.Solyc00g202560.1.1	K4ARX3
4081.Solyc01g005210.2.1	K4AS88
4081.Solyc01g005290.2.1	K4AS96
4081.Solyc01g086760.2.1	K4AY69
4081.Solyc01g090280.2.1	K4AYW9
4081.Solyc01g110490.2.1	K4B3R2
4081.Solyc01g111320.2.1	K4B3Z4
4081.Solyc01g112060.2.1	K4B467
4081.Solyc02g079120.1.1	K4B9D6
4081.Solyc02g080870.1.1	K4B9V7
4081.Solyc02g081390.2.1	K4BA09
4081.Solyc03g034080.2.1	K4BFT0
4081.Solyc03g043830.1.1	K4BG03
4081.Solyc03g051760.1.1	K4BGI2
4081.Solyc03g058690.1.1	K4BGR9
4081.Solyc03g121040.2.1	K4BMQ3
4081.Solyc03g122050.1.1	K4BN03
4081.Solyc04g005100.2.1	K4BNB6
4081.Solyc04g054750.1.1	K4BSM3
4081.Solyc04g056410.2.1	K4BST9
4081.Solyc05g013820.2.1	K4BYA3
4081.Solyc05g013850.2.1	K4BYA6
4081.Solyc05g015170.2.1	K4BYN3
4081.Solyc05g015180.1.1	K4BYN4
4081.Solyc05g016600.1.1	K4BZ21
4081.Solyc06g043280.1.1	K4C578
4081.Solyc06g051000.2.1	K4C5P3
4081.Solyc06g051280.1.1	K4C5S1
4081.Solyc06g051420.2.1	K4C5T5
4081.Solyc07g009330.2.1	K4CC52
4081.Solyc07g017430.2.1	K4CCF9
4081.Solyc08g005930.1.1	K4CI82
4081.Solyc09g007450.2.1	K4CQD4
4081.Solyc09g008390.1.1	K4CQM7
4081.Solyc09g009690.2.1	K4CQZ8
4081.Solyc09g091510.2.1	K4CWH7
4081.Solyc09g092190.1.1	K4CWP5
4081.Solyc10g086100.1.1	K4D444
4081.Solyc11g068520.1.1	K4DA10
4081.Solyc11g072290.1.1	K4DAT6
4081.Solyc12g063000.1.1	K4DGC2
4081.Solyc12g088800.1.1	K4DGV1
4081.Solyc12g095950.1.1	K4DH68
4081.Solyc01g094240.2.1	K4AZG5
4081.Solyc01g094740.1.1	K4AZL4
4081.Solyc01g095280.2.1	K4AZR7
4081.Solyc02g005120.1.1	K4B4B6
4081.Solyc03g062940.2.1	K4BH43
4081.Solyc04g007980.2.1	K4BNV4
4081.Solyc04g058080.2.1	K4BT01
4081.Solyc04g064840.1.1	K4BT75
4081.Solyc06g059910.2.1	K4C6H6
4081.Solyc08g023270.2.1	K4CJP7
4081.Solyc09g010380.2.1	K4CR65
4081.Solyc09g011100.1.1	K4CRD6
4081.Solyc10g007880.2.1	K4CXW7
4081.Solyc11g006020.1.1	K4D4L5
4081.Solyc02g085700.1.1	Q0H8U3
4081.Solyc03g005870.2.1	Q199C0
4081.Solyc06g008270.2.1	Q9ZTK0
4081.Solyc00g082150.2.1	G8Z248
4081.Solyc01g088170.2.1	Q93XR1
4081.Solyc01g096250.2.1	K4B013
4081.Solyc02g086870.2.1	K4BBJ4
4081.Solyc04g072360.1.1	K4BTM3
4081.Solyc10g011660.2.1	K4CYE4
4081.Solyc12g009180.1.1	K4DC06
4081.Solyc12g009360.1.1	K4DC24
4081.Solyc12g010740.1.1	K4DCG1
4081.Solyc12g010980.1.1	K4DCI4
4081.Solyc00g049620.1.1	K4AR10
4081.Solyc01g005130.2.1	K4AS80
4081.Solyc01g081520.2.1	K4AY44
4081.Solyc01g087070.2.1	K4AYA0
4081.Solyc01g088730.2.1	K4AYR3
4081.Solyc01g093990.2.1	K4AZE0
4081.Solyc02g055370.2.1	K4B626
4081.Solyc02g066930.2.1	K4B725
4081.Solyc02g067020.1.1	K4B734
4081.Solyc02g068480.2.1	K4B7I0
4081.Solyc02g069820.2.1	K4B7W4
4081.Solyc02g092960.1.1	K4BD92
4081.Solyc03g005470.2.1	K4BDX1
4081.Solyc03g043580.1.1	K4BFX9
4081.Solyc03g112990.1.1	K4BKF2
4081.Solyc04g014460.2.1	K4BPV0
4081.Solyc04g055210.2.1	K4BSR8
4081.Solyc04g080530.2.1	K4BVD2
4081.Solyc05g008170.1.1	K4BWZ1
4081.Solyc05g015360.2.1	K4BYQ2
4081.Solyc05g018090.1.1	K4BZ65
4081.Solyc05g025780.2.1	K4BZW6
4081.Solyc05g050950.2.1	K4C1C7
4081.Solyc06g005780.1.1	K4C360
4081.Solyc06g068190.1.1	K4C7Z4
4081.Solyc06g069150.1.1	K4C888
4081.Solyc06g069300.1.1	K4C8A3
4081.Solyc06g069870.2.1	K4C8F9
4081.Solyc06g073300.1.1	K4C949
4081.Solyc07g049480.2.1	K4CF51
4081.Solyc07g054930.2.1	K4CG33
