272623.L0046	Q9CHU6
272623.L85575	A0A0B8QKV5
272623.L173151	A0A0B8QS10
272623.L135991	A0A0B8QW88
272623.L45616	A0A0B8QWG2
272623.L0222	A0A0B8QXI9
272623.L93858	A0A0B8R084
272623.L122924	A0A0B8R3D0
272623.L86157	A0A0B8R443
272623.L92204	A0A0B8R6I6
272623.L102317	A0A0B8QID3
272623.L194050	A0A0B8QJ51
272623.L85854	A0A0B8QLP0
272623.L171588	A0A0B8QR04
272623.L0115	A0A0B8QRG2
272623.L13272	A0A0B8QXW1
272623.L10014	A0A0B8R5C5
272623.L190464	A0A0B8QSW2
272623.L53055	A0A0B8QT10
272623.L63900	A0A0B8QVP5
272623.L34612	A0A0B8QVR8
272623.L101912	A0A0B8QY82
272623.L187016	A0A0B8QYP1
272623.L132585	A0A0B8QX74
272623.L116532	A0A0B8QIX6
272623.L0415	A0A0B8QJH4
272623.L124107	A0A0B8QL19
272623.L143624	A0A0B8QNN4
272623.L115706	A0A0B8QSN7
272623.L143292	A0A0B8QU97
272623.L55758	A0A0B8QVY5
272623.L195257	A0A0B8QX86
272623.L155396	A0A0B8QXU7
272623.L150031	A0A0B8R5H7
272623.L64491	A0A0B8QL73
272623.L0276	A0A0B8QPU3
272623.L6208	A0A0B8QT55
272623.L44550	A0A0B8QU20
272623.L80191	A0A0B8QXM0
272623.L0105	A0A0B8QY17
272623.L0179	A0A0B8QK50
272623.L175712	A0A0B8QT74
272623.L1010	A0A0B8QXM7
272623.L175712	A0A0B8QZ21
272623.L108911	A0A0B8R0L9
272623.L0056	A0A0B8R1R0
272623.L159400	A0A0B8R698
272623.L96658	A0A0B8QKA9
272623.L862989	A0A0B8QSB4
272623.L158463	A0A0B8QN36
272623.L0203	A0A0B8QUB9
272623.L153973	A0A0B8QYJ8
272623.L189881	A0A0B8R1K8
272623.L198033	A0A0B8QNH5
272623.L157321	A0A0B8QU86
272623.L84240	A0A0B8QVG3
272623.L169709	A0A0B8QMJ2
272623.L35965	A0A0B8QHZ2
272623.L200264	A0A0B8QIN0
272623.L74738	A0A0B8QKX7
272623.L99502	A0A0B8QLR1
272623.L14190	A0A0B8QM67
272623.L9458	A0A0B8QRN4
272623.L153005	A0A0B8QUW0
272623.L118475	A0A0B8QWV3
272623.L98583	A0A0B8QX39
272623.L0392	A0A0B8R4Y5
272623.L133367	A0A0B8QIG4
272623.L172471	A0A0B8QJP1
272623.L184818	A0A0B8QNI5
272623.L0235	A0A0B8QQM0
272623.L63293	A0A0B8QUG6
272623.L24228	A0A0B8QXI4
272623.L142355	A0A0B8QXX0
272623.L0397	A0A0B8R1Q4
272623.L0314	A0A0B8QHE1
272623.L2611	A0A0B8QJ64
272623.L169106	A0A0B8QQ46
272623.L26054	A0A0B8QSJ1
272623.L0087	A0A0B8R243
272623.L130150	A0A0B8QN10
272623.L34612	A0A0B8QPX5
272623.L97415	A0A0B8QSB2
272623.L52064	A0A0B8QVY1
272623.L186258	A0A0B8QX94
272623.L103321	A0A0B8QXI0
272623.L64737	A0A0B8R0V3
272623.L0025	A0A0B8QHX5
272623.L174788	A0A0B8QI57
272623.L197697	A0A0B8QM48
272623.L0221	A0A0B8QX85
272623.L66281	A0A0B8R207
272623.L183902	A0A0B8QRK1
272623.L193734	A0A0B8QWL7
272623.L110588	A0A0B8QJJ2
272623.L181494	A0A0B8QKI6
272623.L0155	A0A0B8QN31
272623.L33416	A0A0B8QT62
272623.L178600	A0A0B8QZ15
272623.L113864	A0A0B8R126
272623.L0146	A0A0B8QUT5
272623.L141634	A0A0B8R3V7
272623.L52711	A0A0B8QYY1
272623.L128550	A0A0B8QZT7
272623.L3407	A0A0B8R023
272623.L92886	A0A0B8QL40
272623.L54719	A0A0B8R1B2
272623.L582	A0A0B8R2M4
272623.L196779	A0A0B8QRL6
272623.L95240	A0A0B8QW32
272623.L42411	A0A0B8QQM9
272623.L132712	A0A0B8QST0
272623.L0204	A0A0B8QT65
272623.L0181	A0A0B8R0K0
272623.L0320	A0A0B8R266
272623.L171116	A0A0B8QN17
272623.L164626	A0A0B8QQA8
272623.L93051	A0A0B8QNA1
272623.L142704	A0A0B8QNT0
272623.L0065	A0A0B8QPD0
272623.L122632	A0A0B8QTM2
272623.L5532	A0A0B8R2M2
272623.L185031	A0A0B8QN66
272623.L168057	A0A0B8QPG1
272623.L164789	A0A0B8QVX2
272623.L19516	A0A0B8QXH9
272623.L0379	A0A0B8QYF0
272623.L124415	A0A0B8QLU6
272623.L198323	A0A0B8QNL7
272623.L182020	A0A0B8QSV3
272623.L90678	A0A0B8R0J0
272623.L84257	A0A0B8QL50
272623.L128693	A0A0B8QQV6
272623.L11208	A0A0B8QR49
272623.L150744	A0A0B8QK44
272623.L0112	A0A0B8QM11
272623.L110467	A0A0B8QML3
272623.L123581	A0A0B8QP21
272623.L107724	A0A0B8QP40
272623.L1389	A0A0B8R337
272623.L110560	A0A0B8QRB4
272623.L105533	A0A0B8QUQ3
272623.L0233	A0A0B8QUV0
272623.L173045	A0A0B8QWQ1
272623.L71932	A0A0B8R0A5
272623.L26400	A0A0B8R5Z7
272623.L26722	A0A0B8QV73
272623.L101219	A0A0B8R4T6
272623.L27694	A0A0B8R1V8
272623.L1006	A0A0B8QT42
272623.L0136	A0A0B8QW06
272623.L93500	A0A0B8R5P8
272623.L200059	A0A0B8QLA6
272623.L175450	A0A0B8QMK0
272623.L0370	A0A0B8QW82
272623.L93481	A0A0B8QIC2
272623.L71563	A0A0B8QL64
272623.L138230	A0A0B8QLG8
272623.L133367	A0A0B8QLV5
272623.L63811	A0A0B8QMF6
272623.L0272	A0A0B8QPT3
272623.L52207	A0A0B8QQK1
272623.L1889726	A0A0B8QRE0
272623.L131805	A0A0B8QRW7
272623.L130713	A0A0B8QST5
272623.L195318	A0A0B8QYP7
272623.L82310	A0A0B8R1E2
272623.L0083	A0A0B8QM36
272623.L54546	A0A0B8QM89
272623.L6615	A0A0B8QMZ2
272623.L116212	A0A0B8QN71
272623.L192589	A0A0B8QQE5
272623.L0018	A0A0B8QS29
272623.L0328	A0A0B8QU99
272623.L0313	A0A0B8QVW4
272623.L43680	A0A0B8R6P0
272623.L17182	A0A0B8QI19
272623.L0014	A0A0B8QP85
272623.L136332	A0A0B8QQX3
272623.L63770	A0A0B8QVE1
272623.L186875	A0A0B8QZZ1
272623.L0122	A0A0B8R0E7
272623.L0114	A0A0B8R3C0
272623.L0063	A0A0B8R3D8
272623.L0140	A0A0B8QIQ2
272623.L49741	A0A0B8QME1
272623.L159396	A0A0B8R022
272623.L49325	A0A0B8R405
272623.L47971	A0A0B8QL38
272623.L188472	A0A0B8QM31
272623.L82103	A0A0B8QPI5
272623.L178172	A0A0B8QR26
272623.L111126	A0A0B8QRJ2
272623.L86424	A0A0B8QW26
272623.L91456	A0A0B8QW51
272623.L140690	A0A0B8R2R4
272623.L0334	A0A0B8QNV9
272623.L174251	A0A0B8QSQ0
272623.L138640	A0A0B8QZ66
272623.L155602	A0A0B8QX88
272623.L141547	A0A0B8QXT6
272623.L120589	A0A0B8QH15
272623.L0157	A0A0B8QH34
272623.L152603	A0A0B8QN33
272623.L191486	A0A0B8QPE6
272623.L126819	A0A0B8QSP9
272623.L0064	A0A0B8QTT6
272623.L180104	A0A0B8QXB8
272623.L0222	A0A0B8R041
272623.L180469	A0A0B8R1M8
272623.L0327	A0A0B8QNM1
272623.L56509	A0A0B8QPU2
272623.L177593	A0A0B8QQV3
272623.L0190	A0A0B8QXY7
272623.L133490	A0A0B8R285
272623.L178384	A0A0B8R5F6
272623.L55507	A0A0B8QWD5
272623.L171002	A0A0B8QYM7
272623.L73435	A0A0B8R217
272623.L29477	A0A0B8R5Z3
272623.L189090	A0A0B8QVV6
272623.L59567	A0A0B8QWD9
272623.L170548	A0A0B8QM33
272623.L0099	A0A0B8QP67
272623.L114717	A0A0B8QPK5
272623.L122299	A0A0B8QRV9
272623.L6973	A0A0B8QVU6
272623.L0285	A0A0B8R097
272623.L0133	A0A0B8R1R4
272623.L22496	A0A0B8R6U0
272623.L0052	A0A0B8QQ16
272623.L10433	A0A0B8R3S5
272623.L124727	A0A0B8QJK2
272623.L0078	A0A0B8QKV8
272623.L0307	A0A0B8QLP9
272623.L92295	A0A0B8QRT2
272623.L159954	A0A0B8R0F8
272623.L179409	A0A0B8QJ33
272623.L0184	A0A0B8QJ38
272623.L87561	A0A0B8QMX9
272623.L0162	A0A0B8QX43
272623.L36404	A0A0B8QYT3
272623.L122222	A0A0B8QZT2
272623.L15267	A0A0B8R139
272623.L80344	A0A0B8QHQ9
272623.L82521	A0A0B8QIT9
272623.L55605	A0A0B8QLA1
272623.L0296	A0A0B8QSA9
272623.L70979	A0A0B8QSC6
272623.L173068	A0A0B8QT78
272623.L179660	A0A0B8QV03
272623.L169390	A0A0B8QXB1
272623.L198485	A0A0B8R103
272623.L132617	A0A0B8R2S0
272623.L0241	A0A0B8R434
272623.L179531	A0A0B8QK19
272623.L6927	A0A0B8QNH0
272623.L103661	A0A0B8QNX6
272623.L0328	A0A0B8QPI6
272623.L118475	A0A0B8QS82
272623.L57608	A0A0B8QSF2
272623.L109747	A0A0B8QTN6
272623.L0314	A0A0B8QYH2
272623.L142326	A0A0B8R0R6
272623.L0277	A0A0B8QH54
272623.L0201	A0A0B8QKN9
272623.L0081	A0A0B8QU14
272623.L96595	A0A0B8R3H5
272623.L88237	A0A0B8QMB2
272623.L160092	A0A0B8QU83
272623.L22900	A0A0B8R603
272623.L104437	A0A0B8QMD0
272623.L98583	A0A0B8QZQ0
272623.L164012	A0A0B8R165
272623.L193090	A0A0B8R1R8
272623.L147466	A0A0B8QM17
272623.L180241	A0A0B8QN61
272623.L17654	A0A0B8QZ85
272623.L106489	A0A0B8QN84
272623.L89194	A0A0B8QQ02
272623.L0199	A0A0B8QQC2
272623.L199277	A0A0B8QR15
272623.L162840	A0A0B8QRZ7
272623.L197041	A0A0B8QX82
272623.L176238	A0A0B8QXB0
272623.L79267	A0A0B8R2X5
272623.L198485	A0A0B8R3P6
272623.L0036	A0A0B8R6M5
272623.L13150	A0A0B8QRZ5
272623.L93826	A0A0B8QKT5
272623.L145850	A0A0B8QLF4
272623.L51016	A0A0B8QMU8
272623.L50682	A0A0B8QT45
272623.L5776	A0A0B8QXG2
272623.L152227	A0A0B8QZ44
272623.L182026	A0A0B8QZZ7
272623.L0169	A0A0B8R0D0
272623.L166407	A0A0B8R3J8
272623.L113060	A0A0B8QKK3
272623.L111950	A0A0B8QSV9
272623.L196579	A0A0B8R2M8
272623.L166614	A0A0B8R5G5
272623.L0132	A0A0B8QR31
272623.L0440	A0A0B8QRJ1
272623.L148778	A0A0B8QXC3
272623.L0135	A0A0B8R1H8
272623.L0103	A0A0B8QJB1
272623.L0325	A0A0B8QMK9
272623.L25946	A0A0B8QR66
272623.L22687	A0A0B8QS73
272623.L10283	A0A0B8QTB4
272623.L0268	A0A0B8R4P1
272623.L173068	A0A0B8QNK5
272623.L58790	A0A0B8QRB6
272623.L32812	A0A0B8QJ84
272623.L131027	A0A0B8QSQ2
272623.L173921	A0A0B8QUZ0
272623.L117685	A0A0B8QW64
272623.L9458	A0A0B8QXG7
272623.L125196	A0A0B8R054
272623.L104681	A0A0B8R072
272623.L149781	A0A0B8R1K7
272623.L142410	A0A0B8R1S8
272623.L0086	A0A0B8R283
272623.L3255	A0A0B8R4I6
272623.L0024	A0A0B8QL48
272623.L210	A0A0B8QU56
272623.L0148	A0A0B8QYF7
272623.L200264	A0A0B8R020
272623.L117090	A0A0B8QLT5
272623.L89418	A0A0B8QSC4
272623.L0120	A0A0B8QTN3
272623.L193909	A0A0B8QWP0
272623.L26998	A0A0B8R309
272623.L49741	G0WJP0
272623.L104437	A0A0B8QIW9
272623.L82250	A0A0B8QJF4
272623.L157908	A0A0B8QMI0
272623.L16252	A0A0B8QQR8
272623.L131937	A0A0B8QRD8
272623.L197075	A0A0B8QSX1
272623.L11851	A0A0B8QVU1
272623.L32907	A0A0B8QXS9
272623.L198056	A0A0B8QY05
272623.L87453	A0A0B8R2X0
272623.L186839	A0A0B8QN07
272623.L24511	A0A0B8QPY5
272623.L25433	A0A0B8QQQ0
272623.L0212	A0A0B8QSU8
272623.L0071	A0A0B8QU29
272623.L0020	A0A0B8R431
272623.L127921	A0A0B8QHK5
272623.L117718	A0A0B8QLF5
272623.L47979	A0A0B8QP59
272623.L0145	A0A0B8QQS1
272623.L0180	A0A0B8QS31
272623.L16606	A0A0B8QS67
272623.L51437	A0A0B8QSG0
272623.L70517	A0A0B8QT47
272623.L105113	A0A0B8QUC4
272623.L95697	A0A0B8QUM9
272623.L127411	A0A0B8QX72
272623.L45035	A0A0B8QXR1
272623.L106755	A0A0B8QZJ4
272623.L177221	A0A0B8QZY3
272623.L0317	A0A0B8QR54
272623.L157908	A0A0B8QRZ2
272623.L89001	A0A0B8QUD8
272623.L2611	A0A0B8R0M6
272623.L2183	A0A0B8R1K5
272623.L0234	A0A0B8R3G0
272623.L163255	A0A0B8QRG7
272623.L126656	A0A0B8QTL7
272623.L0318	A0A0B8R081
272623.L169971	A0A0B8R2R6
272623.L115025	A0A0B8QXG6
272623.L130660	A0A0B8QNS1
272623.L193734	A0A0B8QQT0
272623.L71563	A0A0B8R313
272623.L178384	A0A0B8QWQ2
272623.L89001	A0A0B8QPN1
272623.L110479	A0A0B8R098
272623.L13324	A0A0B8R328
272623.L97777	A0A0B8QMJ7
272623.L113067	A0A0B8QN79
272623.L78434	A0A0B8QNC4
272623.L99884	A0A0B8QRU1
272623.L6328	A0A0B8QWM7
272623.L24228	A0A0B8R038
272623.L78458	A0A0B8R0A1
272623.L101706	A0A0B8R6G5
272623.L92987	A0A0B8QJH2
272623.L189428	A0A0B8QN70
272623.L148957	A0A0B8QT96
272623.L91273	A0A0B8R5Q2
272623.L9094	A0A0B8QJS0
272623.L0170	A0A0B8QMG0
272623.L0321	A0A0B8QPB0
272623.L0233	A0A0B8QQ77
272623.L109882	A0A0B8QQU0
272623.L53979	A0A0B8QUI8
272623.L32195	A0A0B8QVW7
272623.L0215	A0A0B8QW79
272623.L181858	A0A0B8QX99
272623.L20937	A0A0B8QYE6
272623.L78550	A0A0B8R0H9
272623.L10155	A0A0B8R0P1
272623.L0340	A0A0B8R5B9
272623.L00396	A0A0B8R5H5
272623.L123365	A0A0B8QQV0
272623.L166082	A0A0B8QS42
272623.L83097	A0A0B8QUL5
272623.L101209	A0A0B8QNY2
272623.L0129	A0A0B8QT02
272623.L149164	A0A0B8QU93
272623.L67158	A0A0B8QKD5
272623.L197809	A0A0B8QKX8
272623.L69762	A0A0B8QL70
272623.L33416	A0A0B8QP80
272623.L15262	A0A0B8QPB8
272623.L124628	A0A0B8QQ49
272623.L133416	A0A0B8QQ62
272623.L186107	A0A0B8QS25
272623.L181168	A0A0B8R371
272623.L126168	A0A0B8R3D5
272623.L177350	A0A0B8QLK7
272623.L0251	A0A0B8R3V2
272623.L132617	A0A0B8R5J3
272623.L18206	A0A0B8QMA4
272623.L0253	A0A0B8QPN8
272623.L190226	A0A0B8QQ17
272623.L120334	A0A0B8QS77
272623.L52019	A0A0B8QVQ9
272623.L26628	A0A0B8QWI8
272623.L45109	A0A0B8QY54
272623.L0111	A0A0B8QHP4
272623.L0327	A0A0B8QK40
272623.L85514	A0A0B8QP63
272623.L0116	A0A0B8QVD0
272623.L20847	A0A0B8QWJ5
272623.L48477	A0A0B8R6N3
272623.L188985	A0A0B8QK01
272623.L42302	A0A0B8QLH0
272623.L0261	A0A0B8QQN0
272623.L87100	A0A0B8QT00
272623.L177346	A0A0B8QVQ3
272623.L163056	A0A0B8QYL5
272623.L158193	A0A0B8QZ39
272623.L158710	A0A0B8R0U5
272623.L117145	A0A0B8R128
272623.L0247	A0A0B8R3B6
272623.L94197	A0A0B8R6I1
272623.L92573	A0A0B8R108
272623.L0260	D5L6A0
272623.L38510	Q7BQ81
272623.L56488	H2D3Q0
272623.L56488	H2D3P9
272623.L32666	H2D3R1
272623.L102360	A9Y784
272623.L8990	A9Y7P9
272623.L0354	B0F4I2
272623.L0086	B0F4J1
272623.L0354	B0F4I3
272623.L0354	A9Y6T0
272623.L8990	A9Y7N1
272623.L0356	T2KGA8
272623.L94890	I1Y9Z0
272623.L0264	E5FQM9
272623.L64175	E5FQJ2
272623.L0082	E5FQI0
272623.L91998	A0A0B8QKB3
272623.L75803	A0A0B8QKC7
272623.L16835	A0A0B8QL92
272623.L102360	A9Y796
272623.L20815	A0A0B8R1C7
272623.L199206	A0A0B8QM79
272623.L123249	A0A0B8QPP8
272623.L82539	A0A0B8QPT9
272623.L14256	A0A0B8QSY7
272623.L200016	A0A0B8QT22
272623.L68605	A0A0B8QVE5
272623.L200001	A0A0B8QRA8
272623.L121731	A0A0B8QX68
272623.L169187	A0A0B8R0W3
272623.L0354	A9Y6Q0
272623.L0354	A9Y6R1
272623.L24511	Q0GUL6
272623.L104437	H2D3Q4
272623.L138484	G3ACV6
272623.L136332	G3ACW4
272623.L102360	A9Y787
272623.L0354	B0F4I1
272623.L0354	A9Y6Q7
272623.L133858	G3ACW6
272623.L116532	Q0GUK2
272623.L6973	Q25B07
272623.L0136	A9Y6M6
272623.L0354	A9Y6S1
272623.L8990	A9Y7S3
272623.L110899	Q0GUH8
272623.L91569	Q846P0
272623.L0354	A9Y6U6
272623.L0136	A9Y6P4
272623.L102360	A9Y766
272623.L0354	A9Y6V3
272623.L0136	A9Y6I4
272623.L0226	G3ACW8
272623.L0354	A9Y6S3
272623.L12227	C4P952
272623.L194765	G0WJL5
272623.L0137	Q8KRJ7
272623.L118079	A9Y728
272623.L177685	T2KFJ3
272623.L8990	F1JXS9
272623.L133858	G3ACY0
272623.L193030	A0A0B8QN75
272623.L192043	A0A0B8QYF8
272623.L44085	A0A0B8R3P9
272623.L0260	Q4LD52
272623.L20815	A0A0B8QJT3
272623.L121483	Q0PZI7
272623.L6973	Q25B18
272623.L3255	Q93MY5
272623.L0354	A9Y6V2
272623.L133858	G3ACX3
272623.L138484	G3AD10
272623.L0354	A9Y6R5
272623.L102360	A9Y763
272623.L102360	A9Y772
272623.L116532	Q0GUJ9
272623.L195366	G0WJL6
272623.L0136	A9Y6J2
272623.L8990	D3JTX9
272623.L128698	A0A0B8R488
272623.L0354	A9Y6T9
272623.L94890	I1Y9Z1
272623.L0354	I3RMA3
272623.L8990	A9Y7S2
272623.L117090	G0WJU8
272623.L0232	Q9X417
272623.L0136	A9Y6N4
272623.L106345	A0A0B8QLS1
272623.L110351	A0A0B8QPR7
272623.L153408	A0A0B8QWR9
272623.L0308	G0WKQ4
272623.L120335	Q7BJM6
272623.L15484	A0A0B8QWK8
272623.L96217	A0A0B8R5P3
272623.L121483	Q4L210
272623.L0086	A9Y7F0
272623.L0229	Q9RAV4
272623.L0354	A9Y6X0
272623.L0086	E5FQH0
272623.L107379	A0A0B8QKS6
272623.L82539	A0A0B8QKC2
272623.L188798	A0A0B8QLA7
272623.L96217	A0A0B8R2W4
272623.L187045	A0A0B8QRK4
272623.L109379	A0A0B8QSN1
272623.L11208	Q93GU9
272623.L104437	H2D3R0
272623.L118079	E5FQK6
272623.L8990	A9Y7Q3
272623.L8990	A9Y7Q8
272623.L0112	G3ACX2
272623.L11208	Q93MZ0
272623.L43651	A0A0B8QRT4
272623.L0086	A9Y7K0
272623.L118079	E5FQK2
272623.L93826	Q7BK21
272623.L1417	A0A0B8QVQ8
272623.L110899	Q0GUH5
272623.L138484	G3AD12
272623.L0233	Q9RAV6
272623.L0136	A9Y6H2
272623.L0354	A9Y6R8
272623.L169187	A0A0B8QQB5
272623.L6973	Q25B04
272623.L138484	G3ACZ1
272623.L0136	A9Y6I8
272623.L172505	Q9ZIL8
272623.L64833	A0A0B8QH63
272623.L6973	Q25B17
272623.L121483	Q0PZI8
272623.L6973	Q25B10
272623.L51368	A0A0B8R0D1
272623.L114099	A0A0B8R4V1
272623.L108425	A0A0B8QZR9
272623.L136332	G3ACX1
272623.L8990	A9Y7M4
272623.L0354	B0F4H5
272623.L133858	G3AD01
272623.L118079	F1JXZ0
272623.L8990	A9Y7N0
272623.L0086	A9Y7J6
272623.L118079	E5FQK4
272623.L71425	A0A0B8QYU4
272623.L13958	A0A0B8QYY0
272623.L189448	A0A0B8QS21
272623.L169783	A0A0B8QVW8
272623.L142310	G3ACZ5
272623.L32666	H2D3R2
272623.L138484	G3ACW3
272623.L138484	G3ACZ8
272623.L136332	G3AD13
272623.L102360	A9Y767
272623.L92573	A0A0B8QYF4
272623.L8990	A9Y7U0
272623.L92850	Q9KGV2
272623.L109162	Q0GUI6
272623.L90422	I7G0Z2
272623.L0114	I1Y9Y2
272623.L0234	Q9X418
272623.L0086	A9Y7I0
272623.L0086	A9Y7L5
272623.L0111	I1Y9Y7
272623.L162152	A0A0B8QII4
272623.L200010	A0A0B8QXA5
272623.L108425	A0A0B8QIE6
272623.L0231	Q9X423
272623.L77841	A0A0B8R4R5
272623.L0232	Q9X420
272623.L8990	F1JXT0
272623.L0354	A9Y6T4
272623.L126739	I1Y9Y1
272623.L0086	A9Y7J3
272623.L30663	A0A0B8QX32
272623.L0226	G3ACV4
272623.L142310	G3ACY1
272623.L0354	A9Y6R9
272623.L118079	A9Y725
272623.L23787	A0A0B8QMX1
272623.L0136	F1JXR1
272623.L102360	A9Y7A5
272623.L0086	A9Y7G3
272623.L118079	A9Y6X6
272623.L0354	B0F4H7
272623.L10679	Q93MY9
272623.L27433	A0A0B8QWI5
272623.L136332	G3AD11
272623.L0231	Q9X419
272623.L173230	A0A0B8QKY8
272623.L32666	H2D3R3
272623.L0260	B6CE42
272623.L2755	A0A0B8QM41
272623.L142310	G3ACU6
272623.L0136	A9Y6H0
272623.L102360	A9Y7B4
272623.L0354	B0F4I5
272623.L0354	A9Y6U4
272623.L24511	Q0GUL4
272623.L102360	A9Y785
272623.L8990	B0F4J4
272623.L198893	L7ZB68
272623.L0010	E5FQL7
272623.L0086	E5FQG6
272623.L130944	A0A0B8QTC5
272623.L8990	B0F4J6
272623.L0260	L7ZAU0
272623.L6973	Q25B19
272623.L118079	F1JXY9
272623.L0354	A9Y6V8
272623.L24511	Q0GUL9
272623.L0111	I1Y9Y6
272623.L186490	A0A0B8QZ00
272623.L0354	H6SHV6
272623.L133825	A0A0B8QN14
272623.L82250	I1Y9X5
272623.L0264	E5FQN2
272623.L200006	A0A0B8R6J0
272623.L0260	E7D020
272623.L128690	Q9AM86
272623.L20134	A0A0B8QYR5
272623.L120628	Q9AHU0
272623.L8990	A9Y7P7
272623.L0354	A9Y6U9
272623.L118079	A9Y6Z5
272623.L109162	Q0GUI9
272623.L0354	A9Y6S0
272623.L64175	E5FQJ5
272623.L103212	A0A0B8QW41
272623.L200051	Q25AY4
272623.L96847	Q9AEW1
272623.L198893	L7ZAS2
272623.L102360	A9Y768
272623.L5196	A0A0B8QM88
272623.L118079	E5FQK3
272623.L138484	G3ACX0
272623.L107379	A0A0B8QHM7
272623.L18811	A0A0B8QNA4
272623.L116532	Q0GUK6
272623.L0354	U3TFC9
272623.L59867	Q84BV0
272623.L0136	A9Y6G2
272623.L0354	A9Y6V1
272623.L0086	A9Y7E6
272623.L0354	A9Y6V0
272623.L118079	A9Y722
272623.L110899	Q0GUH4
272623.L64175	E5FQI7
272623.L64175	E5FQJ0
272623.L112616	A0A0B8QVK4
272623.L200010	A0A0B8QSP5
272623.L00196	Q9AEV9
272623.L102360	A9Y7B0
272623.L0086	A9Y7J0
272623.L8990	A9Y7S8
272623.L0143	Q9AEW0
272623.L0229	Q9X421
272623.L133858	G3ACV2
272623.L0354	A9Y6U1
272623.L0137	D5L6B1
272623.L2530	A0A0B8R4F3
272623.L0234	Q9X426
272623.L110899	Q0GUH2
272623.L0110	Q9KGV7
272623.L90239	A0A0B8QP04
272623.L200002	A0A0B8QP65
272623.L160937	A0A0B8R388
272623.L96605	Q48663
272623.L8990	A9Y7S6
272623.L110899	Q0GUG8
272623.L0229	Q9RAV7
272623.L98046	A0A0B8QSM1
272623.L171116	A0A0B8R5G1
272623.L136332	G3AD23
272623.L0354	A9Y6Q2
272623.L166370	G0WJR1
272623.L0234	Q9RAW0
272623.L0136	A9Y6N2
272623.L8990	A9Y7T2
272623.L8990	A9Y7Q1
272623.L104437	H2D3Q7
272623.L102360	A9Y7B7
272623.L0086	A9Y7H5
272623.L0082	E5FQH2
272623.L0283	U5KP98
272623.L31711	A0A0B8QMC0
272623.L161455	A0A0B8QPG9
272623.L160937	A0A0B8QXB7
272623.L138640	Q684J7
272623.L104437	H2D3Q9
272623.L110351	A0A0B8QK97
272623.L94890	Q9KGV3
272623.L79678	A0A0B8R389
272623.L101678	Q9KGV8
272623.L0136	H6SHX3
272623.L0344	Q9KGV6
272623.L138484	G3AD20
272623.L0086	A9Y7E1
272623.L2530	A0A0B8QK81
272623.L27628	A0A0B8R151
272623.L142310	G3ACV3
272623.L104552	A0A0B8R0E0
272623.L24511	Q0GUL1
272623.L5196	Q93MY6
272623.L102360	A9Y7C1
272623.L84260	A0A0B8R0I4
272623.L56488	H2D3Q2
272623.L8990	F1JXT6
272623.L0354	B0F4H6
272623.L0354	A9Y6S2
272623.L20795	A0A0B8QPB4
272623.L111162	A0A0B8QL24
272623.L0264	E5FQN1
272623.L177685	A0A0B8QYG8
272623.L109379	A0A0B8QYH3
272623.L87874	A0A0B8QP10
272623.L8990	A9Y7Q9
272623.L0264	E5FQM2
272623.L200003	A0A0B8QT51
272623.L186490	A0A0B8R1L3
272623.L133858	G3ACV9
272623.L142310	G3ACY8
272623.L0086	E5FQG4
272623.L173848	A0A0B8QN53
272623.L67872	A0A0B8R2Y3
272623.L16848	A0A0B8R4J6
272623.L187918	A0A0B8QT60
272623.L0112	G3ACV8
272623.L0086	A9Y7G8
272623.L0354	F1JY18
272623.L8990	A9Y7R1
272623.L116532	Q0GUK5
272623.L96217	A0A0B8QN97
272623.L51368	A0A0B8QUH9
272623.L151067	A0A0B8QYK4
272623.L183602	T2KFJ0
272623.L44260	A0A0B8QIA0
272623.L35466	A0A0B8QY44
272623.L200051	Q25AY6
272623.L0086	A9Y7J5
272623.L112616	A0A0B8QY74
272623.L0136	A9Y6L9
272623.L86826	O69439
272623.L0354	A9Y6Q6
272623.L102360	B0F4I7
272623.L0354	F1JY09
272623.L0264	E5FQM8
272623.L64175	E5FQJ4
272623.L0231	Q9RAV5
272623.L104437	H2D3Q8
272623.L8990	Q50IR8
272623.L118079	A9Y730
272623.L8990	A9Y7R3
272623.L118079	A9Y732
272623.L142310	G3ACW0
272623.L0086	A9Y7G7
272623.L0260	L7ZB85
272623.L77220	A0A0B8QW10
272623.L56488	H2D3Q1
272623.L136332	G3ACX8
272623.L116532	Q0GUK1
272623.L0137	E7D023
272623.L69089	A0A0B8QPU7
272623.L169187	A0A0B8QUY5
272623.L0329	Q9KGV5
272623.L0086	A9Y7E9
272623.L0136	F1JXR4
272623.L0136	A9Y6L4
272623.L102360	A9Y765
272623.L0086	A9Y7I2
272623.L0233	Q9RAV9
272623.L118079	E5FQJ7
272623.L84494	A0A0B8QKB8
272623.L0233	Q9X425
272623.L71425	A0A0B8QHR8
272623.L106345	A0A0B8QID9
272623.L0232	Q9X424
272623.L18041	A0A0B8QIP1
272623.L173848	A0A0B8QSU5
272623.L138484	G3ACU9
272623.L8990	B0F4J7
272623.L0086	E5FQG8
272623.L0354	A9Y6T7
272623.L128688	G0WJL9
272623.L104437	H2D3Q3
272623.L0354	F1JY10
272623.L0354	A9Y6S5
272623.L118079	A9Y720
272623.L102360	A9Y7B6
272623.L8990	B0F4J3
272623.L172704	A0A0B8QZX7
272623.L94845	A0A0B8R3I1
272623.L107922	A0A0B8QH21
272623.L193030	A0A0B8QJQ7
