511145.b3549	P05100
511145.b3308	P62399
511145.b3305	P0AG55
511145.b3986	P0A7K2
511145.b4203	P0A7R1
511145.b1822	P36999
511145.b4180	P63177
511145.b0859	P75817
511145.b2785	P55135
511145.b3179	P0C0R7
511145.b0807	P75782
511145.b3084	P42596
511145.b0636	P0A8I8
511145.b0967	P75876
511145.b3499	P37634
511145.b0948	P75864
511145.b2806	P0ADR6
511145.b2517	P36979
511145.b0633	P10100
511145.b0058	P0AA37
511145.b1269	P37765
511145.b1086	P0AA39
511145.b2594	P33643
511145.b1135	P75966
511145.b4022	P32684
511145.b0953	P0AFW2
511145.b2039	P37744
511145.b3789	P61887
511145.b2041	P37759
511145.b3788	P27830
511145.b2038	P37745
511145.b2040	P37760
511145.b3832	P0AG71
511145.b1286	P30850
511145.b2567	P0A7Y0
511145.b1804	P09155
511145.b1084	P21513
511145.b3247	P0A9J0
511145.b0183	P10442
511145.b0214	P0A7Y4
511145.b0611	P21338
511145.b0610	P0AFW4
511145.b2630	P52129
511145.b2631	P52130
511145.b3704	P0A7Y8
511145.b3643	P0CG19
511145.b4179	P21499
511145.b1652	P30014
511145.b4396	P0ACI0
511145.b0634	P0ABG7
511145.b2516	P27434
511145.b0189	P0AFW8
511145.b1128	P27431
511145.b3202	P24255
511145.b3386	P0AG07
511145.b2914	P0A7Z0
511145.b4090	P37351
511145.b4089	P0ACS7
511145.b3295	P0A7Z4
511145.b3987	P0A8V2
511145.b3988	P0A8T7
511145.b3067	P00579
511145.b2573	P0AGB6
511145.b3461	P0AGB3
511145.b2741	P13445
511145.b3649	P0A800
511145.b2830	P0A776
511145.b3929	P0A8R0
511145.b4255	P0AF90
511145.b0172	P0A805
511145.b3321	P0A7R5
511145.b3297	P0A7R9
511145.b3342	P0A7S3
511145.b3298	P0A7S9
511145.b3307	P0AG59
511145.b3165	P0ADZ4
511145.b2609	P0A7T3
511145.b3311	P0AG63
511145.b4202	P0A7T7
511145.b3316	P0A7U3
511145.b0911	P0AG67
511145.b0023	P0A7U7
511145.b3065	P68679
511145.b0169	P0A7V0
511145.b3314	P0A7V3
511145.b3296	P0A7V8
511145.b3303	P0A7W1
511145.b4200	P02358
511145.b3341	P02359
511145.b3306	P0A7W7
511145.b3230	P0A7X3
511145.b3995	P0AFX4
511145.b2572	P0AFX7
511145.b2571	P0AFX9
511145.b2570	P46187
511145.b0176	P0AEH1
511145.b4161	P39286
511145.b0051	P06992
511145.b3289	P36929
511145.b4371	P39406
511145.b3465	P0ADX9
511145.b2946	P0AGL7
511145.b1835	P76273
511145.b3740	P0A6U5
511145.b0082	P60390
511145.b3146	P67087
511145.b3497	P68567
511145.b1581	P38104
511145.b1580	P38105
511145.b1540	P0ACM2
511145.b1234	P0AFR0
511145.b1235	P0AEV1
511145.b1608	P52108
511145.b1609	P18392
511145.b2183	P0AA43
511145.b1627	P0A766
511145.b1628	P77223
511145.b1629	P77611
511145.b1630	P76182
511145.b1632	P77179
511145.b1631	P77285
511145.b4475	P46849
511145.b3421	P46850
511145.b3422	P38035
511145.b2176	P76446
511145.b0550	P0AG74
511145.b1012	P75898
511145.b1011	P75897
511145.b1010	P0AFQ5
511145.b1009	P75895
511145.b1008	P75894
511145.b1007	P75893
511145.b1006	P75892
511145.b1013	P0ACU2
511145.b1861	P0A809
511145.b1860	P0A812
511145.b1863	P0A814
511145.b2949	P0A8I1
511145.b4510	P58041
511145.b4689	C1P601
511145.b4528	P58042
511145.b0556	P75719
511145.b1553	P76158
511145.b1525	P76149
511145.b1500	P76136
511145.b2144	P0AFY2
511145.b1294	Q47622
511145.b1293	P0AGH3
511145.b1292	P0AGH5
511145.b1291	P0AAH4
511145.b1290	P0AAH8
511145.b0010	P0AC98
511145.b0397	P13458
511145.b0398	P0AG76
511145.b0377	P0AFY6
511145.b2009	P33012
511145.b2917	P27253
511145.b2919	P52045
511145.b2920	P52043
511145.b2796	P0AAD6
511145.b0723	P0AC41
511145.b0724	P07014
511145.b2366	P00926
511145.b1814	P16095
511145.b2797	P30744
511145.b1916	P07026
511145.b0098	P10408
511145.b3609	P0AG86
511145.b0408	P0AG90
511145.b3981	P0AG96
511145.b0409	P0AG93
511145.b3175	P0AG99
511145.b0097	P62395
511145.b3300	P0AGA2
511145.b3591	P0A821
511145.b3590	P14081
511145.b1764	P16456
511145.b0503	P33667
511145.b0687	P0AFY8
511145.b2913	P0A9T0
511145.b4388	P0AGB0
511145.b0907	P23721
511145.b0070	P31675
511145.b2170	P33026
511145.b3659	P31436
511145.b0355	P51025
511145.b2154	P33018
511145.b0530	P0ABW5
511145.b0531	P77249
511145.b0532	P77468
511145.b0534	P38052
511145.b0533	P75715
511145.b0146	P0A823
511145.b3188	P0ACH1
511145.b3583	P37680
511145.b3581	P37678
511145.b3582	P37679
511145.b4302	P39363
511145.b4565	P58035
511145.b4304	P39365
511145.b4301	P39362
511145.b4303	P39364
511145.b4300	P39361
511145.b4305	P39366
511145.b0069	P33595
511145.b4662	C1P5Z7
511145.b1981	P76350
511145.b4687	C1P611
511145.b1353	P38392
511145.b1214	P0AGM5
511145.b1213	Q46755
511145.b2340	P76502
511145.b0178	P0AEU7
511145.b3641	P0C093
511145.b3506	P37194
511145.b4392	P0AGC3
511145.b1642	P0A8W2
511145.b1641	P0A905
511145.b3349	P0A9K9
511145.b3348	P0A8R4
511145.b4473	P30852
511145.b3284	P0A828
511145.b4387	P0AGC7
511145.b1340	P76053
511145.b0921	P36566
511145.b1646	P0AGD1
511145.b1656	P0AGD3
511145.b3908	P00448
511145.b1272	P0AG14
511145.b1528	P31122
511145.b4063	P0ACS2
511145.b4062	P0A9E2
511145.b2938	P21170
511145.b2937	P60651
511145.b0120	P0A7F6
511145.b0121	P09158
511145.b3650	P0AG24
511145.b1766	P08395
511145.b2944	P39902
511145.b1743	P77754
511145.b3880	P32140
511145.b3881	P32141
511145.b3882	P0A9V8
511145.b3883	P32143
511145.b1480	P68191
511145.b2705	P05707
511145.b2707	P15082
511145.b2576	P21507
511145.b2610	P0AGD7
511145.b4059	P0AGE0
511145.b2522	P0AFZ1
511145.b2879	Q46812
511145.b3229	P0ACA3
511145.b3228	P0AFZ3
511145.b2620	P0A832
511145.b3089	P0AGE4
511145.b0936	P75853
511145.b0933	P0AAI1
511145.b0934	P75851
511145.b0935	P80645
511145.b0937	P80644
511145.b1154	P45581
511145.b1547	P77515
511145.b1372	P76072
511145.b3962	P27306
511145.b2669	P0ACG1
511145.b3917	P0AG78
511145.b0728	P0A836
511145.b0729	P0AGE9
511145.b1309	P76041
511145.b1684	P77667
511145.b1683	P77522
511145.b1682	P77499
511145.b1681	P77689
511145.b1679	P76194
511145.b1680	P77444
511145.b4148	P69937
511145.b2533	P0ADG4
511145.b0958	P0AFZ5
511145.b0822	P75792
511145.b0053	P0ABZ6
511145.b2744	P0A840
511145.b0959	P75869
511145.b2697	P00957
511145.b0526	P21888
511145.b2793	P0A8U0
511145.b1866	P21889
511145.b2400	P04805
511145.b1714	P08312
511145.b1713	P07395
511145.b3560	P00960
511145.b3559	P00961
511145.b2514	P60906
511145.b0026	P00956
511145.b2890	P0A8N3
511145.b4129	P0A8N5
511145.b0642	P07813
511145.b4347	P39394
511145.b2114	P00959
511145.b0930	P0A8M0
511145.b0194	P16659
511145.b0680	P00962
511145.b1876	P11875
511145.b0893	P0A8L1
511145.b1719	P0A8M3
511145.b4258	P07118
511145.b3384	P00954
511145.b1637	P0AGJ9
511145.b4349	P08957
511145.b4350	P08956
511145.b4348	P05719
511145.b4252	P0AF96
511145.b2559	P68398
511145.b2464	P0A867
511145.b0008	P0A870
511145.b4220	P0ADE4
511145.b4221	P39321
511145.b1519	P76145
511145.b2834	P0A9T4
511145.b3836	P69428
511145.b3838	P69425
511145.b3839	P69423
511145.b4483	P27859
511145.b0627	P0A843
511145.b0365	Q47537
511145.b0366	Q47538
511145.b0367	Q47539
511145.b0368	P37610
511145.b2812	Q46927
511145.b3118	P0ACQ7
511145.b3117	P0AGF6
511145.b3116	P0AAD8
511145.b3115	P11868
511145.b3114	P42632
511145.b3113	P0AGL2
511145.b4471	P42630
511145.b3119	P11866
511145.b3616	P07913
511145.b1429	P25396
511145.b1430	P25397
511145.b0494	P0ADA1
511145.b0452	P0AGG2
511145.b1546	P77699
511145.b1156	P09153
511145.b1546	P76155
511145.b1373	P77163
511145.b0406	P0A847
511145.b0342	P07464
511145.b0068	P31550
511145.b3994	P30136
511145.b2103	P76422
511145.b3993	P30137
511145.b3992	P30138
511145.b3991	P30139
511145.b3990	P30140
511145.b0423	P77718
511145.b1106	P75948
511145.b0417	P0AGG0
511145.b2104	P76423
511145.b2582	P0AGG4
511145.b3781	P0AA25
511145.b0067	P31549
511145.b0066	P31548
511145.b4407	O32583
511145.b0147	P37025
511145.b0004	P00934
511145.b2521	P31142
511145.b0436	P0A850
511145.b0188	P52097
511145.b4618	A5A627
511145.b2935	P27302
511145.b2465	P33570
511145.b3244	P0AGG8
511145.b2474	P76562
511145.b3708	P0A853
511145.b3709	P23173
511145.b0739	P19934
511145.b0740	P0A855
511145.b3035	P02930
511145.b0737	P0ABU9
511145.b0738	P0ABV6
511145.b0461	P0AAR0
511145.b1252	P02929
511145.b1274	P06612
511145.b1763	P14294
511145.b0997	P33225
511145.b0996	P33226
511145.b0998	P36662
511145.b4501	Q2EES9
511145.b0995	P38684
511145.b0993	P39453
511145.b0994	P38683
511145.b1873	P52005
511145.b1872	P46923
511145.b3919	P0A858
511145.b1324	P0A862
511145.b1601	P0AFS5
511145.b1197	P13482
511145.b4239	P28904
511145.b3519	P62601
511145.b4241	P36673
511145.b3290	P0AGI8
511145.b1363	P23849
511145.b3849	P0AFZ7
511145.b3965	P23003
511145.b2960	P0A8I5
511145.b2607	P0A873
511145.b3651	P0AGJ2
511145.b2532	P0AE01
511145.b3606	P0AGJ7
511145.b2575	P31825
511145.b1260	P0A877
511145.b1261	P0A879
511145.b1262	P00909
511145.b1264	P00895
511145.b1263	P00904
511145.b4393	P0A881
511145.b2318	P07649
511145.b3166	P60340
511145.b2791	P0AA41
511145.b2745	Q57261
511145.b0888	P0A9P4
511145.b0195	P28634
511145.b1807	P76256
511145.b3282	P45748
511145.b3064	P05852
511145.b4168	P0AF67
511145.b3364	P60778
511145.b0411	P0A927
511145.b1344	P76055
511145.b3061	P05847
511145.b3062	P0AC35
511145.b3060	P45463
511145.b3063	P39414
511145.b3470	P0A890
511145.b3343	P45530
511145.b3344	P45531
511145.b3345	P45532
511145.b0969	P0AB18
511145.b1610	P16525
511145.b3871	P32132
511145.b4382	P07650
511145.b2600	P07023
511145.b4054	P04693
511145.b1907	P0AAD4
511145.b1323	P07604
511145.b2827	P0A884
511145.b2888	Q46821
511145.b4040	P0AGK1
511145.b3835	P0A6A0
511145.b4039	P26602
511145.b3843	P0AAB4
511145.b3833	P0A887
511145.b0662	P75728
511145.b2232	P17993
511145.b2907	P25534
511145.b2906	P25535
511145.b3834	P0ADP7
511145.b2311	P0AG03
511145.b2426	P37440
511145.b2028	P76373
511145.b3831	P12758
511145.b3452	P10905
511145.b3453	P0AG80
511145.b3450	P10907
511145.b3451	P10906
511145.b3449	P10908
511145.b3669	P0AGA6
511145.b3668	P09835
511145.b3667	P09836
511145.b3666	P0AGC0
511145.b1616	P0CE45
511145.b1616	P0CE44
511145.b1615	Q47706
511145.b1618	P0ACT6
511145.b4193	P39301
511145.b4194	P69822
511145.b4195	P69820
511145.b4196	P39304
511145.b4197	P39305
511145.b4198	P39306
511145.b4192	P39300
511145.b4191	P0A9W0
511145.b1184	P04152
511145.b1183	P0AG11
511145.b2580	P12295
511145.b3057	P60932
511145.b0174	P60472
511145.b2498	P0A8F0
511145.b2497	P0AGM7
511145.b2066	P0A8F4
511145.b2319	P08390
511145.b0480	P07024
511145.b3495	P0AED0
511145.b3494	P0A8S5
511145.b1895	P46888
511145.b3923	P0AAB8
511145.b1333	P0AAC0
511145.b1376	P37903
511145.b0607	P39177
511145.b0949	P43672
511145.b4058	P0A698
511145.b0779	P0A8F8
511145.b1913	P0A8G0
511145.b3813	P03018
511145.b1914	P0AED5
511145.b3091	P42604
511145.b1521	P0A6L7
511145.b3092	P0A8G3
511145.b4322	P24215
511145.b4323	P39160
511145.b4324	P39161
511145.b1742	P76214
511145.b3745	P0ADN0
511145.b1960	P09184
511145.b1141	P75970
511145.b3623	P27242
511145.b2034	P37749
511145.b2033	P37750
511145.b2032	P37751
511145.b2059	P77414
511145.b2058	P0ACC9
511145.b2057	P71237
511145.b2056	P71238
511145.b2055	P71239
511145.b2054	P0ACD2
511145.b2050	P32057
511145.b2047	P71241
511145.b2045	P71242
511145.b2044	P71243
511145.b2043	P71244
511145.b3784	P0AC78
511145.b3786	P27828
511145.b3787	P27829
511145.b3790	P27832
511145.b4481	P56258
511145.b3794	P27836
511145.b3561	P37669
511145.b2062	P0A930
511145.b2061	P0AAB2
511145.b2060	P76387
511145.b2046	P77377
511145.b3792	P0AAA7
511145.b3793	P27835
511145.b2027	P76372
511145.b3785	P0AG00
511145.b3654	P0AGM9
511145.b2882	P67444
511145.b2407	P45563
511145.b2406	P45562
511145.b2405	P23841
511145.b2866	Q46799
511145.b2867	Q46800
511145.b2868	Q46801
511145.b2881	Q46814
511145.b3811	P0A8P6
511145.b2894	P0A8P8
511145.b0238	P0A9M5
511145.b2798	P38506
511145.b3565	P00944
511145.b3564	P09099
511145.b4031	P0AGF4
511145.b3566	P37387
511145.b3567	P37388
511145.b3568	P0AGI4
511145.b3569	P0ACI3
511145.b3656	P31434
511145.b0006	P0A8I3
511145.b0013	P28696
511145.b0007	P30143
511145.b0045	P31679
511145.b0011	P75617
511145.b0005	P75616
511145.b0024	P75620
511145.b0065	P30149
511145.b0122	P0AA95
511145.b0101	P0A8H8
511145.b0117	P36682
511145.b0119	P0A8E5
511145.b0135	P31058
511145.b0132	P31665
511145.b0130	P31666
511145.b0127	P36879
511145.b0128	P0AFN6
511145.b0129	P36881
511145.b0136	P37016
511145.b0137	P37017
511145.b0138	P37018
511145.b0141	P37050
511145.b0157	P0AFP0
511145.b0140	P33128
511145.b0193	P37056
511145.b0163	P62768
511145.b0164	P37049
511145.b4406	P0A8K5
511145.b0190	P0AA97
511145.b0187	P52096
511145.b0208	P30864
511145.b0209	P0A8U2
511145.b0210	P30866
511145.b3484	Q2EEP9
511145.b0223	Q47147
511145.b0224	P0AA99
511145.b0227	Q47151
511145.b0232	Q47156
511145.b0233	Q47157
511145.b0234	Q47158
511145.b0225	Q47149
511145.b0213	P75672
511145.b0217	P77339
511145.b0219	Q47679
511145.b0246	Q47684
511145.b0248	P75676
511145.b0251	P77365
511145.b0252	P77206
511145.b0267	P37007
511145.b0268	P75682
511145.b0269	P77596
511145.b0270	P75683
511145.b0271	P77713
511145.b0272	P77300
511145.b0277	P77657
511145.b0278	P77607
511145.b0279	P71296
511145.b0280	P71297
511145.b0283	P77183
511145.b0284	P77489
511145.b0285	P77324
511145.b0286	P77165
511145.b0287	P0AAA1
511145.b0315	P21514
511145.b0316	P77700
511145.b0317	P77219
511145.b0318	P77736
511145.b0319	P77297
511145.b0320	P77187
511145.b0321	P77221
511145.b0324	P77554
511145.b0325	P75691
511145.b0326	P77393
511145.b0327	P75692
511145.b0328	P75693
511145.b0329	P75694
511145.b0389	P0AAN5
511145.b0391	P0C037
511145.b0387	P0A8D3
511145.b0354	P51024
511145.b0358	Q47534
511145.b0363	Q47536
511145.b0364	P71311
511145.b0375	P0AAP5
511145.b0378	P77562
511145.b0379	P0AAP7
511145.b0380	P0AAQ0
511145.b0407	P0ADZ7
511145.b0410	P0AAQ2
511145.b0434	P0ADA5
511145.b0412	P46122
511145.b0424	Q46948
511145.b0419	P77735
511145.b0426	P0A8E7
511145.b0427	P77726
511145.b0456	P0AAQ6
511145.b0471	P0A8B5
511145.b0445	P46890
511145.b0481	P0AAR3
511145.b0478	P39830
511145.b0466	P45807
511145.b0468	P0AAR5
511145.b0447	P0ACJ5
511145.b0482	P77301
511145.b0483	P0A9T6
511145.b0486	P77400
511145.b0442	P0AAR8
511145.b0453	P77717
511145.b0495	P0A9T8
511145.b0498	P33668
511145.b0488	P0AAS3
511145.b0492	P77395
511145.b0493	P0AFP4
511145.b0496	P77504
511145.b0513	P77328
511145.b0567	P37325
511145.b0527	P45570
511145.b0528	P0AAS7
511145.b0544	P77698
511145.b0545	P77368
511145.b0546	P77634
511145.b0547	Q47269
511145.b0549	P68661
511145.b0558	P77598
511145.b0559	P64435
511145.b4512	P0AAS9
511145.b0579	P0AAT2
511145.b0577	P0AAT4
511145.b0599	P45579
511145.b0580	P77506
511145.b0600	P77806
511145.b0601	P77174
511145.b0602	P77216
511145.b0603	P77746
511145.b0608	P77316
511145.b4511	P18393
511145.b0631	P0A8J4
511145.b0629	P30979
511145.b0643	P0AAT9
511145.b0644	P77234
511145.b0645	P77627
511145.b0647	P77296
511145.b0648	P77427
511145.b0659	P0A898
511145.b0699	P0AAU2
511145.b0702	P0AAU5
511145.b0704	P28915
511145.b0706	P28916
511145.b0685	P0AAU7
511145.b0686	P75736
511145.b4590	P46121
511145.b3484	P75741
511145.b3593	P77779
511145.b0689	P75737
511145.b0706	Q2EEQ8
511145.b0707	P24252
511145.b0736	P0A8Z3
511145.b0719	P37909
511145.b0735	P0AAV0
511145.b0742	P45955
511145.b0711	P0AAV4
511145.b0712	P75745
511145.b0713	P75746
511145.b0716	P75748
511145.b0717	P75749
511145.b0718	P75750
511145.b0753	P0AAV6
511145.b0766	P21829
511145.b0773	P12994
511145.b0772	P46130
511145.b0768	P52696
511145.b0794	P0A9U1
511145.b0795	P75777
511145.b0769	P0AAV8
511145.b0770	P75763
511145.b0771	P75764
511145.b0786	P0AAC4
511145.b0787	P75769
511145.b0788	P75770
511145.b0790	P0AAW1
511145.b0791	P0AAW5
511145.b0792	P0AFP9
511145.b0793	P0AFQ2
511145.b0798	P30176
511145.b0800	P30177
511145.b0801	P30178
511145.b0796	P0ACU0
511145.b0803	P41039
511145.b0802	P0AAX3
511145.b0808	P75783
511145.b0818	P75788
511145.b0819	P0AAX8
511145.b0820	P0A9U3
511145.b0821	P75791
511145.b0804	P75779
511145.b0850	P46119
511145.b0876	P75828
511145.b0874	P75826
511145.b0841	P75806
511145.b0843	P0AAY4
511145.b0844	P75809
511145.b0845	P75810
511145.b0847	P60869
511145.b0848	P64439
511145.b0853	P0AAY6
511145.b0858	P0AAZ0
511145.b0865	P75818
511145.b0866	P0A8C1
511145.b0868	P75821
511145.b0869	P75822
511145.b0877	P75829
511145.b0897	P21367
511145.b0898	P21503
511145.b0913	P37443
511145.b0901	P43340
511145.b0909	P43674
511145.b0899	P75835
511145.b0900	P75836
511145.b0905	P75838
511145.b0906	P75839
511145.b0916	P75843
511145.b0917	P0AAZ7
511145.b0925	P22525
511145.b0944	P40876
511145.b0919	P0AB03
511145.b0926	P0AB06
511145.b0927	P75849
511145.b0942	P75859
511145.b0943	P75860
511145.b0947	P75863
511145.b0970	P0AAC6
511145.b1001	P36661
511145.b0961	P0AB12
511145.b1003	P0AB14
511145.b0992	P52636
511145.b0960	P75870
511145.b0964	P0A8X4
511145.b0965	P75874
511145.b1025	P75908
511145.b1029	P75910
511145.b1034	P75914
511145.b1035	P75915
511145.b1036	P75916
511145.b1055	P24188
511145.b1063	P0AB26
511145.b1088	P0AB28
511145.b1087	P0A729
511145.b1097	P28306
511145.b1067	P29217
511145.b1056	P0A8X2
511145.b1050	P0AB31
511145.b1068	P75931
511145.b1058	P64442
511145.b1085	P62066
511145.b1100	P0AFQ7
511145.b1110	P0AB35
511145.b1104	P75946
511145.b1108	P0A8E1
511145.b1113	P75954
511145.b1115	P75955
511145.b1121	P75961
511145.b1188	P29013
511145.b1168	P75995
511145.b1177	P76001
511145.b1179	P0AB43
511145.b1180	P76004
511145.b1181	P0A8L5
511145.b1194	P76010
511145.b1202	P76017
511145.b1161	P75988
511145.b1196	P76012
511145.b1164	P75991
511145.b1242	P25743
511145.b1203	P0ABU2
511145.b1205	P0AB49
511145.b1233	P37052
511145.b1219	P0AB52
511145.b1220	P39165
511145.b1253	P0A8Z0
511145.b1254	P0A710
511145.b1255	P21365
511145.b1257	P21363
511145.b1258	P21362
511145.b1259	P21361
511145.b1282	P08245
511145.b1251	P0AB55
511145.b1271	P31808
511145.b1273	P0AB61
511145.b1267	P0AFR4
511145.b1268	P45848
511145.b1284	P76034
511145.b1248	P0A8L7
511145.b1287	P76035
511145.b4523	P58094
511145.b4595	A5A613
511145.b4596	A5A614
511145.b1289	P45736
511145.b1322	P0A8R7
511145.b1310	P76042
511145.b1311	P0AFR7
511145.b1312	P77716
511145.b1313	P76043
511145.b1314	P76044
511145.b1315	P77503
511145.b1316	P77154
511145.b1320	P77615
511145.b1321	P76046
511145.b1327	P76049
511145.b4526	P38394
511145.b4527	P0ACW0
511145.b1355	P76061
511145.b1341	P77302
511145.b1346	P76057
511145.b1357	P76063
511145.b1358	P76064
511145.b1359	P76065
511145.b1360	P77546
511145.b1406	P25906
511145.b1407	P25907
511145.b1381	P52645
511145.b4529	P0ACW2
511145.b1383	P76076
511145.b1419	P0ACW4
511145.b1460	P28917
511145.b1457	P31991
511145.b1414	P34209
511145.b1426	P0ACW6
511145.b1422	P77171
511145.b1423	P76097
511145.b1428	P76100
511145.b1431	P64451
511145.b1434	P77626
511145.b1433	P76103
511145.b1435	P76104
511145.b1439	P77730
511145.b1440	P76108
511145.b1441	P77795
511145.b1442	P77156
511145.b1443	P0AFR9
511145.b1446	P64455
511145.b1447	P76111
511145.b1496	P31826
511145.b1495	P31827
511145.b1464	P37757
511145.b1473	P46136
511145.b1462	P76121
511145.b1470	P76122
511145.b1477	P67699
511145.b1491	P64426
511145.b1534	P31126
511145.b1535	P31129
511145.b1536	P31130
511145.b1537	P31131
511145.b1497	P76134
511145.b1498	P77318
511145.b1499	P76135
511145.b1501	P77561
511145.b1502	P77588
511145.b1503	P77294
511145.b1504	P77789
511145.b1571	P0ACW8
511145.b1572	P29009
511145.b1573	P21418
511145.b1576	P29010
511145.b1539	P39831
511145.b1542	P77260
511145.b1544	P76154
511145.b1549	P76156
511145.b1555	P76160
511145.b1560	P76162
511145.b1565	P76163
511145.b1541	P64463
511145.b1614	P77804
511145.b1607	P0ACX0
511145.b1598	P76176
511145.b1604	P76177
511145.b1624	P77376
511145.b1626	P76180
511145.b4601	A5A617
511145.b1659	P0ACR2
511145.b1660	P37597
511145.b1647	P76187
511145.b1643	P64471
511145.b1644	P76185
511145.b1645	P76186
511145.b1648	P64474
511145.b1657	P77389
511145.b1664	P77552
511145.b1667	P0ACX3
511145.b1668	P77148
511145.b1669	P77147
511145.b1673	P76192
511145.b1672	P77564
511145.b1671	P77375
511145.b1674	P0AAL6
511145.b1675	P0ACX5
511145.b1692	P0A6D5
511145.b1705	P0ACX9
511145.b1694	P37766
511145.b1685	P64476
511145.b1687	P77748
511145.b1688	P0AFS7
511145.b1689	P76196
511145.b1690	P76197
511145.b1691	P76198
511145.b1695	P0A9U8
511145.b1696	P77402
511145.b1697	P76201
511145.b1698	P77378
511145.b1699	P77337
511145.b1700	P77714
511145.b1706	P77649
511145.b1707	P76204
511145.b1722	P76206
511145.b1724	P64479
511145.b1765	P0ACY1
511145.b1769	P38055
511145.b1770	P77721
511145.b1771	P77256
511145.b1772	P77493
511145.b1773	P77704
511145.b1774	P77280
511145.b1775	P76230
511145.b1776	P77539
511145.b1728	P64481
511145.b1729	P77529
511145.b1730	P76210
511145.b1750	P76219
511145.b1751	P76220
511145.b1752	P76221
511145.b1777	P76231
511145.b1780	P39173
511145.b1781	P76234
511145.b1783	P0ACY3
511145.b1784	P76235
511145.b1785	P76236
511145.b1786	P76237
511145.b1787	P64483
511145.b1789	P0ACY6
511145.b1790	P76241
511145.b1791	P76242
511145.b1792	P76243
511145.b1794	P76245
511145.b1795	P64485
511145.b1797	P64488
511145.b1801	P0ABD1
511145.b1802	P0ABR7
511145.b1803	P76254
511145.b1806	P0AA91
511145.b1862	P24238
511145.b1864	P0A8A0
511145.b1846	P33218
511145.b1847	P33219
511145.b1848	P0ACY9
511145.b1825	P64499
511145.b1828	P76269
511145.b1833	P0AD03
511145.b1834	P76272
511145.b1836	P64503
511145.b1837	P76275
511145.b1839	P64506
511145.b1840	P76278
511145.b1908	P0AD05
511145.b1917	P37774
511145.b1867	P0ADI7
511145.b1868	P37348
511145.b1915	P0AD07
511145.b1906	P46887
511145.b4537	P0AD10
511145.b1875	P52007
511145.b1869	P64515
511145.b1904	P76308
511145.b1918	P0AFT2
511145.b1877	P76296
511145.b1959	P0AA70
511145.b1928	P31063
511145.b1929	P31064
511145.b1930	P0AA31
511145.b1958	P46125
511145.b1962	P46144
511145.b1931	P76318
511145.b1932	P76319
511145.b1956	P76330
511145.b1963	P76334
511145.b1968	P76339
511145.b1969	P76340
511145.b1971	P76342
511145.b1972	P76343
511145.b2008	P33011
511145.b2012	P33014
511145.b2013	P33015
511145.b1978	P76347
511145.b1983	P0A8A2
511145.b1985	P76352
511145.b2001	P76361
511145.b2002	P76362
511145.b2003	P64521
511145.b2007	P0A8M6
511145.b2015	P76369
511145.b2016	P0AD12
511145.b2017	P69346
511145.b2069	P36928
511145.b2067	P38097
511145.b2063	P76389
511145.b2070	P76393
511145.b2071	P76394
511145.b2072	P76395
511145.b2073	P76396
511145.b2080	P76402
511145.b2081	P76403
511145.b2085	P76406
511145.b2086	P76407
511145.b2098	P76417
511145.b2099	P76418
511145.b2100	P76419
511145.b2101	P0ACM5
511145.b2102	P76421
511145.b2108	P33340
511145.b2109	P33341
511145.b2110	P33342
511145.b2111	P33343
511145.b2112	P33344
511145.b2118	P33346
511145.b4541	P33347
511145.b2119	P33348
511145.b2120	P33349
511145.b2121	P33352
511145.b2123	P33354
511145.b2124	P33355
511145.b2125	P0AFT5
511145.b2126	P0AD14
511145.b2128	P33359
511145.b2129	P33360
511145.b2130	P33361
511145.b2152	P25747
511145.b2157	P0ACR4
511145.b2158	P62723
511145.b2160	P33020
511145.b2163	P0A9E9
511145.b2172	P33029
511145.b2173	P33030
511145.b2145	P64536
511145.b4502	P0AFT8
511145.b2177	P33913
511145.b2178	P0AFU0
511145.b2179	P33915
511145.b2180	P33916
511145.b2181	P0AD21
511145.b2184	P33919
511145.b2187	P0AD24
511145.b2188	P0AD27
511145.b2230	P17994
511145.b2244	P37014
511145.b2236	P0ABW3
511145.b2233	P45508
511145.b2225	P76462
511145.b2226	P76463
511145.b2229	P76466
511145.b2250	P76471
511145.b2270	P76481
511145.b2271	P76482
511145.b2272	P76483
511145.b2273	P76484
511145.b2274	P76485
511145.b2275	P76486
511145.b2292	P0AFU2
511145.b2293	P77625
511145.b2294	P0A8W8
511145.b2295	P0A8D9
511145.b2327	P0AD30
511145.b2298	P39263
511145.b2299	P65556
511145.b2300	P67095
511145.b2301	P77544
511145.b2302	P77526
511145.b2304	P77775
511145.b2305	P77768
511145.b2322	P77549
511145.b2325	P64540
511145.b2331	P0A8B2
511145.b2332	P76498
511145.b2333	P76499
511145.b2334	P76500
511145.b2335	P76501
511145.b2336	P77599
511145.b2339	P77288
511145.b2343	P0AD33
511145.b2347	P37327
511145.b2345	P76505
511145.b2352	P76507
511145.b2354	P77656
511145.b2357	P76510
511145.b2359	P76512
511145.b2360	P76513
511145.b2361	P76514
511145.b2362	P76515
511145.b2363	P76516
511145.b2372	P0AA49
511145.b2375	P76520
511145.b2377	P76521
511145.b2395	P23842
511145.b2398	P0AD37
511145.b2399	P27238
511145.b2410	P39836
511145.b2419	Q47702
511145.b2408	P45564
511145.b2389	P67729
511145.b2409	P0ACR7
511145.b2420	P78271
511145.b2430	P77619
511145.b2431	P76536
511145.b2432	P76537
511145.b2433	P76538
