593117.TGAM_1786	C5A1L9
593117.TGAM_0365	C5A3Q5
593117.TGAM_0023	C5A2M3
593117.TGAM_0174	C5A364
593117.TGAM_0867	C5A557
593117.TGAM_0562	C5A4A2
593117.TGAM_0984	C5A5H4
593117.TGAM_1511	C5A701
593117.TGAM_1301	C5A6E1
593117.TGAM_0041	C5A2P1
593117.TGAM_0438	C5A3X8
593117.TGAM_0518	C5A458
593117.TGAM_1341	C5A6I1
593117.TGAM_1277	C5A6B7
593117.TGAM_0994	C5A5I4
593117.TGAM_1159	C5A5Z9
593117.TGAM_1504	C5A6Z4
593117.TGAM_1575	C5A765
593117.TGAM_1488	C5A6X8
593117.TGAM_1572	C5A762
593117.TGAM_1047	C5A5N7
593117.TGAM_0450	C5A3Z0
593117.TGAM_1440	C5A6T0
593117.TGAM_1115	C5A5V5
593117.TGAM_1658	C5A7E8
593117.TGAM_0636	C5A4H6
593117.TGAM_1945	C5A228
593117.TGAM_0626	C5A4G6
593117.TGAM_1314	C5A6F4
593117.TGAM_0447	C5A3Y7
593117.TGAM_1010	C5A5K0
593117.TGAM_2076	C5A2F9
593117.TGAM_0719	C5A4Q9
593117.TGAM_0795	C5A4Y5
593117.TGAM_0857	C5A547
593117.TGAM_0527	C5A467
593117.TGAM_0417	C5A3V7
593117.TGAM_1105	C5A5U5
593117.TGAM_1169	C5A609
593117.TGAM_0005	C5A2K5
593117.TGAM_0209	C5A399
593117.TGAM_1298	C5A6D8
593117.TGAM_0464	C5A404
593117.TGAM_0802	C5A4Z2
593117.TGAM_0695	C5A4N5
593117.TGAM_0200	C5A390
593117.TGAM_1022	C5A5L2
593117.TGAM_1381	C5A6M1
593117.TGAM_0622	C5A4G2
593117.TGAM_2144	C5A2Y5
593117.TGAM_0371	C5A3R1
593117.TGAM_0258	C5A3E8
593117.TGAM_0956	C5A5E6
593117.TGAM_0433	C5A3X3
593117.TGAM_0813	C5A503
593117.TGAM_2128	C5A2W9
593117.TGAM_0339	C5A3M9
593117.TGAM_0410	C5A3V0
593117.TGAM_1066	C5A5Q6
593117.TGAM_1383	C5A6M3
593117.TGAM_1640	C5A7D0
593117.TGAM_1703	C5A7J3
593117.TGAM_1836	C5A1R9
593117.TGAM_1409	C5A6P9
593117.TGAM_1843	C5A1S6
593117.TGAM_1164	C5A604
593117.TGAM_1405	C5A6P5
593117.TGAM_1211	C5A651
593117.TGAM_1971	C5A254
593117.TGAM_0304	C5A3J4
593117.TGAM_1940	C5A223
593117.TGAM_0405	C5A3U5
593117.TGAM_2132	C5A2X3
593117.TGAM_0568	C5A4A8
593117.TGAM_0235	C5A3C5
593117.TGAM_0660	C5A4K0
593117.TGAM_0680	C5A4M0
593117.TGAM_0263	C5A3F3
593117.TGAM_0427	C5A3W7
593117.TGAM_0523	C5A463
593117.TGAM_0948	C5A5D8
593117.TGAM_1318	C5A6F8
593117.TGAM_0819	C5A509
593117.TGAM_1077	C5A5R7
593117.TGAM_0985	C5A5H5
593117.TGAM_1765	C5A1J8
593117.TGAM_0142	C5A332
593117.TGAM_0275	C5A3G5
593117.TGAM_0885	C5A575
593117.TGAM_1340	C5A6I0
593117.TGAM_0159	C5A349
593117.TGAM_0494	C5A434
593117.TGAM_0686	C5A4M6
593117.TGAM_1334	C5A6H4
593117.TGAM_1420	C5A6R0
593117.TGAM_0317	C5A3K7
593117.TGAM_1763	C5A1J6
593117.TGAM_1170	C5A610
593117.TGAM_1890	C5A1X3
593117.TGAM_1936	C5A219
593117.TGAM_2031	C5A2B4
593117.TGAM_0090	C5A2U0
593117.TGAM_0462	C5A402
593117.TGAM_1185	C5A625
593117.TGAM_1429	C5A6R9
593117.TGAM_1461	C5A6V1
593117.TGAM_0066	C5A2R6
593117.TGAM_0407	C5A3U7
593117.TGAM_0610	C5A4F0
593117.TGAM_0701	C5A4P1
593117.TGAM_0801	C5A4Z1
593117.TGAM_0949	C5A5D9
593117.TGAM_0460	C5A400
593117.TGAM_1039	C5A5M9
593117.TGAM_1061	C5A5Q1
593117.TGAM_1948	C5A231
593117.TGAM_2012	C5A295
593117.TGAM_0510	C5A450
593117.TGAM_0812	C5A502
593117.TGAM_0981	C5A5H1
593117.TGAM_0131	C5A321
593117.TGAM_1242	C5A682
593117.TGAM_1174	C5A614
593117.TGAM_1650	C5A7E0
593117.TGAM_1032	C5A5M2
593117.TGAM_1621	C5A7B1
593117.TGAM_1929	C5A212
593117.TGAM_0334	C5A3M4
593117.TGAM_1287	C5A6C7
593117.TGAM_1393	C5A6N3
593117.TGAM_1782	C5A1L5
593117.TGAM_1229	C5A669
593117.TGAM_1265	C5A6A5
593117.TGAM_1602	C5A792
593117.TGAM_1785	C5A1L8
593117.TGAM_2029	C5A2B2
593117.TGAM_0483	C5A423
593117.TGAM_0685	C5A4M5
593117.TGAM_0822	C5A512
593117.TGAM_0974	C5A5G4
593117.TGAM_2066	C5A2E9
593117.TGAM_0038	C5A2N8
593117.TGAM_0177	C5A367
593117.TGAM_0682	C5A4M2
593117.TGAM_2127	C5A2W8
593117.TGAM_0068	C5A2R8
593117.TGAM_0188	C5A378
593117.TGAM_0839	C5A529
593117.TGAM_1368	C5A6K8
593117.TGAM_1395	C5A6N5
593117.TGAM_1201	C5A641
593117.TGAM_1454	C5A6U4
593117.TGAM_1382	C5A6M2
593117.TGAM_1557	C5A747
593117.TGAM_1815	C5A1P8
593117.TGAM_1462	C5A6V2
593117.TGAM_1712	C5A7K2
593117.TGAM_0354	C5A3P4
593117.TGAM_0572	C5A4B2
593117.TGAM_0374	C5A3R4
593117.TGAM_2034	C5A2B7
593117.TGAM_0749	C5A4T9
593117.TGAM_0935	C5A5C5
593117.TGAM_0950	C5A5E0
593117.TGAM_1062	C5A5Q2
593117.TGAM_1342	C5A6I2
593117.TGAM_0199	C5A389
593117.TGAM_1446	C5A6T6
593117.TGAM_2048	C5A2D1
593117.TGAM_2153	C5A2Z4
593117.TGAM_0240	C5A3D0
593117.TGAM_0662	C5A4K2
593117.TGAM_1251	C5A691
593117.TGAM_1422	C5A6R2
593117.TGAM_0276	C5A3G6
593117.TGAM_2040	C5A2C3
593117.TGAM_0816	C5A506
593117.TGAM_1812	C5A1P5
593117.TGAM_1475	C5A6W5
593117.TGAM_1733	C5A1G6
593117.TGAM_1601	C5A791
593117.TGAM_1610	C5A7A0
593117.TGAM_1917	C5A200
593117.TGAM_0491	C5A431
593117.TGAM_2102	C5A2I5
593117.TGAM_0625	C5A4G5
593117.TGAM_1126	C5A5W6
593117.TGAM_1058	C5A5P8
593117.TGAM_1171	C5A611
593117.TGAM_1698	C5A7I8
593117.TGAM_1615	C5A7A5
593117.TGAM_0617	C5A4F7
593117.TGAM_0078	C5A2S8
593117.TGAM_0437	C5A3X7
593117.TGAM_0515	C5A455
593117.TGAM_0124	C5A314
593117.TGAM_0533	C5A473
593117.TGAM_0803	C5A4Z3
593117.TGAM_1358	C5A6J8
593117.TGAM_0031	C5A2N1
593117.TGAM_0169	C5A359
593117.TGAM_0250	C5A3E0
593117.TGAM_0770	C5A4W0
593117.TGAM_0242	C5A3D2
593117.TGAM_1135	C5A5X5
593117.TGAM_0998	C5A5I8
593117.TGAM_1143	C5A5Y3
593117.TGAM_1941	C5A224
593117.TGAM_0704	C5A4P4
593117.TGAM_1506	C5A6Z6
593117.TGAM_1732	C5A1G5
593117.TGAM_1865	C5A1U8
593117.TGAM_1869	C5A1V2
593117.TGAM_1518	C5A708
593117.TGAM_1946	C5A229
593117.TGAM_0311	C5A3K1
593117.TGAM_0627	C5A4G7
593117.TGAM_1122	C5A5W2
593117.TGAM_1606	C5A796
593117.TGAM_1470	C5A6W0
593117.TGAM_0619	C5A4F9
593117.TGAM_0034	C5A2N4
593117.TGAM_0435	C5A3X5
593117.TGAM_0906	C5A596
593117.TGAM_2051	C5A2D4
593117.TGAM_1012	C5A5K2
593117.TGAM_1040	C5A5N0
593117.TGAM_1823	C5A1Q6
593117.TGAM_1085	C5A5S5
593117.TGAM_0642	C5A4I2
593117.TGAM_1841	C5A1S4
593117.TGAM_0215	C5A3A5
593117.TGAM_0718	C5A4Q8
593117.TGAM_0827	C5A517
593117.TGAM_0831	C5A521
593117.TGAM_0833	C5A523
593117.TGAM_0959	C5A5E9
593117.TGAM_1303	C5A6E3
593117.TGAM_0540	C5A480
593117.TGAM_1067	C5A5Q7
593117.TGAM_1021	C5A5L1
593117.TGAM_1891	C5A1X4
593117.TGAM_0414	C5A3V4
593117.TGAM_0978	C5A5G8
593117.TGAM_1389	C5A6M9
593117.TGAM_1205	C5A645
593117.TGAM_1414	C5A6Q4
593117.TGAM_0366	C5A3Q6
593117.TGAM_0403	C5A3U3
593117.TGAM_0641	C5A4I1
593117.TGAM_0689	C5A4M9
593117.TGAM_2103	C5A2I6
593117.TGAM_0931	C5A5C1
593117.TGAM_0986	C5A5H6
593117.TGAM_1878	C5A1W1
593117.TGAM_1499	C5A6Y9
593117.TGAM_0158	C5A348
593117.TGAM_1193	C5A633
593117.TGAM_1123	C5A5W3
593117.TGAM_1095	C5A5T5
593117.TGAM_1512	C5A702
593117.TGAM_0576	C5A4B6
593117.TGAM_0170	C5A360
593117.TGAM_0751	C5A4U1
593117.TGAM_0150	C5A340
593117.TGAM_2064	C5A2E7
593117.TGAM_0687	C5A4M7
593117.TGAM_0553	C5A493
593117.TGAM_0091	C5A2U1
593117.TGAM_1496	C5A6Y6
593117.TGAM_0030	C5A2N0
593117.TGAM_1742	C5A1H5
593117.TGAM_1391	C5A6N1
593117.TGAM_1554	C5A744
593117.TGAM_1036	C5A5M6
593117.TGAM_1262	C5A6A2
593117.TGAM_1412	C5A6Q2
593117.TGAM_1151	C5A5Z1
593117.TGAM_1221	C5A661
593117.TGAM_1526	C5A716
593117.TGAM_1528	C5A718
593117.TGAM_0183	C5A373
593117.TGAM_0526	C5A466
593117.TGAM_1772	C5A1K5
593117.TGAM_1167	C5A607
593117.TGAM_0173	C5A363
593117.TGAM_0454	C5A3Z4
593117.TGAM_1280	C5A6C0
593117.TGAM_0897	C5A587
593117.TGAM_2117	C5A2V8
593117.TGAM_0017	C5A2L7
593117.TGAM_0187	C5A377
593117.TGAM_1819	C5A1Q2
593117.TGAM_1180	C5A620
593117.TGAM_1566	C5A756
593117.TGAM_2030	C5A2B3
593117.TGAM_0296	C5A3I6
593117.TGAM_0875	C5A565
593117.TGAM_0308	C5A3J8
593117.TGAM_1503	C5A6Z3
593117.TGAM_2047	C5A2D0
593117.TGAM_0863	C5A553
593117.TGAM_0873	C5A563
593117.TGAM_1932	C5A215
593117.TGAM_1748	C5A1I1
593117.TGAM_1693	C5A7I3
593117.TGAM_0160	C5A350
593117.TGAM_2150	C5A2Z1
593117.TGAM_1704	C5A7J4
593117.TGAM_1042	C5A5N2
593117.TGAM_1120	C5A5W0
593117.TGAM_1228	C5A668
593117.TGAM_1338	C5A6H8
593117.TGAM_1618	C5A7A8
593117.TGAM_1751	C5A1I4
593117.TGAM_1153	C5A5Z3
593117.TGAM_0069	C5A2R9
593117.TGAM_1204	C5A644
593117.TGAM_1822	C5A1Q5
593117.TGAM_1140	C5A5Y0
593117.TGAM_1678	C5A7G8
593117.TGAM_1990	C5A273
593117.TGAM_1884	C5A1W7
593117.TGAM_0592	C5A4D2
593117.TGAM_0220	C5A3B0
593117.TGAM_0968	C5A5F8
593117.TGAM_0733	C5A4S3
593117.TGAM_0765	C5A4V5
593117.TGAM_0854	C5A544
593117.TGAM_2065	C5A2E8
593117.TGAM_0227	C5A3B7
593117.TGAM_0456	C5A3Z6
593117.TGAM_0829	C5A519
593117.TGAM_0992	C5A5I2
593117.TGAM_1328	C5A6G8
593117.TGAM_0413	C5A3V3
593117.TGAM_0542	C5A482
593117.TGAM_1110	C5A5V0
593117.TGAM_1124	C5A5W4
593117.TGAM_0064	C5A2R4
593117.TGAM_1956	C5A239
593117.TGAM_2139	C5A2Y0
593117.TGAM_0330	C5A3M0
593117.TGAM_0213	C5A3A3
593117.TGAM_0252	C5A3E2
593117.TGAM_0541	C5A481
593117.TGAM_0972	C5A5G2
593117.TGAM_1339	C5A6H9
593117.TGAM_0198	C5A388
593117.TGAM_0869	C5A559
593117.TGAM_1731	C5A1G4
593117.TGAM_1626	C5A7B6
593117.TGAM_0531	C5A471
593117.TGAM_1335	C5A6H5
593117.TGAM_1365	C5A6K5
593117.TGAM_1845	C5A1S8
593117.TGAM_1083	C5A5S3
593117.TGAM_1384	C5A6M4
593117.TGAM_1458	C5A6U8
593117.TGAM_0581	C5A4C1
593117.TGAM_0983	C5A5H3
593117.TGAM_1796	C5A1M9
593117.TGAM_1156	C5A5Z6
593117.TGAM_1411	C5A6Q1
593117.TGAM_0268	C5A3F8
593117.TGAM_0347	C5A3N7
593117.TGAM_1910	C5A1Z3
593117.TGAM_0378	C5A3R8
593117.TGAM_0011	C5A2L1
593117.TGAM_0247	C5A3D7
593117.TGAM_1915	C5A1Z8
593117.TGAM_0256	C5A3E6
593117.TGAM_0881	C5A571
593117.TGAM_1319	C5A6F9
593117.TGAM_0700	C5A4P0
593117.TGAM_1307	C5A6E7
593117.TGAM_0990	C5A5I0
593117.TGAM_0048	C5A2P8
593117.TGAM_1380	C5A6M0
593117.TGAM_1482	C5A6X2
593117.TGAM_1635	C5A7C5
593117.TGAM_0602	C5A4E2
593117.TGAM_0916	C5A5A6
593117.TGAM_1131	C5A5X1
593117.TGAM_1227	C5A667
593117.TGAM_1052	C5A5P2
593117.TGAM_1057	C5A5P7
593117.TGAM_1870	C5A1V3
593117.TGAM_1206	C5A646
593117.TGAM_1663	C5A7F4
593117.TGAM_1944	C5A227
593117.TGAM_0584	C5A4C4
593117.TGAM_0598	C5A4D8
593117.TGAM_0946	C5A5D6
593117.TGAM_0955	C5A5E5
593117.TGAM_1006	C5A5J6
593117.TGAM_1163	C5A603
593117.TGAM_1367	C5A6K7
593117.TGAM_1445	C5A6T5
593117.TGAM_2119	C5A2W0
593117.TGAM_2138	C5A2X9
593117.TGAM_0753	C5A4U3
593117.TGAM_1289	C5A6C9
593117.TGAM_0138	C5A328
593117.TGAM_0037	C5A2N7
593117.TGAM_1516	C5A706
593117.TGAM_1523	C5A713
593117.TGAM_1217	C5A657
593117.TGAM_1973	C5A256
593117.TGAM_0119	C5A309
593117.TGAM_0162	C5A352
593117.TGAM_0582	C5A4C2
593117.TGAM_0771	C5A4W1
593117.TGAM_0912	C5A5A2
593117.TGAM_1182	C5A622
593117.TGAM_1835	C5A1R8
593117.TGAM_1472	C5A6W2
593117.TGAM_1611	C5A7A1
593117.TGAM_0472	C5A412
593117.TGAM_0774	C5A4W4
593117.TGAM_1692	C5A7I2
593117.TGAM_1116	C5A5V6
593117.TGAM_1625	C5A7B5
593117.TGAM_2090	C5A2H3
593117.TGAM_2100	C5A2I3
593117.TGAM_0254	C5A3E4
593117.TGAM_0697	C5A4N8
593117.TGAM_0805	C5A4Z5
593117.TGAM_0266	C5A3F6
593117.TGAM_0394	C5A3T4
593117.TGAM_0019	C5A2L9
593117.TGAM_0026	C5A2M6
593117.TGAM_0757	C5A4U7
593117.TGAM_0934	C5A5C4
593117.TGAM_1525	C5A715
593117.TGAM_0693	C5A4N3
593117.TGAM_0536	C5A476
593117.TGAM_0830	C5A520
593117.TGAM_2082	C5A2G5
593117.TGAM_0703	C5A4P3
593117.TGAM_1091	C5A5T1
593117.TGAM_0964	C5A5F4
593117.TGAM_0843	C5A533
593117.TGAM_1691	C5A7I1
593117.TGAM_1720	C5A7L0
593117.TGAM_1097	C5A5T7
593117.TGAM_1441	C5A6T1
593117.TGAM_1749	C5A1I2
593117.TGAM_1101	C5A5U1
593117.TGAM_1114	C5A5V4
593117.TGAM_1261	C5A6A1
593117.TGAM_0393	C5A3T3
593117.TGAM_0651	C5A4J1
593117.TGAM_0115	C5A305
593117.TGAM_1283	C5A6C3
593117.TGAM_1795	C5A1M8
593117.TGAM_1756	C5A1I9
593117.TGAM_1336	C5A6H6
593117.TGAM_0259	C5A3E9
593117.TGAM_0722	C5A4R2
593117.TGAM_2015	C5A298
593117.TGAM_1931	C5A214
593117.TGAM_1955	C5A238
593117.TGAM_1376	C5A6L6
593117.TGAM_1598	C5A788
593117.TGAM_1708	C5A7J8
593117.TGAM_0008	C5A2K8
593117.TGAM_1363	C5A6K3
593117.TGAM_1851	C5A1T4
593117.TGAM_0178	C5A368
593117.TGAM_1791	C5A1M4
593117.TGAM_1579	C5A769
593117.TGAM_1780	C5A1L3
593117.TGAM_1197	C5A637
593117.TGAM_1697	C5A7I7
593117.TGAM_0300	C5A3J0
593117.TGAM_2109	C5A2J2
593117.TGAM_1293	C5A6D3
593117.TGAM_0172	C5A362
593117.TGAM_1560	C5A750
593117.TGAM_1875	C5A1V8
593117.TGAM_0593	C5A4D3
593117.TGAM_0375	C5A3R5
593117.TGAM_0391	C5A3T1
593117.TGAM_0575	C5A4B5
593117.TGAM_1988	C5A271
593117.TGAM_0056	C5A2Q6
593117.TGAM_0097	C5A2U7
593117.TGAM_2057	C5A2E0
593117.TGAM_0179	C5A369
593117.TGAM_0513	C5A453
593117.TGAM_0015	C5A2L5
593117.TGAM_0838	C5A528
593117.TGAM_0908	C5A598
593117.TGAM_0616	C5A4F6
593117.TGAM_0742	C5A4T2
593117.TGAM_1558	C5A748
593117.TGAM_0737	C5A4S7
593117.TGAM_1847	C5A1T0
593117.TGAM_1872	C5A1V5
593117.TGAM_1263	C5A6A3
593117.TGAM_1192	C5A632
593117.TGAM_1267	C5A6A7
593117.TGAM_1237	C5A677
593117.TGAM_1100	C5A5U0
593117.TGAM_1483	C5A6X3
593117.TGAM_1715	C5A7K5
593117.TGAM_0588	C5A4C8
593117.TGAM_1889	C5A1X2
593117.TGAM_0094	C5A2U4
593117.TGAM_1942	C5A225
593117.TGAM_0913	C5A5A3
593117.TGAM_0014	C5A2L4
593117.TGAM_0821	C5A511
593117.TGAM_0847	C5A537
593117.TGAM_0492	C5A432
593117.TGAM_0045	C5A2P5
593117.TGAM_0221	C5A3B1
593117.TGAM_0901	C5A591
593117.TGAM_0101	C5A2V1
593117.TGAM_2091	C5A2H4
593117.TGAM_0009	C5A2K9
593117.TGAM_0498	C5A438
593117.TGAM_0712	C5A4Q2
593117.TGAM_1118	C5A5V8
593117.TGAM_1799	C5A1N2
593117.TGAM_0918	C5A5A8
593117.TGAM_1821	C5A1Q4
593117.TGAM_1259	C5A699
593117.TGAM_0003	C5A2K3
593117.TGAM_0446	C5A3Y6
593117.TGAM_0872	C5A562
593117.TGAM_0887	C5A577
593117.TGAM_0470	C5A410
593117.TGAM_1893	C5A1X6
593117.TGAM_0921	C5A5B1
593117.TGAM_1357	C5A6J7
593117.TGAM_0556	C5A496
593117.TGAM_1087	C5A5S7
593117.TGAM_1019	C5A5K9
593117.TGAM_1925	C5A208
593117.TGAM_2142	C5A2Y3
593117.TGAM_0012	C5A2L2
593117.TGAM_0938	C5A5C8
593117.TGAM_0428	C5A3W8
593117.TGAM_2108	C5A2J1
593117.TGAM_1907	C5A1Z0
593117.TGAM_0866	C5A556
593117.TGAM_2044	C5A2C7
593117.TGAM_0721	C5A4R1
593117.TGAM_1247	C5A687
593117.TGAM_0270	C5A3G0
593117.TGAM_1139	C5A5X9
593117.TGAM_1258	C5A698
593117.TGAM_1421	C5A6R1
593117.TGAM_1487	C5A6X7
593117.TGAM_1491	C5A6Y1
593117.TGAM_1852	C5A1T5
593117.TGAM_1081	C5A5S1
593117.TGAM_1778	C5A1L1
593117.TGAM_1736	C5A1G9
593117.TGAM_1830	C5A1R3
593117.TGAM_0631	C5A4H1
593117.TGAM_0409	C5A3U9
