3702.AT1G22300.1	P48347
3702.AT5G20390.1	Q8VZ16
3702.AT1G51520.2	Q9C8K4
3702.AT1G72580.1	Q9CAH4
3702.AT1G70500.1	Q9CAL5
3702.AT4G13070.1	Q9SV62
3702.AT4G39320.1	Q9T038
3702.AT4G15120.1	O23366
3702.AT2G43570.1	O24603
3702.AT4G02480.1	O81286
3702.AT2G46150.1	O82354
3702.AT3G55080.1	Q5PP40
3702.AT5G63200.1	Q67YJ9
3702.AT1G04985.1	Q84JL8
3702.AT3G13040.1	Q949U2
3702.AT5G49100.1	Q9FH24
3702.AT5G53740.1	Q9FI02
3702.AT4G05270.1	Q9M0W8
3702.AT4G39020.1	Q9SVJ1
3702.AT1G64280.1	B2BDI8
3702.AT4G30900.1	F4JR41
3702.AT5G26770.1	F4K1B4
3702.AT5G27220.1	O04650
3702.AT1G79220.1	O64531
3702.AT2G19880.2	O82193
3702.AT3G07930.3	Q0IGK1
3702.AT4G15050.1	Q1PE81
3702.AT1G35030.1	Q9C6D6
3702.AT5G46990.1	Q9FJR2
3702.AT3G25070.1	B2BDQ1
3702.AT4G19480.1	O49466
3702.AT4G19370.1	O65708
3702.AT5G22875.1	Q8LBZ1
3702.AT2G34585.1	Q8S8R9
3702.AT5G66480.1	Q93ZY1
3702.AT5G27830.4	Q94BQ5
3702.AT1G42080.1	Q9C760
3702.AT1G63300.1	Q9C8T4
3702.AT5G43030.1	Q9FMI1
3702.AT3G43170.1	Q9LXL7
3702.AT3G05920.1	Q9SFF7
3702.AT1G28760.1	Q9SHQ6
3702.AT4G36580.1	O23223
3702.AT4G25225.1	Q1G3H9
3702.AT1G03160.1	Q67Z21
3702.AT4G22830.2	Q8GWI3
3702.AT3G04830.1	Q93WC8
3702.AT5G46380.1	Q9FL24
3702.AT5G40970.1	Q9FLN2
3702.AT3G62610.1	Q9LZK4
3702.AT3G54420.1	Q9M2U5
3702.AT4G10490.1	Q9ZSA7
3702.AT4G00270.1	O23075
3702.AT1G65450.1	O80816
3702.AT2G20420.1	Q56Z20
3702.AT1G62610.4	Q5PP71
3702.AT3G58130.1	Q6DBN0
3702.AT4G22285.1	Q8H148
3702.AT5G44470.1	Q9FI18
3702.AT5G07680.1	Q9FLR3
3702.AT1G64105.1	Q9SH61
3702.AT3G10210.1	Q9SS33
3702.AT4G27900.1	Q9SUE8
3702.AT4G17140.3	O23556
3702.AT1G19530.1	Q93WK6
3702.AT1G29980.1	Q9C8S1
3702.AT1G73120.1	Q9CAS9
3702.AT5G37410.1	Q9FG47
3702.AT1G71310.1	Q9FVV7
3702.AT3G22240.1	Q9LHJ3
3702.AT3G18280.1	Q9LJQ3
3702.AT5G04000.2	Q9LZB0
3702.AT1G49000.1	Q9M9A2
3702.AT4G37420.1	Q9SZU2
3702.AT2G26170.1	A5YYJ7
3702.AT4G16670.1	O23510
3702.AT4G22360.1	O49641
3702.AT2G01560.1	Q1PFB1
3702.AT1G04500.1	Q1PFY7
3702.AT2G32960.1	Q84MD6
3702.AT5G02580.1	Q84TG0
3702.AT4G08280.1	Q93WH0
3702.AT1G67540.2	Q9CAG4
3702.AT1G27410.1	Q9FZJ4
3702.AT3G12510.1	Q9LHF8
3702.AT3G56360.1	Q9LY04
3702.AT1G62333.1	Q9MAV4
3702.AT4G28760.1	Q9SVU3
3702.AT4G03610.1	Q9SY39
3702.AT4G27680.1	Q9T090
3702.AT2G27080.1	Q9ZVD2
3702.AT3G15770.1	B9DGF6
3702.AT4G22940.1	O82742
3702.AT5G01881.1	Q2V3A8
3702.AT2G40390.1	Q6DR18
3702.AT5G08185.2	Q8VZ98
3702.AT5G66950.1	Q9FGD5
3702.AT3G18800.1	Q9LS96
3702.AT5G48140.1	Q9LUB8
3702.AT2G32210.1	Q9SKX9
3702.AT4G13750.1	Q9SVN8
3702.AT4G39140.1	Q9T023
3702.AT2G07640.1	Q9XE46
3702.AT4G31960.1	Q5Q0B2
3702.AT5G55680.1	Q9FM70
3702.AT5G07560.1	Q9LY07
3702.AT1G60360.1	O80757
3702.AT2G22790.1	O82400
3702.AT5G04320.2	Q0WTB8
3702.AT2G33735.1	Q8RYC5
3702.AT2G14095.1	Q8S8A5
3702.AT1G54380.1	Q9C5M7
3702.AT5G54950.1	Q9FFT5
3702.AT5G17900.1	Q9FKN6
3702.AT3G43150.1	Q9FY45
3702.AT3G61090.1	Q9LEW7
3702.AT1G65210.1	Q9S9K1
3702.AT1G10720.1	Q9SAD0
3702.AT3G07210.1	Q9SFV1
3702.AT4G33180.1	Q9SMZ1
3702.AT4G31310.1	O49580
3702.AT1G65230.1	Q8L604
3702.AT3G63290.1	Q8VYD7
3702.AT3G24740.1	Q9LRY5
3702.AT4G22650.1	Q9SUV6
3702.AT5G44000.1	Q1H5B1
3702.AT3G13432.1	Q56YQ1
3702.AT3G10880.1	Q58FW3
3702.AT3G01410.1	Q6NQM2
3702.AT5G41870.1	Q9FJ27
3702.AT5G12060.1	Q9FMQ4
3702.AT5G09330.1	Q9FY82
3702.AT5G10090.1	Q9LX19
3702.AT3G44700.1	Q9M1N4
3702.AT1G15610.1	Q9M9D5
3702.AT3G03290.1	Q9M9P7
3702.AT1G80720.1	Q9SAI6
3702.AT3G11960.1	Q9SF03
3702.AT2G15440.1	Q9SJN8
3702.AT1G57777.1	A7REC9
3702.AT2G41200.1	O80667
3702.AT5G56325.1	Q1PDI7
3702.AT5G48575.1	Q3E8E3
3702.AT1G44608.1	Q58G48
3702.AT5G53080.1	Q5XEY4
3702.AT1G33470.1	Q67YS0
3702.AT2G06025.1	Q8GUT5
3702.AT5G20520.1	Q8RXP6
3702.AT3G15380.1	Q94AN2
3702.AT4G38500.1	Q94AV6
3702.AT5G11510.1	Q94FL9
3702.AT5G66420.2	Q94JM0
3702.AT1G12730.1	Q94K70
3702.AT1G57560.1	Q9C695
3702.AT1G35890.1	Q9C8B5
3702.AT1G73200.1	Q9CAT4
3702.AT5G67370.1	Q9FN15
3702.AT1G50560.1	Q9LPS6
3702.AT3G58420.1	Q9M2H4
3702.AT2G04340.1	Q9SJD5
3702.AT2G46420.1	Q9SKD8
3702.AT3G04060.1	Q9SQQ6
3702.AT4G25070.2	A0MFT2
3702.AT3G25090.1	Q1PEL9
3702.AT1G24340.1	Q8GYJ7
3702.AT2G45010.1	Q8L3T0
3702.AT4G21105.1	Q944S8
3702.AT5G52370.1	Q9FHC3
3702.AT5G39590.1	Q9FKA3
3702.AT5G55770.1	Q9FM62
3702.AT3G28470.1	Q9LSI7
3702.AT5G07330.1	Q9LY27
3702.AT4G31520.1	Q9M082
3702.AT3G06990.1	Q9M900
3702.AT1G18710.1	Q9M9U2
3702.AT1G09812.1	Q5Q0I0
3702.AT3G58470.1	Q93Z55
3702.AT5G49530.1	Q9FGZ3
3702.AT1G18610.1	Q9FZ82
3702.AT5G11000.1	Q9LEU1
3702.AT1G34640.1	Q9LNM6
3702.AT1G29080.1	Q9LP39
3702.AT3G23080.1	Q9LS84
3702.AT5G04630.1	Q9LZ62
3702.AT2G42320.1	Q9SLC7
3702.AT4G08320.2	Q9STN6
3702.AT4G13880.1	Q9SVM5
3702.AT4G10510.1	Q9SZY2
3702.AT2G42600.1	A5YWW9
3702.AT1G79060.1	O64545
3702.AT5G15270.1	Q0WNX3
3702.AT3G07610.3	Q67XI9
3702.AT1G24350.3	Q8GYY2
3702.AT5G18490.1	Q940K1
3702.AT1G53620.1	Q9C8L8
3702.AT5G61240.2	Q9FLK9
3702.AT5G46060.1	Q9FNL6
3702.AT3G15530.1	Q9LDW4
3702.AT3G15115.1	Q9LIM3
3702.AT3G43910.1	Q9LXW8
3702.AT5G02340.1	Q9LZ91
3702.AT4G25170.2	Q9SB45
3702.AT3G52060.1	Q9SUZ8
3702.AT1G78880.1	Q9ZVA7
3702.AT3G13550.1	B9DGC9
3702.AT4G21570.1	O65422
3702.AT1G04445.1	P93815
3702.AT3G01516.1	Q6NLE5
3702.AT1G25155.1	Q9FE37
3702.AT5G38740.1	Q9FKR2
3702.AT5G15870.1	Q9LFT3
3702.AT1G62490.1	Q9SXE8
3702.AT1G30795.1	Q9SY21
3702.AT4G38030.1	Q9SZK3
3702.AT1G23840.1	Q9ZUB1
3702.AT4G29070.1	Q2HIU1
3702.AT1G67035.2	Q5BPW2
3702.AT1G63840.1	Q9CAJ8
3702.AT5G16360.1	Q9FFE7
3702.AT5G37440.1	Q9FG44
3702.AT3G44860.1	Q9FYC4
3702.AT3G20430.1	Q9LTP9
3702.AT4G01240.1	Q9M144
3702.AT3G59820.2	Q9M1Z2
3702.AT4G25250.1	Q9SB38
3702.AT5G26160.1	Q7Y219
3702.AT2G34100.1	Q84RJ7
3702.AT4G26400.1	Q8L5Z3
3702.AT1G73920.1	Q949N8
3702.AT4G04330.1	Q94AU9
3702.AT1G72470.1	Q9C9E5
3702.AT5G10890.1	Q9LEV1
3702.AT3G24450.1	Q9LHF4
3702.AT3G52740.1	Q9LXJ1
3702.AT3G58320.1	Q9M2I4
3702.AT3G01160.1	Q9MAC6
3702.AT4G29920.1	Q9SZR3
3702.AT2G42620.1	A5YYM9
3702.AT4G33800.1	O81896
3702.AT4G12680.1	Q45GJ7
3702.AT5G50565.1	Q6DBB7
3702.AT5G27070.1	Q7X9N2
3702.AT1G17780.2	Q8L6Z0
3702.AT5G55960.1	Q93XX1
3702.AT1G18050.1	O49511
3702.AT5G65005.1	Q1G367
3702.AT5G42690.2	Q45GG0
3702.AT5G19810.1	Q4PSF3
3702.AT1G77122.1	Q56XE2
3702.AT5G02170.1	Q8LPF4
3702.AT3G61180.1	Q93YQ5
3702.AT1G44130.1	Q9C6Y5
3702.AT5G40790.1	Q9FKS7
3702.AT3G53440.1	Q9LFH4
3702.AT2G22230.1	Q9SIE3
3702.AT2G36220.1	Q9SJN3
3702.AT2G19540.1	Q9ZUN8
3702.AT4G23060.1	Q2NNE0
3702.AT1G30160.2	Q6DBP6
3702.AT1G14960.1	Q93WB5
3702.AT1G76570.1	Q9C9K1
3702.AT5G58950.1	Q9FIL6
3702.AT5G41200.1	Q9FLL0
3702.AT5G24600.1	Q9FLU4
3702.AT3G14240.1	Q9LUM3
3702.AT3G49380.1	Q9SG11
3702.AT4G02190.1	O04257
3702.AT4G18660.1	Q45GJ6
3702.AT1G13050.1	Q5Q0H3
3702.AT1G72490.1	Q5XVG3
3702.AT5G51510.1	Q9FHN3
3702.AT5G40340.1	Q9FNE4
3702.AT3G52360.1	Q9FT46
3702.AT1G28695.1	W8Q3Q6
3702.AT4G14104.1	Q1G3I6
3702.AT5G63905.1	Q8LB29
3702.AT2G27590.1	Q8VYF0
3702.AT5G55610.1	Q9FM77
3702.AT1G73560.1	Q9FX48
3702.AT3G14870.1	Q9LKB7
3702.AT1G33770.1	Q9LQ29
3702.AT5G09630.1	Q9LXC7
3702.AT3G62350.1	Q9LZQ5
3702.AT3G46540.1	Q9SNC4
3702.AT3G52470.1	Q9SVC8
3702.AT2G02170.1	Q9ZUM1
3702.AT4G15240.1	F4JJF6
3702.AT2G19420.1	O64575
3702.AT1G22270.1	Q67ZR1
3702.AT5G13030.1	Q8H126
3702.AT5G04895.1	Q9FF84
3702.AT5G40270.1	Q9FL05
3702.AT5G24000.1	Q9FLW1
3702.AT5G13100.1	Q9FYA0
3702.AT1G54930.1	Q9FZ38
3702.AT5G10990.1	Q9LEU2
3702.AT3G23770.1	Q9LK41
3702.AT3G18650.1	Q9LSB2
3702.AT5G15390.1	Q9LXE4
3702.AT2G16340.1	Q9SIW7
3702.AT4G12340.1	Q9STH7
3702.AT2G27420.1	Q9ZQH7
3702.AT2G18530.1	Q9ZU68
3702.AT2G43250.1	Q9ZW70
3702.AT4G10270.1	O82615
3702.AT1G48940.1	Q4PSZ8
3702.AT5G12470.1	Q67YY5
3702.AT2G17590.1	Q84X54
3702.AT2G39140.1	Q8L960
3702.AT2G06005.1	Q8S8K9
3702.AT1G31870.1	Q9C6S8
3702.AT1G66220.1	Q9C7U8
3702.AT5G42390.1	Q9FIH8
3702.AT5G44680.1	Q9FIZ5
3702.AT5G46930.1	Q9FJR8
3702.AT5G54360.1	Q9FL64
3702.AT5G15830.1	Q9LFU3
3702.AT3G56410.2	Q9LXZ9
3702.AT3G55690.1	Q9M053
3702.AT3G07720.1	Q9S7W4
3702.AT1G05650.1	Q9SYK6
3702.AT4G35210.1	Q9T008
3702.AT5G65860.1	O49532
3702.AT2G14880.1	O82326
3702.AT1G22980.1	Q5BPZ6
3702.AT1G73320.1	Q5Q0D6
3702.AT5G15190.1	Q8GW49
3702.AT4G18425.1	Q8L928
3702.AT4G18070.1	Q8VZS7
3702.AT1G77790.1	Q9CA15
3702.AT1G72670.1	Q9CAI2
3702.AT5G55410.2	Q9FJ69
3702.AT5G35110.1	Q9FYR1
3702.AT2G42310.1	Q9SLC8
3702.AT4G24860.1	Q9SZX6
3702.AT4G30900.1	O65559
3702.AT3G06145.1	Q56XV3
3702.AT2G04515.1	Q5S4Y8
3702.AT1G64385.1	Q8GUH9
3702.AT1G66060.1	Q9C8D9
3702.AT5G15050.1	Q9LFQ0
3702.AT4G31830.1	Q9SZ50
3702.AT2G29660.1	O82389
3702.AT4G38670.1	Q8GYY3
3702.AT5G58640.1	Q8W1E5
3702.AT1G10520.1	Q9FNY4
3702.AT1G24807.1	Q9FXK1
3702.AT3G54570.1	Q9M1H1
3702.AT1G13195.1	Q9SAF3
3702.AT3G13000.2	Q56W79
3702.AT1G13310.1	Q9FX66
3702.AT2G22320.1	Q9SID6
3702.AT2G33590.1	O22809
3702.AT4G15840.1	O23435
3702.AT1G02020.1	O23673
3702.AT4G02450.1	O81288
3702.AT2G17787.1	Q0WS99
3702.AT5G39520.1	Q0WW43
3702.AT4G13263.1	Q3E6Z0
3702.AT1G69890.1	Q9CAS2
3702.AT5G35510.1	Q9FJA8
3702.AT5G13180.1	Q9FY93
3702.AT3G19660.1	Q9LJN0
3702.AT3G16200.1	Q9LU25
3702.AT3G01710.1	Q9S7G8
3702.AT4G14980.1	Q9SUL6
3702.AT4G18340.1	O49737
3702.AT1G70400.3	Q5XVG7
3702.AT5G01260.2	Q93ZD1
3702.AT3G04830.1	Q9CAU9
3702.AT3G11500.1	Q9CAX7
3702.AT5G58880.1	Q9FIM1
3702.AT3G60890.2	Q9LZX5
3702.AT2G21990.1	Q9SJ00
3702.AT2G20240.1	Q9SK77
3702.AT4G03728.1	Q9SY51
3702.AT2G43865.1	Q1G3R3
3702.AT2G40745.1	Q84X46
3702.AT5G05550.2	Q94AX7
3702.AT5G59790.1	Q9FJF5
3702.AT3G52290.1	Q9FT53
3702.AT2G04520.1	Q9SJB9
3702.AT4G25030.1	Q9SW23
3702.AT2G14070.1	Q9ZPT2
3702.AT3G60966.1	Q1G3N1
3702.AT5G10060.1	Q8GUK8
3702.AT1G35410.1	Q9C8P4
3702.AT5G59930.1	Q9FJE3
3702.AT1G16770.1	Q9FWR1
3702.AT3G53820.1	Q9M344
3702.AT2G22160.1	Q9SIE8
3702.AT4G28000.1	Q9SUD9
3702.AT4G38930.2	Q9SVK0
3702.AT2G01610.1	Q9ZNU5
3702.AT1G75730.1	A4FVS5
3702.AT1G18350.1	A5YXZ2
3702.AT4G02090.1	O04712
3702.AT4G36520.1	O23230
3702.AT4G31330.1	O49582
3702.AT1G09450.1	O80528
3702.AT4G27310.1	O81834
3702.AT5G27990.1	Q8L9R4
3702.AT1G31660.1	Q8RWS4
3702.AT5G66290.1	Q9FH60
3702.AT5G48340.1	Q9LK80
3702.AT1G20100.1	Q9LNT6
3702.AT3G44510.2	Q9LXN6
3702.AT5G11610.1	Q9LYD1
3702.AT5G02510.1	Q9LZ51
3702.AT3G55340.1	Q9M3B8
3702.AT5G13160.1	B2BDM5
3702.AT2G32740.1	O48843
3702.AT2G29040.1	O81072
3702.AT1G52905.1	Q1EBU8
3702.AT5G24820.1	Q4PSE9
3702.AT1G28100.4	Q8GWB2
3702.AT5G62165.1	Q9FIS1
3702.AT1G20520.1	Q9LMV9
3702.AT3G26750.1	Q9LW36
3702.AT1G28430.1	Q9SGP1
3702.AT4G38280.1	Q9SVF7
3702.AT4G16330.2	O23478
3702.AT4G10080.1	Q8GSF0
3702.AT3G19340.1	Q8RWC3
3702.AT1G27000.1	Q9C5M5
3702.AT5G58990.1	Q9FIL3
3702.AT3G20380.1	Q9LTQ4
3702.AT5G02660.1	Q9LZ36
3702.AT2G20410.1	Q9SK61
3702.AT2G20960.1	Q9SKR5
3702.AT4G35240.1	F4JMA6
3702.AT2G47420.1	O22268
3702.AT4G15930.1	O23442
3702.AT3G04320.1	Q0WNE5
3702.AT5G08780.1	Q6AWW7
3702.AT3G57540.1	Q93YN8
3702.AT3G59470.1	Q93Z68
3702.AT1G25260.1	Q94AK8
3702.AT1G26190.1	Q9C664
3702.AT5G04020.1	Q9LZA8
3702.AT3G43840.1	Q9LZG4
3702.AT3G49550.1	Q9SCK4
3702.AT2G05060.1	Q9SI22
3702.AT2G31700.1	Q9SIN8
3702.AT2G28410.1	Q9SKM9
3702.AT1G34340.1	Q9XID7
3702.AT4G17730.2	A8MS65
3702.AT1G77655.1	Q3ECB7
3702.AT1G44890.1	Q6ICW9
3702.AT1G75670.1	Q8H1F8
3702.AT5G17000.1	Q93Z72
3702.AT1G30130.1	Q9C6Z4
3702.AT3G02940.1	Q9LDI5
3702.AT5G10750.1	Q9LEW4
3702.AT3G29240.1	Q9LS71
3702.AT1G21920.1	Q9SFE3
3702.AT4G29520.1	Q9SU93
3702.AT3G24160.1	Q9ZSJ7
3702.AT1G45215.1	A7REF1
3702.AT2G02640.1	O64713
3702.AT3G17830.1	Q058J9
3702.AT2G37880.1	Q1PEW0
3702.AT1G11785.1	Q56YI8
3702.AT1G31310.1	Q68EB3
3702.AT5G08535.1	Q8GXG0
3702.AT4G24590.1	Q8GYU4
3702.AT1G09540.1	Q8VZQ2
3702.AT4G16100.1	Q940I8
3702.AT1G64360.1	Q9C7W0
3702.AT3G25240.1	Q9LSF2
3702.AT5G03510.1	Q9LZD5
3702.AT1G15030.1	Q9M9Q2
3702.AT2G11910.1	Q9SIY2
3702.AT4G12230.1	Q9STI8
3702.AT4G10070.1	Q9T0G5
3702.AT2G35410.1	O82299
3702.AT3G13990.1	Q0WUK0
3702.AT5G59330.1	Q1PDH3
3702.AT1G21440.1	Q501F7
3702.AT5G61710.1	Q680C7
3702.AT2G40955.1	Q8S8T7
3702.AT1G05710.2	Q8VY82
3702.AT1G04900.1	Q94C90
3702.AT1G48000.1	Q94CJ3
3702.AT5G41140.1	Q9FLL5
3702.AT3G44580.1	Q9LXM9
3702.AT5G03190.2	Q9LYW6
3702.AT5G03130.1	Q9LYX2
3702.AT4G12220.1	Q9STI9
3702.AT4G32490.1	Q9SUU3
3702.AT3G54350.1	F4JCV6
3702.AT2G14860.1	O82324
3702.AT2G18876.1	Q8GUK2
3702.AT4G28085.1	Q94AQ4
3702.AT5G13610.1	Q9FNB2
3702.AT3G52770.1	Q9LXI8
3702.AT4G03830.1	Q9M107
3702.AT4G28330.1	O49442
3702.AT4G23090.2	Q1PE54
3702.AT4G10640.1	Q7XA83
3702.AT5G52330.1	Q9FHC7
3702.AT5G39200.1	Q9FL88
3702.AT5G39330.1	Q9FM00
3702.AT1G32460.1	Q9LQL1
3702.AT3G27540.1	Q9LT58
3702.AT1G11800.1	Q9SA95
3702.AT4G01610.1	Q9SBB1
3702.AT2G32470.1	O80884
3702.AT3G17770.1	Q494P3
3702.AT1G03180.1	Q5Q0J3
3702.AT5G46620.1	Q8GYV3
3702.AT5G44250.1	Q9FFG7
3702.AT1G08530.1	Q9FRS9
3702.AT5G01070.2	Q9LFC9
3702.AT3G29375.1	Q9LIA7
3702.AT2G31430.1	Q9SIC6
3702.AT2G09840.1	Q9SL25
3702.AT2G03390.1	Q9ZQ75
3702.AT4G01037.1	A0MFS5
3702.AT5G65690.1	B5X574
3702.AT3G20350.1	B7ZWR9
3702.AT2G44070.1	O80577
3702.AT2G07820.1	Q1G3Q9
3702.AT1G13520.1	Q6NNH1
3702.AT5G53540.1	Q9FJC9
3702.AT1G29240.1	Q9LP52
3702.AT1G53560.1	Q9LPH1
3702.AT5G11460.1	Q9LYE4
3702.AT4G31170.1	Q9M085
3702.AT3G47040.2	Q9SD69
3702.AT2G24620.1	Q9SJA3
3702.AT2G36560.1	Q9SJQ2
3702.AT4G31540.1	Q9SV16
3702.AT4G25930.1	Q9SZG8
3702.AT2G03810.1	Q9ZPQ2
3702.AT4G10860.1	O81627
3702.AT3G06435.1	Q3EBB7
3702.AT1G16025.1	Q5XVK8
3702.AT5G56650.1	Q67YZ8
3702.AT1G15260.1	Q8VY60
3702.AT4G14385.1	Q93VF4
3702.AT1G79420.1	Q940T0
3702.AT1G59453.1	Q94HW1
3702.AT1G44120.1	Q9C6Y4
3702.AT1G63280.1	Q9C8T2
3702.AT1G75190.1	Q9FRL0
3702.AT3G59270.1	Q9LX44
3702.AT5G03380.1	Q9LZF1
3702.AT2G13350.1	Q9SI42
3702.AT4G12350.1	Q9STH6
3702.AT4G25800.1	Q9SW03
3702.AT2G01990.1	Q9ZPS5
3702.AT5G19090.1	F4JZL8
3702.AT4G17940.1	O49693
3702.AT1G11925.1	O65387
3702.AT3G57630.1	Q6NKR6
3702.AT5G53710.1	Q8L9Q1
3702.AT5G63690.1	Q9FFP5
3702.AT5G13890.1	Q9FFY4
3702.AT1G73410.1	Q9FX36
3702.AT4G40050.1	Q9SMQ2
3702.AT4G37480.1	Q9SZU8
3702.AT1G64830.1	Q9XIR2
3702.AT2G44670.1	O80506
3702.AT2G17530.1	Q9SHL5
3702.AT3G03590.1	Q9SS61
3702.AT4G02550.3	O22772
3702.AT5G41400.1	Q9FN60
3702.AT3G24506.1	Q9LV56
3702.AT3G10760.1	Q9SG82
3702.AT3G52550.1	Q9SVD6
3702.AT5G37510.2	B9DFQ9
3702.AT1G51930.1	Q6AWX4
3702.AT5G11500.1	Q9LYE1
3702.AT1G16520.1	Q9SA50
3702.AT2G25010.1	Q9SK32
3702.AT3G10405.1	A0JQ78
3702.AT1G03200.1	B6IDH7
3702.AT4G22330.1	O49638
3702.AT5G10946.1	Q56WU2
3702.AT1G77765.4	Q6DYD3
3702.AT1G30540.1	Q8LGE0
3702.AT4G28880.1	Q93Z18
3702.AT1G25340.1	Q94FU0
3702.AT5G38610.1	Q9FFW0
3702.AT5G44380.1	Q9FKV0
3702.AT5G44080.1	Q9FNB9
3702.AT1G01810.1	Q9LQ74
3702.AT3G24570.1	Q9LV46
3702.AT5G07930.3	Q9SD91
3702.AT1G10340.1	Q9SY76
3702.AT2G40230.1	Q9XEF2
3702.AT5G47455.4	F4JX59
3702.AT1G61990.1	O80704
3702.AT4G17020.3	Q680U9
3702.AT5G46730.1	Q7Y218
3702.AT4G27580.1	Q8L9A7
3702.AT4G27652.1	Q8L9W9
3702.AT5G61820.1	Q8VZ21
3702.AT4G17310.1	Q949V8
3702.AT3G19120.1	Q9LJL8
3702.AT5G38050.1	Q9LS15
3702.AT3G07760.1	Q9S7Y5
3702.AT3G48020.1	Q9SU65
3702.AT4G24140.1	O22977
3702.AT4G17860.1	Q1PE74
3702.AT4G33800.1	Q8L9K4
3702.AT4G39675.1	Q8LEP7
3702.AT5G01350.1	Q93W37
3702.AT1G76600.1	Q9C9J8
3702.AT1G77780.1	Q9CA16
3702.AT5G45480.1	Q9FHI8
3702.AT5G55650.1	Q9FM73
3702.AT3G06130.1	Q9M8K5
3702.AT4G19650.1	Q9SU97
3702.AT2G39870.1	O04191
3702.AT5G07510.1	Q1PDZ0
3702.AT1G12330.1	Q56YX5
3702.AT2G36210.1	Q8L8B9
3702.AT5G10695.1	Q8RXY3
3702.AT4G13530.1	Q8VXX1
3702.AT3G58640.1	Q94AB2
3702.AT5G04520.1	Q9LZ73
3702.AT3G45490.1	Q9M1F8
3702.AT2G05180.1	Q9SJ39
3702.AT3G03840.1	Q9SRW1
3702.AT4G23730.1	Q9SUQ4
3702.AT4G17520.1	O23593
3702.AT5G21940.1	Q9C593
3702.AT3G46666.1	Q1G398
3702.AT2G32870.1	Q84WY0
3702.AT1G60670.2	Q94AP2
3702.AT1G25550.1	Q9FPE8
3702.AT2G45450.1	O22128
3702.AT4G08690.1	O22270
3702.AT2G28580.1	Q5S4X4
3702.AT2G28240.1	Q84JK0
3702.AT5G40980.1	Q9FLN1
3702.AT1G16950.1	Q9FZ54
3702.AT3G14480.1	Q9LRR3
3702.AT5G44670.1	Q9LTZ9
3702.AT4G28210.1	Q9M0I6
3702.AT4G11020.1	Q9SN53
3702.AT3G08880.1	Q9SR88
3702.AT4G12700.1	Q9SU16
3702.AT1G23810.1	Q9ZUB5
3702.AT1G23000.1	A2RVM8
3702.AT1G61255.1	O22721
3702.AT1G23205.1	O49297
3702.AT1G55430.1	Q4TU44
3702.AT3G02580.1	Q67XU7
3702.AT5G20810.2	Q8GWV6
3702.AT1G17690.1	Q8H1E7
3702.AT2G33400.1	Q8H1N0
3702.AT1G76065.1	Q9LQR2
3702.AT3G42130.1	Q9LX57
3702.AT2G31590.1	Q9SIP9
3702.AT3G48550.1	Q9SMP3
3702.AT1G74770.1	Q9SSG0
3702.AT4G13110.1	Q9SV58
3702.AT4G10870.1	O81626
3702.AT3G51760.1	Q5Q0C5
3702.AT4G14615.1	Q8L9X5
3702.AT1G19010.1	Q8LAM7
3702.AT1G78210.1	Q8RXC1
3702.AT1G07080.1	Q93VQ6
3702.AT3G11800.1	Q94AI8
3702.AT1G19010.1	Q9C5J5
3702.AT1G57906.1	Q9C656
3702.AT5G09700.1	Q9LXD3
3702.AT4G32375.1	Q9SUV4
3702.AT1G11500.1	A2RVQ4
3702.AT2G17880.1	O48828
3702.AT2G40420.1	Q0WQJ3
3702.AT4G04614.1	Q1G3K2
3702.AT3G14670.1	Q1PEQ4
3702.AT1G76590.1	Q2HIW3
3702.AT2G33350.1	Q5BPS2
3702.AT5G08600.2	Q9FNM8
3702.AT3G27750.1	Q9LVW6
3702.AT5G11870.2	Q9LYI6
3702.AT2G31670.1	Q9SIP1
3702.AT3G52480.1	Q9SVC9
3702.AT2G15930.1	Q9XIM4
3702.AT5G02460.1	Q6ICY3
3702.AT5G06440.4	Q8RWI8
3702.AT1G76270.1	Q949U4
3702.AT5G41020.1	Q9FLM7
3702.AT3G26760.1	Q9LW35
3702.AT1G63450.1	Q9SH31
3702.AT2G18850.1	O64615
3702.AT1G71350.1	Q0WUR1
3702.AT1G27461.1	Q1G322
3702.AT4G16670.1	Q5HZ31
3702.AT1G59312.1	Q93WB3
3702.AT5G23970.1	Q9FLW4
3702.AT5G63500.1	Q9FMV2
3702.AT2G15420.1	Q9SJN9
3702.AT4G33130.1	Q9SMZ6
3702.AT4G38980.1	Q9SVJ5
3702.AT4G13860.1	Q9SVM7
3702.AT1G11210.1	Q9SXA7
3702.AT4G19750.1	O81856
3702.AT5G37860.1	Q4PSD8
3702.AT3G24730.1	Q6NMD4
3702.AT1G48750.1	Q94AQ3
3702.AT2G40765.1	Q94K78
3702.AT1G31760.1	Q9C504
3702.AT1G64260.1	Q9C7V1
3702.AT1G30320.1	Q9C8G3
3702.AT1G74280.1	Q9C913
3702.AT5G12120.1	Q9FMQ0
3702.AT1G01400.1	Q9LNI3
3702.AT2G28140.1	Q9ZUV6
3702.AT3G16330.1	O04324
3702.AT4G36650.1	O23215
3702.AT4G02380.1	O81295
3702.AT4G33930.1	O81761
3702.AT4G13070.1	Q67YJ7
3702.AT3G11990.1	Q9LHM2
3702.AT4G28870.1	Q9SVV4
3702.AT1G04660.1	O23018
3702.AT4G16950.1	O23535
3702.AT4G34590.1	O65683
3702.AT4G35050.1	Q5HZ33
3702.AT3G06840.1	Q8LFJ2
