9823.ENSSSCP00000024131	P54612
9823.ENSSSCP00000024254	A7YB26
9823.ENSSSCP00000024912	F1RF91
9823.ENSSSCP00000023931	F1RIE0
9823.ENSSSCP00000019433	I3L5Y2
9823.ENSSSCP00000020238	I3L880
9823.ENSSSCP00000020398	I3L8N8
9823.ENSSSCP00000020464	I3L8V3
9823.ENSSSCP00000021267	I3LB48
9823.ENSSSCP00000022351	I3LE65
9823.ENSSSCP00000022401	I3LEB4
9823.ENSSSCP00000022584	I3LEU5
9823.ENSSSCP00000022701	I3LF61
9823.ENSSSCP00000022720	I3LF80
9823.ENSSSCP00000022915	I3LFS3
9823.ENSSSCP00000024055	I3LIZ8
9823.ENSSSCP00000024503	I3LK89
9823.ENSSSCP00000024972	I3LLK2
9823.ENSSSCP00000025120	I3LM00
9823.ENSSSCP00000025121	I3LM01
9823.ENSSSCP00000025936	I3LPB0
9823.ENSSSCP00000026048	I3LPM1
9823.ENSSSCP00000026872	I3LRY1
9823.ENSSSCP00000026887	I3LRZ6
9823.ENSSSCP00000027065	I3LSH2
9823.ENSSSCP00000027537	I3LTT9
9823.ENSSSCP00000027597	I3LTZ8
9823.ENSSSCP00000027625	I3LU26
9823.ENSSSCP00000027786	I3LUI6
9823.ENSSSCP00000027836	I3LUN6
9823.ENSSSCP00000019137	A5YMU8
9823.ENSSSCP00000019540	F1SCM0
9823.ENSSSCP00000021996	F1SJE5
9823.ENSSSCP00000019462	I3L611
9823.ENSSSCP00000019598	I3L6E7
9823.ENSSSCP00000019599	I3L6E8
9823.ENSSSCP00000019852	I3L748
9823.ENSSSCP00000020711	I3L9J8
9823.ENSSSCP00000020967	I3LAA0
9823.ENSSSCP00000020974	I3LAA7
9823.ENSSSCP00000021344	I3LBC5
9823.ENSSSCP00000021377	I3LBF7
9823.ENSSSCP00000021385	I3LBG5
9823.ENSSSCP00000021397	I3LBH7
9823.ENSSSCP00000022157	I3LC63
9823.ENSSSCP00000021709	I3LCD4
9823.ENSSSCP00000021989	I3LD60
9823.ENSSSCP00000023094	I3LGA1
9823.ENSSSCP00000023288	I3LGU4
9823.ENSSSCP00000023425	I3LH80
9823.ENSSSCP00000023689	I3LHZ0
9823.ENSSSCP00000024599	I3LKI5
9823.ENSSSCP00000026315	I3LQD6
9823.ENSSSCP00000030835	I3LRL3
9823.ENSSSCP00000028169	I3LVL7
9823.ENSSSCP00000024452	Q5J3Q4
9823.ENSSSCP00000012270	D2JUK2
9823.ENSSSCP00000027288	F1S7E0
9823.ENSSSCP00000028622	K9IVL4
9823.ENSSSCP00000002436	K9J6K0
9823.ENSSSCP00000001298	L7WLW9
9823.ENSSSCP00000008139	F1REX0
9823.ENSSSCP00000006675	F1RSG7
9823.ENSSSCP00000029078	F1RTG8
9823.ENSSSCP00000009865	F1RVC7
9823.ENSSSCP00000002864	F1S6K3
9823.ENSSSCP00000014341	F1S7P4
9823.ENSSSCP00000002664	F1SD52
9823.ENSSSCP00000009421	F1SE68
9823.ENSSSCP00000008982	F1SQJ3
9823.ENSSSCP00000005477	F1SRU5
9823.ENSSSCP00000017413	F1SSN1
9823.ENSSSCP00000019147	G8ACZ5
9823.ENSSSCP00000004100	Q19QU1
9823.ENSSSCP00000007199	Q712M8
9823.ENSSSCP00000010611	F1RGA9
9823.ENSSSCP00000008534	F1RGT8
9823.ENSSSCP00000008262	F1RJI0
9823.ENSSSCP00000010024	F1RK22
9823.ENSSSCP00000018854	F1RN71
9823.ENSSSCP00000010461	F1RNS2
9823.ENSSSCP00000018653	F1RSG0
9823.ENSSSCP00000018600	F1RTC0
9823.ENSSSCP00000004675	F1RY19
9823.ENSSSCP00000009564	F1RYW8
9823.ENSSSCP00000018702	F1S262
9823.ENSSSCP00000014977	F1S2I0
9823.ENSSSCP00000014578	F1S2L9
9823.ENSSSCP00000014557	F1S2Q8
9823.ENSSSCP00000009034	F1S4V0
9823.ENSSSCP00000004105	F1S830
9823.ENSSSCP00000014752	F1S960
9823.ENSSSCP00000002428	F1SCN4
9823.ENSSSCP00000011471	F1SDJ0
9823.ENSSSCP00000000276	F1SGE3
9823.ENSSSCP00000014053	F1SIF6
9823.ENSSSCP00000012165	F1SJ20
9823.ENSSSCP00000017601	F1SJF8
9823.ENSSSCP00000000070	F1SRC5
9823.ENSSSCP00000005749	F1ST66
9823.ENSSSCP00000008755	F1STC8
9823.ENSSSCP00000015749	F1SUS8
9823.ENSSSCP00000001298	Q9TSE2
9823.ENSSSCP00000007841	B3VN88
9823.ENSSSCP00000012158	B5LZ27
9823.ENSSSCP00000017174	D7RA26
9823.ENSSSCP00000009648	K9J4N5
9823.ENSSSCP00000019507	Q6EEH2
9823.ENSSSCP00000018925	A2SZV5
9823.ENSSSCP00000006421	B9VNZ6
9823.ENSSSCP00000017227	R4L6V8
9823.ENSSSCP00000015286	A7BG66
9823.ENSSSCP00000021333	Q152R7
9823.ENSSSCP00000009582	Q6QAR2
9823.ENSSSCP00000017143	Q9BDS3
9823.ENSSSCP00000004879	Q9N260
9823.ENSSSCP00000013381	A6YQV5
9823.ENSSSCP00000005432	C5IXG4
9823.ENSSSCP00000021352	V5PZU4
9823.ENSSSCP00000015693	F1RHP4
9823.ENSSSCP00000015671	F1RHR6
9823.ENSSSCP00000010599	F1RIS6
9823.ENSSSCP00000008249	F1RJL0
9823.ENSSSCP00000013221	F1RPJ7
9823.ENSSSCP00000001230	F1RPL7
9823.ENSSSCP00000013879	F1RPY4
9823.ENSSSCP00000018054	F1RR36
9823.ENSSSCP00000030805	F1RR74
9823.ENSSSCP00000009642	F1RS54
9823.ENSSSCP00000004749	F1RT00
9823.ENSSSCP00000011791	F1RTX3
9823.ENSSSCP00000011751	F1RWE4
9823.ENSSSCP00000011906	F1RX50
9823.ENSSSCP00000024348	F1RXE9
9823.ENSSSCP00000016670	F1RXX7
9823.ENSSSCP00000001647	F1RZR0
9823.ENSSSCP00000016910	F1S069
9823.ENSSSCP00000002577	F1S2R6
9823.ENSSSCP00000004218	F1S3W0
9823.ENSSSCP00000011355	F1S4T9
9823.ENSSSCP00000014466	F1SA30
9823.ENSSSCP00000004040	F1SAK5
9823.ENSSSCP00000009195	F1SCR4
9823.ENSSSCP00000005409	F1SFF2
9823.ENSSSCP00000014197	F1SFX2
9823.ENSSSCP00000002189	F1SGN1
9823.ENSSSCP00000017689	F1SHT6
9823.ENSSSCP00000002033	F1SJX5
9823.ENSSSCP00000012749	F1SKZ4
9823.ENSSSCP00000005231	F1SNQ0
9823.ENSSSCP00000012391	F1SPE9
9823.ENSSSCP00000005171	F1SRZ7
9823.ENSSSCP00000007053	F1ST19
9823.ENSSSCP00000008618	F1SUF5
9823.ENSSSCP00000015939	F1SV12
9823.ENSSSCP00000009697	G9JKK6
9823.ENSSSCP00000019147	A8QK82
9823.ENSSSCP00000029447	I3L6Q4
9823.ENSSSCP00000019944	I3L7D9
9823.ENSSSCP00000020474	I3L8W3
9823.ENSSSCP00000020729	I3L9L6
9823.ENSSSCP00000020944	I3LA77
9823.ENSSSCP00000021591	I3LC18
9823.ENSSSCP00000021844	I3LCR7
9823.ENSSSCP00000021960	I3LD32
9823.ENSSSCP00000022236	I3LDV1
9823.ENSSSCP00000021672	I3LFJ8
9823.ENSSSCP00000024375	I3LJW3
9823.ENSSSCP00000024822	I3LL55
9823.ENSSSCP00000024940	I3LLH1
9823.ENSSSCP00000025657	I3LNI3
9823.ENSSSCP00000026859	I3LRW8
9823.ENSSSCP00000027036	I3LSE3
9823.ENSSSCP00000027037	I3LSE4
9823.ENSSSCP00000027330	I3LT86
9823.ENSSSCP00000027366	I3LTC1
9823.ENSSSCP00000027467	I3LTM0
9823.ENSSSCP00000027500	I3LTQ2
9823.ENSSSCP00000028088	I3LVD6
9823.ENSSSCP00000021782	F1REY0
9823.ENSSSCP00000021324	F1SHH2
9823.ENSSSCP00000019808	I3L705
9823.ENSSSCP00000020133	I3L7X5
9823.ENSSSCP00000027635	I3L8M9
9823.ENSSSCP00000020513	I3L902
9823.ENSSSCP00000020798	I3L9T5
9823.ENSSSCP00000020887	I3LA21
9823.ENSSSCP00000021691	I3LCB6
9823.ENSSSCP00000021913	I3LCY5
9823.ENSSSCP00000022504	I3LEL6
9823.ENSSSCP00000022700	I3LF60
9823.ENSSSCP00000022766	I3LFC6
9823.ENSSSCP00000027046	I3LFW0
9823.ENSSSCP00000023137	I3LGE4
9823.ENSSSCP00000023412	I3LH67
9823.ENSSSCP00000023452	I3LHA7
9823.ENSSSCP00000023699	I3LI00
9823.ENSSSCP00000029997	I3LIB0
9823.ENSSSCP00000024112	I3LJ55
9823.ENSSSCP00000024329	I3LJR7
9823.ENSSSCP00000025557	I3LN85
9823.ENSSSCP00000026007	I3LPI0
9823.ENSSSCP00000026069	I3LPP2
9823.ENSSSCP00000026194	I3LQ16
9823.ENSSSCP00000026225	I3LQ47
9823.ENSSSCP00000026427	I3LQP7
9823.ENSSSCP00000026564	I3LR32
9823.ENSSSCP00000026698	I3LRG4
9823.ENSSSCP00000027081	I3LSI8
9823.ENSSSCP00000027357	I3LTB2
9823.ENSSSCP00000027422	I3LTH5
9823.ENSSSCP00000027935	I3LUY3
9823.ENSSSCP00000027940	I3LUY8
9823.ENSSSCP00000028108	I3LVF6
9823.ENSSSCP00000018630	K7GNL6
9823.ENSSSCP00000012913	K7GS64
9823.ENSSSCP00000002428	C0KEG5
9823.ENSSSCP00000022065	K7GL79
9823.ENSSSCP00000015264	K7GLP6
9823.ENSSSCP00000004139	K7GM60
9823.ENSSSCP00000029688	K7GMA0
9823.ENSSSCP00000029307	K7GN56
9823.ENSSSCP00000029637	K7GP28
9823.ENSSSCP00000029837	K7GPM2
9823.ENSSSCP00000030251	K7GQS7
9823.ENSSSCP00000030315	K7GQZ0
9823.ENSSSCP00000015363	K7GT41
9823.ENSSSCP00000029783	O77637
9823.ENSSSCP00000018389	Q1EG88
9823.ENSSSCP00000004597	Q95306
9823.ENSSSCP00000024091	Q9GL46
9823.ENSSSCP00000013824	Q9MZ22
9823.ENSSSCP00000015905	Q9TV54
9823.ENSSSCP00000008320	K7GR82
9823.ENSSSCP00000030505	K7GST4
9823.ENSSSCP00000029051	U3R8H0
9823.ENSSSCP00000027582	B2CPJ8
9823.ENSSSCP00000016153	B2ZCZ8
9823.ENSSSCP00000028034	C6GIK9
9823.ENSSSCP00000025182	E0A234
9823.ENSSSCP00000012510	B6VAQ1
9823.ENSSSCP00000003031	F1RF39
9823.ENSSSCP00000008248	F1RJL1
9823.ENSSSCP00000001625	F1RZV0
9823.ENSSSCP00000004170	F1S750
9823.ENSSSCP00000002358	F1S7R7
9823.ENSSSCP00000007917	F1SC72
9823.ENSSSCP00000017991	F1SJZ5
9823.ENSSSCP00000012473	F1SKB0
9823.ENSSSCP00000008665	F1SU64
9823.ENSSSCP00000010636	F2Z4Y6
9823.ENSSSCP00000006838	F1RJ43
9823.ENSSSCP00000008416	F1RLR2
9823.ENSSSCP00000003357	F1RM22
9823.ENSSSCP00000010296	F1RM87
9823.ENSSSCP00000006251	F1RVY4
9823.ENSSSCP00000028287	F1RW50
9823.ENSSSCP00000004644	F1S0G4
9823.ENSSSCP00000006114	F1S0X3
9823.ENSSSCP00000026834	F1S1E2
9823.ENSSSCP00000002519	F1S4A3
9823.ENSSSCP00000014487	F1S590
9823.ENSSSCP00000011258	F1S8T7
9823.ENSSSCP00000007944	F1SBF2
9823.ENSSSCP00000007231	F1SBP6
9823.ENSSSCP00000004309	F1SCQ1
9823.ENSSSCP00000014644	F1SD43
9823.ENSSSCP00000007848	F1SDT2
9823.ENSSSCP00000009118	F1SED4
9823.ENSSSCP00000005378	F1SI11
9823.ENSSSCP00000005074	F1SI61
9823.ENSSSCP00000014098	F1SI95
9823.ENSSSCP00000012097	F1SLI2
9823.ENSSSCP00000017275	F1SM26
9823.ENSSSCP00000017266	F1SM45
9823.ENSSSCP00000017796	F1SRL5
9823.ENSSSCP00000019066	F1SS86
9823.ENSSSCP00000003869	F1STR6
9823.ENSSSCP00000014202	D4N875
9823.ENSSSCP00000001483	D4NVU9
9823.ENSSSCP00000001544	F6PXG3
9823.ENSSSCP00000008272	O77789
9823.ENSSSCP00000001529	Q6B7P6
9823.ENSSSCP00000018976	Q6E592
9823.ENSSSCP00000018474	F1S0L1
9823.ENSSSCP00000011324	F1S5L5
9823.ENSSSCP00000003474	F1RH57
9823.ENSSSCP00000010143	F1RP55
9823.ENSSSCP00000013206	F1RPM1
9823.ENSSSCP00000018023	F1RR93
9823.ENSSSCP00000016698	F1RVK5
9823.ENSSSCP00000001634	F1RZT2
9823.ENSSSCP00000016204	F1S377
9823.ENSSSCP00000009087	F1S3Y8
9823.ENSSSCP00000011326	F1S5L3
9823.ENSSSCP00000007562	F1SBH0
9823.ENSSSCP00000009100	F1SEG4
9823.ENSSSCP00000022502	F1SFF6
9823.ENSSSCP00000014152	F1SGP7
9823.ENSSSCP00000000533	F1SH40
9823.ENSSSCP00000000518	F1SH62
9823.ENSSSCP00000000236	F1SH84
9823.ENSSSCP00000012177	F1SIZ3
9823.ENSSSCP00000005890	F1SMI6
9823.ENSSSCP00000005512	F1SP79
9823.ENSSSCP00000012156	F1SPP1
9823.ENSSSCP00000022621	F1SU59
9823.ENSSSCP00000019739	I3L6T7
9823.ENSSSCP00000020988	I3LAC0
9823.ENSSSCP00000023575	I3LAF4
9823.ENSSSCP00000022996	I3LG03
9823.ENSSSCP00000023071	I3LG78
9823.ENSSSCP00000024288	I3LJM6
9823.ENSSSCP00000024906	I3LLD8
9823.ENSSSCP00000026744	I3LRK9
9823.ENSSSCP00000027380	I3LTD5
9823.ENSSSCP00000029769	I3LTN5
9823.ENSSSCP00000027488	I3LTP0
9823.ENSSSCP00000027888	I3LUT7
9823.ENSSSCP00000019147	E3T040
9823.ENSSSCP00000019338	I3L5N9
9823.ENSSSCP00000019590	I3L6D9
9823.ENSSSCP00000019760	I3L6V8
9823.ENSSSCP00000019829	I3L725
9823.ENSSSCP00000020051	I3L7P5
9823.ENSSSCP00000020359	I3L8J9
9823.ENSSSCP00000030256	I3L8N5
9823.ENSSSCP00000020609	I3L997
9823.ENSSSCP00000020644	I3L9D2
9823.ENSSSCP00000020709	I3L9J6
9823.ENSSSCP00000020728	I3L9L5
9823.ENSSSCP00000020949	I3LA82
9823.ENSSSCP00000020970	I3LAA3
9823.ENSSSCP00000021447	I3LBM6
9823.ENSSSCP00000021798	I3LCM3
9823.ENSSSCP00000022052	I3LDC1
9823.ENSSSCP00000022493	I3LEK5
9823.ENSSSCP00000022642	I3LF03
9823.ENSSSCP00000022649	I3LF10
9823.ENSSSCP00000022709	I3LF69
9823.ENSSSCP00000022771	I3LFD0
9823.ENSSSCP00000023058	I3LG65
9823.ENSSSCP00000023134	I3LGE1
9823.ENSSSCP00000023189	I3LGJ5
9823.ENSSSCP00000023429	I3LH84
9823.ENSSSCP00000023629	I3LHT2
9823.ENSSSCP00000024237	I3LJH7
9823.ENSSSCP00000024300	I3LJN8
9823.ENSSSCP00000024338	I3LJS6
9823.ENSSSCP00000024672	I3LKQ7
9823.ENSSSCP00000025142	I3LM22
9823.ENSSSCP00000025144	I3LM24
9823.ENSSSCP00000025252	I3LMD1
9823.ENSSSCP00000025684	I3LNK9
9823.ENSSSCP00000025741	I3LNR6
9823.ENSSSCP00000026089	I3LPR2
9823.ENSSSCP00000026174	I3LPZ6
9823.ENSSSCP00000026196	I3LQ18
9823.ENSSSCP00000026436	I3LQQ6
9823.ENSSSCP00000026479	I3LQU7
9823.ENSSSCP00000002137	I3LR12
9823.ENSSSCP00000026982	I3LS89
9823.ENSSSCP00000023579	I3LS90
9823.ENSSSCP00000027349	I3LTA5
9823.ENSSSCP00000027355	I3LTB0
9823.ENSSSCP00000027373	I3LTC8
9823.ENSSSCP00000027550	I3LTV2
9823.ENSSSCP00000027618	I3LU19
9823.ENSSSCP00000024907	Q5Y2C6
9823.ENSSSCP00000008040	A5GFP4
9823.ENSSSCP00000011211	G9B792
9823.ENSSSCP00000019136	Q1WEZ7
9823.ENSSSCP00000012720	A1E0B6
9823.ENSSSCP00000016538	A6XAC5
9823.ENSSSCP00000016599	K7GR49
9823.ENSSSCP00000021841	Q95KQ9
9823.ENSSSCP00000010194	F1RLL5
9823.ENSSSCP00000006694	F1RSD1
9823.ENSSSCP00000009762	F1S119
9823.ENSSSCP00000007744	F1S4Z2
9823.ENSSSCP00000016117	F1S7B3
9823.ENSSSCP00000011221	F1S8X0
9823.ENSSSCP00000002601	F1SE13
9823.ENSSSCP00000017271	F1SM30
9823.ENSSSCP00000000673	F1SQ29
9823.ENSSSCP00000008970	F1SQK4
9823.ENSSSCP00000007058	F1ST14
9823.ENSSSCP00000008670	F1SU52
9823.ENSSSCP00000018964	F1RFY4
9823.ENSSSCP00000010073	F1RJ89
9823.ENSSSCP00000010017	F1RK28
9823.ENSSSCP00000008197	F1RMX5
9823.ENSSSCP00000015505	F1RNJ7
9823.ENSSSCP00000015060	F1RNW2
9823.ENSSSCP00000015054	F1RNX8
9823.ENSSSCP00000009614	F1RSA9
9823.ENSSSCP00000018658	F1RSF5
9823.ENSSSCP00000018615	F1RT96
9823.ENSSSCP00000001152	F1RUF8
9823.ENSSSCP00000007380	F1S4D8
9823.ENSSSCP00000014868	F1S5T4
9823.ENSSSCP00000014814	F1S6Q3
9823.ENSSSCP00000004118	F1S819
9823.ENSSSCP00000007953	F1SBE3
9823.ENSSSCP00000007915	F1SC74
9823.ENSSSCP00000005076	F1SI59
9823.ENSSSCP00000005345	F1SIT7
9823.ENSSSCP00000005625	F1SJG4
9823.ENSSSCP00000012015	F1SJQ8
9823.ENSSSCP00000000788	F1SK99
9823.ENSSSCP00000012433	F1SL53
9823.ENSSSCP00000012356	F1SPK0
9823.ENSSSCP00000012151	F1SPP5
9823.ENSSSCP00000030440	F1SQ05
9823.ENSSSCP00000012647	F1SQ35
9823.ENSSSCP00000000959	F1SQR3
9823.ENSSSCP00000005105	F1SSX0
9823.ENSSSCP00000029753	A0FEV9
9823.ENSSSCP00000013333	F1RYB0
9823.ENSSSCP00000016171	F1S6D5
9823.ENSSSCP00000000108	F1SKQ0
9823.ENSSSCP00000005109	F1SSW6
9823.ENSSSCP00000012907	G5EA75
9823.ENSSSCP00000018516	Q4TU94
9823.ENSSSCP00000013824	F1B3B2
9823.ENSSSCP00000008355	F1RFE2
9823.ENSSSCP00000006959	F1RGR4
9823.ENSSSCP00000003625	F1RJE5
9823.ENSSSCP00000015335	F1RM14
9823.ENSSSCP00000010286	F1RM96
9823.ENSSSCP00000016852	F1RPN4
9823.ENSSSCP00000011934	F1RS99
9823.ENSSSCP00000006248	F1RVZ4
9823.ENSSSCP00000018512	F1RXE6
9823.ENSSSCP00000018503	F1RXG3
9823.ENSSSCP00000018502	F1RXG4
9823.ENSSSCP00000018174	F1RZ87
9823.ENSSSCP00000004967	F1RZE9
9823.ENSSSCP00000013249	F1S1S5
9823.ENSSSCP00000016236	F1S318
9823.ENSSSCP00000004534	F1S3M8
9823.ENSSSCP00000014366	F1S7J9
9823.ENSSSCP00000007628	F1S8A4
9823.ENSSSCP00000011589	F1S8N4
9823.ENSSSCP00000011214	F1S8X7
9823.ENSSSCP00000004076	F1S9S8
9823.ENSSSCP00000014739	F1S9V9
9823.ENSSSCP00000014717	F1S9Z7
9823.ENSSSCP00000014702	F1SAN7
9823.ENSSSCP00000011101	F1SD17
9823.ENSSSCP00000011723	F1SE91
9823.ENSSSCP00000012212	F1SH79
9823.ENSSSCP00000012810	F1SHM9
9823.ENSSSCP00000000828	F1SHQ1
9823.ENSSSCP00000005399	F1SHX4
9823.ENSSSCP00000005579	F1SMQ7
9823.ENSSSCP00000005884	F1SN68
9823.ENSSSCP00000012383	F1SPF6
9823.ENSSSCP00000000156	F1SPT9
9823.ENSSSCP00000000923	F1SRJ0
9823.ENSSSCP00000002208	F1SS36
9823.ENSSSCP00000017711	F1ST81
9823.ENSSSCP00000003865	F1STR9
9823.ENSSSCP00000003948	F1SV40
9823.ENSSSCP00000019608	A8HG47
9823.ENSSSCP00000020152	F1RJH3
9823.ENSSSCP00000019235	I3L5D6
9823.ENSSSCP00000019262	I3L5G3
9823.ENSSSCP00000019380	I3L5T0
9823.ENSSSCP00000019457	I3L606
9823.ENSSSCP00000019720	I3L6R8
9823.ENSSSCP00000020187	I3L829
9823.ENSSSCP00000020620	I3L9A8
9823.ENSSSCP00000020929	I3LA63
9823.ENSSSCP00000021444	I3LBM3
9823.ENSSSCP00000021635	I3LC62
9823.ENSSSCP00000021771	I3LCJ6
9823.ENSSSCP00000022298	I3LE13
9823.ENSSSCP00000022355	I3LE69
9823.ENSSSCP00000024358	I3LJU6
9823.ENSSSCP00000024453	I3LK39
9823.ENSSSCP00000024497	I3LK83
9823.ENSSSCP00000025065	I3LLU5
9823.ENSSSCP00000025664	I3LNJ0
9823.ENSSSCP00000025894	I3LP69
9823.ENSSSCP00000026333	I3LQF3
9823.ENSSSCP00000013362	I3LQT8
9823.ENSSSCP00000026826	I3LRT6
9823.ENSSSCP00000013235	A5A788
9823.ENSSSCP00000019147	C1K0P4
9823.ENSSSCP00000002912	C5NS09
9823.ENSSSCP00000024570	F2Z5B3
9823.ENSSSCP00000005203	H9TUB4
9823.ENSSSCP00000020505	I3L8Z4
9823.ENSSSCP00000021833	I3LCQ6
9823.ENSSSCP00000022302	I3LE17
9823.ENSSSCP00000022399	I3LEB2
9823.ENSSSCP00000024988	I3LKK2
9823.ENSSSCP00000024917	I3LLE9
9823.ENSSSCP00000025027	I3LLQ7
9823.ENSSSCP00000025131	I3LM11
9823.ENSSSCP00000025143	I3LM23
9823.ENSSSCP00000025513	I3LN41
9823.ENSSSCP00000025878	I3LP53
9823.ENSSSCP00000026925	I3LS34
9823.ENSSSCP00000027381	I3LTD6
9823.ENSSSCP00000027635	I3LU36
9823.ENSSSCP00000027782	I3LUI2
9823.ENSSSCP00000010000	L7X1V2
9823.ENSSSCP00000009151	B0FRD5
9823.ENSSSCP00000012689	F8S321
9823.ENSSSCP00000000035	Q6S4N7
9823.ENSSSCP00000013768	Q0Q4H0
9823.ENSSSCP00000027002	A3F9C5
9823.ENSSSCP00000013431	K7GLC4
9823.ENSSSCP00000010888	K7GNQ7
9823.ENSSSCP00000029757	K7GPE3
9823.ENSSSCP00000009445	O18841
9823.ENSSSCP00000018314	Q28957
9823.ENSSSCP00000009850	C0LJM7
9823.ENSSSCP00000028353	K7GKH7
9823.ENSSSCP00000026142	K7GL37
9823.ENSSSCP00000030229	K7GLG5
9823.ENSSSCP00000012914	K7GM90
9823.ENSSSCP00000029931	K7GPW5
9823.ENSSSCP00000018720	K7GQL8
9823.ENSSSCP00000015848	K7GRK1
9823.ENSSSCP00000013465	K7GSP9
9823.ENSSSCP00000031088	K7GT46
9823.ENSSSCP00000008635	Q29082
9823.ENSSSCP00000019147	Q9TES8
9823.ENSSSCP00000018865	F1RHK0
9823.ENSSSCP00000004717	F1RVE4
9823.ENSSSCP00000009520	F1RVE8
9823.ENSSSCP00000016540	F1S2U8
9823.ENSSSCP00000017884	F1SMG4
9823.ENSSSCP00000014992	F2Z5H5
9823.ENSSSCP00000014909	F2Z5H9
9823.ENSSSCP00000012660	B3VF96
9823.ENSSSCP00000017452	B3VQM4
9823.ENSSSCP00000019137	B5KN74
9823.ENSSSCP00000001663	D5KJJ2
9823.ENSSSCP00000009579	F6Q076
9823.ENSSSCP00000016420	A0FH89
9823.ENSSSCP00000011149	B7UCQ4
9823.ENSSSCP00000019441	C3VMK4
9823.ENSSSCP00000015273	F1RGF6
9823.ENSSSCP00000003467	F1RHU1
9823.ENSSSCP00000006721	F1RPU8
9823.ENSSSCP00000001093	F1RW78
9823.ENSSSCP00000018586	F1RWG2
9823.ENSSSCP00000014952	F1S386
9823.ENSSSCP00000002549	F1S3I8
9823.ENSSSCP00000002921	F1S456
9823.ENSSSCP00000014633	F1SD60
9823.ENSSSCP00000012024	F1SJP2
9823.ENSSSCP00000012961	F1SPY8
9823.ENSSSCP00000020856	F4YDZ3
9823.ENSSSCP00000017098	Q5UDR5
9823.ENSSSCP00000015199	Q6DQX1
9823.ENSSSCP00000006964	F1RGP9
9823.ENSSSCP00000003631	F1RJC9
9823.ENSSSCP00000010035	F1RK11
9823.ENSSSCP00000030041	F1RLF7
9823.ENSSSCP00000013481	F1RTD8
9823.ENSSSCP00000006588	F1RWJ9
9823.ENSSSCP00000009732	F1S145
9823.ENSSSCP00000006730	F1S254
9823.ENSSSCP00000014988	F1S2G9
9823.ENSSSCP00000009388	F1S3T1
9823.ENSSSCP00000023332	F1S534
9823.ENSSSCP00000002744	F1S9Z0
9823.ENSSSCP00000014108	F1SHJ3
9823.ENSSSCP00000017389	F1SHV4
9823.ENSSSCP00000012430	F1SL56
9823.ENSSSCP00000000176	F1SPQ0
9823.ENSSSCP00000005772	F1SSE9
9823.ENSSSCP00000008669	F1SU60
9823.ENSSSCP00000008662	F1SU67
9823.ENSSSCP00000015913	F1SV55
9823.ENSSSCP00000019363	I3L5R3
9823.ENSSSCP00000019483	I3L632
9823.ENSSSCP00000019735	I3L6T3
9823.ENSSSCP00000019489	I3L9F8
9823.ENSSSCP00000020836	I3L9X2
9823.ENSSSCP00000021077	I3LAK9
9823.ENSSSCP00000021305	I3LB86
9823.ENSSSCP00000020383	I3LD42
9823.ENSSSCP00000023116	I3LGC3
9823.ENSSSCP00000023955	I3LIP9
9823.ENSSSCP00000023971	I3LIR5
9823.ENSSSCP00000024051	I3LIZ4
9823.ENSSSCP00000024065	I3LJ08
9823.ENSSSCP00000024215	I3LJF5
9823.ENSSSCP00000024376	I3LJW4
9823.ENSSSCP00000025469	I3LMZ7
9823.ENSSSCP00000016831	I3LN35
9823.ENSSSCP00000025019	I3LNK2
9823.ENSSSCP00000025753	I3LNS8
9823.ENSSSCP00000025875	I3LP50
9823.ENSSSCP00000026066	I3LPN9
9823.ENSSSCP00000026188	I3LQ10
9823.ENSSSCP00000026262	I3LQ84
9823.ENSSSCP00000028013	I3LV61
9823.ENSSSCP00000019514	A5A760
9823.ENSSSCP00000026681	C1PIJ2
9823.ENSSSCP00000019147	A0EPJ7
9823.ENSSSCP00000020130	Q70DY4
9823.ENSSSCP00000007032	Q8WMM2
9823.ENSSSCP00000019137	A9LFU3
9823.ENSSSCP00000025879	D3Y268
9823.ENSSSCP00000030683	K9IVL7
9823.ENSSSCP00000005416	Q6W6X1
9823.ENSSSCP00000017689	Q9GMD7
9823.ENSSSCP00000004106	Q15B96
9823.ENSSSCP00000014269	Q45N57
9823.ENSSSCP00000027354	Q8WN83
9823.ENSSSCP00000007733	A7J153
9823.ENSSSCP00000022740	A4GV94
9823.ENSSSCP00000029445	Q30KI7
9823.ENSSSCP00000025247	K7GL50
9823.ENSSSCP00000013157	K7GNZ4
9823.ENSSSCP00000004358	Q19K47
9823.ENSSSCP00000007279	Q29047
9823.ENSSSCP00000028087	Q95319
9823.ENSSSCP00000028210	E9JVA2
9823.ENSSSCP00000008902	E1U318
9823.ENSSSCP00000004876	F1RPN9
9823.ENSSSCP00000018064	F1RQF2
9823.ENSSSCP00000013816	F1RRI2
9823.ENSSSCP00000006644	F1RT87
9823.ENSSSCP00000018588	F1RWG0
9823.ENSSSCP00000018544	F1RX93
9823.ENSSSCP00000009586	F1RYS9
9823.ENSSSCP00000018773	F1S166
9823.ENSSSCP00000014908	F1S440
9823.ENSSSCP00000011242	F1S8V1
9823.ENSSSCP00000002705	F1SAR3
9823.ENSSSCP00000007584	F1SAT3
9823.ENSSSCP00000002653	F1SD70
9823.ENSSSCP00000002170	F1SGQ7
9823.ENSSSCP00000005506	F1SP85
9823.ENSSSCP00000005794	F1SSB1
9823.ENSSSCP00000019681	I3L6N0
