7227.FBpp0087084	P32234
7227.FBpp0288890	F6JA91
7227.FBpp0303993	F6JAM3
7227.FBpp0081861	L0CR61
7227.FBpp0081901	A0ANB0
7227.FBpp0070856	A9YJ21
7227.FBpp0304793	B2CCW9
7227.FBpp0070999	B4F5E2
7227.FBpp0082428	A0APB0
7227.FBpp0301595	B7VEK3
7227.FBpp0113002	Q4V5G5
7227.FBpp0082476	F1D8H2
7227.FBpp0070748	F6JAQ9
7227.FBpp0073607	A9YH55
7227.FBpp0088908	C8AXZ6
7227.FBpp0072793	Q4V4F9
7227.FBpp0075509	A0APC6
7227.FBpp0084994	A4VA41
7227.FBpp0084962	C7LA86
7227.FBpp0071145	F6JBK5
7227.FBpp0077750	A0AP92
7227.FBpp0073387	A9YGC1
7227.FBpp0073672	A9YHA6
7227.FBpp0070874	A9YJ98
7227.FBpp0070624	B6UWQ6
7227.FBpp0300931	B6UX46
7227.FBpp0070768	B6ZDU7
7227.FBpp0271850	B9EQX1
7227.FBpp0079380	E0ZR38
7227.FBpp0082651	E1UIF0
7227.FBpp0071255	F6J955
7227.FBpp0288393	F6J9I9
7227.FBpp0071159	F6JBQ3
7227.FBpp0083348	H1ZY91
7227.FBpp0303306	M1LGF8
7227.FBpp0070768	Q4V497
7227.FBpp0077750	A0AP95
7227.FBpp0073384	A9YGD5
7227.FBpp0302633	A9YI48
7227.FBpp0071288	A9YK94
7227.FBpp0072151	B1PFB8
7227.FBpp0086867	E1UIA9
7227.FBpp0079408	J7KFN6
7227.FBpp0071898	Q0GT31
7227.FBpp0298273	F6J915
7227.FBpp0073780	F6JCF1
7227.FBpp0083931	H1ZYA6
7227.FBpp0071436	A8E6Y4
7227.FBpp0303995	A8VEM3
7227.FBpp0070589	A9YI35
7227.FBpp0072151	B1PFC6
7227.FBpp0083244	C0MJ16
7227.FBpp0081395	C1C5A4
7227.FBpp0075849	D7FA19
7227.FBpp0079380	E0ZR36
7227.FBpp0070780	F6JAV1
7227.FBpp0079859	Q4V512
7227.FBpp0078495	Q5MVL9
7227.FBpp0078748	A0AN02
7227.FBpp0071101	B4F5B5
7227.FBpp0087478	X2LAK9
7227.FBpp0288460	Q4V4S5
7227.FBpp0082476	F1D8G2
7227.FBpp0290558	B1PGI0
7227.FBpp0081861	L0CRM0
7227.FBpp0073309	A9YGA8
7227.FBpp0079408	J7KG65
7227.FBpp0081181	A0AN86
7227.FBpp0290716	A9YGI6
7227.FBpp0079408	J7K8R3
7227.FBpp0071502	A0AQF9
7227.FBpp0304491	A4VA71
7227.FBpp0076755	Q4V4Y8
7227.FBpp0087807	Q4V698
7227.FBpp0072200	A0AMP2
7227.FBpp0073368	A9YGG0
7227.FBpp0083931	H1ZYA3
7227.FBpp0071898	Q0GT26
7227.FBpp0071145	A9YJX0
7227.FBpp0305400	D1FYT5
7227.FBpp0304588	F6J600
7227.FBpp0071101	C0ML97
7227.FBpp0070949	F6J451
7227.FBpp0073452	A9YGK3
7227.FBpp0073537	A9YGV6
7227.FBpp0300158	A9YHV0
7227.FBpp0304793	B2CCT8
7227.FBpp0291743	B1PH60
7227.FBpp0305866	F6J732
7227.FBpp0074447	F6J8E0
7227.FBpp0303439	A9YGQ1
7227.FBpp0074525	F6J8J0
7227.FBpp0305783	A9YK77
7227.FBpp0071288	A9YK93
7227.FBpp0100048	A0A077HCY9
7227.FBpp0301988	A9YGX2
7227.FBpp0304793	B2CCT6
7227.FBpp0071061	B4YWG6
7227.FBpp0073594	F6J6B9
7227.FBpp0073236	F6JCD4
7227.FBpp0073236	F6JCE3
7227.FBpp0302633	F6JAC1
7227.FBpp0305357	A9YGR4
7227.FBpp0085807	C8AXY1
7227.FBpp0070658	F6JQ95
7227.FBpp0305454	A4IE81
7227.FBpp0083505	A7VLR0
7227.FBpp0070922	A9YJD5
7227.FBpp0070969	A9YJI6
7227.FBpp0076966	D5SHS2
7227.FBpp0073491	F6J669
7227.FBpp0079133	H8YGS9
7227.FBpp0296948	C4XVK8
7227.FBpp0111895	F6J6P1
7227.FBpp0071061	A9YJV3
7227.FBpp0070780	F6JAV7
7227.FBpp0070792	A9YJ06
7227.FBpp0072151	B1PFA4
7227.FBpp0304793	B2CCS4
7227.FBpp0073836	Q5IFA0
7227.FBpp0070768	B6ZDT5
7227.FBpp0073793	U3GXQ6
7227.FBpp0070768	B6ZDW0
7227.FBpp0083557	D7FAJ9
7227.FBpp0300347	F6JCJ0
7227.FBpp0085113	Q4V4U4
7227.FBpp0298272	A9YK55
7227.FBpp0293409	K4EN08
7227.FBpp0070768	B6ZDU2
7227.FBpp0289840	Q1EC82
7227.FBpp0071716	A0AMV0
7227.FBpp0070768	B6ZE44
7227.FBpp0070576	C4NYQ4
7227.FBpp0100176	F1IPH0
7227.FBpp0075588	Q4V5W8
7227.FBpp0303766	B6UW04
7227.FBpp0073236	F6J5M5
7227.FBpp0072151	B1PFA5
7227.FBpp0290558	B1PG23
7227.FBpp0074400	F6J894
7227.FBpp0071502	A0AQG1
7227.FBpp0071246	B6ZEH9
7227.FBpp0305888	Q4V5G9
7227.FBpp0290745	A9YIA0
7227.FBpp0086041	B6UY96
7227.FBpp0073554	B4F5F6
7227.FBpp0073452	F6J9S0
7227.FBpp0079408	J7KFW6
7227.FBpp0079733	D3DMV4
7227.FBpp0077459	Q6NP33
7227.FBpp0304235	A0AMT9
7227.FBpp0071246	B6ZED9
7227.FBpp0303421	F6J260
7227.FBpp0305700	H9BVD2
7227.FBpp0082453	S0F350
7227.FBpp0070653	A9YI89
7227.FBpp0073836	Q5IF96
7227.FBpp0305823	A0A075BJA1
7227.FBpp0288835	A0APN5
7227.FBpp0074447	F6J8C1
7227.FBpp0302027	A0AMS9
7227.FBpp0085657	B6UX12
7227.FBpp0289583	Q1EBZ3
7227.FBpp0084071	B6UW30
7227.FBpp0076547	B6UWU3
7227.FBpp0071956	B6UXL9
7227.FBpp0291049	C6SV01
7227.FBpp0305454	Q5NIT1
7227.FBpp0110174	B6UYI4
7227.FBpp0071392	F6J9B4
7227.FBpp0288793	A2VEP9
7227.FBpp0076748	A4V9Z3
7227.FBpp0289101	B6UWJ1
7227.FBpp0070862	F6J3W3
7227.FBpp0070976	F6JBE1
7227.FBpp0083183	A0AMM0
7227.FBpp0297257	A2VEX2
7227.FBpp0070976	B4YWC1
7227.FBpp0076547	B6UWU0
7227.FBpp0086041	B6UYA4
7227.FBpp0073491	F6J686
7227.FBpp0071223	Q5IFB7
7227.FBpp0291838	A2VEP5
7227.FBpp0080388	B6UVK0
7227.FBpp0071675	B6UWX7
7227.FBpp0071956	B6UXL8
7227.FBpp0084955	B6UXY8
7227.FBpp0070809	F6JAU5
7227.FBpp0079408	J7K8X3
7227.FBpp0084076	A0AMK7
7227.FBpp0111311	A1A6P5
7227.FBpp0303995	A9YI25
7227.FBpp0070976	B4YWD0
7227.FBpp0085804	C8AY11
7227.FBpp0073599	Q0IGR1
7227.FBpp0070484	Q32UV4
7227.FBpp0112233	Q4V3X8
7227.FBpp0078495	Q5MVS9
7227.FBpp0071145	A9YJW6
7227.FBpp0298272	A9YK59
7227.FBpp0072151	B1PFC0
7227.FBpp0289101	B6UWJ2
7227.FBpp0084486	B6UY68
7227.FBpp0071246	B6ZEE7
7227.FBpp0070798	F6JAY3
7227.FBpp0071898	Q0GT24
7227.FBpp0085665	Q4V4C6
7227.FBpp0073437	A9YGP0
7227.FBpp0301045	D0EP89
7227.FBpp0290150	Q4V4U2
7227.FBpp0071322	A9YKL3
7227.FBpp0303747	A0ZWM1
7227.FBpp0303888	A8WHH2
7227.FBpp0083490	C0LRM1
7227.FBpp0080731	C0MKB4
7227.FBpp0071332	C0MLT5
7227.FBpp0079408	J7K8P1
7227.FBpp0079408	J7KDS6
7227.FBpp0303306	M1LQA7
7227.FBpp0070644	A9YIC6
7227.FBpp0072924	B3DNG9
7227.FBpp0088683	C0MI15
7227.FBpp0078741	C0MIG9
7227.FBpp0292263	C0MJT6
7227.FBpp0071502	C0MK24
7227.FBpp0071538	C0MKG3
7227.FBpp0300236	C0MM15
7227.FBpp0288952	F6JBG8
7227.FBpp0288958	Q5IF59
7227.FBpp0077482	A7DZ11
7227.FBpp0071256	A9YKB9
7227.FBpp0071898	Q0GT39
7227.FBpp0073257	Q5IFD6
7227.FBpp0078495	Q5MRL4
7227.FBpp0304117	A9YK31
7227.FBpp0291862	A9YKI3
7227.FBpp0074126	B4F5G9
7227.FBpp0070744	E3W2T0
7227.FBpp0304943	H9ACL5
7227.FBpp0079408	J7K8R8
7227.FBpp0078741	C0MIG7
7227.FBpp0303153	C0MKT3
7227.FBpp0071392	F6J9A9
7227.FBpp0079677	H1ZYH6
7227.FBpp0074832	Q4V5W5
7227.FBpp0071184	C0MLI6
7227.FBpp0079835	C0MHY1
7227.FBpp0084938	Q4V4B1
7227.FBpp0078495	Q5MRC0
7227.FBpp0073598	A9YH50
7227.FBpp0289966	Q4V5E6
7227.FBpp0073667	B4YX41
7227.FBpp0300347	F6JCL1
7227.FBpp0289336	Q4V6E9
7227.FBpp0082428	A0APA6
7227.FBpp0070483	Q32UV3
7227.FBpp0073835	Q5IF77
7227.FBpp0087437	C0MJK5
7227.FBpp0071332	C0MLU1
7227.FBpp0111895	F6J6K9
7227.FBpp0303421	A9YH01
7227.FBpp0070916	B4YWB2
7227.FBpp0110078	S0F291
7227.FBpp0074269	F6J7Z1
7227.FBpp0079133	H8YGU9
7227.FBpp0293225	J7K9E8
7227.FBpp0293535	Q4V421
7227.FBpp0292263	C0MJT1
7227.FBpp0071538	C0MKG4
7227.FBpp0070709	C0ML36
7227.FBpp0300449	C4IXX2
7227.FBpp0112376	Q059C5
7227.FBpp0077432	A7DZ72
7227.FBpp0070574	C0L9J2
7227.FBpp0075509	C0MJQ3
7227.FBpp0303153	C0MKS4
7227.FBpp0085807	C8AXY2
7227.FBpp0113060	Q0IGU0
7227.FBpp0074575	Q5IF81
7227.FBpp0300931	B6UX48
7227.FBpp0071246	B6ZED4
7227.FBpp0288835	C0MK91
7227.FBpp0079680	C0MKK6
7227.FBpp0071184	C0MLI5
7227.FBpp0074150	C0MM52
7227.FBpp0073313	F6J5Q7
7227.FBpp0110138	Q4V4Z4
7227.FBpp0079017	A0APZ8
7227.FBpp0079133	H8YGV4
7227.FBpp0288694	Q45EX7
7227.FBpp0304235	C0MID5
7227.FBpp0073794	C9QP73
7227.FBpp0079408	J7KFJ0
7227.FBpp0077482	A7DZ10
7227.FBpp0297995	E2DAJ6
7227.FBpp0074331	F6J836
7227.FBpp0292476	Q0E5N2
7227.FBpp0112264	Q107J2
7227.FBpp0289592	Q4V3R6
7227.FBpp0083547	Q4V583
7227.FBpp0083203	Q4V5Z0
7227.FBpp0304146	A9YIJ0
7227.FBpp0304117	A9YK29
7227.FBpp0086984	E1UIK4
7227.FBpp0070483	Q32UX3
7227.FBpp0293535	Q4V438
7227.FBpp0070658	F6JQ92
7227.FBpp0070658	F6JQ98
7227.FBpp0078495	Q5MVF8
7227.FBpp0073659	A9YHH9
7227.FBpp0110074	Q4V3Q3
7227.FBpp0082392	B6UY32
7227.FBpp0079408	J7KFD5
7227.FBpp0084829	D1FZA2
7227.FBpp0112264	Q107C4
7227.FBpp0304943	H9ACL3
7227.FBpp0082102	S0F2A7
7227.FBpp0288835	C0MK95
7227.FBpp0073861	C0MLA9
7227.FBpp0073829	C0MM62
7227.FBpp0301993	F6J7H7
7227.FBpp0297130	Q4V3H7
7227.FBpp0070685	C0MKX4
7227.FBpp0112264	Q107D0
7227.FBpp0084640	Q4V5B5
7227.FBpp0071145	A9YJW8
7227.FBpp0303766	B6UW05
7227.FBpp0099423	B3DN16
7227.FBpp0297628	A1A6U0
7227.FBpp0073367	A9YGE7
7227.FBpp0080214	A7DZ40
7227.FBpp0072151	B1PFA7
7227.FBpp0071898	Q0GT35
7227.FBpp0074126	C0MLE0
7227.FBpp0073667	F6JA68
7227.FBpp0110078	S0F2A6
7227.FBpp0080214	A7DZ43
7227.FBpp0077432	A7DZ66
7227.FBpp0073471	C0ML11
7227.FBpp0082070	Q5IF86
7227.FBpp0303995	A9YI23
7227.FBpp0304131	B4F5Y8
7227.FBpp0088683	C0MI17
7227.FBpp0077149	C0MKC7
7227.FBpp0111895	F6J6M0
7227.FBpp0289339	Q4V3P9
7227.FBpp0075317	E5KYQ1
7227.FBpp0078495	Q5MVC8
7227.FBpp0078495	Q5MVH1
7227.FBpp0070347	B1PF37
7227.FBpp0070933	F6JBC7
7227.FBpp0071538	A0APW9
7227.FBpp0305823	A0A075BJG6
7227.FBpp0077433	A7DYY7
7227.FBpp0084821	A9QK82
7227.FBpp0073564	A9YH21
7227.FBpp0078900	A0AN21
7227.FBpp0085675	A9QHC8
7227.FBpp0084821	A9QK64
7227.FBpp0070809	A9YIU2
7227.FBpp0288890	F6J2P9
7227.FBpp0289692	A9YIS1
7227.FBpp0081861	L0CRL6
7227.FBpp0074364	Q4V3S9
7227.FBpp0289804	F6JBM9
7227.FBpp0100179	M9NW18
7227.FBpp0288958	Q5IF38
7227.FBpp0300158	A9YHU9
7227.FBpp0304943	H9ACM4
7227.FBpp0305823	A0A075BLV4
7227.FBpp0073792	M9WPZ1
7227.FBpp0071538	A0APW2
7227.FBpp0082129	H7BWU6
7227.FBpp0303766	B6UVZ5
7227.FBpp0087091	L0CQD5
7227.FBpp0288504	E5KYW9
7227.FBpp0288890	F6J2Q2
7227.FBpp0303306	M1LE97
7227.FBpp0080489	B1PGB4
7227.FBpp0085675	A9QHC9
7227.FBpp0071420	A9YKV4
7227.FBpp0072200	Q6NL36
7227.FBpp0083146	A0A075BJ46
7227.FBpp0305700	H9BVD4
7227.FBpp0304769	B4F625
7227.FBpp0070765	F6JAQ2
7227.FBpp0302587	A9YKS4
7227.FBpp0293798	Q4V4E0
7227.FBpp0289101	Q494M6
7227.FBpp0077750	A0AP98
7227.FBpp0073609	F6J6F4
7227.FBpp0071103	F6JBJ6
7227.FBpp0292476	Q0E5P5
7227.FBpp0290745	A9YIA1
7227.FBpp0083505	F8WKX9
7227.FBpp0077939	Q4V4D3
7227.FBpp0084821	A9QK59
7227.FBpp0085048	Q4V4D0
7227.FBpp0084821	A9QKE0
7227.FBpp0305823	A0A075BLU8
7227.FBpp0070933	F6JBC1
7227.FBpp0071421	A9YKY8
7227.FBpp0077651	Q30CQ6
7227.FBpp0073384	A9YGE3
7227.FBpp0301988	A9YGW7
7227.FBpp0070743	A9YIL7
7227.FBpp0070949	A9YJF4
7227.FBpp0077155	Q4V3Q9
7227.FBpp0084821	A9QK55
7227.FBpp0073667	A9YHF8
7227.FBpp0079900	K7XI26
7227.FBpp0084821	A9QK68
7227.FBpp0073985	A9YHX6
7227.FBpp0077991	Q4QQ23
7227.FBpp0089127	A9QI24
7227.FBpp0071217	A9YK42
7227.FBpp0086582	B5T1Z3
7227.FBpp0071103	A9YJS7
7227.FBpp0071179	F6J4K7
7227.FBpp0070933	A9YJH3
7227.FBpp0304235	A0AMU4
7227.FBpp0085673	A9QHM4
7227.FBpp0085673	A9QHP3
7227.FBpp0081694	D7FA89
7227.FBpp0070765	F6JAP6
7227.FBpp0070780	F6JAV0
7227.FBpp0074745	A0APM1
7227.FBpp0081139	G3EC13
7227.FBpp0085673	A9QHP7
7227.FBpp0084821	A9QK70
7227.FBpp0084821	A9QKC8
7227.FBpp0073660	A9YHI5
7227.FBpp0304953	I1V4Y5
7227.FBpp0086574	Q0GT01
7227.FBpp0084683	B1P7F0
7227.FBpp0083044	B6UW98
7227.FBpp0290265	A9YHZ6
7227.FBpp0305661	A0A075BLR5
7227.FBpp0305454	A4IE79
7227.FBpp0304793	B1PGN4
7227.FBpp0085033	D3PFG2
7227.FBpp0071165	F6JBR5
7227.FBpp0084821	A9QK61
7227.FBpp0084821	A9QK72
7227.FBpp0084821	A9QK76
7227.FBpp0303431	C5I7E6
7227.FBpp0305256	A0A075BJR4
7227.FBpp0080141	E1UIL7
7227.FBpp0070765	F6JAN6
7227.FBpp0073459	B4YWZ6
7227.FBpp0073437	A9YGP1
7227.FBpp0073836	C5I7D3
7227.FBpp0073367	F6J9N4
7227.FBpp0084821	A9QKC4
7227.FBpp0291128	F6JAL0
7227.FBpp0081866	A0AN61
7227.FBpp0085639	A9QIC4
7227.FBpp0302767	A9YH08
7227.FBpp0071791	C0MIW5
7227.FBpp0085639	A9QIE5
7227.FBpp0084554	D7FAQ2
7227.FBpp0100048	A0A077HCQ5
7227.FBpp0071614	Q4V4H9
7227.FBpp0305003	Q4V560
7227.FBpp0071791	A0ANE3
7227.FBpp0303753	F6JC23
7227.FBpp0075807	A0A075BHX7
7227.FBpp0077328	B1PFW7
7227.FBpp0305661	A0A075BI02
7227.FBpp0089321	A9QHK8
7227.FBpp0111894	A9YHD2
7227.FBpp0084821	A9QKF3
7227.FBpp0099837	A9YJG0
7227.FBpp0073387	F6J9L9
7227.FBpp0089070	H8YFB0
7227.FBpp0305823	A0A075BK05
7227.FBpp0070765	F6J3J2
7227.FBpp0111668	A9YKD3
7227.FBpp0112133	Q0IGS0
7227.FBpp0081736	B5T1X0
7227.FBpp0290876	B5T1V7
7227.FBpp0296953	Q45WF5
7227.FBpp0302793	F6J178
7227.FBpp0303306	M1KNH1
7227.FBpp0303153	A0AQA3
7227.FBpp0070699	A9YID8
7227.FBpp0303306	M1KPF2
7227.FBpp0071434	Q5IFE7
7227.FBpp0111289	A2VEI3
7227.FBpp0075447	C0MJG4
7227.FBpp0080141	E1UIL3
7227.FBpp0086073	A0PKA3
7227.FBpp0073459	B4YX00
7227.FBpp0073824	C5I796
7227.FBpp0076057	E7BBS0
7227.FBpp0304117	F6J4P4
7227.FBpp0082180	Q7YU23
7227.FBpp0072200	A0AMP6
7227.FBpp0303306	M1LQB8
7227.FBpp0291654	B8A3Y5
7227.FBpp0070605	Q4QQ59
7227.FBpp0071588	C0MIA1
7227.FBpp0079900	L0CRJ9
7227.FBpp0303306	M1KNI0
7227.FBpp0303306	M1KNL9
7227.FBpp0071588	C0MI98
7227.FBpp0303431	C5I7A0
7227.FBpp0087156	Q4V4D5
7227.FBpp0303993	A9YIM8
7227.FBpp0085804	C8AY13
7227.FBpp0088881	I1V500
7227.FBpp0085634	A9QHS6
7227.FBpp0303993	A9YIN1
7227.FBpp0086581	B5T206
7227.FBpp0111307	A1A6R8
7227.FBpp0071332	A9YKN9
7227.FBpp0071716	C0MIF4
7227.FBpp0073816	C0ML52
7227.FBpp0073491	F6J684
7227.FBpp0084829	A9QJQ6
7227.FBpp0071502	C0MK19
7227.FBpp0076978	C0MKW0
7227.FBpp0070423	C3KGI6
7227.FBpp0070647	F6JAF7
7227.FBpp0087101	Q4V402
7227.FBpp0076737	Q4V4Z0
7227.FBpp0083454	A4GK99
7227.FBpp0304003	B4F694
7227.FBpp0074608	B6UXN9
7227.FBpp0292103	J7KEI9
7227.FBpp0112074	Q4V5T9
7227.FBpp0086582	B5T1Z5
7227.FBpp0086582	B5T1Z8
7227.FBpp0082183	B5T232
7227.FBpp0085687	B5T245
7227.FBpp0110064	Q45WH2
7227.FBpp0078158	B5T219
7227.FBpp0075711	Q7YSG8
7227.FBpp0073452	A9YGJ9
7227.FBpp0087097	L0CR03
7227.FBpp0111939	Q4V3R1
7227.FBpp0112753	Q4V4R3
7227.FBpp0073837	C5I797
7227.FBpp0111669	A2VEN1
7227.FBpp0292263	A0APF5
7227.FBpp0289733	A2VEP6
7227.FBpp0085639	A9QIC3
7227.FBpp0301988	A9YGW5
7227.FBpp0076678	S0F360
7227.FBpp0087080	A1Z8W0
7227.FBpp0087212	I6LU05
7227.FBpp0088366	Q59DN9
7227.FBpp0290630	Q59E11
7227.FBpp0112354	Q5BHW8
7227.FBpp0290082	E1JH38
7227.FBpp0111842	E1JH70
7227.FBpp0290792	E1JHK1
7227.FBpp0077136	E1JHT2
7227.FBpp0291538	E1JI40
7227.FBpp0303578	E1NZD5
7227.FBpp0289561	E1JHB4
7227.FBpp0099853	Q59E06
7227.FBpp0076149	E2E6C9
7227.FBpp0077542	I6LTY6
7227.FBpp0087212	I6LU37
7227.FBpp0085891	A1ZBA9
7227.FBpp0290053	A1ZBN5
7227.FBpp0290391	E1JHE3
7227.FBpp0301686	E1JI50
7227.FBpp0079836	E0R973
7227.FBpp0289538	E1JHG2
7227.FBpp0304106	E1JJK8
7227.FBpp0084220	E1NZE0
7227.FBpp0086142	A1ZAR6
7227.FBpp0086747	E1JH62
7227.FBpp0290783	E1JJR9
7227.FBpp0086669	A1A6U4
7227.FBpp0290170	E1JIB1
7227.FBpp0076149	E2E6F4
7227.FBpp0070221	Q5BIM0
7227.FBpp0289410	A1Z7N3
7227.FBpp0290262	E1JHC2
7227.FBpp0072861	D3DMN9
7227.FBpp0290143	E1JH24
7227.FBpp0078132	E1JI27
7227.FBpp0080433	Q59DZ0
7227.FBpp0084383	C6SUZ6
7227.FBpp0304416	E1JHV2
7227.FBpp0088122	E2E615
7227.FBpp0075458	Q59E27
7227.FBpp0073090	E1JIC9
7227.FBpp0099473	E1JIQ2
7227.FBpp0110191	E1JIS2
7227.FBpp0291079	E1JIV8
7227.FBpp0088122	E2E5X8
7227.FBpp0088122	E2E614
7227.FBpp0304263	E1JIT6
7227.FBpp0088528	A1ZAZ2
7227.FBpp0289461	E1JJC5
7227.FBpp0289692	E1JJE6
7227.FBpp0110191	Q59DV6
7227.FBpp0292103	A1Z942
7227.FBpp0293597	Q25B55
7227.FBpp0271851	A1Z8J5
7227.FBpp0085939	A1ZB56
7227.FBpp0292103	E1JH47
7227.FBpp0288694	E1JHS8
7227.FBpp0078495	E1JJ46
7227.FBpp0088153	Q59DQ4
7227.FBpp0079502	Q95TD0
7227.FBpp0083429	E0R972
7227.FBpp0306124	E1JGM3
7227.FBpp0088537	E1JHG4
7227.FBpp0289531	E1JHS7
7227.FBpp0293292	E1NZE3
7227.FBpp0305380	Q059E0
7227.FBpp0071571	Q6SAH4
7227.FBpp0112066	Q8MT33
7227.FBpp0290554	Q961U1
7227.FBpp0304511	Q9VKI0
7227.FBpp0291734	A0A0B4JD47
7227.FBpp0080389	A4V0S1
7227.FBpp0087080	B6CLF6
7227.FBpp0288751	B7YZL2
7227.FBpp0113097	B7YZL9
7227.FBpp0271910	B7Z0C5
7227.FBpp0073158	B7Z0B5
7227.FBpp0271904	Q8MLX0
7227.FBpp0084399	A0AND8
7227.FBpp0073493	E1JJM8
7227.FBpp0070326	O77268
7227.FBpp0112834	E8Z4Z5
7227.FBpp0297628	A1Z871
7227.FBpp0086192	A1ZAL1
7227.FBpp0085855	A1ZB71
7227.FBpp0289636	E1JIS4
7227.FBpp0289587	A1Z6R3
7227.FBpp0080437	E1NZE7
7227.FBpp0079337	Q86BM3
7227.FBpp0074714	Q9VW21
7227.FBpp0081815	B5T1Z1
7227.FBpp0289232	B7Z0I1
7227.FBpp0087553	Q5BHZ7
7227.FBpp0088739	B7Z097
7227.FBpp0100182	Q05GI5
7227.FBpp0289220	A0A0B4JCT7
7227.FBpp0292634	A0A0B4JCW7
7227.FBpp0292837	A0A0B4JCX8
7227.FBpp0084761	A0A0B4JD11
7227.FBpp0292618	A0A0B4JD27
7227.FBpp0086975	A0A0B4JD45
7227.FBpp0291772	A0A0B4JD97
7227.FBpp0292914	A0A0B4JDA1
7227.FBpp0112945	Q8IPQ3
7227.FBpp0306020	Q9NHX5
7227.FBpp0292394	A0A0B4JD83
7227.FBpp0292466	A0A0B4JDB3
7227.FBpp0086767	Q8MRH0
7227.FBpp0080800	Q9VIS9
7227.FBpp0305104	Q9XYM1
7227.FBpp0087643	A1Z7N2
7227.FBpp0086741	A1Z9J4
7227.FBpp0085550	A1ZBY2
7227.FBpp0297122	B1PG02
7227.FBpp0288978	Q06PM6
7227.FBpp0297077	Q24204
7227.FBpp0088654	Q86BP6
7227.FBpp0289049	A4V362
7227.FBpp0288751	B7YZL5
7227.FBpp0292065	A0A0B4JCT2
7227.FBpp0086538	A0A0B4JCT8
7227.FBpp0085821	A0A0B4JCU8
7227.FBpp0292985	A0A0B4JCV9
7227.FBpp0082685	A0A0B4JCY5
7227.FBpp0292830	A0A0B4JD04
7227.FBpp0303189	A4V287
7227.FBpp0292199	A0A0B4KEJ9
7227.FBpp0271851	A0A0B4KEL5
7227.FBpp0292049	A0A0B4KEN0
7227.FBpp0086902	A0A0B4KEP0
7227.FBpp0086853	A0A0B4KEQ0
7227.FBpp0303451	A0A0B4KER2
7227.FBpp0083366	A0A0B4KGK8
7227.FBpp0292045	A0A0B4LEG2
7227.FBpp0297867	A0A0B4LEG9
7227.FBpp0111810	A0A0B4LEI8
7227.FBpp0087206	A0A0B4LET0
7227.FBpp0293495	A0A0B4LF25
7227.FBpp0086124	A0A0B4LFF8
7227.FBpp0087423	A0A0B4LG12
7227.FBpp0087058	A0A0B4LG91
7227.FBpp0292103	A0A0B4LGA3
7227.FBpp0112395	A0A0B4LGJ2
7227.FBpp0086349	A0A0B4LGL5
7227.FBpp0085549	A0A0B4LH12
7227.FBpp0112280	A0A0B4LH15
7227.FBpp0112013	A0A0B4LH25
7227.FBpp0071765	A0A0B4LH70
7227.FBpp0072357	A0A0B4LHP4
7227.FBpp0078328	A0A0B4LHR5
7227.FBpp0078287	A0A0B4LHT4
7227.FBpp0081831	A0A0B4LI36
7227.FBpp0082353	A0A0B4LI86
7227.FBpp0297308	A0A0B4LIE3
7227.FBpp0088485	A0A0B4LIE8
7227.FBpp0087867	A1Z7C1
7227.FBpp0271875	B7Z0D7
7227.FBpp0087860	A1Z7A5
7227.FBpp0288717	A1Z7L5
7227.FBpp0071262	M9MS35
7227.FBpp0303597	M9MS88
7227.FBpp0075174	M9PCS8
7227.FBpp0075785	M9PFC6
7227.FBpp0306233	M9PIK6
7227.FBpp0087651	A1Z7P7
7227.FBpp0292049	A1Z8V8
7227.FBpp0292527	M9MRX8
7227.FBpp0291973	M9MSE8
7227.FBpp0080884	M9NDT9
7227.FBpp0089135	M9NDU6
7227.FBpp0303500	M9PAY6
7227.FBpp0077515	M9PB07
7227.FBpp0292867	M9MRW5
7227.FBpp0077576	M9ND06
7227.FBpp0293369	M9NDZ8
7227.FBpp0289936	M9PDS1
7227.FBpp0305298	M9PDW9
7227.FBpp0304920	M9PEA5
7227.FBpp0304991	M9PEC8
7227.FBpp0074712	M9PFX7
7227.FBpp0289350	M9PJG5
7227.FBpp0087295	A1Z8E4
7227.FBpp0113013	A1Z903
7227.FBpp0289450	M9MSH6
7227.FBpp0291035	M9NDN0
7227.FBpp0293827	M9NEW7
7227.FBpp0292437	M9PCK8
7227.FBpp0305037	M9PD96
7227.FBpp0076189	M9PEX2
7227.FBpp0075733	M9PF87
7227.FBpp0074682	M9PIA7
7227.FBpp0289692	M9PJ56
7227.FBpp0289753	M9PJ95
7227.FBpp0300518	A1Z6Z4
7227.FBpp0088684	A1Z700
7227.FBpp0087641	A1Z7T9
7227.FBpp0087232	A1Z8L3
7227.FBpp0303597	M9MSB4
7227.FBpp0076495	M9PEP3
7227.FBpp0303211	M9PFG6
7227.FBpp0304751	M9PFV9
7227.FBpp0088773	N0ABE2
7227.FBpp0297683	A0A0B4K6Q9
7227.FBpp0297797	A0A0B4K6S7
7227.FBpp0086505	A0A0B4K739
7227.FBpp0297217	A0A0B4K7E8
7227.FBpp0087930	A1Z777
7227.FBpp0087699	A1Z7S0
7227.FBpp0087552	A1Z7Y4
7227.FBpp0304544	A1Z8Y0
7227.FBpp0292664	M9MS57
7227.FBpp0099401	M9PCN0
7227.FBpp0303184	M9PED6
7227.FBpp0304954	M9PF40
7227.FBpp0075083	M9PFS8
7227.FBpp0076939	M9PJS1
7227.FBpp0085835	A0A0B4LG03
7227.FBpp0071750	A0A0B4LGC2
