44689.DDB0232938	P54632
44689.DDB0217464	Q556D1
44689.DDB0203693	Q55A07
44689.DDB0203626	Q55AK5
44689.DDB0233626	Q55BQ8
44689.DDB0190815	Q55CC8
44689.DDB0190053	Q55EN8
44689.DDB0202321	Q55ET0
44689.DDB0234173	Q86AU4
44689.DDB0304417	Q86HX3
44689.DDB0169269	Q8MN43
44689.DDB0169236	Q8T2F8
44689.DDB0191706	Q54CG3
44689.DDB0190522	Q55D86
44689.DDB0187758	Q54JH2
44689.DDB0219850	Q54BV3
44689.DDB0266363	Q54HP8
44689.DDB0204997	Q54RX2
44689.DDB0304452	Q54YS4
44689.DDB0202208	Q55FP4
44689.DDB0201649	O15756
44689.DDB0187506	Q54K90
44689.DDB0237918	Q54M12
44689.DDB0186378	Q54NL2
44689.DDB0231290	Q54NR0
44689.DDB0185447	Q54R93
44689.DDB0204089	Q54U83
44689.DDB0252881	Q54V78
44689.DDB0205860	Q54WK6
44689.DDB0205838	Q54WM6
44689.DDB0235208	Q54Y33
44689.DDB0218056	Q54YR1
44689.DDB0217905	Q550I2
44689.DDB0217785	Q551U0
44689.DDB0217776	Q551W5
44689.DDB0217722	Q552S3
44689.DDB0216833	Q55B31
44689.DDB0190863	Q55C79
44689.DDB0190799	Q55CE5
44689.DDB0190387	Q55DN3
44689.DDB0202320	Q55ET4
44689.DDB0189519	Q55GA2
44689.DDB0216463	Q55H53
44689.DDB0238053	Q75JW6
44689.DDB0304655	Q86IE5
44689.DDB0168967	Q86L41
44689.DDB0188189	Q54I74
44689.DDB0219390	Q54IA3
44689.DDB0188147	Q54IB8
44689.DDB0187136	Q54L97
44689.DDB0231641	Q54M04
44689.DDB0218614	Q54PI0
44689.DDB0218569	Q54Q76
44689.DDB0201566	Q54QJ0
44689.DDB0205263	Q54SV2
44689.DDB0238680	Q54U05
44689.DDB0204082	Q54U90
44689.DDB0234250	Q54Z79
44689.DDB0202518	Q553N0
44689.DDB0203198	Q555A8
44689.DDB0202852	Q55BF3
44689.DDB0190492	Q55DB7
44689.DDB0191322	Q55DV7
44689.DDB0190045	Q55EP7
44689.DDB0202219	Q55FK0
44689.DDB0168312	Q7KWW3
44689.DDB0167073	Q869U5
44689.DDB0169382	Q86KS9
44689.DDB0237856	Q8MP76
44689.DDB0217786	Q551S4
44689.DDB0217783	Q551U4
44689.DDB0203528	Q552J4
44689.DDB0191415	O15699
44689.DDB0218284	Q54UC5
44689.DDB0206017	Q54WC2
44689.DDB0203317	Q556D4
44689.DDB0205338	Q54YE8
44689.DDB0204294	Q54T84
44689.DDB0216390	Q553R0
44689.DDB0218858	Q54LF3
44689.DDB0305136	Q54LX8
44689.DDB0233775	Q54LY9
44689.DDB0305090	Q54MA8
44689.DDB0186551	Q54N34
44689.DDB0186374	Q54NL7
44689.DDB0186054	Q54PI8
44689.DDB0231837	Q54PJ9
44689.DDB0235190	Q54Q77
44689.DDB0218377	Q54SL1
44689.DDB0218300	Q54U28
44689.DDB0206409	Q54VT1
44689.DDB0206388	Q54VV3
44689.DDB0302596	Q54YW2
44689.DDB0217887	Q550M5
44689.DDB0217824	Q551H1
44689.DDB0252775	Q554G9
44689.DDB0203304	Q555X9
44689.DDB0217032	Q559K8
44689.DDB0203669	Q55A90
44689.DDB0216820	Q55B66
44689.DDB0202818	Q55BC1
44689.DDB0202890	Q55BJ1
44689.DDB0220624	Q55DJ2
44689.DDB0305221	Q55DS3
44689.DDB0216646	Q55EA7
44689.DDB0189982	Q55EX0
44689.DDB0216448	Q55H47
44689.DDB0167826	Q86J19
44689.DDB0218888	Q54KW2
44689.DDB0238224	Q54LQ7
44689.DDB0218325	Q54TP1
44689.DDB0206324	Q54W76
44689.DDB0205795	Q54WR3
44689.DDB0204436	Q54YR3
44689.DDB0217933	Q550B8
44689.DDB0203178	Q554W2
44689.DDB0217014	Q559R2
44689.DDB0237736	Q55BP7
44689.DDB0190857	Q55C85
44689.DDB0190789	Q55CF5
44689.DDB0189369	Q55GQ8
44689.DDB0167329	Q86H76
44689.DDB0218337	Q23903
44689.DDB0169405	Q86AD3
44689.DDB0266979	C0JML2
44689.DDB0218794	Q54M65
44689.DDB0186207	Q54P39
44689.DDB0186117	Q54PC5
44689.DDB0185979	Q54PQ9
44689.DDB0185729	Q54QF8
44689.DDB0220684	Q54R05
44689.DDB0235365	Q54R64
44689.DDB0218459	Q54RG1
44689.DDB0218394	Q54SB1
44689.DDB0205149	Q54SY6
44689.DDB0235372	Q54WL8
44689.DDB0218094	Q54Y77
44689.DDB0238273	Q559N8
44689.DDB0233085	Q55A06
44689.DDB0190763	Q55CI6
44689.DDB0190021	Q55ES4
44689.DDB0305274	Q55FM3
44689.DDB0302581	Q55FR5
44689.DDB0267142	Q86A69
44689.DDB0233493	Q86HN1
44689.DDB0167193	Q86IB4
44689.DDB0216185	Q86II1
44689.DDB0169328	Q86KR0
44689.DDB0169260	Q8MN51
44689.DDB0191330	Q963L5
44689.DDB0188112	Q54IF3
44689.DDB0218223	Q54VT7
44689.DDB0233529	C0JMR8
44689.DDB0266824	Q54GP0
44689.DDB0230114	Q54G53
44689.DDB0266604	Q54I96
44689.DDB0231606	Q54LY4
44689.DDB0219814	Q54CF0
44689.DDB0233800	Q54CW1
44689.DDB0184312	Q54DF5
44689.DDB0219709	Q54DW9
44689.DDB0235331	Q54DZ1
44689.DDB0219642	Q54F66
44689.DDB0219539	Q54GD6
44689.DDB0219532	Q54GI4
44689.DDB0188724	Q54GK8
44689.DDB0191978	Q54BQ2
44689.DDB0216437	Q55H43
44689.DDB0204589	Q54TM8
44689.DDB0206031	Q54WA9
44689.DDB0266822	Q54XV1
44689.DDB0218093	Q54Y79
44689.DDB0203455	Q54Z45
44689.DDB0203451	Q54Z48
44689.DDB0217690	Q553D4
44689.DDB0217649	Q553Q6
44689.DDB0217575	Q554T1
44689.DDB0229916	Q557X0
44689.DDB0238219	Q559T9
44689.DDB0202832	Q55BD3
44689.DDB0190498	Q55DB1
44689.DDB0235237	Q55DW5
44689.DDB0267109	Q55EB9
44689.DDB0190060	Q55EN1
44689.DDB0238229	Q55EU0
44689.DDB0216451	Q55H44
44689.DDB0231724	Q86JM6
44689.DDB0167591	Q8T296
44689.DDB0230204	Q54JY6
44689.DDB0186695	Q54MP3
44689.DDB0186291	Q54NV0
44689.DDB0186211	Q54P35
44689.DDB0186189	Q54P57
44689.DDB0185962	Q54PT0
44689.DDB0237573	Q54QQ8
44689.DDB0304373	Q54R07
44689.DDB0218356	Q54T23
44689.DDB0232379	Q54T73
44689.DDB0237816	Q54TT2
44689.DDB0205587	Q54TX9
44689.DDB0238846	Q54UL7
44689.DDB0304729	Q54V40
44689.DDB0304730	Q54V46
44689.DDB0233500	Q54VR6
44689.DDB0206414	Q54VS6
44689.DDB0205685	Q54X17
44689.DDB0304724	Q54XT7
44689.DDB0218115	Q54XV4
44689.DDB0189469	Q55GF3
44689.DDB0189442	Q55GI2
44689.DDB0217961	Q76P10
44689.DDB0231399	Q76P15
44689.DDB0218892	Q54KU0
44689.DDB0202866	Q55BG8
44689.DDB0231576	Q1ZXK4
44689.DDB0232990	Q1ZXM2
44689.DDB0238671	Q54BR4
44689.DDB0216216	Q54C60
44689.DDB0191747	Q54CC6
44689.DDB0217512	Q8MP25
44689.DDB0191770	Q54CA5
44689.DDB0231995	Q55G27
44689.DDB0233043	Q86GJ9
44689.DDB0202440	Q552R7
44689.DDB0189904	Q55GZ0
44689.DDB0304568	Q54M73
44689.DDB0190110	Q55EH6
44689.DDB0231003	Q54KH7
44689.DDB0187242	Q54KY5
44689.DDB0266880	C7FZY8
44689.DDB0304959	C7G068
44689.DDB0252618	C7G077
44689.DDB0233028	Q54BB8
44689.DDB0191722	Q54CE9
44689.DDB0234251	Q54DI2
44689.DDB0184284	Q54DI3
44689.DDB0184030	Q54E68
44689.DDB0302628	Q54EC7
44689.DDB0238315	Q54EQ3
44689.DDB0189241	Q54F51
44689.DDB0191519	Q54FB1
44689.DDB0188948	Q54FX3
44689.DDB0204819	Q54SD1
44689.DDB0220019	Q9U9K8
44689.DDB0238429	B0G0Y4
44689.DDB0238568	Q54CH3
44689.DDB0186109	Q54PD3
44689.DDB0233631	B0G131
44689.DDB0238221	B0G155
44689.DDB0218315	Q54TV4
44689.DDB0202770	Q55B74
44689.DDB0304832	Q54BN6
44689.DDB0231411	Q54NS4
44689.DDB0185835	Q54Q56
44689.DDB0218450	Q54RH0
44689.DDB0252761	Q54S68
44689.DDB0202574	Q553T0
44689.DDB0203092	Q553Y3
44689.DDB0190877	Q55C65
44689.DDB0231768	Q55CG7
44689.DDB0190699	Q55CQ0
44689.DDB0189544	Q55G77
44689.DDB0168793	Q75JY0
44689.DDB0168386	Q86JI3
44689.DDB0233827	Q8MP80
44689.DDB0187160	Q54L73
44689.DDB0218462	Q54RF8
44689.DDB0204901	Q54S54
44689.DDB0204802	Q54SE8
44689.DDB0205267	Q54SU9
44689.DDB0205598	Q54TW9
44689.DDB0205211	Q54VC3
44689.DDB0206453	Q54VN9
44689.DDB0231825	Q54X71
44689.DDB0206242	Q54XL9
44689.DDB0204502	Q54YJ8
44689.DDB0229923	Q54ZV3
44689.DDB0217937	Q550A1
44689.DDB0235200	Q552M0
44689.DDB0203123	Q554I0
44689.DDB0217570	Q554U6
44689.DDB0217537	Q555F9
44689.DDB0190792	Q55CF2
44689.DDB0202271	Q55F47
44689.DDB0304787	Q55GI7
44689.DDB0189380	Q55GP6
44689.DDB0216478	Q55H26
44689.DDB0169484	Q75JJ9
44689.DDB0238868	Q86KC0
44689.DDB0169265	Q8MN45
44689.DDB0304945	Q54N16
44689.DDB0216879	Q55AW5
44689.DDB0233249	Q1ZXE3
44689.DDB0188560	Q54H21
44689.DDB0188318	Q54HU2
44689.DDB0188317	Q54HU3
44689.DDB0188258	Q54I04
44689.DDB0186468	Q54NB7
44689.DDB0186424	Q54NG3
44689.DDB0235392	Q54NH2
44689.DDB0237933	Q55CF8
44689.DDB0233882	Q54GS4
44689.DDB0233560	Q552T7
44689.DDB0202201	Q55FR0
44689.DDB0184413	Q54D62
44689.DDB0183789	Q54EX9
44689.DDB0218563	Q54Q97
44689.DDB0218874	Q54L11
44689.DDB0238118	Q54UU9
44689.DDB0252584	C7FZW6
44689.DDB0229932	Q54DJ1
44689.DDB0188670	Q54F00
44689.DDB0188861	Q54G60
44689.DDB0188767	Q54GF9
44689.DDB0231870	Q54GL6
44689.DDB0187198	Q54L32
44689.DDB0229831	Q54AJ6
44689.DDB0219758	Q54D33
44689.DDB0305007	Q54EC1
44689.DDB0183925	Q54EJ4
44689.DDB0189217	Q54F79
44689.DDB0189213	Q54F83
44689.DDB0219624	Q54FC7
44689.DDB0216098	Q54HJ5
44689.DDB0187267	Q54KV9
44689.DDB0185870	Q54Q22
44689.DDB0190787	Q55CF7
44689.DDB0234144	Q54LF1
44689.DDB0204328	Q54Z17
44689.DDB0188169	Q54I95
44689.DDB0218895	Q54KT3
44689.DDB0187077	Q54LF9
44689.DDB0186559	Q54N27
44689.DDB0218577	Q54Q43
44689.DDB0206159	Q54UY2
44689.DDB0218251	Q54UY7
44689.DDB0217990	Q54ZG5
44689.DDB0190300	Q55DX3
44689.DDB0167631	Q86HT6
44689.DDB0167567	Q86KB4
44689.DDB0266979	C0JMJ1
44689.DDB0191524	O97140
44689.DDB0219269	Q54JX9
44689.DDB0187605	Q54JY0
44689.DDB0186560	Q54N26
44689.DDB0186373	Q54NL8
44689.DDB0215747	Q54PT5
44689.DDB0185789	Q54QA2
44689.DDB0204860	Q54S91
44689.DDB0233357	Q54SG9
44689.DDB0205065	Q54T64
44689.DDB0232291	Q54W09
44689.DDB0237611	Q54X63
44689.DDB0203430	Q54ZA9
44689.DDB0233776	Q54ZN0
44689.DDB0238134	Q552D1
44689.DDB0202521	Q553F8
44689.DDB0203782	Q559H3
44689.DDB0217021	Q559N7
44689.DDB0206565	Q55A36
44689.DDB0216939	Q55AE3
44689.DDB0203610	Q55AQ4
44689.DDB0203585	Q55AV5
44689.DDB0216848	Q55B16
44689.DDB0230994	Q55BH6
44689.DDB0216769	Q55BR4
44689.DDB0190753	Q55CJ6
44689.DDB0190549	Q55D58
44689.DDB0190504	Q55DA4
44689.DDB0237555	Q55EH5
44689.DDB0190058	Q55EN3
44689.DDB0202313	Q55EV6
44689.DDB0168847	Q7KWV0
44689.DDB0233388	Q7KWW4
44689.DDB0237647	Q86A30
44689.DDB0168326	Q86JA8
44689.DDB0233965	Q86JB5
44689.DDB0304811	Q54BW7
44689.DDB0304732	Q54EM2
44689.DDB0191728	Q54CE3
44689.DDB0231477	Q54IU1
44689.DDB0231644	Q54IY9
44689.DDB0187914	Q54J10
44689.DDB0219289	Q54JP2
44689.DDB0218773	Q54MF6
44689.DDB0186754	Q54MI0
44689.DDB0218701	Q54NE3
44689.DDB0188492	Q54H94
44689.DDB0203139	Q554L1
44689.DDB0233488	Q54WV6
44689.DDB0220019	Q54U88
44689.DDB0217673	Q553J7
44689.DDB0202959	Q551A0
44689.DDB0304874	C7G014
44689.DDB0266787	C7G026
44689.DDB0304446	C7G028
44689.DDB0184488	Q54CY4
44689.DDB0184471	Q54D01
44689.DDB0184174	Q54DU3
44689.DDB0184166	Q54DV1
44689.DDB0184015	Q54EA5
44689.DDB0232111	Q54EF8
44689.DDB0183790	Q54EX8
44689.DDB0189257	Q54F35
44689.DDB0189111	Q54FI1
44689.DDB0201650	Q54FY3
44689.DDB0188451	Q54HF3
44689.DDB0216858	Q55B05
44689.DDB0238810	B0G164
44689.DDB0201825	Q55DB5
44689.DDB0238822	Q86AX2
44689.DDB0217526	Q86HM4
44689.DDB0167433	Q86I30
44689.DDB0168908	Q86IH3
44689.DDB0167920	Q86IV9
44689.DDB0167595	Q8T292
44689.DDB0217596	Q8T2R2
44689.DDB0266979	C0JMK6
44689.DDB0220602	Q54L03
44689.DDB0186055	Q54PI7
44689.DDB0238298	Q54PS3
44689.DDB0218155	Q54X64
44689.DDB0206212	Q54XP8
44689.DDB0217925	Q550D3
44689.DDB0220000	Q553Y8
44689.DDB0217519	Q555K1
44689.DDB0217503	Q555R0
44689.DDB0233894	Q556A3
44689.DDB0203574	Q55AW8
44689.DDB0202731	Q55B37
44689.DDB0202026	Q55BT8
44689.DDB0201711	Q55E51
44689.DDB0190040	Q55EQ2
44689.DDB0202225	Q55FG8
44689.DDB0217028	Q75JN9
44689.DDB0169162	Q76P09
44689.DDB0304710	Q869X1
44689.DDB0233956	Q86A08
44689.DDB0168932	Q86A15
44689.DDB0167340	Q86H70
44689.DDB0231340	Q86I20
44689.DDB0167178	Q86IC5
44689.DDB0233182	Q86K95
44689.DDB0304595	Q86KP6
44689.DDB0186715	Q54MM2
44689.DDB0233468	Q54MM3
44689.DDB0186284	Q54NV8
44689.DDB0238658	Q54P01
44689.DDB0237822	Q54QE9
44689.DDB0205113	Q54T20
44689.DDB0206106	Q54V25
44689.DDB0206062	Q54V63
44689.DDB0205828	Q54WN3
44689.DDB0217920	Q550E8
44689.DDB0202973	Q551D7
44689.DDB0217799	Q7KWW0
44689.DDB0232419	Q1ZXF8
44689.DDB0218897	Q54KS2
44689.DDB0186880	Q54M26
44689.DDB0233245	Q54PD6
44689.DDB0191913	Q54BV8
44689.DDB0188486	Q54HA0
44689.DDB0186741	Q54MJ4
44689.DDB0186723	Q54ML5
44689.DDB0186271	Q54NX1
44689.DDB0190032	Q55ER2
44689.DDB0204843	Q54SA8
44689.DDB0189102	Q54FJ0
44689.DDB0216911	Q55AN5
44689.DDB0220026	Q9GPQ7
44689.DDB0215235	Q54UQ5
44689.DDB0191288	Q551S0
44689.DDB0201652	Q7JPK4
44689.DDB0192225	Q54E11
44689.DDB0252602	C7G055
44689.DDB0215122	Q54AR7
44689.DDB0184499	Q54CX2
44689.DDB0188773	Q54GF4
44689.DDB0187979	Q54IT5
44689.DDB0232269	Q552Z0
44689.DDB0220082	Q54AL0
44689.DDB0192224	Q54B13
44689.DDB0267087	Q54B86
44689.DDB0184421	Q54D54
44689.DDB0215450	Q54EI7
44689.DDB0218782	Q54GI8
44689.DDB0218152	Q54X76
44689.DDB0169223	Q8MP77
44689.DDB0233267	Q1ZXH1
44689.DDB0305113	Q550H7
44689.DDB0169524	Q75JG0
44689.DDB0305230	Q86HK8
44689.DDB0218374	Q54SM5
44689.DDB0231238	Q6GW04
44689.DDB0218146	Q9Y1H8
44689.DDB0188142	Q54IC3
44689.DDB0238609	Q54KB3
44689.DDB0187123	Q54LB0
44689.DDB0186204	Q54P42
44689.DDB0238261	Q54PQ0
44689.DDB0185396	Q54RE6
44689.DDB0238850	Q54SQ1
44689.DDB0204050	Q54UC3
44689.DDB0206029	Q54WB1
44689.DDB0205727	Q54WX7
44689.DDB0215321	Q54XC2
44689.DDB0217810	Q551Q1
44689.DDB0202450	Q552U9
44689.DDB0217562	Q554X7
44689.DDB0217059	Q559D1
44689.DDB0304760	Q55AU2
44689.DDB0216842	Q55B22
44689.DDB0266968	Q55B61
44689.DDB0216496	Q55H07
44689.DDB0167334	Q86H73
44689.DDB0167501	Q8SSW4
44689.DDB0188149	Q54IB6
44689.DDB0218672	Q54NQ4
44689.DDB0206493	Q54VK1
44689.DDB0189572	Q55G47
44689.DDB0267044	Q55GF6
44689.DDB0169523	Q75JG1
44689.DDB0190398	Q55DM2
44689.DDB0233901	Q54BH4
44689.DDB0220601	Q54LM7
44689.DDB0191460	Q54MH4
44689.DDB0205655	Q54X45
44689.DDB0216931	Q55AI0
44689.DDB0219763	Q54D18
44689.DDB0216479	Q55H25
44689.DDB0206269	Q54XJ6
44689.DDB0215093	Q54AU6
44689.DDB0231658	Q555E4
44689.DDB0215083	Q54AV5
44689.DDB0191620	Q54DL1
44689.DDB0233674	Q54EJ3
44689.DDB0219643	Q54F61
44689.DDB0238168	Q54FF8
44689.DDB0233458	Q54FZ2
44689.DDB0188899	Q54G24
44689.DDB0204914	Q54S41
44689.DDB0204250	Q54TC7
44689.DDB0217726	Q552R4
44689.DDB0190831	Q55CB2
44689.DDB0305117	Q55DE4
44689.DDB0190310	Q55DW3
44689.DDB0190121	Q55EG4
44689.DDB0220128	O96548
44689.DDB0304378	Q54MN6
44689.DDB0304518	Q54MP1
44689.DDB0234147	Q54SL5
44689.DDB0218335	Q54TC0
44689.DDB0204038	Q54UD6
44689.DDB0206458	Q54VN5
44689.DDB0219704	Q555G5
44689.DDB0216836	Q55B28
44689.DDB0191039	Q55BQ1
44689.DDB0190828	Q55CB5
44689.DDB0189834	Q55FC0
44689.DDB0189401	Q55GM4
44689.DDB0167310	Q869M2
44689.DDB0217563	Q869T6
44689.DDB0217803	Q86HD8
44689.DDB0167701	Q86HP7
44689.DDB0233710	Q86HR3
44689.DDB0167464	Q86I12
44689.DDB0231836	Q86J24
44689.DDB0167086	Q8T866
44689.DDB0184593	Q54CN0
44689.DDB0267132	Q54H34
44689.DDB0233345	Q54NB8
44689.DDB0187033	Q54LK2
44689.DDB0186868	Q54M37
44689.DDB0204037	Q54UD7
44689.DDB0252863	C7G056
44689.DDB0252615	C7G076
44689.DDB0218623	Q54PE7
44689.DDB0191775	Q54CA0
44689.DDB0188043	Q54IL9
44689.DDB0186518	Q54N67
44689.DDB0219727	Q54DJ9
44689.DDB0218766	Q54MG3
44689.DDB0205613	Q54TV6
44689.DDB0215115	Q54AS4
44689.DDB0215098	Q54AU1
44689.DDB0192215	Q54B22
44689.DDB0215524	Q54CU3
44689.DDB0184512	Q54CW0
44689.DDB0189211	Q54F85
44689.DDB0188984	Q54FT4
44689.DDB0219424	Q54HP2
44689.DDB0219418	Q54HR3
44689.DDB0216253	Q54V27
44689.DDB0186114	Q54PC8
44689.DDB0185607	Q54QS9
44689.DDB0204974	Q54RZ1
44689.DDB0205591	Q54TX6
44689.DDB0238368	Q54VA7
44689.DDB0205926	Q54VZ3
44689.DDB0205801	Q54WQ8
44689.DDB0206168	Q54XU0
44689.DDB0232154	Q54YB8
44689.DDB0238661	Q54YR8
44689.DDB0233648	Q54YS7
44689.DDB0202503	Q553M0
44689.DDB0190895	Q55C47
44689.DDB0231688	Q55C60
44689.DDB0201759	Q55DR8
44689.DDB0190333	Q55DT9
44689.DDB0216455	Q55H51
44689.DDB0167623	Q86HU1
44689.DDB0167622	Q86HU2
44689.DDB0168726	Q86JK8
44689.DDB0219998	Q86K47
44689.DDB0302349	Q54L33
44689.DDB0232353	Q54LI2
44689.DDB0238414	Q54LK3
44689.DDB0218677	Q54NN0
44689.DDB0218642	Q54P36
44689.DDB0186124	Q54PB6
44689.DDB0185817	Q54Q73
44689.DDB0216389	Q54R18
44689.DDB0204217	Q54SK9
44689.DDB0230099	Q54TQ8
44689.DDB0204739	Q54UV1
44689.DDB0218020	Q54ZA0
44689.DDB0216987	Q559Y4
44689.DDB0233569	Q55DP6
44689.DDB0191411	Q9U9A4
44689.DDB0233529	C0JMR7
44689.DDB0203966	Q54UJ8
44689.DDB0185908	Q54PY6
44689.DDB0219299	Q54JH5
44689.DDB0232214	Q54JN1
44689.DDB0234107	B0G197
44689.DDB0219868	Q54BP0
44689.DDB0220649	Q54KV8
44689.DDB0187263	Q54KW3
44689.DDB0304388	Q54LQ0
44689.DDB0305300	Q54C48
44689.DDB0188214	Q54I44
44689.DDB0219330	Q54J59
44689.DDB0233636	Q54JT4
44689.DDB0235299	Q54QS2
44689.DDB0304887	C7G047
44689.DDB0215101	Q54AT8
44689.DDB0215081	Q54AV7
44689.DDB0191671	Q54CK4
44689.DDB0184456	Q54D16
44689.DDB0219695	Q54E59
44689.DDB0183935	Q54EI2
44689.DDB0238858	Q54GF3
44689.DDB0233472	Q54GP2
44689.DDB0188433	Q54HH1
44689.DDB0219415	Q54HS8
44689.DDB0187665	Q54JR7
44689.DDB0220123	Q9NAX7
44689.DDB0189005	Q54FR5
44689.DDB0187481	Q54KC1
44689.DDB0187104	Q54LD0
44689.DDB0216802	Q55BC2
44689.DDB0302396	Q86H88
44689.DDB0167386	Q86I64
44689.DDB0233703	Q54IF1
44689.DDB0186948	Q54LV4
44689.DDB0186548	Q54N37
44689.DDB0218553	Q54QE1
44689.DDB0302578	Q54RI3
44689.DDB0232171	Q54VR5
44689.DDB0206308	Q54W93
44689.DDB0206009	Q54WD1
44689.DDB0304878	Q54XR0
44689.DDB0203229	Q555I2
44689.DDB0203262	Q555Q3
44689.DDB0202698	Q558U4
44689.DDB0230001	Q55C74
44689.DDB0202300	Q55EY0
44689.DDB0216579	Q55FK9
44689.DDB0216569	Q55FT7
44689.DDB0167297	Q869M4
44689.DDB0167459	Q86I15
44689.DDB0167175	Q86IC7
44689.DDB0168607	Q86JN5
44689.DDB0169007	Q86L16
44689.DDB0234091	Q54WU1
44689.DDB0238046	B0M0Q3
44689.DDB0219255	Q54K28
44689.DDB0304434	Q54KS3
44689.DDB0186563	Q54N24
44689.DDB0304809	Q54N31
44689.DDB0218648	Q54P09
44689.DDB0186001	Q54PN8
44689.DDB0185942	Q54PV0
44689.DDB0238025	Q54Q00
44689.DDB0204873	Q54S80
44689.DDB0204079	Q54U93
44689.DDB0204740	Q54UV0
44689.DDB0205209	Q54VC5
44689.DDB0218228	Q54VP5
44689.DDB0218210	Q54W13
44689.DDB0215601	Q54WF1
44689.DDB0205318	Q54YG3
44689.DDB0229991	Q54YI4
44689.DDB0202614	Q550F5
44689.DDB0217890	Q550L4
44689.DDB0202974	Q551D8
44689.DDB0217828	Q551G0
44689.DDB0233594	Q551H5
44689.DDB0217751	Q552M8
44689.DDB0238387	Q553P3
44689.DDB0168150	Q557T1
44689.DDB0202843	Q55BE4
44689.DDB0233701	Q55CA3
44689.DDB0190684	Q55CR4
44689.DDB0190666	Q55CT2
44689.DDB0216697	Q55D74
44689.DDB0190507	Q55DA1
44689.DDB0190138	Q55EE7
44689.DDB0190064	Q55EM7
44689.DDB0189894	Q55F58
44689.DDB0216503	Q55H00
44689.DDB0232205	Q75JW5
44689.DDB0167426	Q86I37
44689.DDB0232257	Q86I62
44689.DDB0168960	Q86L46
44689.DDB0220124	Q9GPT5
44689.DDB0218106	Q54Y12
44689.DDB0304620	Q54YD1
44689.DDB0169170	Q76P02
44689.DDB0169418	Q7KWS6
44689.DDB0168336	Q86JA2
44689.DDB0218834	Q54LP1
44689.DDB0191836	Q54C33
44689.DDB0191762	Q54CB3
44689.DDB0188497	Q54H85
44689.DDB0233089	Q54HZ8
44689.DDB0219320	Q54J96
44689.DDB0219284	Q54JP7
44689.DDB0186635	Q54MV0
44689.DDB0186492	Q54N91
44689.DDB0191783	Q54C89
44689.DDB0219822	Q54C97
44689.DDB0219359	Q54IR3
44689.DDB0304382	Q54J51
44689.DDB0186882	Q54M24
44689.DDB0186740	Q54MJ5
44689.DDB0237746	Q54SH6
44689.DDB0302515	Q54UI5
44689.DDB0202710	Q558X8
44689.DDB0187591	Q54JZ4
44689.DDB0187122	Q54LB1
44689.DDB0187059	Q54LH7
44689.DDB0305095	Q54M93
44689.DDB0237612	Q54P22
44689.DDB0218645	Q54P27
44689.DDB0186162	Q54P80
44689.DDB0186090	Q54PF2
44689.DDB0218586	Q54Q12
44689.DDB0220646	Q54RN0
44689.DDB0204920	Q54S36
44689.DDB0204184	Q54SN9
44689.DDB0204279	Q54T99
44689.DDB0204670	Q54TF2
44689.DDB0218328	Q54TJ6
44689.DDB0206316	Q54W85
44689.DDB0205756	Q54WU9
44689.DDB0206238	Q54XM2
44689.DDB0204375	Q54YX4
44689.DDB0217984	Q54ZK0
44689.DDB0169123	Q54ZX7
44689.DDB0217880	Q550P6
44689.DDB0252634	Q552S1
44689.DDB0202452	Q552V2
44689.DDB0217643	Q553U7
44689.DDB0168595	Q55AA7
44689.DDB0202791	Q55B94
44689.DDB0237490	Q55BC8
44689.DDB0191029	Q55BR2
44689.DDB0229969	Q55DD3
44689.DDB0190379	Q55DP1
44689.DDB0216604	Q55F53
44689.DDB0232946	Q55F72
44689.DDB0189755	Q55FK3
44689.DDB0189649	Q55FW4
44689.DDB0189616	Q55G00
44689.DDB0189573	Q55G46
44689.DDB0216555	Q55G78
44689.DDB0189346	Q55GT3
44689.DDB0216499	Q55H04
44689.DDB0217706	Q86H55
44689.DDB0233984	Q86L37
44689.DDB0191517	Q8T6B6
44689.DDB0216947	Q9Y1H6
44689.DDB0215673	Q54R23
44689.DDB0202556	Q553Q5
44689.DDB0191321	O15754
44689.DDB0187808	Q54JB9
44689.DDB0186854	Q54M52
44689.DDB0252585	Q55DG4
44689.DDB0238069	Q54Z42
44689.DDB0266335	C7G075
44689.DDB0229829	Q54AJ8
44689.DDB0215145	Q54AP4
44689.DDB0215116	Q54AS3
44689.DDB0233002	Q54D34
44689.DDB0238679	Q54DA0
44689.DDB0183895	Q54EM8
44689.DDB0219612	Q54FI9
44689.DDB0188809	Q54GB5
44689.DDB0219509	Q54GQ0
44689.DDB0219495	Q54GX0
44689.DDB0185460	Q54R79
44689.DDB0233073	Q54X28
44689.DDB0217995	Q54ZF5
44689.DDB0169474	Q75JK8
44689.DDB0214927	C0JMQ1
44689.DDB0218028	Q54Z77
44689.DDB0202481	Q553N4
44689.DDB0219409	Q54I15
44689.DDB0215973	Q54IW0
44689.DDB0219332	Q54J45
44689.DDB0232261	Q54QG8
44689.DDB0233108	Q54VA5
44689.DDB0232363	Q55GG9
44689.DDB0186813	Q54M97
44689.DDB0216520	Q55GX4
44689.DDB0184045	Q54E89
44689.DDB0188374	Q54HN0
44689.DDB0188170	Q54I94
44689.DDB0190046	Q55EP6
44689.DDB0215523	Q54CV0
44689.DDB0184286	Q54DI1
44689.DDB0189123	Q54FG9
44689.DDB0219586	Q54FT6
44689.DDB0216172	Q54FV4
44689.DDB0218194	Q54W81
44689.DDB0218082	Q54YD3
