353153.XP_810529.1	P18269
353153.XP_818049.1	Q4DUJ3
353153.XP_818426.1	Q4DVL2
353153.XP_819945.1	Q4DZZ8
353153.XP_820209.1	Q4E0P4
353153.XP_820454.1	Q4E1E6
353153.XP_820588.1	Q4E1R5
353153.XP_820616.1	Q4E1V5
353153.XP_822048.1	Q4E674
353153.XP_809307.1	Q4D4J8
353153.XP_818497.1	Q4DVV6
353153.XP_820543.1	Q4E1P4
353153.XP_802485.1	Q4CL87
353153.XP_802762.1	Q4CM14
353153.XP_810581.1	Q4D875
353153.XP_812984.1	Q4DF35
353153.XP_819472.1	Q4DYP2
353153.XP_818815.1	Q4DWP2
353153.XP_819055.1	Q4DXD8
353153.XP_819627.1	Q4DZ35
353153.XP_817007.1	Q4DRK0
353153.XP_817389.1	Q4DSN8
353153.XP_818766.1	Q4DWJ0
353153.XP_818975.1	Q4DX89
353153.XP_819340.1	Q4DY91
353153.XP_819696.1	Q4DZA2
353153.XP_820415.1	Q4E1A2
353153.XP_820546.1	Q4E1P1
353153.XP_820909.1	Q4E2R7
353153.XP_821020.1	Q4E307
353153.XP_821123.1	Q4E398
353153.XP_821147.1	Q4E3D8
353153.XP_821249.1	Q4E3M1
353153.XP_821889.1	Q4E5H2
353153.XP_819658.1	Q4DZ43
353153.XP_820699.1	Q4E274
353153.XP_806327.1	Q4CW24
353153.XP_809686.1	Q4D5M8
353153.XP_814152.1	Q4DIE9
353153.XP_820131.1	Q4E0I4
353153.XP_816755.1	Q4DQV0
353153.XP_817538.1	Q4DT29
353153.XP_819116.1	Q4DXK3
353153.XP_821722.1	Q4E503
353153.XP_802246.1	Q4CKJ8
353153.XP_816891.1	Q4DR79
353153.XP_817357.1	Q4DSL1
353153.XP_817376.1	Q4DSM3
353153.XP_817532.1	Q4DT35
353153.XP_819047.1	Q4DXE6
353153.XP_819157.1	Q4DXS0
353153.XP_819253.1	Q4DXZ8
353153.XP_819583.1	Q4DYX3
353153.XP_819816.1	Q4DZK5
353153.XP_819856.1	Q4DZR8
353153.XP_820405.1	Q4E1B2
353153.XP_820891.1	Q4E2L8
353153.XP_821412.1	Q4E462
353153.XP_821449.1	Q4E4A5
353153.XP_821619.1	Q4E4T4
353153.XP_821697.1	Q4E4W9
353153.XP_821734.1	Q4E559
353153.XP_811176.1	Q4D9Y5
353153.XP_817933.1	Q4DU77
353153.XP_804681.1	Q4CRC9
353153.XP_804711.1	Q4CRF8
353153.XP_806849.1	Q4CXJ8
353153.XP_807029.1	Q4CY26
353153.XP_809043.1	Q4D3U0
353153.XP_809077.1	Q4D3Y1
353153.XP_809180.1	Q4D476
353153.XP_811196.1	Q4D9Z3
353153.XP_815832.1	Q4DN78
353153.XP_815905.1	Q4DNF9
353153.XP_816135.1	Q4DP34
353153.XP_816686.1	Q4DQN3
353153.XP_817485.1	Q4DSW9
353153.XP_817888.1	Q4DU36
353153.XP_822107.1	Q4E620
353153.XP_806999.1	Q4CXZ6
353153.XP_808807.1	Q4D352
353153.XP_811313.1	Q4DAA7
353153.XP_816387.1	Q4DPT8
353153.XP_817022.1	Q4DRL1
353153.XP_817464.1	Q4DSV0
353153.XP_819396.1	Q4DYE6
353153.XP_819787.1	Q4DZG5
353153.XP_820671.1	Q4E221
353153.XP_820792.1	Q4E2D2
353153.XP_820824.1	Q4E2F4
353153.XP_821148.1	Q4E3D7
353153.XP_821577.1	Q4E4M0
353153.XP_821673.1	Q4E4Z1
353153.XP_819503.1	Q4DYP7
353153.XP_806960.1	Q4CXV1
353153.XP_813737.1	Q4DH95
353153.XP_815869.1	Q4DNB4
353153.XP_817599.1	Q4DT94
353153.XP_821363.1	Q4E3Y9
353153.XP_803924.1	Q4CP71
353153.XP_817346.1	Q4DSI9
353153.XP_817588.1	Q4DTA5
353153.XP_811378.1	Q4DAI6
353153.XP_811576.1	Q4DB23
353153.XP_814851.1	Q4DKD7
353153.XP_815355.1	Q4DLV6
353153.XP_807420.1	Q4CZ66
353153.XP_807827.1	Q4D0C7
353153.XP_820303.1	Q4E103
353153.XP_809730.1	Q4D5T3
353153.XP_811593.1	Q4DB30
353153.XP_818896.1	Q4DWY5
353153.XP_817053.1	Q4DRP8
353153.XP_817274.1	Q4DSC1
353153.XP_817354.1	Q4DSL5
353153.XP_817387.1	Q4DSP0
353153.XP_817457.1	Q4DSV7
353153.XP_817546.1	Q4DT61
353153.XP_818679.1	Q4DWB4
353153.XP_818835.1	Q4DWU2
353153.XP_818851.1	Q4DWU6
353153.XP_819017.1	Q4DXD1
353153.XP_819065.1	Q4DXG3
353153.XP_819284.1	Q4DY51
353153.XP_819367.1	Q4DYA3
353153.XP_819499.1	Q4DYQ2
353153.XP_819682.1	Q4DZ61
353153.XP_819811.1	Q4DZJ3
353153.XP_820500.1	Q4E1M3
353153.XP_821233.1	Q4E3N7
353153.XP_821448.1	Q4E487
353153.XP_821495.1	Q4E4B8
353153.XP_821532.1	Q4E4H3
353153.XP_821759.1	Q4E538
353153.XP_821949.1	Q4E5R1
353153.XP_822013.1	Q4E5V1
353153.XP_808574.1	Q4D2H6
353153.XP_816267.1	Q4DPF2
353153.XP_818733.1	Q4DWG8
353153.XP_802639.1	Q4CLP1
353153.XP_812725.1	Q4DEC1
353153.XP_813316.1	Q4DG08
353153.XP_804489.1	Q4CQT5
353153.XP_804846.1	Q4CRU5
353153.XP_813675.1	Q4DH17
353153.XP_815240.1	Q4DLI5
353153.XP_815601.1	Q4DMJ1
353153.XP_817784.1	Q4DTT1
353153.XP_818010.1	Q4DUF2
353153.XP_820460.1	Q4E1G8
353153.XP_822057.1	Q4E653
353153.XP_802134.1	Q4CK86
353153.XP_805023.1	Q4CK96
353153.XP_804751.1	Q4CRJ7
353153.XP_806892.1	Q4CXN7
353153.XP_809111.1	Q4D406
353153.XP_809145.1	Q4D444
353153.XP_810913.1	Q4D965
353153.XP_811274.1	Q4DA70
353153.XP_811331.1	Q4DAC6
353153.XP_813416.1	Q4DGA7
353153.XP_815548.1	Q4DMD3
353153.XP_815722.1	Q4DMZ3
353153.XP_815836.1	Q4DN84
353153.XP_815847.1	Q4DNA9
353153.XP_816212.1	Q4DPA4
353153.XP_816280.1	Q4DPH2
353153.XP_816296.1	Q4DPI2
353153.XP_817174.1	Q4DS34
353153.XP_817194.1	Q4DS44
353153.XP_817333.1	Q4DSI1
353153.XP_817874.1	Q4DU26
353153.XP_818080.1	Q4DUM9
353153.XP_818155.1	Q4DUT6
353153.XP_818325.1	Q4DVD6
353153.XP_818585.1	Q4DW48
353153.XP_819973.1	Q4E019
353153.XP_806017.1	Q4CV66
353153.XP_809947.1	Q4D6E8
353153.XP_817911.1	Q4DU62
353153.XP_816745.1	Q4DQT3
353153.XP_817176.1	Q4DS32
353153.XP_818717.1	Q4DWI6
353153.XP_819381.1	Q4DYD0
353153.XP_819687.1	Q4DZ73
353153.XP_821771.1	Q4E524
353153.XP_802194.1	Q4CKE6
353153.XP_802228.1	Q4CKI0
353153.XP_816506.1	Q4DQ54
353153.XP_817572.1	Q4DT78
353153.XP_818720.1	Q4DWI3
353153.XP_818839.1	Q4DWT8
353153.XP_819200.1	Q4DXT6
353153.XP_819197.1	Q4DXT9
353153.XP_819388.1	Q4DYF4
353153.XP_819630.1	Q4DZ32
353153.XP_821074.1	Q4E387
353153.XP_821294.1	Q4E3W1
353153.XP_821336.1	Q4E416
353153.XP_821473.1	Q4E4E2
353153.XP_821582.1	Q4E4L4
353153.XP_821701.1	Q4E522
353153.XP_821842.1	Q4E5F3
353153.XP_821879.1	Q4E5I4
353153.XP_822110.1	Q4E5Y2
353153.XP_804216.1	Q4CQ14
353153.XP_817558.1	Q4DT49
353153.XP_805406.1	Q4CTF2
353153.XP_812203.1	Q4DCV0
353153.XP_816300.1	Q4DPJ5
353153.XP_807155.1	Q4CYF6
353153.XP_809768.1	Q4D5W3
353153.XP_816720.1	Q4DQS8
353153.XP_817336.1	Q4DSJ9
353153.XP_819677.1	Q4DZ66
353153.XP_810587.1	Q4D889
353153.XP_802231.1	Q4CKI3
353153.XP_806983.1	Q4CXY2
353153.XP_808078.1	Q4D118
353153.XP_812333.1	Q4DD73
353153.XP_813688.1	Q4DH29
353153.XP_813997.1	Q4DHY5
353153.XP_803535.1	Q4CNX5
353153.XP_806270.1	Q4CVX0
353153.XP_806551.1	Q4CWQ1
353153.XP_807284.1	Q4CYS9
353153.XP_807700.1	Q4D003
353153.XP_807711.1	Q4D007
353153.XP_808207.1	Q4D1F7
353153.XP_808224.1	Q4D1H1
353153.XP_809262.1	Q4D4G3
353153.XP_809474.1	Q4D520
353153.XP_810034.1	Q4D6N2
353153.XP_810474.1	Q4D7X5
353153.XP_810576.1	Q4D883
353153.XP_810721.1	Q4D8L5
353153.XP_810777.1	Q4D8S3
353153.XP_811988.1	Q4DC79
353153.XP_812775.1	Q4DEI5
353153.XP_812810.1	Q4DEK9
353153.XP_813976.1	Q4DHX7
353153.XP_814729.1	Q4DK25
353153.XP_815149.1	Q4DLA1
353153.XP_802387.1	Q4CKY9
353153.XP_802482.1	Q4CL84
353153.XP_802509.1	Q4CLB1
353153.XP_802655.1	Q4CLQ7
353153.XP_802720.1	Q4CLX2
353153.XP_803056.1	Q4CMV8
353153.XP_805075.1	Q4CSH2
353153.XP_805262.1	Q4CT10
353153.XP_805485.1	Q4CTN2
353153.XP_805505.1	Q4CTQ5
353153.XP_805712.1	Q4CUB0
353153.XP_805962.1	Q4CV08
353153.XP_806149.1	Q4CVJ6
353153.XP_806711.1	Q4CX57
353153.XP_807245.1	Q4CYP3
353153.XP_807396.1	Q4CZ42
353153.XP_807444.1	Q4CZ90
353153.XP_807749.1	Q4D043
353153.XP_807951.1	Q4D0P7
353153.XP_808270.1	Q4D1L3
353153.XP_808501.1	Q4D296
353153.XP_809369.1	Q4D4S0
353153.XP_809392.1	Q4D4U5
353153.XP_809590.1	Q4D5E7
353153.XP_810056.1	Q4D6R3
353153.XP_810808.1	Q4D8V4
353153.XP_810824.1	Q4D8X0
353153.XP_810964.1	Q4D9C1
353153.XP_810983.1	Q4D9C7
353153.XP_811092.1	Q4D9P4
353153.XP_812657.1	Q4DE59
353153.XP_813142.1	Q4DFI7
353153.XP_813153.1	Q4DFK0
353153.XP_813832.1	Q4DHH9
353153.XP_813878.1	Q4DHM9
353153.XP_814305.1	Q4DIW2
353153.XP_815190.1	Q4DLD3
353153.XP_814560.1	Q4DJL5
353153.XP_808070.1	Q4D117
353153.XP_812072.1	Q4DCH8
353153.XP_813203.1	Q4DFP8
353153.XP_818817.1	Q4DWS9
353153.XP_804612.1	Q4CR59
353153.XP_804623.1	Q4CR70
353153.XP_804664.1	Q4CRB2
353153.XP_804688.1	Q4CRD5
353153.XP_806797.1	Q4CXE4
353153.XP_806901.1	Q4CXQ0
353153.XP_807030.1	Q4CY27
353153.XP_811194.1	Q4D9Y7
353153.XP_813384.1	Q4DG77
353153.XP_813448.1	Q4DGF0
353153.XP_815449.1	Q4DM50
353153.XP_815473.1	Q4DM71
353153.XP_815499.1	Q4DM97
353153.XP_815659.1	Q4DMR0
353153.XP_816142.1	Q4DP27
353153.XP_816255.1	Q4DPG6
353153.XP_816366.1	Q4DPQ8
353153.XP_816383.1	Q4DPS0
353153.XP_816826.1	Q4DR13
353153.XP_816924.1	Q4DRB6
353153.XP_816920.1	Q4DRC0
353153.XP_817603.1	Q4DT90
353153.XP_817866.1	Q4DU06
353153.XP_817990.1	Q4DUD8
353153.XP_820115.1	Q4E0G5
353153.XP_820160.1	Q4E0L1
353153.XP_820206.1	Q4E0P7
353153.XP_820257.1	Q4E0U5
353153.XP_822047.1	Q4E676
353153.XP_811467.1	Q4DAR5
353153.XP_816600.1	Q4DQF9
353153.XP_819615.1	Q4DYZ4
353153.XP_821063.1	Q4E340
353153.XP_817240.1	Q4DS75
353153.XP_818664.1	Q4DWA6
353153.XP_818764.1	Q4DWJ2
353153.XP_819479.1	Q4DYN4
353153.XP_819632.1	Q4DZ30
353153.XP_819864.1	Q4DZR0
353153.XP_820817.1	Q4E2G1
353153.XP_820926.1	Q4E2Q0
353153.XP_820916.1	Q4E2R0
353153.XP_820972.1	Q4E2Y0
353153.XP_821093.1	Q4E3B9
353153.XP_821306.1	Q4E3U7
353153.XP_821634.1	Q4E4R7
353153.XP_821765.1	Q4E530
353153.XP_821857.1	Q4E5D4
353153.XP_821989.1	Q4E5X3
353153.XP_805054.1	Q4CSF0
353153.XP_806824.1	Q4CXH1
353153.XP_802629.1	Q4CLN1
353153.XP_806509.1	Q4CWK8
353153.XP_807057.1	Q4CY52
353153.XP_807216.1	Q4CYL4
353153.XP_808394.1	Q4D1Z0
353153.XP_809965.1	Q4D6G1
353153.XP_814062.1	Q4DI51
353153.XP_804046.1	Q4CPJ3
353153.XP_804804.1	Q4CRP9
353153.XP_814682.1	Q4DJW3
353153.XP_818059.1	Q4DUK9
353153.XP_805676.1	Q4CU73
353153.XP_807931.1	Q4D0N0
353153.XP_814970.1	Q4DKR8
353153.XP_815471.1	Q4DM73
353153.XP_817259.1	Q4DS95
353153.XP_820179.1	Q4E0N3
353153.XP_802271.1	Q4CKM3
353153.XP_806342.1	Q4CW37
353153.XP_811678.1	Q4DBC6
353153.XP_808839.1	Q4D388
353153.XP_812241.1	Q4DCY9
353153.XP_820992.1	Q4E2Y2
353153.XP_821416.1	Q4E457
353153.XP_821661.1	Q4E4S5
353153.XP_802739.1	Q4CLZ2
353153.XP_803063.1	Q4CMW4
353153.XP_803267.1	Q4CNG9
353153.XP_804169.1	Q4CPW5
353153.XP_804174.1	Q4CPX1
353153.XP_804438.1	Q4CQN3
353153.XP_806240.1	Q4CVT8
353153.XP_806482.1	Q4CWI2
353153.XP_807071.1	Q4CY67
353153.XP_807352.1	Q4CYZ9
353153.XP_807800.1	Q4D0A0
353153.XP_808631.1	Q4D2N5
353153.XP_808639.1	Q4D2P3
353153.XP_808671.1	Q4D2S3
353153.XP_809226.1	Q4D4D2
353153.XP_809251.1	Q4D4E7
353153.XP_809549.1	Q4D595
353153.XP_809566.1	Q4D5A8
353153.XP_810010.1	Q4D6K8
353153.XP_810070.1	Q4D6R5
353153.XP_810470.1	Q4D7W3
353153.XP_810687.1	Q4D8J0
353153.XP_810903.1	Q4D942
353153.XP_810972.1	Q4D9B3
353153.XP_811102.1	Q4D9Q4
353153.XP_811433.1	Q4DAM8
353153.XP_811710.1	Q4DBF2
353153.XP_811855.1	Q4DBV9
353153.XP_812002.1	Q4DC93
353153.XP_812037.1	Q4DCD6
353153.XP_812117.1	Q4DCL7
353153.XP_812162.1	Q4DCQ8
353153.XP_812225.1	Q4DCX0
353153.XP_812335.1	Q4DD72
353153.XP_812771.1	Q4DEG7
353153.XP_812773.1	Q4DEG8
353153.XP_813954.1	Q4DHU7
353153.XP_814167.1	Q4DIF8
353153.XP_814193.1	Q4DIJ7
353153.XP_814583.1	Q4DJM5
353153.XP_814664.1	Q4DJY1
353153.XP_815229.1	Q4DLG4
353153.XP_815216.1	Q4DLH9
353153.XP_815321.1	Q4DLS7
353153.XP_815391.1	Q4DLW5
353153.XP_819529.1	Q4DYT9
353153.XP_802376.1	Q4CKX8
353153.XP_802962.1	Q4CML5
353153.XP_803207.1	Q4CNA7
353153.XP_803893.1	Q4CP39
353153.XP_804159.1	Q4CPV5
353153.XP_804201.1	Q4CPZ8
353153.XP_804344.1	Q4CQE3
353153.XP_805270.1	Q4CT16
353153.XP_805409.1	Q4CTF6
353153.XP_805781.1	Q4CUH9
353153.XP_805795.1	Q4CUJ5
353153.XP_805924.1	Q4CUW9
353153.XP_806550.1	Q4CWP2
353153.XP_807727.1	Q4D019
353153.XP_808826.1	Q4D370
353153.XP_809767.1	Q4D5W4
353153.XP_810448.1	Q4D7U8
353153.XP_807633.1	Q4CZS8
353153.XP_808547.1	Q4D2D9
353153.XP_812604.1	Q4DE04
353153.XP_820621.1	Q4E1V0
353153.XP_818377.1	Q4DVI5
353153.XP_819039.1	Q4DXF4
353153.XP_810421.1	Q4D7S1
353153.XP_810675.1	Q4D8H1
353153.XP_816332.1	Q4DPM5
353153.XP_811677.1	Q4DBC7
353153.XP_815964.1	Q4DNJ7
353153.XP_816007.1	Q4DNS3
353153.XP_819285.1	Q4DY50
353153.XP_804613.1	Q4CR60
353153.XP_806813.1	Q4CXG0
353153.XP_809163.1	Q4D466
353153.XP_811382.1	Q4DAI2
353153.XP_815567.1	Q4DMG3
353153.XP_816055.1	Q4DNW3
353153.XP_816275.1	Q4DPH4
353153.XP_816329.1	Q4DPM8
353153.XP_816338.1	Q4DPQ0
353153.XP_816439.1	Q4DQ01
353153.XP_816788.1	Q4DQY2
353153.XP_817953.1	Q4DUA8
353153.XP_818434.1	Q4DVN0
353153.XP_818609.1	Q4DW63
353153.XP_820194.1	Q4E0R0
353153.XP_820234.1	Q4E0U2
353153.XP_820265.1	Q4E0Z2
353153.XP_820369.1	Q4E172
353153.XP_816140.1	Q4DP29
353153.XP_821892.1	Q4E5G9
353153.XP_816601.1	Q4DQF7
353153.XP_817027.1	Q4DRK7
353153.XP_817269.1	Q4DSC6
353153.XP_818812.1	Q4DWR0
353153.XP_818955.1	Q4DX34
353153.XP_819103.1	Q4DXL6
353153.XP_819128.1	Q4DXN4
353153.XP_819393.1	Q4DYE9
353153.XP_819835.1	Q4DZN2
353153.XP_820730.1	Q4E243
353153.XP_820704.1	Q4E268
353153.XP_820759.1	Q4E2B8
353153.XP_821085.1	Q4E376
353153.XP_821156.1	Q4E3F1
353153.XP_821217.1	Q4E3Q5
353153.XP_821542.1	Q4E4G0
353153.XP_803929.1	Q4CP78
353153.XP_810359.1	Q4D7K5
353153.XP_809095.1	Q4D3Z3
353153.XP_813903.1	Q4DHR3
353153.XP_818094.1	Q4DUP0
353153.XP_819854.1	Q4DZS0
353153.XP_804934.1	Q4CS32
353153.XP_803965.1	Q4CPB2
353153.XP_808576.1	Q4D2H3
353153.XP_805396.1	Q4CTE4
353153.XP_809380.1	Q4D4S5
353153.XP_810113.1	Q4D6W3
353153.XP_805194.1	Q4CST6
353153.XP_807081.1	Q4CY79
353153.XP_815909.1	Q4DNF5
353153.XP_802841.1	Q4CM92
353153.XP_806544.1	Q4CWN9
353153.XP_808250.1	Q4D1J7
353153.XP_808350.1	Q4D1U5
353153.XP_808556.1	Q4D2F0
353153.XP_808809.1	Q4D350
353153.XP_808823.1	Q4D373
353153.XP_809373.1	Q4D4R6
353153.XP_809445.1	Q4D4Z2
353153.XP_809554.1	Q4D5A4
353153.XP_809691.1	Q4D5M6
353153.XP_810237.1	Q4D781
353153.XP_810462.1	Q4D7V8
353153.XP_810847.1	Q4D8Y8
353153.XP_810860.1	Q4D903
353153.XP_811475.1	Q4DAS0
353153.XP_811669.1	Q4DBB1
353153.XP_811977.1	Q4DC65
353153.XP_812216.1	Q4DCW6
353153.XP_812257.1	Q4DCZ9
353153.XP_812413.1	Q4DDG2
353153.XP_813146.1	Q4DFJ1
353153.XP_813453.1	Q4DGE4
353153.XP_813844.1	Q4DHK2
353153.XP_813995.1	Q4DHY7
353153.XP_814578.1	Q4DJM1
353153.XP_814720.1	Q4DK04
353153.XP_814817.1	Q4DKB7
353153.XP_814847.1	Q4DKE2
353153.XP_815108.1	Q4DL55
353153.XP_815223.1	Q4DLH1
353153.XP_804102.1	Q4CPP9
353153.XP_804503.1	Q4CQV0
353153.XP_804936.1	Q4CS33
353153.XP_805076.1	Q4CSH5
353153.XP_805136.1	Q4CSN3
353153.XP_805757.1	Q4CUE9
353153.XP_805907.1	Q4CUV3
353153.XP_806209.1	Q4CVQ3
353153.XP_806306.1	Q4CW06
353153.XP_806340.1	Q4CW39
353153.XP_807865.1	Q4D0G0
353153.XP_808043.1	Q4D0Z4
353153.XP_808315.1	Q4D1R3
353153.XP_808696.1	Q4D2T7
353153.XP_808704.1	Q4D2U4
353153.XP_808897.1	Q4D3D9
353153.XP_808906.1	Q4D3E8
353153.XP_809921.1	Q4D6B7
353153.XP_810045.1	Q4D6P2
353153.XP_809958.1	Q4D6F5
353153.XP_811445.1	Q4DAP4
353153.XP_811830.1	Q4DBS9
353153.XP_816454.1	Q4DPY6
353153.XP_816500.1	Q4DQ32
353153.XP_817144.1	Q4DRY0
353153.XP_817256.1	Q4DS98
353153.XP_819335.1	Q4DY59
353153.XP_819320.1	Q4DY74
353153.XP_819409.1	Q4DYD3
353153.XP_821065.1	Q4E338
353153.XP_821158.1	Q4E3H3
353153.XP_821704.1	Q4E516
353153.XP_819144.1	Q4DXP4
353153.XP_821263.1	Q4E3T4
353153.XP_802644.1	Q4CLP5
353153.XP_802752.1	Q4CM04
353153.XP_803185.1	Q4CN89
353153.XP_803190.1	Q4CN93
353153.XP_803211.1	Q4CNB3
353153.XP_804293.1	Q4CQ92
353153.XP_804585.1	Q4CR32
353153.XP_805492.1	Q4CTN9
353153.XP_805555.1	Q4CTV3
353153.XP_805699.1	Q4CU99
353153.XP_805745.1	Q4CUE2
353153.XP_807761.1	Q4D058
353153.XP_821522.1	Q4E4I5
353153.XP_807014.1	Q4CY10
353153.XP_813815.1	Q4DHG5
353153.XP_802178.1	Q4CKD0
353153.XP_805672.1	Q4CU71
353153.XP_806766.1	Q4CXB3
353153.XP_806876.1	Q4CXM1
353153.XP_808299.1	Q4D1Q0
353153.XP_817281.1	Q4DSB4
353153.XP_807586.1	Q4CZN3
353153.XP_812069.1	Q4DCG5
353153.XP_812140.1	Q4DCN6
353153.XP_808612.1	Q4D2L0
353153.XP_809699.1	Q4D5P2
353153.XP_809973.1	Q4D6G5
353153.XP_804722.1	Q4CRG9
353153.XP_811268.1	Q4DA59
353153.XP_811302.1	Q4DA96
353153.XP_811341.1	Q4DAC9
353153.XP_813338.1	Q4DG20
353153.XP_813486.1	Q4DGH8
353153.XP_813493.1	Q4DGJ7
353153.XP_815788.1	Q4DN50
353153.XP_815923.1	Q4DNG5
353153.XP_816138.1	Q4DP31
353153.XP_816210.1	Q4DPA6
353153.XP_818048.1	Q4DUJ0
353153.XP_818107.1	Q4DUQ2
353153.XP_818151.1	Q4DUU0
353153.XP_818315.1	Q4DVA9
353153.XP_818417.1	Q4DVM3
353153.XP_818571.1	Q4DW10
353153.XP_820096.1	Q4E0E3
353153.XP_805999.1	Q4CV47
353153.XP_806836.1	Q4CXI9
353153.XP_806924.1	Q4CXS0
353153.XP_806968.1	Q4CXW7
353153.XP_817662.1	Q4DTE6
353153.XP_817654.1	Q4DTF4
353153.XP_817688.1	Q4DTK3
353153.XP_809814.1	Q4D609
353153.XP_810039.1	Q4D6N4
353153.XP_818692.1	Q4DWD8
353153.XP_817024.1	Q4DRK9
353153.XP_818822.1	Q4DWS3
353153.XP_819106.1	Q4DXL3
353153.XP_819667.1	Q4DZ77
353153.XP_819828.1	Q4DZP0
353153.XP_821736.1	Q4E557
353153.XP_817709.1	Q4DTL4
353153.XP_820599.1	Q4E1X3
353153.XP_804794.1	Q4CRP2
353153.XP_804815.1	Q4CRR2
353153.XP_808973.1	Q4D3L6
353153.XP_811188.1	Q4D9X8
353153.XP_811339.1	Q4DAD1
353153.XP_813301.1	Q4DFZ2
353153.XP_813298.1	Q4DFZ6
353153.XP_813391.1	Q4DG73
353153.XP_815955.1	Q4DNK6
353153.XP_816284.1	Q4DPJ4
353153.XP_816348.1	Q4DPN9
353153.XP_816797.1	Q4DR04
353153.XP_817062.1	Q4DRR3
353153.XP_817762.1	Q4DTQ5
353153.XP_818267.1	Q4DV77
353153.XP_818496.1	Q4DVV7
353153.XP_819958.1	Q4DZY5
353153.XP_820247.1	Q4E0S8
353153.XP_820235.1	Q4E0U1
353153.XP_820267.1	Q4E0Y9
353153.XP_820443.1	Q4E1D8
353153.XP_820612.1	Q4E1V9
353153.XP_822091.1	Q4E629
353153.XP_807510.1	Q4CZF8
353153.XP_821071.1	Q4E332
353153.XP_802372.1	Q4CKX4
353153.XP_808053.1	Q4D0Z7
353153.XP_818778.1	Q4DWN3
353153.XP_819415.1	Q4DYI7
353153.XP_819786.1	Q4DZG6
353153.XP_820970.1	Q4E2Y4
353153.XP_821007.1	Q4E321
353153.XP_802199.1	Q4CKF1
353153.XP_816497.1	Q4DQ35
353153.XP_816927.1	Q4DRB3
353153.XP_817216.1	Q4DS59
353153.XP_817309.1	Q4DSD9
353153.XP_817288.1	Q4DSF4
353153.XP_817458.1	Q4DSV6
353153.XP_817455.1	Q4DSV9
353153.XP_819030.1	Q4DXB8
353153.XP_819194.1	Q4DXU2
353153.XP_819225.1	Q4DXY8
353153.XP_819268.1	Q4DY18
353153.XP_819418.1	Q4DYI3
353153.XP_819673.1	Q4DZ70
353153.XP_820712.1	Q4E259
353153.XP_820835.1	Q4E2I5
353153.XP_820990.1	Q4E2Z0
353153.XP_821027.1	Q4E300
353153.XP_821648.1	Q4E4Q3
353153.XP_822106.1	Q4E5Y4
353153.XP_802650.1	Q4CLQ1
353153.XP_805179.1	Q4CSS7
353153.XP_806811.1	Q4CXF5
353153.XP_806893.1	Q4CXN6
353153.XP_806922.1	Q4CXS2
353153.XP_809005.1	Q4D3P9
353153.XP_811163.1	Q4D9V4
353153.XP_811309.1	Q4DAA5
353153.XP_813436.1	Q4DGD9
353153.XP_813509.1	Q4DGK5
353153.XP_815100.1	Q4DL63
353153.XP_815552.1	Q4DMF8
353153.XP_815819.1	Q4DN65
353153.XP_816014.1	Q4DNR5
353153.XP_816043.1	Q4DNT6
353153.XP_816302.1	Q4DPK4
353153.XP_816361.1	Q4DPR3
353153.XP_817093.1	Q4DRS5
353153.XP_817883.1	Q4DU41
353153.XP_817895.1	Q4DU43
353153.XP_817912.1	Q4DU61
353153.XP_817993.1	Q4DUE7
353153.XP_818119.1	Q4DUS9
353153.XP_818223.1	Q4DV34
353153.XP_818258.1	Q4DV37
353153.XP_818429.1	Q4DVK9
353153.XP_818457.1	Q4DVP2
353153.XP_818516.1	Q4DVW3
353153.XP_818540.1	Q4DVZ6
353153.XP_818560.1	Q4DW21
353153.XP_820126.1	Q4E0F3
353153.XP_820327.1	Q4E142
353153.XP_820478.1	Q4E1J0
353153.XP_822038.1	Q4E685
353153.XP_802163.1	Q4CKB5
353153.XP_804647.1	Q4CR92
353153.XP_804671.1	Q4CRB9
353153.XP_804773.1	Q4CRM0
353153.XP_817590.1	Q4DTA3
353153.XP_819904.1	Q4DZV0
353153.XP_805028.1	Q4CSC6
353153.XP_816970.1	Q4DRI0
353153.XP_819023.1	Q4DXC5
353153.XP_820414.1	Q4E1A3
353153.XP_820741.1	Q4E283
353153.XP_821153.1	Q4E3D1
353153.XP_821627.1	Q4E4S4
353153.XP_821814.1	Q4E578
353153.XP_805026.1	Q4CSC8
353153.XP_804641.1	Q4CR89
353153.XP_804676.1	Q4CRC4
353153.XP_804819.1	Q4CRR6
353153.XP_806816.1	Q4CXG2
353153.XP_809118.1	Q4D411
353153.XP_809128.1	Q4D427
353153.XP_813309.1	Q4DG15
353153.XP_813504.1	Q4DGL0
353153.XP_815424.1	Q4DM31
353153.XP_815487.1	Q4DM84
353153.XP_815573.1	Q4DMI5
353153.XP_815646.1	Q4DMP4
353153.XP_815910.1	Q4DNF4
353153.XP_816086.1	Q4DNW9
353153.XP_816136.1	Q4DP33
353153.XP_816150.1	Q4DP53
353153.XP_816306.1	Q4DPK0
353153.XP_816418.1	Q4DPY1
353153.XP_816447.1	Q4DPZ3
353153.XP_817478.1	Q4DSX6
353153.XP_817610.1	Q4DTB0
353153.XP_817707.1	Q4DTI4
353153.XP_817816.1	Q4DTW9
353153.XP_817965.1	Q4DU96
353153.XP_818177.1	Q4DUX5
353153.XP_818218.1	Q4DUZ5
353153.XP_818333.1	Q4DVC8
353153.XP_818364.1	Q4DVG4
353153.XP_818541.1	Q4DVZ5
353153.XP_819986.1	Q4E047
