158878.SAV2344	P65414
158878.SAV0063	Q84BN9
158878.SAV0028	D2J669
158878.SAVP032	Q7WUJ5
158878.SAV0059	Q9KX76
158878.SAV1828	Q52T95
158878.SAV0172	A0A068DZQ6
158878.SAV0062	Q8VUV4
158878.SAV0230	C4B818
158878.SAV0083	Q9XBB6
158878.SAV1828	O85383
158878.SAV2151	A0A098H204
158878.SAV0876	A0A0D1JD37
158878.SAV0906	A0A0D1JEH8
158878.SAV1787	A0A0D1KCE7
158878.SAV1822	A0A0D1KCL8
158878.SAV0201	A0A0D1GT29
158878.SAV2630	A0A0D1GGS9
158878.SAV2006	A0A0D1GTX0
158878.SAV1434	A0A0D1GTZ0
158878.SAV1785	A0A0D1G983
158878.SAV1785	A0A0D1IM79
158878.SAV1957	A0A0D1FT59
158878.SAV0868	A0A0D1H181
158878.SAV0896	A0A0D1H1A5
158878.SAV0147	A0A0D1IU75
158878.SAV1817	A0A0D1J2D4
158878.SAV1828	A0A0D1JKT5
158878.SAV0272	A0A0D1H346
158878.SAV2147	A0A0D1FPY8
158878.SAV0902	A0A0D1IT49
158878.SAV0913	A0A0D1JBZ5
158878.SAV2703	A0A0D1FWI0
158878.SAV1220	A0A0D1HPI5
158878.SAV0714	A0A0D1I190
158878.SAV0904	A0A0D1I3N7
158878.SAV0790	A0A0D1GXR8
158878.SAV2508	A0A0D1FWA7
158878.SAV1802	A0A0D1H9Q0
158878.SAV2472	A0A0D1H9V8
158878.SAV1978	A0A0D1IT23
158878.SAV1970	A0A0D1HCK2
158878.SAV0424	A0A0D1GSE9
158878.SAV0300	A0A0D1HFK9
158878.SAV1970	A0A0D1JSG3
158878.SAV2279	A0A0D1F9E5
158878.SAV0811	A0A0D1GJX6
158878.SAV0909	A0A0D1J4C5
158878.SAV0913	A0A0D1J7N4
158878.SAV0446	A0A0D1J876
158878.SAV2300	A0A0D1JHW0
158878.SAV0379	A0A0D1FAU7
158878.SAV2205	A0A0D1HB15
158878.SAV0938	A0A0D1HD63
158878.SAV0903	A0A0D1GNB5
158878.SAV1971	A0A0D1HXD9
158878.SAV0209	A0A0D1GPK1
158878.SAV1823	A0A0D1HNJ4
158878.SAV0880	A0A0D1HJP5
158878.SAV0692	A0A0D1J1Z6
158878.SAV0426	A0A0D1J309
158878.SAV1785	A0A0D1G908
158878.SAV0427	A0A0D1GAC7
158878.SAV1963	A0A0D1FRK1
158878.SAV1323	A0A0D1J7V3
158878.SAV0371	A0A0D1GDL6
158878.SAV0099	A0A0D1H4J9
158878.SAV1416	A0A0D1HR62
158878.SAV0850	A0A0D1I9A6
158878.SAV0869	A0A0D1IB19
158878.SAV1956	A0A0D1IK19
158878.SAV0868	A0A0D1INE4
158878.SAV0097	A0A0D1IPS1
158878.SAV2371	A0A0D1JAL9
158878.SAV0442	A0A0D1JB89
158878.SAV0335	A0A0D1FRH0
158878.SAV1955	A0A0D1IDY7
158878.SAV0799	A0A0D1EWZ7
158878.SAV1419	A0A0D1G7V7
158878.SAV1172	A0A0D1HK20
158878.SAV0909	A0A0D1HQ86
158878.SAV2404	A0A0D1HSI9
158878.SAV0876	A0A0D1JIL5
158878.SAV1481	A0A0D1JPP9
158878.SAV0146	A0A0D1FVI9
158878.SAV0887	A0A0D1GN89
158878.SAV0427	A0A0D1HNC5
158878.SAV0814	A0A0D1HPF6
158878.SAV2475	A0A0D1HSB2
158878.SAV0194	A0A0D1H0Q3
158878.SAV1954	A0A0D1H6N1
158878.SAV0894	A0A0D1H9L4
158878.SAV0574	A0A0D1J6S8
158878.SAV1976	A0A0D1J6U7
158878.SAV0847	A0A0D1HMK2
158878.SAV1220	A0A0D1HV67
158878.SAV1423	A0A0D1I1V3
158878.SAV2484	A0A0D1IWR5
158878.SAV1984	A0A0D1FNM7
158878.SAV0892	A0A0D1HP63
158878.SAV0913	A0A0D1HQE8
158878.SAV0885	A0A0D1IZS8
158878.SAV1971	A0A0D1J0P8
158878.SAV0425	A0A0D1J233
158878.SAV0715	A0A0D1JDB9
158878.SAV2650	A0A0D1JDI6
158878.SAV0714	A0A0D1JJS1
158878.SAV2147	A0A0D1GKE7
158878.SAV1970	A0A0D1IT89
158878.SAV0911	A0A0D1J2J3
158878.SAV0912	A0A0D1JF62
158878.SAV2036	A0A0D1JLZ2
158878.SAV1813	A0A0D1JP16
158878.SAV1809	A0A0D1JP18
158878.SAV0203	A0A0D1K464
158878.SAV1953	A0A0D1K4G2
158878.SAV0906	A0A0D1FX06
158878.SAV0147	A0A0D1GBW7
158878.SAV0059	A0A0D1GZE0
158878.SAV0901	A0A0D1H1A8
158878.SAV1982	A0A0D1JM17
158878.SAV1804	A0A0D1GG47
158878.SAV0912	A0A0D1IZT7
158878.SAV0444	A0A0D1H352
158878.SAV1584	A0A0D1HCL2
158878.SAV2263	A0A0D1GWK3
158878.SAV2596	A0A0D1FY06
158878.SAV0881	A0A0D1H1J4
158878.SAV2577	A0A0D1HZE7
158878.SAV2656	A0A0D1I549
158878.SAV0700	A0A0D1HQ93
158878.SAV0894	A0A0D1JE53
158878.SAV2493	A0A0D1J1W7
158878.SAV0602	A0A0D1HH16
158878.SAV0852	A0A0D1JZT7
158878.SAV0860	A0A0D1K1I6
158878.SAV1814	A0A0D1HY21
158878.SAV2472	A0A0D1ERJ1
158878.SAV1965	A0A0D1HPG7
158878.SAV1971	A0A0D1J5E5
158878.SAV1510	A0A0D1H3E2
158878.SAV1950	A0A0D1GWY0
158878.SAV1971	A0A0D1H5B8
158878.SAV2036	A0A0D1HL01
158878.SAV0910	A0A0D1I0M9
158878.SAV1979	A0A0D1HFR1
158878.SAV0904	A0A0D1JE60
158878.SAV2657	A0A0D1GRI2
158878.SAV0172	A0A0D1H3T8
158878.SAV0904	A0A0D1H9M8
158878.SAV1787	A0A0D1HP03
158878.SAV2493	A0A0D1IXF2
158878.SAV1195	A0A0D1J083
158878.SAV1487	A0A0D1ILM5
158878.SAV0783	A0A0D1GBP9
158878.SAV2657	A0A0D1GGD6
158878.SAV1986	A0A0D1GWS6
158878.SAV1787	A0A0D1EQE6
158878.SAV0173	A0A0D1FB97
158878.SAV1986	A0A0D1GSM4
158878.SAV1785	A0A0D1J010
158878.SAV0715	A0A0D1FK78
158878.SAV1973	A0A0D1J1S1
158878.SAV2006	A0A0D1H6V0
158878.SAV1172	A0A0D1J640
158878.SAV1946	A0A0D1FRI7
158878.SAV0203	A0A0D1GPK8
158878.SAV1602	A0A0D1IUS4
158878.SAV2026	A0A0D1J7B0
158878.SAV1830	A0A0D1FUE2
158878.SAV1785	A0A0D1HA79
158878.SAV1823	A0A0D1H7R3
158878.SAV1964	A0A0D1IE04
158878.SAV1971	A0A0D1IB52
158878.SAV1434	A0A0D1IWA2
158878.SAV1490	A0A0D1JV30
158878.SAV2460	A0A0D1JAA5
158878.SAV0335	A0A0D1J5P2
158878.SAV1172	A0A0D1HVC0
158878.SAV0173	A0A0D1HG43
158878.SAV1424	A0A0D1JIV2
158878.SAV0912	A0A0D1I5V1
158878.SAV1890	A0A0D1FQC6
158878.SAV2153	A0A0D1F6X8
158878.SAV0361	A0A0D1H954
158878.SAV0172	A0A0D1HU69
158878.SAV2006	A0A0D1HFP3
158878.SAV2547	A0A0D1I5F3
158878.SAV2147	A0A0D1F6X3
158878.SAV2398	A0A0D1GX15
158878.SAV0872	A0A0D1H9I4
158878.SAV1969	A0A0D1IKF0
158878.SAV1787	A0A0D1J7S7
158878.SAV0895	A0A0D1INH3
158878.SAV0822	A0A0D1FDL2
158878.SAV1823	A0A0D1FUE6
158878.SAV2656	A0A0D1HPH3
158878.SAV0904	A0A0D1J7B1
158878.SAV0912	A0A0D1I6Y4
158878.SAV1481	A0A0D1HW51
158878.SAV2608	A0A0D1FBV6
158878.SAV0913	A0A0D1H2G9
158878.SAV1787	A0A0D1IQH4
158878.SAV1220	A0A0D1JP11
158878.SAV0379	A0A0D1JUA1
158878.SAV0714	A0A0D1GNE2
158878.SAV1486	A0A0D1H7V3
158878.SAV2147	A0A0D1JAU7
158878.SAV1968	A0A0D1FRK5
158878.SAV0890	A0A0D1IZT2
158878.SAV1954	A0A0D1FRJ1
158878.SAV0874	A0A0D1G180
158878.SAV0897	A0A0D1IT45
158878.SAV0198	A0A0D1GPL3
158878.SAV2153	A0A0D1HAG4
158878.SAV2027	A0A0D1IVP8
158878.SAV0735	A0A0D1HWE2
158878.SAV0911	A0A0D1FWZ7
158878.SAV2021	A0A0D1H291
158878.SAV0302	A0A0D1HYI4
158878.SAV1977	A0A0D1JEE7
158878.SAV0714	A0A0D1J697
158878.SAV0898	A0A0D1GNA3
158878.SAV2595	A0A0D1GVH7
158878.SAV2460	A0A0D1IL92
158878.SAV0602	A0A0D1G2M6
158878.SAV0379	A0A0D1IVJ7
158878.SAV1787	A0A0D1FWN4
158878.SAV1172	A0A0D1H1I3
158878.SAV2263	A0A0D1HTK7
158878.SAV1880	A0A0D1HCB2
158878.SAV0715	A0A0D1JYD4
158878.SAV1813	A0A0D1GCC1
158878.SAV1782	A0A0D1FHX8
158878.SAV0864	A0A0D1JMY9
158878.SAV1434	A0A0D1J3N2
158878.SAV1824	A0A0D1GZW2
158878.SAV1424	A0A0D1HH10
158878.SAV2595	A0A0D1HU77
158878.SAV0424	A0A0D1JL75
158878.SAV0814	A0A0D1JQK8
158878.SAV0700	A0A0D1F265
158878.SAV2460	A0A0D1HY36
158878.SAV1787	A0A0D1JEQ6
158878.SAV0146	A0A0D1FBB4
158878.SAV0099	A0A0D1GR64
158878.SAV2038	A0A0D1HV55
158878.SAV1958	A0A0D1KAV0
158878.SAV0371	A0A0D1IBU9
158878.SAV0857	A0A0D1FV54
158878.SAV1510	A0A0D1I382
158878.SAV1983	A0A0D1IF60
158878.SAV0898	A0A0D1J1L6
158878.SAV2496	A0A0D1J290
158878.SAV0199	A0A0D1FB83
158878.SAV0913	A0A0D1JHZ9
158878.SAV1946	A0A0D1H8U7
158878.SAV1814	A0A0D1JN83
158878.SAV2515	A0A0D1GNE5
158878.SAV2471	A0A0D1GRP5
158878.SAV2595	A0A0D1JVX9
158878.SAV0293	A0A0D1H3J4
158878.SAV1945	A0A0D1HUP0
158878.SAV2019	A0A0D1G862
158878.SAV0886	A0A0D1IT34
158878.SAV0811	A0A0D1K3J7
158878.SAV2021	A0A0D1GKL2
158878.SAV0147	A0A0D1HIW6
158878.SAV2147	A0A0D1IRE1
158878.SAV2371	A0A0D1K054
158878.SAV1419	A0A0D1HVZ5
158878.SAV1787	A0A0D1FAP4
158878.SAV0428	A0A0D1J889
158878.SAV0715	A0A0D1IUJ5
158878.SAV1419	A0A0D1GWG3
158878.SAV0874	A0A0D1JE65
158878.SAV1970	A0A0D1IE10
158878.SAV0335	A0A0D1JUX3
158878.SAV1965	A0A0D1HCJ7
158878.SAV0848	A0A0D1FSX4
158878.SAV1996	A0A0D1H2P8
158878.SAV1220	A0A0D1I737
158878.SAV0901	A0A0D1IZU1
158878.SAV1785	A0A0D1J2N8
158878.SAV0907	A0A0D1FCY5
158878.SAV1828	A0A0D1FQ46
158878.SAV0300	A0A0D1ISE3
158878.SAV1010	A0A0D1JUR0
158878.SAV0714	A0A0D1GY29
158878.SAV2021	A0A0D1J7U7
158878.SAV1976	A0A0D1JX58
158878.SAV2002	A0A0D1JSD0
158878.SAV2596	A0A0D1GFN8
158878.SAV0887	A0A0D1J1L1
158878.SAV1707	A0A0D1HF33
158878.SAV0847	A0A0D1I0T1
158878.SAV1056	A0A0D1JUN6
158878.SAV0902	A0A0D1HP71
158878.SAV2389	A0A0D1HSK6
158878.SAV0801	A0A0D1IAM3
158878.SAV0872	A0A0D1J6H8
158878.SAV0172	A0A0D1H0R3
158878.SAV1818	A0A0D1FAG4
158878.SAV1942	A0A0D1GVE6
158878.SAV0783	A0A0D1F2D4
158878.SAV2153	A0A0D1H3A5
158878.SAV0905	A0A0D1J6K8
158878.SAV2669	A0A0D1GPK7
158878.SAV0348	A0A0D1HEX1
158878.SAV0892	A0A0D1IT40
158878.SAV2147	A0A0D1K0X2
158878.SAV1953	A0A0D1HVQ7
158878.SAV1954	A0A0D1IAF9
158878.SAV1010	A0A0D1EVG1
158878.SAV0874	A0A0D1GVL1
158878.SAV1510	A0A0D1JL89
158878.SAV0098	A0A0D1KA47
158878.SAV0525	A0A0D1IEZ3
158878.SAV1982	A0A0D1KAZ6
158878.SAV2493	A0A0D1GRQ9
158878.SAV2197	A0A0D1EQN2
158878.SAV0098	A0A0D1II29
158878.SAV1923	A0A0D1JSJ8
158878.SAV0876	A0A0D1HXD5
158878.SAV0784	A0A0D1FS90
158878.SAV1787	A0A0D1FCX0
158878.SAV0905	A0A0D1HPQ4
158878.SAV1945	A0A0D1IMQ4
158878.SAV1970	A0A0D1JEY0
158878.SAV0598	A0A0D1I1W6
158878.SAV0335	A0A0D1HQY6
158878.SAV0876	A0A0D1HZZ0
158878.SAV1787	A0A0D1IE31
158878.SAV0147	A0A0D1IZX2
158878.SAV1923	A0A0D1FS21
158878.SAV1822	A0A0D1HHY6
158878.SAV0888	A0A0D1JE48
158878.SAV1825	A0A0D1HMW9
158878.SAV0298	A0A0D1IG69
158878.SAV0173	A0A0D1FM40
158878.SAV0881	A0A0D1IWG9
158878.SAV1950	A0A0D1GAW0
158878.SAV1987	A0A0D1JM10
158878.SAV0200	A0A0D1ESU5
158878.SAV1991	A0A0D1F8E4
158878.SAV1824	A0A0D1HYN5
158878.SAV1806	A0A0D1IHY0
158878.SAV2476	A0A0D1H9V5
158878.SAV1785	A0A0D1GQN6
158878.SAV1981	A0A0D1GWT4
158878.SAV0562	A0A0D1HJV7
158878.SAV1985	A0A0D1IAB5
158878.SAV1785	A0A0D1FWR6
158878.SAV1817	A0A0D1HXY6
158878.SAV0147	A0A0D1F448
158878.SAV0558	A0A0D1HS35
158878.SAV1986	A0A0D1IE30
158878.SAV0445	A0A0D1JIL7
158878.SAV1986	A0A0D1FS42
158878.SAV0868	A0A0D1HNY0
158878.SAV0441	A0A0D1HQP2
158878.SAV1986	A0A0D1HBC5
158878.SAV0525	A0A0D1HXZ6
158878.SAV2656	A0A0D1JHR8
158878.SAV0024	J7RFG4
158878.SAV1195	A0A0D1JDM1
158878.SAV0599	A0A0D1JA15
158878.SAV1964	A0A0D1GAW7
158878.SAV0196	A0A0D1GT33
158878.SAV0904	A0A0D1H2J3
158878.SAV0913	A0A0D1HIA9
158878.SAV0525	A0A0D1I766
158878.SAV1959	A0A0D1IDZ5
158878.SAV0913	A0A0D1JQT1
158878.SAV1434	A0A0D1H9I6
158878.SAV0146	A0A0D1HU88
158878.SAV1823	A0A0D1HXK1
158878.SAV0716	A0A0D1JRC3
158878.SAV1962	A0A0D1HUQ2
158878.SAV1980	A0A0D1IK61
158878.SAV1923	A0A0D1HVM3
158878.SAV0715	A0A0D1I3P0
158878.SAV1220	A0A0D1EVZ8
158878.SAV1996	A0A0D1HQB7
158878.SAV0912	A0A0D1JIH5
158878.SAV0425	A0A0D1HCB8
158878.SAV1825	A0A0D1JZ20
158878.SAV2199	A0A0D1I368
158878.SAV1416	A0A0D1KC64
158878.SAV0172	A0A0D1HYV1
158878.SAV1805	A0A0D1K091
158878.SAV1971	A0A0D1FW54
158878.SAV1787	A0A0D1HB42
158878.SAV0203	A0A0D1JYY0
158878.SAV2669	A0A0D1GZD3
158878.SAV1982	A0A0D1HE84
158878.SAV0874	A0A0D1ILK6
158878.SAV1804	A0A0D1JA43
158878.SAV0801	A0A0D1HPY3
158878.SAV2199	A0A0D1I3I1
158878.SAV2008	A0A0D1H3A9
158878.SAV0866	A0A0D1K1J2
158878.SAV0715	A0A0D1HU51
158878.SAV2555	A0A0D1I668
158878.SAV0335	A0A0D1IIS4
158878.SAV1056	A0A0D1IYC8
158878.SAV1818	A0A0D1GX23
158878.SAV1787	A0A0D1HJ91
158878.SAV2036	A0A0D1HPX3
158878.SAV1955	A0A0D1GWX4
158878.SAV2650	A0A0D1GXX8
158878.SAV0700	A0A0D1GY54
158878.SAV0444	A0A0D1HC69
158878.SAV1782	A0A0D1FQ84
158878.SAV2038	A0A0D1JB94
158878.SAV2496	A0A0D1H1T2
158878.SAV0427	A0A0D1H363
158878.SAV0859	A0A0D1G9H5
158878.SAV0904	A0A0D1JLP3
158878.SAV0302	A0A0D1HR13
158878.SAV0876	A0A0D1HPA1
158878.SAV0146	A0A0D1H3W5
158878.SAV0883	A0A0D1HN00
158878.SAV2608	A0A0D1HZA3
158878.SAV1955	A0A0D1K4I3
158878.SAV2008	A0A0D1GAC0
158878.SAV0820	A0A0D1H7P3
158878.SAV0525	A0A0D1HGF9
158878.SAV1804	A0A0D1HU90
158878.SAV0906	A0A0D1HF06
158878.SAV0785	A0A0D1HVI3
158878.SAV2529	A0A0D1IN38
158878.SAV1785	A0A0D1GBR7
158878.SAV1823	A0A0D1HT02
158878.SAV1784	A0A0D1HYR9
158878.SAV0147	A0A0D1J948
158878.SAV1787	A0A0D1GEZ3
158878.SAV1423	A0A0D1I6R7
158878.SAV0298	A0A0D1FRQ1
158878.SAV2020	A0A0D1GYL6
158878.SAV1424	A0A0D1HVZ9
158878.SAV1963	A0A0D1IKE4
158878.SAV1986	A0A0D1J2Q9
158878.SAV2011	A0A0D1GDI3
158878.SAV1785	A0A0D1I2N5
158878.SAV2494	A0A0D1JWG0
158878.SAV1948	A0A0D1IAG8
158878.SAV0896	A0A0D1IZT6
158878.SAV2690	A0A0D1HGE7
158878.SAV2147	A0A0D1H896
158878.SAV0695	A0A0D1FK61
158878.SAV1985	A0A0D1IKH0
158878.SAV1825	A0A0D1HCG7
158878.SAV1817	A0A0D1HCH7
158878.SAV0867	A0A0D1JJW5
158878.SAV1787	A0A0D1GUK5
158878.SAV0173	A0A0D1HIV4
158878.SAV0912	A0A0D1J7L6
158878.SAV1923	A0A0D1H514
158878.SAV2038	A0A0D1HLJ5
158878.SAV1785	A0A0D1JYR7
158878.SAV1787	A0A0D1IJ16
158878.SAV1993	A0A0D1GB00
158878.SAV0091	A0A0D1GTE5
158878.SAV0911	A0A0D1FWI9
158878.SAV0786	A0A0D1H974
158878.SAV2009	A0A0D1H985
158878.SAV1787	A0A0D1JIG4
158878.SAV0100	A0A0D1GPV9
158878.SAV1707	A0A0D1HWI9
158878.SAV2153	A0A0D1IAG5
158878.SAV0172	A0A0D1I4N0
158878.SAV2389	A0A0D1J3Y0
158878.SAV0558	A0A0D1H203
158878.SAV2371	A0A0D1HBZ1
158878.SAV0209	A0A0D1HRE8
158878.SAV0098	A0A0D1J192
158878.SAV1738	A0A0D1JJS5
158878.SAV2485	A0A0D1GRQ1
158878.SAV1787	A0A0D1HEZ3
158878.SAV0097	A0A0D1IJ58
158878.SAV1974	A0A0D1INF5
158878.SAV2327	A0A0D1GWV2
158878.SAV1945	A0A0D1IDX4
158878.SAV0873	A0A0D1JSF3
158878.SAV1829	A0A0D1JTC5
158878.SAV1787	A0A0D1FMZ7
158878.SAV1787	A0A0D1J7J8
158878.SAV0335	A0A0D1ESM9
158878.SAV0379	A0A0D1HZR1
158878.SAV1953	A0A0D1JF00
158878.SAV1959	A0A0D1H204
158878.SAV2160	A0A0D1H5I3
158878.SAV1540	A0A0D1HJ96
158878.SAV0714	A0A0D1HSL3
158878.SAV0787	A0A0D1FGY4
158878.SAV0196	A0A0D1JRJ4
158878.SAV0906	A0A0D1H1B3
158878.SAV1944	A0A0D1H5F5
158878.SAV1044	A0A0D1H1P7
158878.SAV0911	A0A0D1HC62
158878.SAV2074	A0A0D1FPP9
158878.SAV0716	A0A0D1J1V0
158878.SAV0097	A0A0D1H071
158878.SAV1955	A0A0D1GAW1
158878.SAV0904	A0A0D1JF58
158878.SAV2486	A0A0D1HDD8
158878.SAV1966	A0A0D1I0B1
158878.SAV1785	A0A0D1IZ48
158878.SAV1490	A0A0D1HIM8
158878.SAV1785	A0A0D1I0C7
158878.SAV1983	A0A0D1GVL9
158878.SAV1957	A0A0D1F5G6
158878.SAV1978	A0A0D1HA39
158878.SAV1785	A0A0D1HZB2
158878.SAV1707	A0A0D1I890
158878.SAV2025	A0A0D1IZX6
158878.SAV1945	A0A0D1GBX4
158878.SAV0199	A0A0D1HCS5
158878.SAV0868	A0A0D1I8L4
158878.SAV1982	A0A0D1F877
158878.SAV0714	A0A0D1GPU5
158878.SAV0099	A0A0D1JW77
158878.SAV1653	M1XHY0
158878.SAV2595	A0A0D1FE01
158878.SAV0881	A0A0D1FRX9
158878.SAV1758	A0A0D1G421
158878.SAV0146	A0A0D1JC38
158878.SAV2199	A0A0D1K2T1
158878.SAV1953	A0A0D1IT61
158878.SAV2460	A0A0D1FC90
158878.SAV2669	A0A0D1JRL2
158878.SAV0198	A0A0D1I1B4
158878.SAV0427	A0A0D1IVN8
158878.SAV0147	A0A0D1ESX1
158878.SAV2153	A0A0D1G948
158878.SAV0692	A0A0D1H657
158878.SAV2371	A0A0D1HX11
158878.SAV1955	A0A0D1K2C9
158878.SAV0424	A0A0D1J303
158878.SAV0877	A0A0D1JEF2
158878.SAV0442	A0A0D1FSG3
158878.SAV0700	A0A0D1GDA2
158878.SAV0888	A0A0D1H9K7
158878.SAV0443	A0A0D1HQR8
158878.SAV0793	A0A0D1F2E3
158878.SAV1481	A0A0D1GZS2
158878.SAV0146	A0A0D1IMM9
158878.SAV0881	A0A0D1JD66
158878.SAV0868	A0A0D1JQW0
158878.SAV1973	A0A0D1HDH7
158878.SAV1785	A0A0D1HLI5
158878.SAV1953	A0A0D1I948
158878.SAV0300	A0A0D1JC63
158878.SAV2476	A0A0D1JA85
158878.SAV0715	A0A0D1HQA7
158878.SAV0700	A0A0D1JYB9
158878.SAV1987	A0A0D1FRW5
158878.SAV0880	A0A0D1GRB9
158878.SAV0147	A0A0D1HG60
158878.SAV2503	A0A0D1I5N8
158878.SAV2484	A0A0D1ERK7
158878.SAV0147	A0A0D1HYX9
158878.SAV1786	A0A0D1I700
158878.SAV0789	A0A0D1IN04
158878.SAV1983	A0A0D1F5I9
158878.SAV2703	A0A0D1FAK3
158878.SAV1802	A0A0D1INV1
158878.SAV1971	A0A0D1J1K8
158878.SAV0903	A0A0D1J1L8
158878.SAV2669	A0A0D1IID8
158878.SAV0427	A0A0D1GSE3
158878.SAV0913	A0A0D1HEE3
158878.SAV0173	A0A0D1I4X4
158878.SAV1938	A0A0D1HE28
158878.SAV1435	A0A0D1FLS9
158878.SAV0348	A0A0D1JNS3
158878.SAV1983	A0A0D1HA37
158878.SAV0301	A0A0D1I036
158878.SAV1947	A0A0D1I0P8
158878.SAV2608	A0A0D1HAZ4
158878.SAV1957	A0A0D1ILN4
158878.SAV1818	A0A0D1JA65
158878.SAV0851	A0A0D1JL45
158878.SAV0209	A0A0D1H4A1
158878.SAV1938	A0A0D1JF16
158878.SAV0883	A0A0D1FC44
158878.SAV1423	A0A0D1IVT1
158878.SAV2441	A0A0D1JLN7
158878.SAV0786	A0A0D1HJD7
158878.SAV0885	A0A0D1JHY6
158878.SAV2147	A0A0D1GSW8
158878.SAV0197	A0A0D1GYW9
158878.SAV0692	A0A0D1GV43
158878.SAV2028	A0A0D1HGW8
158878.SAV2669	A0A0D1I007
158878.SAV1818	A0A0D1IBP5
158878.SAV1785	A0A0D1HFN5
158878.SAV0024	A0A0D1HGA8
158878.SAV1174	A0A0D1JI40
158878.SAV1986	A0A0D1JX64
158878.SAV0854	A0A0D1IWW7
158878.SAV0024	M1XAQ3
158878.SAV2493	A0A0D1I5K7
158878.SAV2011	A0A0D1J7C6
158878.SAV2019	A0A0D1EX04
158878.SAV0197	A0A0D1JDE2
158878.SAV1938	A0A0D1JFV4
158878.SAV0876	A0A0D1FC47
158878.SAV1785	A0A0D1IL08
158878.SAV0201	A0A0D1KD31
158878.SAV0910	A0A0D1FWZ5
158878.SAV0716	A0A0D1GZ72
158878.SAV1827	A0A0D1HE87
158878.SAV1785	A0A0D1IQI4
158878.SAV0715	A0A0D1H3N6
158878.SAV0820	A0A0D1G133
158878.SAV0904	A0A0D1H212
158878.SAV1951	A0A0D1GB48
158878.SAV0889	A0A0D1ING7
158878.SAV1785	A0A0D1K4D8
158878.SAV1955	A0A0D1H201
158878.SAV0350	A0A0D1GQE0
158878.SAV0881	A0A0D1H9A7
158878.SAV0714	A0A0D1HWC3
158878.SAV1979	A0A0D1HWU9
158878.SAV0525	A0A0D1HBY8
158878.SAV2006	A0A0D1J918
158878.SAV0379	A0A0D1JFV1
158878.SAV0098	A0A0D1GZ42
158878.SAV1971	A0A0D1HPE5
158878.SAV1830	A0A0D1JEW1
158878.SAV1826	A0A0D1HHY1
158878.SAV0342	A0A0D1GTY4
158878.SAV0897	A0A0D1HP69
158878.SAV1983	A0A0D1K2I6
158878.SAV1434	A0A0D1IEL8
158878.SAV0714	A0A0D1F277
158878.SAV0872	A0A0D1JIM9
158878.SAV0172	A0A0D1GPP0
158878.SAV2022	A0A0D1J7B5
158878.SAV2001	A0A0D1IBN8
158878.SAV0874	A0A0D1J1R9
158878.SAV1804	A0A0D1FBV0
158878.SAV1923	A0A0D1GR22
158878.SAV0433	A0A0D1HJA4
158878.SAV1953	A0A0D1HA74
158878.SAV1971	A0A0D1JCR3
158878.SAV1954	A0A0D1KAU4
158878.SAV0562	A0A0D1EY20
158878.SAV1802	A0A0D1IPQ6
158878.SAV1974	A0A0D1I0T4
158878.SAV0062	Q1PBC1
158878.SAV0061	M1X9F0
158878.SAV0063	M1XH74
158878.SAV0063	M1XHF0
158878.SAV0060	M1XHP3
158878.SAV0061	M1X9J3
158878.SAV0061	A0A060U8L1
158878.SAV0063	M1XGW7
158878.SAV0058	J7S562
158878.SAV0076	M1XAK4
158878.SAV0059	M1XGX9
158878.SAV0071	M1XHC3
158878.SAV0061	M1X9W7
158878.SAV0059	M1XJQ0
158878.SAV0061	Q1PAE6
158878.SAV1658	M1XJZ2
158878.SAV0061	M1XAC0
158878.SAV0061	M1XI30
158878.SAV0081	M1XJN3
158878.SAV0061	M1XHG6
158878.SAV0058	M1XGJ8
158878.SAV0061	M1XHI0
158878.SAV0058	M1XGR1
158878.SAV0069	M1XHY8
158878.SAV0063	M1XH18
158878.SAV0034	M1XHW4
158878.SAV0076	M1XI80
158878.SAV0061	M1XIK5
158878.SAV0061	M1XI81
158878.SAV0061	M1X9B8
158878.SAVP027	M1XHB3
158878.SAV0058	J7SC60
158878.SAV0059	M1XIF6
158878.SAV0061	M1XHU4
158878.SAV0034	M1XIP4
158878.SAV0044	M1X9I1
158878.SAV0058	M1XH70
158878.SAV0066	M1XHV0
158878.SAV0061	M1XI21
158878.SAV0061	M1XGD4
158878.SAV0063	M1XJN9
158878.SAV0079	M1X9K6
158878.SAV0061	M1XHR1
158878.SAV0063	M1XJX6
158878.SAVP026	M1XJH9
158878.SAV0063	M1XJK4
158878.SAV0061	M1XJZ3
158878.SAV0057	M1XI41
158878.SAV0067	M1XHI2
158878.SAV0068	M1XI35
158878.SAV0034	M1XHA1
158878.SAV0063	M1XJI0
158878.SAV0075	M1XJN2
158878.SAV0063	M1XH75
158878.SAV0068	M1XJJ1
158878.SAV0061	M1XHH3
158878.SAV0045	M1XIE0
158878.SAV0061	M1XHS4
158878.SAV1916	A5JQI0
158878.SAV0812	B3VTU9
158878.SAV1954	A0A068A494
158878.SAV0425	A0A068DUL0
158878.SAV0525	A0A098H0Z5
158878.SAV1785	A0A0C2HDE3
158878.SAV1804	A0A077UNZ4
158878.SAV0147	A0A077UVC4
158878.SAV0172	A0A077UPK5
158878.SAV2656	A0A077TVE5
158878.SAV0700	A0A077W0D2
158878.SAV0024	Q6WVG8
158878.SAV2689	A0A077UJF7
158878.SAV0379	A0A077ULH5
158878.SAV0094	A0A077UWC8
158878.SAV1424	A0A077VMN9
158878.SAV1969	A0A077VV00
