7460.GB18323-PA	P15450
7460.GB17138-PA	A0A088AK81
7460.GB11269-PA	A0A088ALL8
7460.GB11801-PA	A0A088AMC2
7460.GB19482-PA	A0A088AME3
7460.GB18124-PA	A0A088ANQ5
7460.GB13587-PA	A0A088AP29
7460.GB14823-PA	A0A088APH9
7460.GB17994-PA	A0A088AQW8
7460.GB16387-PA	A0A088AR88
7460.GB15307-PA	A0A088AR98
7460.GB17338-PA	A0A088ARD7
7460.GB14136-PA	A0A088ARE7
7460.GB18470-PA	A0A088AS25
7460.GB30181-PA	A0A088ALC1
7460.GB19929-PA	A0A088AS81
7460.GB20142-PA	A0A088AS89
7460.GB30362-PA	A5YVK7
7460.GB16437-PA	Q1L4Z5
7460.GB19234-PA	B8XIJ0
7460.GB18654-PA	A0EM58
7460.GB11515-PA	G5D4V5
7460.GB11515-PA	G5D4S4
7460.GB11167-PA	B1NW38
7460.GB14758-PA	C1JYH8
7460.GB17104-PA	A0A087ZNV3
7460.GB11819-PA	A0A087ZS17
7460.GB12357-PA	A0A087ZUT0
7460.GB19515-PA	A0A088AB57
7460.GB19780-PA	A0A088AEI0
7460.GB14741-PA	A0A088AG31
7460.GB16423-PA	A0A087ZMX9
7460.GB12083-PA	A0A087ZVJ3
7460.GB16235-PA	A0A087ZZA1
7460.GB17247-PA	A0A088A1F2
7460.GB19071-PB	A0A088A205
7460.GB14588-PA	A0A088A4N8
7460.GB16913-PA	A0A088A4V4
7460.GB15743-PA	A0A088A5M8
7460.GB13059-PA	A0A088A5Q2
7460.GB10583-PA	A0A088A8Z8
7460.GB14601-PA	A0A088AB72
7460.GB14501-PA	A0A088AF84
7460.GB14943-PA	A0A088AFU3
7460.GB14250-PA	A0A088AIZ8
7460.GB10252-PA	A0A088AKB9
7460.GB14536-PA	A0A088AKF4
7460.GB10602-PA	A0A088ANZ3
7460.GB14823-PA	A0A088APH6
7460.GB16777-PA	A0A088AQ11
7460.GB18685-PA	A0A088AR14
7460.GB30206-PA	A0A088ARM0
7460.GB11306-PA	A0A088ARW2
7460.GB12139-PA	A0A088AT89
7460.GB14379-PA	A0A088AUD7
7460.GB11858-PC	H9K3Z7
7460.GB10355-PA	I1VC84
7460.GB18819-PA	Q3LBA5
7460.GB15932-PA	A0A088A004
7460.GB12529-PA	A0A088AVY2
7460.GB10825-PA	A0A088A9I2
7460.GB17779-PA	A0A088AHK2
7460.GB13749-PA	A0A088AR16
7460.GB18393-PA	Q4ACB4
7460.GB15809-PA	A0A087ZNK4
7460.GB17136-PA	A0A087ZUW7
7460.GB20038-PA	A0A087ZV30
7460.GB14150-PA	A0A087ZV45
7460.GB10574-PA	A0A087ZWH4
7460.GB10929-PA	A0A087ZXT4
7460.GB19200-PA	A0A087ZZ62
7460.GB16271-PA	A0A087ZZH7
7460.GB11365-PA	A0A088A1D1
7460.GB18196-PA	A0A088A2G2
7460.GB11849-PA	A0A088A422
7460.GB18040-PA	A0A088A6U0
7460.GB19364-PA	A0A088A7B7
7460.GB10966-PA	A0A088A7Y3
7460.GB14774-PA	A0A088A9M3
7460.GB10421-PA	A0A088AE26
7460.GB11268-PA	A0A088AEB9
7460.GB18699-PA	A0A088AFS6
7460.GB30083-PA	A0A088AIJ8
7460.GB13885-PA	A0A088AJQ6
7460.GB11386-PA	A0A088AP79
7460.GB10181-PA	A0A088ATY1
7460.GB13070-PA	A0A088AUH8
7460.GB14731-PA	A0A088AUM8
7460.GB19058-PA	A0A088AUU7
7460.GB12825-PA	A0A088AV87
7460.GB13999-PA	G5D386
7460.GB11515-PA	G5D4V1
7460.GB20077-PA	G5D4Z1
7460.GB15686-PA	Q9Y1C4
7460.GB11679-PA	A0A088AMU1
7460.GB13384-PA	A0A088AQV8
7460.GB17000-PA	A1EGV7
7460.GB11515-PA	I2CLJ5
7460.GB18520-PA	R4U7Y3
7460.GB10973-PA	A5JDK9
7460.GB10079-PA	A0A088AG68
7460.GB13062-PA	A0A088AJP7
7460.GB15829-PA	A0A087ZTD6
7460.GB14196-PA	A0A087ZZW3
7460.GB15136-PA	A0A088A8Y8
7460.GB15718-PA	A0A088APK0
7460.GB17692-PA	A0A088AQK9
7460.GB15281-PA	A0A088AU98
7460.GB13884-PA	I2CL12
7460.GB14763-PA	A0A088APA2
7460.GB18503-PA	A0A088ASG3
7460.GB13982-PA	A0A087ZN22
7460.GB15938-PA	A0A087ZNE6
7460.GB11120-PA	A0A087ZPC4
7460.GB16274-PA	A0A087ZQ17
7460.GB16424-PA	A0A087ZQM0
7460.GB15957-PA	A0A087ZSR5
7460.GB18050-PA	A0A087ZUI3
7460.GB19331-PA	A0A087ZUS6
7460.GB12534-PA	A0A087ZW93
7460.GB19618-PA	A0A087ZWQ2
7460.GB18908-PA	A0A087ZWV8
7460.GB17805-PA	A0A087ZXE2
7460.GB13408-PA	A0A087ZXZ6
7460.GB14965-PA	A0A087ZYL2
7460.GB19245-PA	A0A088A1A4
7460.GB12725-PA	A0A088A1P4
7460.GB12334-PA	A0A088A235
7460.GB15025-PA	A0A088A404
7460.GB16014-PA	A0A088A483
7460.GB14817-PA	A0A088A4P6
7460.GB10938-PA	A0A088A4U2
7460.GB10953-PA	A0A088A6E9
7460.GB15880-PA	A0A088A6G2
7460.GB15610-PA	A0A088A775
7460.GB10537-PA	A0A088A7F6
7460.GB14291-PA	A0A088A818
7460.GB14402-PA	A0A088A870
7460.GB15004-PA	A0A088AB35
7460.GB12382-PA	A0A088AB63
7460.GB17253-PA	A0A088AEF9
7460.GB19147-PA	A0A088AHY4
7460.GB12364-PA	A0A088ASN0
7460.GB16601-PA	A0A088ATH1
7460.GB19383-PA	A0A088AUC2
7460.GB14373-PA	A0A088AVQ8
7460.GB19864-PA	A0A087ZTT0
7460.GB20088-PA	A0A088A0I3
7460.GB12512-PA	A0A088A6Y0
7460.GB14593-PA	A0A088A7M3
7460.GB11720-PA	A0A088AEU2
7460.GB19672-PA	A0A088AFR9
7460.GB19764-PA	A0A088AQ28
7460.GB14500-PA	A0A088AST1
7460.GB19777-PA	A0A088AM79
7460.GB19215-PA	A0A088A7V3
7460.GB17924-PA	A0A088A7X0
7460.GB19431-PA	A0A088AD92
7460.GB15370-PA	A0A088AEX3
7460.GB13191-PA	A0A088AIQ1
7460.GB14322-PA	A0A088AN77
7460.GB19793-PA	A0A088APZ9
7460.GB30576-PA	A0A088AS85
7460.GB11167-PA	W0B478
7460.GB19699-PA	A0A088AA52
7460.GB10036-PA	R4U4Q6
7460.GB14987-PA	A0A088A9G5
7460.GB15540-PA	A0A088AC23
7460.GB16686-PA	A0A088AGI1
7460.GB11167-PA	W0B0A0
7460.GB13999-PA	G5D498
7460.GB11515-PA	G5D4U1
7460.GB12718-PA	A0A087ZS60
7460.GB11052-PA	A0A087ZWX7
7460.GB18490-PA	A0A087ZYC8
7460.GB16683-PA	A0A087ZZY4
7460.GB10146-PA	A0A088A0Z9
7460.GB10216-PA	A0A088A1C8
7460.GB19434-PA	A0A088A4R1
7460.GB15351-PA	A0A088AD87
7460.GB16016-PA	A0A088AEE0
7460.GB13530-PA	A0A088ALL9
7460.GB17105-PA	A0A088AQA7
7460.GB14758-PA	C1JYI3
7460.GB16584-PA	A0A087ZP23
7460.GB12656-PA	A0A087ZQT2
7460.GB17045-PA	A0A087ZV59
7460.GB15340-PA	A0A087ZV71
7460.GB12239-PA	A0A087ZVB2
7460.GB19048-PA	A0A087ZXT8
7460.GB19272-PA	A0A087ZY55
7460.GB14446-PA	A0A088A158
7460.GB19034-PA	A0A088A159
7460.GB19266-PA	A0A088A1F8
7460.GB13461-PA	A0A088A282
7460.GB16244-PA	A0A088A2P3
7460.GB19001-PA	A0A088A4B9
7460.GB18632-PA	A0A088A629
7460.GB10036-PA	A0A088A8D5
7460.GB18589-PA	A0A088A930
7460.GB15316-PA	A0A088A9S7
7460.GB11307-PA	A0A088AAJ9
7460.GB30347-PA	A0A088ABB6
7460.GB16612-PA	A0A088AC42
7460.GB16223-PA	A0A088ACG6
7460.GB19238-PA	A0A088ACY9
7460.GB19785-PA	A0A088AEY2
7460.GB30059-PA	A0A088AF76
7460.GB10921-PA	A0A088AFJ8
7460.GB18264-PA	A0A088AGL8
7460.GB12847-PA	A0A088AGR6
7460.GB18295-PA	A0A088AHG4
7460.GB11865-PA	A0A088AJ42
7460.GB11898-PA	A0A088AJ58
7460.GB18551-PA	A0A088AKY6
7460.GB14486-PA	A0A088ANR5
7460.GB11361-PA	A0A088ANU5
7460.GB16569-PA	A0A088APF5
7460.GB10896-PA	A0A088APR8
7460.GB13172-PA	A0A088AQR2
7460.GB19395-PA	A0A088AQW7
7460.GB10597-PA	A0A088AR52
7460.GB18285-PA	A0A088ARM4
7460.GB12986-PA	A0A088ASQ5
7460.GB18133-PA	A0A088AST8
7460.GB18409-PA	A0A088AUI6
7460.GB14956-PA	A0A088AUW4
7460.GB19356-PA	A0A088AV88
7460.GB13401-PA	A0A088AVE3
7460.GB17507-PA	U3KR56
7460.GB19464-PA	D3XL71
7460.GB14070-PA	Q2PGG2
7460.GB12124-PA	A0A088A3W4
7460.GB11304-PA	A0A088AJM9
7460.GB14568-PA	A0A087ZTG6
7460.GB15573-PA	A0A087ZV77
7460.GB11182-PA	A0A088A5L6
7460.GB10795-PA	A0A088APY3
7460.GB16068-PA	A0A088ASF1
7460.GB14984-PA	A0A088ATE3
7460.GB13691-PA	A0A088AVU4
7460.GB19526-PA	A0A088AW74
7460.GB10036-PA	R4U6U6
7460.GB11515-PA	I2CLK6
7460.GB11515-PA	I2CLL1
7460.GB11167-PA	B1NW40
7460.GB11364-PC	A1IID5
7460.GB15536-PA	A0A088ABF6
7460.GB18710-PA	A0A088AD67
7460.GB16944-PA	A0A088ADG0
7460.GB10452-PA	A0A088ADJ5
7460.GB16372-PA	A0A088AF97
7460.GB14512-PA	A0A088AGP0
7460.GB10025-PA	A0A088AGU0
7460.GB10234-PA	A0A088AGX8
7460.GB16666-PA	A0A088AH62
7460.GB17728-PA	A0A088AN24
7460.GB17445-PA	A0A088APJ9
7460.GB20070-PA	Q25BT7
7460.GB12917-PA	A0A088AAF5
7460.GB10042-PA	A0A087ZT79
7460.GB17590-PA	A0A087ZWJ7
7460.GB15113-PB	A0A088AEU9
7460.GB13860-PA	A0A088AI56
7460.GB16887-PA	A0A088AKV3
7460.GB12664-PA	A0A088AQ22
7460.GB18106-PA	A0A088AQQ5
7460.GB13954-PA	A0A088ARI4
7460.GB18338-PA	Q2PGF8
7460.GB13999-PA	G5D315
7460.GB13999-PA	G5D4B4
7460.GB19831-PA	A0A087ZYG3
7460.GB16953-PA	A0A088AAV6
7460.GB14149-PA	A0A088AG35
7460.GB14347-PA	A0A088AT82
7460.GB14145-PA	Q4PKR8
7460.GB14408-PA	A0A087ZWN3
7460.GB19480-PA	A0A087ZXL5
7460.GB17935-PA	A0A088A2Q8
7460.GB18918-PA	A0A088ADX7
7460.GB19502-PA	A0A088AN55
7460.GB20120-PA	I4EC00
7460.GB15688-PA	R4TTI0
7460.GB10771-PA	Q6QTA5
7460.GB18716-PA	A0A087ZNA0
7460.GB11324-PA	A0A087ZS70
7460.GB16506-PA	A0A087ZU14
7460.GB16715-PA	A0A087ZXL8
7460.GB19001-PA	A0A088A4C0
7460.GB19914-PA	A0A088A507
7460.GB18973-PA	A0A088A7V0
7460.GB13983-PA	A0A088AB53
7460.GB30301-PA	A0A088ADB8
7460.GB14048-PA	A0A088AEG7
7460.GB19194-PA	A0A088AER2
7460.GB17479-PA	A0A088AJ85
7460.GB17293-PA	A0A088AKF0
7460.GB19775-PA	A0A087ZP79
7460.GB19870-PA	A0A087ZPK2
7460.GB15374-PA	A0A087ZQ35
7460.GB17610-PA	A0A087ZZE9
7460.GB12185-PA	A0A088AT66
7460.GB19671-PA	A0A088AU08
7460.GB14180-PA	A0A088AVQ1
7460.GB18284-PA	A0A088AW08
7460.GB15990-PA	A0A087ZPN8
7460.GB11436-PA	A0A087ZPT4
7460.GB11938-PA	A0A087ZT67
7460.GB11209-PA	A0A087ZUA4
7460.GB18262-PA	A0A087ZUX4
7460.GB12481-PA	A0A087ZVG3
7460.GB12550-PA	A0A087ZVG9
7460.GB19599-PA	A0A087ZYA8
7460.GB13385-PA	A0A087ZYN7
7460.GB19586-PA	A0A087ZZZ1
7460.GB16943-PA	A0A088A000
7460.GB12485-PA	A0A088A077
7460.GB16949-PA	A0A088A200
7460.GB12365-PA	A0A088A3A1
7460.GB10713-PA	A0A088A5C1
7460.GB17941-PA	A0A088A5Q6
7460.GB16849-PA	A0A088A5Q7
7460.GB16398-PA	A0A088A868
7460.GB12826-PA	A0A088A950
7460.GB17795-PA	A0A088AC25
7460.GB18399-PA	A0A088ACM8
7460.GB14760-PA	A0A088ADT4
7460.GB17784-PA	A0A088ADU7
7460.GB15994-PA	A0A088AEP1
7460.GB13711-PA	A0A088AGE4
7460.GB11758-PA	A0A088AGW6
7460.GB13617-PA	A0A088AKZ1
7460.GB15767-PA	A0A088ALS3
7460.GB18922-PA	A0A088AM13
7460.GB13068-PA	A0A088AQ09
7460.GB19493-PA	A0A088ASI1
7460.GB18933-PA	Q0GQQ5
7460.GB19221-PA	A0A087ZNL5
7460.GB17140-PA	A0A087ZNP4
7460.GB18317-PA	A0A087ZQI8
7460.GB12501-PA	A0A087ZTT6
7460.GB14615-PA	A0A087ZUR4
7460.GB14634-PA	A0A087ZUU7
7460.GB15573-PA	A0A087ZV76
7460.GB19961-PA	A0A087ZVU9
7460.GB12735-PA	A0A087ZXZ0
7460.GB10273-PA	A0A087ZYV6
7460.GB12615-PA	A0A087ZZM9
7460.GB11737-PA	A0A087ZZQ1
7460.GB14611-PA	A0A088A092
7460.GB15308-PA	A0A088A0R6
7460.GB10691-PA	A0A088A0U3
7460.GB30126-PA	A0A088A170
7460.GB10797-PA	A0A088A2H3
7460.GB10322-PA	A0A088A2J5
7460.GB30312-PA	A0A088A2Y0
7460.GB16950-PA	A0A088A3I3
7460.GB10532-PA	A0A088A5D2
7460.GB13677-PA	A0A088A5X2
7460.GB17675-PA	A0A088A625
7460.GB10394-PA	A0A088A6J6
7460.GB17946-PA	A0A088A767
7460.GB14976-PA	A0A088A7I9
7460.GB13498-PA	A0A088A7S5
7460.GB13163-PD	A0A088A834
7460.GB13101-PA	A0A088AA90
7460.GB15119-PA	A0A088AAY1
7460.GB14099-PA	A0A088ABA7
7460.GB18800-PA	A0A088ABJ3
7460.GB18344-PA	A0A088ADD9
7460.GB12296-PA	A0A088AEU5
7460.GB10240-PA	A0A088AF25
7460.GB11625-PA	A0A088AFH5
7460.GB15055-PA	A0A088AGQ0
7460.GB10297-PA	A0A088AH45
7460.GB14036-PA	A0A088AK79
7460.GB14929-PA	A0A088APF8
7460.GB13589-PA	A0A088AQL9
7460.GB18733-PA	A0A088AQN8
7460.GB15803-PA	A0A088AQQ1
7460.GB18019-PA	A0A088AR99
7460.GB17687-PA	A0A088AV30
7460.GB17916-PA	A0A088AL29
7460.GB12221-PA	A0A088ALH8
7460.GB13528-PA	A0A088APT8
7460.GB10008-PA	A0A088AS29
7460.GB14441-PA	C5IX06
7460.GB18615-PA	A0A087ZP40
7460.GB16288-PA	A0A087ZQ53
7460.GB16396-PA	A0A087ZSF3
7460.GB18957-PA	A0A087ZYF3
7460.GB12857-PA	A0A088A4R3
7460.GB19487-PA	A0A088A5I5
7460.GB14145-PA	A0A088A6G6
7460.GB18560-PA	A0A088AHA5
7460.GB12901-PA	A0A088AHC6
7460.GB13198-PA	A0A088AP76
7460.GB18243-PA	A0A088ASR6
7460.GB14970-PA	A0A087ZMR4
7460.GB17140-PA	A0A087ZNP2
7460.GB16058-PA	A0A087ZPH0
7460.GB19124-PA	A0A087ZRE7
7460.GB19175-PA	A0A087ZS42
7460.GB14890-PA	A0A087ZVH5
7460.GB18930-PA	A0A087ZWA3
7460.GB15416-PA	A0A088A1D9
7460.GB19008-PA	A0A088A677
7460.GB11498-PA	A0A088A857
7460.GB12804-PA	A0A088AQN5
7460.GB12372-PA	A0A088ASM6
7460.GB19781-PA	A0A088A0P6
7460.GB17737-PA	A0A088A3N8
7460.GB19643-PA	A0A088A3V8
7460.GB17874-PA	A0A088A7L1
7460.GB18311-PA	A0A088A7M9
7460.GB10995-PA	A0A088A9A6
7460.GB18704-PA	A0A088AAB4
7460.GB18891-PA	A0A088ADD3
7460.GB11536-PA	A0A088ADT2
7460.GB30014-RA_2	A0A088AET3
7460.GB12370-PA	A0A088AIA9
7460.GB14082-PA	A0A088AJ14
7460.GB14122-PA	A0A088AJ67
7460.GB12054-PA	A0A088AKJ6
7460.GB19190-PA	A0A088AL00
7460.GB10034-PA	A0A088AL42
7460.GB17357-PA	A0A088AM40
7460.GB12742-PA	A0A088AN36
7460.GB10784-PA	A0A088AP41
7460.GB11170-PA	A0A088AQS0
7460.GB17367-PA	A0A088AQX4
7460.GB17168-PA	A0A088ARA7
7460.GB10732-PA	A0A088ARD8
7460.GB14205-PA	A0A088ARQ3
7460.GB19507-PA	A0A088AT45
7460.GB15281-PA	A0A088AUA0
7460.GB18568-PA	A0A088AUF7
7460.GB11515-PA	I2CLL6
7460.GB19170-PA	A0A087ZZT6
7460.GB11088-PA	A0A087ZNN9
7460.GB11729-PA	A0A087ZRY2
7460.GB16873-PA	A0A087ZTJ0
7460.GB17292-PA	A0A088A157
7460.GB15458-PA	A0A088A2N4
7460.GB12862-PA	A0A088A5U4
7460.GB11671-PA	A0A088A6K8
7460.GB15560-PA	A0A088A8E3
7460.GB16788-PA	A0A088ADJ1
7460.GB11987-PA	A0A088AKY1
7460.GB17144-PA	A0A088AP44
7460.GB10427-PA	A0A088AST7
7460.GB18389-PA	A0A088AV77
7460.GB11515-PA	G5D4S9
7460.GB13999-PA	G5D2V4
7460.GB19871-PA	A0A087ZNB8
7460.GB12541-PA	A0A087ZPK4
7460.GB11433-PA	A0A087ZS21
7460.GB12661-PA	A0A087ZS36
7460.GB17018-PA	A0A087ZU46
7460.GB10883-PA	A0A087ZXM1
7460.GB14827-PA	A0A087ZT92
7460.GB14319-PA	A0A088A0N9
7460.GB18118-PA	A0A088A929
7460.GB17262-PA	A0A088AB94
7460.GB15413-PA	A0A088AFR2
7460.GB18385-PA	A0A088AJ54
7460.GB19023-PA	A0A088ALI5
7460.GB10413-PA	A0A088AN78
7460.GB17060-PA	A0A088AR49
7460.GB11167-PA	W0B3Q9
7460.GB12636-PA	D3XL77
7460.GB15813-PA	Q9BMB3
7460.GB15095-PA	A0A087ZNR1
7460.GB13282-PA	A0A087ZPT7
7460.GB15032-PA	A0A087ZQE4
7460.GB20096-PA	A0A087ZRR9
7460.GB11053-PA	A0A087ZSF8
7460.GB18921-PA	A0A087ZSP6
7460.GB19876-PA	A0A087ZTX5
7460.GB10690-PA	A0A087ZU62
7460.GB14689-PA	A0A087ZUG8
7460.GB13272-PA	A0A087ZUY5
7460.GB17652-PA	A0A087ZV03
7460.GB16013-PA	A0A087ZVN1
7460.GB18886-PA	A0A087ZVQ2
7460.GB16710-PA	A0A087ZWV6
7460.GB17235-PA	A0A087ZYA1
7460.GB18129-PA	A0A088A147
7460.GB17406-PA	A0A088A3H5
7460.GB14055-PA	A0A088A3I0
7460.GB14570-PA	A0A088A412
7460.GB19209-PA	A0A088A4F0
7460.GB11979-PA	A0A088A6E1
7460.GB14948-PA	A0A088AB12
7460.GB14645-PA	A0A088AB99
7460.GB17673-PA	A0A088AEI6
7460.GB14748-PA	A0A088AI59
7460.GB13837-PA	A0A088AJB9
7460.GB16439-PA	A0A088AJP2
7460.GB18095-PA	A0A088ALR5
7460.GB19263-PA	A0A088AM66
7460.GB10431-PA	A0A088AM82
7460.GB18406-PA	A0A088ANS8
7460.GB15698-PA	A0A088AUL0
7460.GB17863-PA	A0A088AVJ1
7460.GB16371-PA	A0A088AVL8
7460.GB11976-PA	A0A088AW16
7460.GB14069-PA	A0A088AW85
7460.GB13287-PA	A0A088ADJ0
7460.GB18062-PA	A0A088AMH7
7460.GB19344-PA	A0A088APN8
7460.GB16516-PA	A0A088ARH8
7460.GB13840-PA	A0A088ARI0
7460.GB14441-PA	C5IX05
7460.GB13999-PA	G5D4B3
7460.GB11515-PA	G5D4T8
7460.GB14366-PA	Q2PZC1
7460.GB19416-PA	A0A087ZU41
7460.GB17271-PA	A0A087ZVU7
7460.GB14715-PA	A0A088A343
7460.GB12229-PA	A0A088ABG4
7460.GB12289-PA	A0A088AE88
7460.GB14851-PA	A0A088AF68
7460.GB17172-PA	A0A088AJY2
7460.GB19828-PA	A0A088AM93
7460.GB12932-PA	A0A088ASU2
7460.GB17888-PA	I2CKU7
7460.GB19310-PA	A0A087ZMX3
7460.GB18393-PA	A0A087ZPJ8
7460.GB30365-PA	A0A088A4K9
7460.GB10534-PA	A0A088A5N6
7460.GB20029-PA	A0A088A792
7460.GB30060-PA	A0A088AF75
7460.GB19503-PA	A0A088AGJ8
7460.GB15401-PA	A0A088AGT3
7460.GB17094-PA	A0A088AJP9
7460.GB12918-PA	A0A088AL24
7460.GB10718-PA	A0A088ANH7
7460.GB18877-PA	A0A088AT95
7460.GB17075-PA	A0A088AV44
7460.GB12303-PA	A0A088AVZ2
7460.GB16713-PA	A0A088AWA1
7460.GB11791-PA	A0A087ZNP5
7460.GB16483-PA	A0A088AFA3
7460.GB15077-PA	A0A088AI66
7460.GB18813-PA	A0A088AIE6
7460.GB14157-PA	A0A088AK62
7460.GB13713-PA	A0A088AN18
7460.GB20098-PA	A0A088ATY3
7460.GB11167-PA	W0B095
7460.GB30494-PA	Q1W634
7460.GB11130-PA	I1Z8F1
7460.GB20157-PB	A0A087ZQ03
7460.GB10595-PA	A0A088AEL1
7460.GB12132-PA	A0A087ZPG3
7460.GB15891-PA	A0A087ZW17
7460.GB16379-PA	A0A087ZWS0
7460.GB11295-PA	A0A088A0L6
7460.GB10267-PA	A0A088APN3
7460.GB11321-PA	B7UBX2
7460.GB13999-PA	G5D486
7460.GB13999-PA	G5D3W0
7460.GB12455-PA	A0A087ZW27
7460.GB10091-PA	A0A087ZXY2
7460.GB12602-PA	A0A088A5E9
7460.GB19769-PA	A0A088AE92
7460.GB18109-PA	A0A088AGI8
7460.GB12960-PA	A0A088AHJ2
7460.GB19639-PA	A0A088AJ70
7460.GB30247-PA	A0A088ANY4
7460.GB17000-PA	A0EIZ6
7460.GB18237-PA	A0A088AST5
7460.GB19507-PA	A0A088AT46
7460.GB17506-PA	A0A088ATC0
7460.GB13965-PA	A0A087ZQV7
7460.GB18309-PA	A0A087ZRG7
7460.GB15058-PA	A0A087ZS67
7460.GB14793-PA	A0A087ZSB4
7460.GB17547-PA	A0A087ZV37
7460.GB11071-PA	A0A087ZVI1
7460.GB13098-PA	A0A087ZVP2
7460.GB14330-PA	A0A087ZX89
7460.GB11012-PA	A0A087ZY68
7460.GB11182-PA	A0A087ZYK6
7460.GB10758-PA	A0A087ZZ04
7460.GB14617-PA	A0A087ZZ96
7460.GB13346-PA	A0A088A2B7
7460.GB11206-PA	A0A088A2P9
7460.GB10851-PA	A0A088A4S6
7460.GB10738-PA	A0A088A6H8
7460.GB12536-PA	A0A088A855
7460.GB15635-PA	A0A088A995
7460.GB10033-PA	A0A088A9C5
7460.GB17735-PA	A0A088A9R7
7460.GB12134-PA	A0A088AAJ4
7460.GB16427-PA	A0A088AAK9
7460.GB10096-PA	A0A088AAR2
7460.GB18428-PA	A0A088ADP5
7460.GB14456-PA	A0A088ADQ2
7460.GB17668-PA	A0A088AFP5
7460.GB15719-PA	A0A088AGM8
7460.GB13134-PA	A0A088AH50
7460.GB14629-PA	A0A088AHA2
7460.GB14105-PA	A0A088AHC0
7460.GB30340-PA	A0A088AHP6
7460.GB17371-PA	A0A088AJ87
7460.GB11139-PA	A0A088AJP6
7460.GB15278-PA	A0A088AK69
7460.GB16238-PA	A0A088AKS4
7460.GB10687-PA	A0A088AKV4
7460.GB10974-PA	A0A088ALJ5
7460.GB14643-PA	A0A088AN13
7460.GB15943-PA	A0A088AP43
7460.GB17383-PA	A0A088AP85
7460.GB19256-PA	A0A088AQ76
7460.GB10088-PA	A0A088AQU4
7460.GB17173-PA	A0A088ATE1
7460.GB12493-PA	A0A088AVB0
7460.GB18767-PA	R4U721
7460.GB10560-PA	A0STQ6
7460.GB15283-PA	A0A087ZTX0
7460.GB11904-PA	A0A088A5J5
7460.GB11040-PA	A0A088A7S9
7460.GB15717-PA	A0A088AJG4
7460.GB13362-PA	A0A088A7L9
7460.GB12431-PA	A0A088AUK8
7460.GB12529-PA	Q2V0C9
7460.GB10950-PA	A0A087ZTQ3
7460.GB10979-PA	A0A087ZTT3
7460.GB16118-PA	A0A087ZZP4
7460.GB19408-PA	A0A088AAN9
7460.GB11802-PA	A0A088AJK6
7460.GB14837-PA	A0A088ANR1
7460.GB12172-PA	A0A088ATY0
7460.GB19710-PA	A0A088AUJ7
7460.GB14230-PA	A0A087ZQG4
7460.GB17265-PA	A0A087ZW24
7460.GB15039-PA	A0A088AST9
7460.GB13619-PA	A0A088ASV9
7460.GB19058-PA	A0A088AUU6
7460.GB16968-PA	A0A088AW14
7460.GB19963-PA	A0A087ZN50
7460.GB13443-PA	A0A087ZQ02
7460.GB11368-PA	A0A087ZQW5
7460.GB18874-PA	A0A087ZQZ7
7460.GB17011-PA	A0A087ZSD4
7460.GB30278-PA	A0A087ZSZ8
7460.GB10673-PA	A0A087ZTP6
7460.GB17323-PA	A0A087ZV58
7460.GB12570-PA	A0A087ZVL2
7460.GB15796-PA	A0A087ZWQ4
7460.GB10714-PA	A0A088A013
7460.GB10572-PA	A0A088A288
7460.GB16945-PA	A0A088A2H6
7460.GB15346-PA	A0A088A368
7460.GB18563-PA	A0A088A530
7460.GB18170-PA	A0A088A6Q4
7460.GB16122-PA	A0A088A6V8
7460.GB10562-PA	A0A088A787
7460.GB16209-PA	A0A088A886
7460.GB17662-PA	A0A088AB17
7460.GB13357-PA	A0A088AD20
7460.GB10120-PA	A0A088AD33
7460.GB30462-PA	A0A088AGE3
7460.GB11016-PA	A0A088AHY1
7460.GB11246-PA	A0A088AI60
7460.GB14761-PA	A0A088AI82
7460.GB11559-PA	A0A088AL35
7460.GB10169-PA	A0A088ALI2
7460.GB11604-PA	A0A088AN87
7460.GB16828-PA	A0A088APR2
7460.GB19270-PA	A0A088AQ63
7460.GB13993-PA	A0A088ARJ4
7460.GB15300-PA	A0A087ZNU3
7460.GB15662-PA	A0A087ZPU1
7460.GB14852-PA	A0A087ZQ27
7460.GB12591-PA	A0A087ZQ52
7460.GB12614-PA	A0A087ZRA1
7460.GB19953-PA	A0A087ZSA3
7460.GB17957-PA	A0A087ZT28
7460.GB17196-PA	A0A087ZT32
7460.GB18497-PA	A0A087ZW54
7460.GB13335-PA	A0A087ZYN6
7460.GB10163-PA	A0A088A2H0
7460.GB11522-PA	A0A088A4B1
7460.GB17905-PA	A0A088A4G5
7460.GB12805-PA	A0A088A6J8
7460.GB10718-PA	A0A088ANH9
7460.GB12476-PA	A0A087ZZ87
7460.GB11624-PA	A0A088A2U8
7460.GB30151-PA	A0A088A9D2
7460.GB15963-PA	D3XL67
7460.GB15968-PA	Q0GQR1
7460.GB30029-PA	A0A088AFG0
7460.GB10464-PA	A0A088AIS3
7460.GB14022-PA	A0A088AKA8
7460.GB11700-PA	A0A088AKJ4
7460.GB18451-PA	A0A088AKK8
7460.GB10476-PA	A0A088AL72
7460.GB13757-PA	A0A088ARN8
7460.GB12482-PA	A0A088ASF4
7460.GB16366-PA	A0A087ZNJ9
7460.GB10513-PA	A0A087ZNN4
7460.GB18665-PA	A0A087ZPG8
7460.GB11780-PA	A0A087ZTH1
7460.GB11447-PA	A0A087ZTH3
7460.GB18555-PA	A0A087ZU04
